tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Thank you to the owners of Ontario Midland Railroad for meeting with me! I am a strong supporter of short line railroads like Ontario Midland Railroad, and cosponsored the Brace Act to permanently extend the tax credit for railroad track maintenance. pic.twitter.com/TSdkmW7cl4",1123272502082461696,2019-04-30,17:06:48,repjohnkatko,6,0,9
"I had an excellent visit to King’s Auto Service in Williamson last week. It was a pleasure to speak with the owner, who is very involved in promoting fellow small businesses in downtown Williamson! pic.twitter.com/RCwSMAolPD",1123265031913844737,2019-04-30,16:37:07,repjohnkatko,1,0,5
"Technical careers provide quality employment opportunities throughout our region. Wayne Technical and Career Center offers high school students in Wayne County career and technical education, enabling them to secure jobs in a variety of industries. Thank you for hosting me! pic.twitter.com/YUysg6id9z",1122923146909310977,2019-04-29,17:58:35,repjohnkatko,5,3,12
We had many talented Central New York artists submit pieces for the 2019 Congressional Art Competition! Thank you to everyone who participated and I look forward to announcing a winner soon! pic.twitter.com/VA19dl7gwi,1121805097586106369,2019-04-26,15:55:52,repjohnkatko,4,0,8
Please join us for the Veterans Resource Fair at Onondaga Community College on April 27th! https://auburnpub.com/news/local/katko-to-hold-veterans-resources-fair/article_e7e3a2ea-3089-5de1-b295-ae1e23cdc7dd.html …,1118599826260865024,2019-04-17,19:39:15,repjohnkatko,4,1,11
Filling in for @BobLonsberry on @WSYRNews today -- talking now w/ @RepPeteKing with @RepLizCheney @RepDevinNunes & @OnCoLegislature Chair Dave Knapp coming up! pic.twitter.com/8Hq4xJpcbi,1117876535728328704,2019-04-15,19:45:09,repjohnkatko,10,2,19
The Central New York chapter of the Autism Society of America kicked off Autism Awareness Month last night by hosting the Blue Lights for Autism reception! The Barclay Damon Tower in Downtown Syracuse was lit blue in celebration of the event. pic.twitter.com/90y498wA8m,1113479259023126528,2019-04-03,16:31:57,repjohnkatko,3,1,13
The Auburn Fire Department recently held its annual memorial service at the Willard Memorial Chapel to pay tribute to the local fire fighters who sacrificed their lives in the line of duty. Join me in thanking our first responders who risk great harm in order to keep us safe. pic.twitter.com/0PDJJhJFxT,1113120691879063553,2019-04-02,16:47:08,repjohnkatko,2,1,10
"@mcmahonryancac kicked off its annual Go Blue 4 Kids campaign today, which is held every April to combat child abuse and raise awareness for neglect in our community. It was an honor to attend this event, and I gave remarks about the important work @mcmahonryancac does in CNY. pic.twitter.com/h38d9ZMtfv",1112831834247839744,2019-04-01,21:39:19,repjohnkatko,0,0,0
"It was excellent to stop by the @StBaldricks head shaving event @KittyHoynes this weekend! This year 540 heads were shaved at Kitty Hoynes and over $500,000 was raised for pediatric cancer research. pic.twitter.com/agEM444iDo",1112771237493837826,2019-04-01,17:38:31,repjohnkatko,3,1,22
I dropped by the @PeaceIncSyr event for Big Brothers Big Sisters at Flamingo Bowl in Liverpool this past weekend to support this local organization that works to change the lives of children in our community by pairing a child with an adult mentor. pic.twitter.com/JuZe3muICA,1112758736718872576,2019-04-01,16:48:51,repjohnkatko,2,0,11
