tweet,id,date,time,username,replies_count,retweets_count,likes_count
Have a safe and happy Halloween! 🎃 pic.twitter.com/F6SElgHqGW,1190013045600378880,2019-10-31,21:09:54,repjohnkatko,13,5,40
"Glad to announce $375,000 in federal funds for the Syracuse Youth Substance Abuse Prevention Coalition (YSAP), Cayuga County Drug-Free Community Coalition (DFCC), and Oswego County Prevention Coalition to address youth substance abuse in Central New York. https://katko.house.gov/media-center/press-releases/rep-katko-announces-375000-reduce-youth-substance-abuse-central-new-york …",1189966710721433601,2019-10-31,18:05:47,repjohnkatko,3,2,13
 pic.twitter.com/zehYtSUiAV,1189929479096938496,2019-10-31,15:37:50,repjohnkatko,188,14,58
"Today, the House Committee on Transportation & Infrastructure approved the bipartisan Water Quality Protection and Job Creation Act, legislation I introduced to modernize our nation’s water infrastructure. pic.twitter.com/EsEhUyTXSi",1189228162422583298,2019-10-29,17:11:03,repjohnkatko,16,3,19
"With my support, tonight the House passed bipartisan legislation to require online e-cigarette retailers to verify the age of their customers. Like many parents in CNY, I am deeply concerned that e-cigarettes and vapor products are falling into the hands of children and teens.",1188944185430347777,2019-10-28,22:22:37,repjohnkatko,11,6,24
"Good luck to @PatrickCorbin46 as he takes the mound for the @Nationals in Game 4 of the World Series— a Central New York native and Cicero- North Syracuse High School graduate, I’ll be cheering him on tonight! https://www.syracuse.com/sports/2019/10/corbin-family-journey-to-world-series-is-all-smiles-and-tears.html …",1188181454183981057,2019-10-26,19:51:48,repjohnkatko,2,4,11
"I believe we must work to overhaul water infrastructure in rural areas, ensuring our community has access to reliable and safe drinking water. I applaud the @usda for enabling the Town of Rose to make upgrades to its current water system. https://katko.house.gov/media-center/press-releases/rep-john-katko-announces-36-million-federal-funding-rural-water …",1187740738257391621,2019-10-25,14:40:33,repjohnkatko,10,2,10
"As co-chair of the bipartisan Mental Health Caucus, I am proud to introduce The Seeding Rural Resilience alongside @RepBrindisi and @RepAngieCraig. https://auburnpub.com/blogs/eye_on_ny/brindisi-katko-want-to-combat-rising-farmer-rural-suicide-rates/article_5cb6eb42-a8b0-5239-a8ec-a24075830aa7.html?utm_source=dlvr.it&utm_medium=twitter …",1187400734016442368,2019-10-24,16:09:30,repjohnkatko,2,1,10
Excited to join @RepDelBene to launch the Internet of Things Caucus. This bipartisan caucus will focus on addressing the need to bolster security for connected devices and emerging technology. pic.twitter.com/KdgMs5cReI,1187104907045851136,2019-10-23,20:33:59,repjohnkatko,22,2,15
"No woman should ever have to choose between working and raising their child. I am pleased that the @EdLaborGOP  is holding a hearing on my bipartisan bill, the Pregnant Workers Fairness Act. https://www.youtube.com/watch?v=SI3WK-7KVNE&feature=youtu.be …",1186676077420306433,2019-10-22,16:09:58,repjohnkatko,12,2,12
"On December 21, 1988, 270 people, including 35 @SyracuseU students and two @sunyoswego  students, were killed on Pan-Am Flight 103. I will be keeping those who lost their lives and their families in my thoughts this week. https://spectrumlocalnews.com/nys/central-ny/human-interest/2019/10/17/legacy-of-flight-103--su-honors-lives-lost-in-lockerbie-bombing-during-week-of-remembrance-# …",1186347947614715905,2019-10-21,18:26:06,repjohnkatko,8,5,13
It was a pleasure meeting with students from @sunyoswego’s Public Relations program today! pic.twitter.com/eaUmEtxMTk,1185265099050749957,2019-10-18,18:43:15,repjohnkatko,22,1,20
I was pleased to host a roundtable discussion on missing and murdered native women and sexual violence on tribal lands. We must work alongside tribal law enforcement and community organizations to prevent gender-based violence on tribal lands. pic.twitter.com/vrgaAJLJ4v,1184939394186334212,2019-10-17,21:09:01,repjohnkatko,9,7,19
"I spoke on the House floor to honor Village of Hannibal Mayor, Ronald K. Greenleaf, who was recently named “Veteran of the Year” by the Oswego County Veterans Service Agency.  https://www.facebook.com/RepJohnKatko/videos/2532833526950817/ …",1184930088250417153,2019-10-17,20:32:02,repjohnkatko,4,5,13
"He was a tremendous advocate for this measure, and, in his memory, I will continue our work to champion passage of this bill.  I wish Rep. Cummings’ family, loved ones, and constituents peace during this incredibly difficult time.",1184857742303006720,2019-10-17,15:44:34,repjohnkatko,3,2,11
"I am incredibly saddened to learn of the death of my colleague, Elijah Cummings.  Since coming to Congress, I’ve proudly partnered with Rep. Cummings in authoring bipartisan legislation to honor the life of Harriet Tubman and to memorialize her likeness on the $20 bill.",1184857740520427521,2019-10-17,15:44:33,repjohnkatko,6,5,30
"For this reason,  I joined my colleagues in introducing legislation to impose sanctions against Turkey.  To eradicate global terrorists forces such as ISIS, our nation must maintain its strong leadership role in the world and uphold its commitment to its allies.",1184812568122187777,2019-10-17,12:45:03,repjohnkatko,13,3,18
"With my support, the House passed a bipartisan measure opposing the Administration’s recent action to withdraw troops from Northern Syria.   This decision has sparked a Turkish military offensive in the region against U.S.-allied Kurds. https://www.syracuse.com/politics/2019/10/john-katko-anthony-brindisi-vote-to-rebuke-trump-on-syria-withdrawal.html …",1184812567358857217,2019-10-17,12:45:03,repjohnkatko,16,2,26
I stopped by the annual Lafayette Apple fest this weekend. It’s always a pleasure to chat with Central New Yorkers while supporting our local apple farmers and growers! pic.twitter.com/Nmwzp6THvh,1184467688380338177,2019-10-16,13:54:37,repjohnkatko,12,1,8
I was at the Cultural Italian American Organization of Cayuga County‘s Recognition Dinner to honor Former Mayor Carnicelli of Auburn. pic.twitter.com/LmD70YEfHw,1184225316409139200,2019-10-15,21:51:31,repjohnkatko,11,1,7
Yesterday I participated in the annual Columbus Day Ceremony in Syracuse to celebrate the many contributions Italian-Americans have made to Central New York! pic.twitter.com/sh1DdiZApq,1184203475200155648,2019-10-15,20:24:44,repjohnkatko,10,1,9
"I participated in the ribbon cutting for the newly opened @DeptVetAffairs veterans outpatient clinic in Auburn. This new facility will provide access to primary care, diagnostic services, and behavioral healthcare options for more than 1,500 enrolled veterans. pic.twitter.com/xFzS7DSL9q",1184173044367024128,2019-10-15,18:23:49,repjohnkatko,3,2,8
"I have worked in Congress to find innovative and bipartisan solutions to curbing and combating the high rate of suicide in our nation. If you or someone you know is having suicidal thoughts, please know that there are resources available to help, 24/7, at 800-273-TALK (8255).",1184140221442592768,2019-10-15,16:13:23,repjohnkatko,4,3,9
"I participated in the @afspnational Out of Darkness Walk at Long Branch Park this weekend to improve awareness of suicide prevention efforts and to raise funds for research, education programs, and support for victims of suicide loss. pic.twitter.com/VlbxI9v9Cw",1184140217990729728,2019-10-15,16:13:22,repjohnkatko,8,2,19
"Glad to meet with the employees at @GaylordArchival in Syracuse. Since 1896, this business has employed hardworking Central New Yorkers who have produced high-quality presentation and exhibit products. pic.twitter.com/b1IGYEuW7U",1182736579204386817,2019-10-11,19:15:49,repjohnkatko,5,1,4
Great to visit @OnondagaCC today! https://twitter.com/OnondagaCC/status/1182731300639252481 …,1182731880514379777,2019-10-11,18:57:09,repjohnkatko,5,1,13
"I am proud to join the @afspnational in recognizing World Mental Health Day. If you or someone you know is having suicidal thoughts, please know that there are resources available to help, 24/7, at 800-273-TALK (8255). pic.twitter.com/VOdYQMn3VZ",1182361307384897537,2019-10-10,18:24:37,repjohnkatko,2,1,9
"I spoke at the Cayuga County Farm Bureau’s Annual Dinner in Owasco. I talked about the need for trade deals that benefit CNY farmers, as well as my efforts in Congress to increase farmers’ access to foreign markets, improve crop insurance, and renew the H-2B Visa program. pic.twitter.com/DI5C6EEUVU",1182308020186947584,2019-10-10,14:52:52,repjohnkatko,17,2,18
"It was truly an honor to be a part of @lhandsyr’s retirement celebration today @CNYCentral. For nearly five decades, Laura Hand has been a trusted source for news in our community, a household name in broadcasting, and beloved by many in Central New York. pic.twitter.com/ciNdg3JFj9",1182043617906573312,2019-10-09,21:22:14,repjohnkatko,12,8,61
Glad to join Superintendent Kise of @SodusSchools in announcing $2.5 million in federal funding to address the shortage of mental health professionals in schools. https://katko.house.gov/media-center/press-releases/rep-katko-announces-25-million-federal-funding-address-shortage-mental …,1182023895714533377,2019-10-09,20:03:52,repjohnkatko,4,0,5
Honored to be a part of today’s retirement celebration for @lhandsyr and to recognize her many tremendous contributions to our community. In Laura’s words - Pay it Forward. @CNYCentral https://twitter.com/MattMulcahy/status/1182012437375193089 …,1182013678763331586,2019-10-09,19:23:16,repjohnkatko,3,3,36
Always great to see my college pal @LeMuraLinda. Thanks to @LeMoyne for having us on campus for a productive discussion on enhancing our cybersecurity workforce! pic.twitter.com/JQy3gtUfXx,1182002672238563328,2019-10-09,18:39:32,repjohnkatko,7,1,18
"At a roundtable discussion @LeMoyne I was joined by cybersecurity experts from @IBM and @salesforce as well as educators from @LeMoyne, @SyracuseU, @ocmboces, @OnondagaCC and high school P-TECH and BOCES programs for a discussion on addressing the current cyber workforce needs. pic.twitter.com/fxkI1fr4k0",1181986169107542016,2019-10-09,17:33:57,repjohnkatko,7,5,13
Excellent forum discussion @UpstateNews on the opioid epidemic in Central New York.  We must do more to prevent further opioid and heroin overdoses and ensure access to treatment for those struggling with addiction. pic.twitter.com/1rEDHx3Gza,1181659843846914053,2019-10-08,19:57:15,repjohnkatko,4,3,8
"I visited with employees at the @LockheedMartin plant in Salina. As one of Central New York’s largest employers, I will continue to support Lockheed Martin’s efforts to develop technology that strengthens our national security and provides good-paying jobs in our region. pic.twitter.com/2Dd9cne671",1181600973871095808,2019-10-08,16:03:19,repjohnkatko,9,4,13
I recently toured the facilities at @JPWCompanies in Syracuse and talked with the staff about the importance promoting vocational programs in schools. We must ensure Central New York students are equipped with the necessary skills to take on high-skilled jobs after graduation. pic.twitter.com/HcZ2aBrFkt,1181313057898795008,2019-10-07,20:59:15,repjohnkatko,6,3,6
"Together with Onondaga County Sheriff Gene Conway, I announced nearly $250,000 in @TheJusticeDept  funding for the @OnondagaSheriff to implement programming to keep local schools safe. https://katko.house.gov/media-center/press-releases/rep-katko-sheriff-conway-announce-nearly-250000-doj-funding-reduce …",1181298626888454144,2019-10-07,20:01:54,repjohnkatko,8,0,5
I joined @LibertyResourc1 for the grand opening of its Integrated Family Healthcare Center in Syracuse. I applaud Liberty Resources for improving access to mental healthcare. pic.twitter.com/bktiidGYCs,1181264197553938434,2019-10-07,17:45:06,repjohnkatko,7,1,7
I was proud to join @MACNY_MfgAssoc for Manufacturing Day at the Oswego County BOCES to show my continued support for the P-Tech program. It is imperative for our nation to provide students with the necessary resources to fill high-skilled jobs. pic.twitter.com/G9ECMaNBmj,1181212009280483328,2019-10-07,14:17:43,repjohnkatko,4,1,5
Enjoyed meeting with employees at @HillromCorp in Skaneateles Falls to discuss my bipartisan efforts to repeal the medical device tax pic.twitter.com/McGRr7ZwEQ,1180214450332274692,2019-10-04,20:13:46,repjohnkatko,5,2,4
Always love dropping by the Auburn farmers market for fresh produce! pic.twitter.com/M03WSUHocr,1180187815625265153,2019-10-04,18:27:56,repjohnkatko,6,2,12
"I met with the staff @CCA_NY, an organization that advances community-based alternatives to incarceration and supports at-risk youth and families in crisis. I am committed to supporting bipartisan legislation that promotes a responsible justice system. pic.twitter.com/ilCNAWURDR",1180135136412815362,2019-10-04,14:58:37,repjohnkatko,9,0,5
"In 1979, Congress created the Congressional Award to recognize initiative, service, and achievement in young people. Congratulation to Abby for achieving this award! I was glad to meet with Abby and her mom this week to congratulate her on this accomplishment. pic.twitter.com/FmDzNyGYbf",1180124628615880706,2019-10-04,14:16:51,repjohnkatko,13,1,17
