tweet,id,date,time,username,replies_count,retweets_count,likes_count
Great seeing cadets from CT's Civil Air Patrol today. You all have bright futures ahead of you! pic.twitter.com/cYwcPkHRpQ,1101193048493621260,2019-02-28,18:50:56,repjohnlarson,0,2,5
"In 2015, 9 innocent worshipers lost their lives at the Emanuel AME Church. Today, the House voted to close the loophole that enabled the shooter to purchase a firearm. #HR1112 #HonorWithAction pic.twitter.com/tb4wDMEPYy",1101166157917237248,2019-02-28,17:04:05,repjohnlarson,1,3,7
"Congratulations to @KellyNPS, the new Superintendent of Coltsville National Historical Park & Springfield Armory National Historic Site, who brings along a proven track record of building partnerships & 30+ yrs of experience working within @NatlParkService. Welcome to Hartford! pic.twitter.com/Hp4uXpQTOt",1101132060826222592,2019-02-28,14:48:36,repjohnlarson,0,5,13
Proud to stand with the CT Delegation on this historic day. Congress has taken action and the House has passed Universal Background Checks. It’s time for the Senate to do the same. #HonorWithAction #EndGunViolence 📷: @jahimes pic.twitter.com/n2wUfZjGmQ,1100906887946661888,2019-02-27,23:53:50,repjohnlarson,28,43,168
"It’s time we act to address these true emergencies, and for Congress to reassert its Constitutional authority over this executive overreach. I urge my colleagues in the Senate to do what is right and end this Emergency Declaration. https://larson.house.gov/media-center/press-releases/larson-votes-terminate-emergency-declaration …",1100544704091951104,2019-02-26,23:54:39,repjohnlarson,0,5,8
"This is about Congress reasserting its Constitutional authority. We need border security & comprehensive immigration reform, but it’s clear this is not a National Emergency. What is a National Emergency in our country is the gun violence epidemic, opioid epidemic & climate change",1100544703571943428,2019-02-26,23:54:39,repjohnlarson,9,8,14
ATTENTION: The Hartford and Torrington Social Security offices are closed for the time being due to a facilities issue. We will post when the offices are opened again.,1100436886869495809,2019-02-26,16:46:13,repjohnlarson,0,4,4
Proud to join 225 of my colleagues in moving to block POTUS’s National Emergency. The real emergency is the gun violence epidemic that’s afflicting our country. pic.twitter.com/GP2qHMb8uP,1099036076377804802,2019-02-22,19:59:54,repjohnlarson,8,5,20
"63 years ago, Rosa Parks, Martin Luther King Jr., and nearly 100 other Americans protested the segregated bus system. We’ve come a long way, but we still have a lot of work to do. #BlackHistoryMonth #MontgomeryBusBoycott pic.twitter.com/jYMYgYkqlg",1098960845411926016,2019-02-22,15:00:57,repjohnlarson,0,2,5
"Social Security isn’t an entitlement, it’s the insurance you’ve paid for with every paycheck. Great discussion with the CT State Employees Association about the Social Security 2100 Act. #Secure2100 pic.twitter.com/cajyuwWVDj",1098648352714092544,2019-02-21,18:19:13,repjohnlarson,0,3,14
Great conversation tonight with @HYPEHartford! It was great discussing the I-84/I-91 Tunnel proposal and more. pic.twitter.com/wWwKcRsOft,1098385542545326080,2019-02-21,00:54:55,repjohnlarson,2,2,6
Thanks to all who came out to tonight’s forum on the #GOPTaxLaw pic.twitter.com/9QC5phjAlf,1098037361789812736,2019-02-20,01:51:22,repjohnlarson,0,4,4
LIVE NOW: Public forum on GOP tax law and it’s impact on CT taxpayers:  https://www.facebook.com/RepJohnLarson/videos/308304989869843/ …,1097989947364126725,2019-02-19,22:42:57,repjohnlarson,0,2,2
I'm holding a public forum TONIGHT in Manchester on how the #GOPTaxLaw is affecting CT residents. More information here: https://larson.house.gov/about/events/public-forum-taxes …,1097886997027438593,2019-02-19,15:53:52,repjohnlarson,1,2,4
I’m also holding a public forum tomorrow on the #GOPTaxLaw.  https://larson.house.gov/about/events/public-forum-taxes …,1097593539314229250,2019-02-18,20:27:46,repjohnlarson,0,2,2
Many Americans have found they’ll be paying more this tax season. Share your story here: https://larson.house.gov/share-your-story …,1097593537670119425,2019-02-18,20:27:46,repjohnlarson,1,1,1
Read my full statement on the averted government shutdown here: pic.twitter.com/np4tBWhnpJ,1096434043141402625,2019-02-15,15:40:21,repjohnlarson,0,1,6
Tune into the @cspanwj at 9:15! I will be on to discuss the Social Security 2100 Act! #Secure2100  https://www.c-span.org/video/?457863-1/washington-journal-02152019&live …,1096408965464944640,2019-02-15,14:00:42,repjohnlarson,3,4,7
Standing today and always with the community of #Parkland and the families of the victims of the #MSD massacre as we honor their lives on the first anniversary of their tragic deaths. #HonorWithAction pic.twitter.com/SAe0pN9Tqf,1096060173075079168,2019-02-14,14:54:43,repjohnlarson,0,5,14
"Today @SenStabenow @SenatorBaldwin @RepJoeCourtney @RepBrianHiggins @PeterWelch & I intro'd a bold, commonsense solution, the #MedicareBuyIn Act. It allows those ages 50-64 to buy into Medicare, lowering costs & it allows Medicare to negotiate w drug companies, lowering Rx prices pic.twitter.com/sdGvPknM7O",1095827428142915584,2019-02-13,23:29:53,repjohnlarson,7,7,15
How has the #GOPTaxLaw affected you?  Many CT residents are now being double-taxed. Share your story here:  https://larson.house.gov/share-your-story … https://twitter.com/MeetThePress/status/1095455855934357504 …,1095701430550302720,2019-02-13,15:09:12,repjohnlarson,0,2,7
BREAKING: The I-91/I-84 interchange has moved up to the 14th worst in the country! We need a plan that will solve the region’s infrastructure challenges. The I-84/I-91 Tunnel Proposal is about solutions. pic.twitter.com/nNrgY6aiCq,1095688027979071493,2019-02-13,14:15:57,repjohnlarson,0,6,12
I also enjoyed meeting with Nija and Kaitlyn with Connecticut Women's Education and Legal Fund (CWEALF)’s paid leave campaign today to discuss the importance of #PaidLeave. pic.twitter.com/gqWpZnOWCq,1095408852634398720,2019-02-12,19:46:36,repjohnlarson,0,2,3
"In 1987, I was proud to author the nation’s first Family and Medical Leave Act in the CT State Senate. FMLA is vital for millions of Americans. It is time we pass paid FMLA, I am proud to support @rosadelauro’s #FAMILYAct! pic.twitter.com/6J8F2djJGX",1095408850679877633,2019-02-12,19:46:36,repjohnlarson,2,2,11
"The Republican tax law is affecting thousands of Americans this tax season, including many in CT. Many are now being double-taxed because the State and Local Tax Deduction cap. Proud to join @BillPascrell’s bill to restore the full deduction. https://www.washingtonpost.com/business/2019/02/10/millions-americans-could-be-stunned-their-tax-refunds-shrink/?utm_term=.747590d5f715 …",1095353083175923713,2019-02-12,16:05:00,repjohnlarson,0,7,9
The rising cost of prescription drugs are bankrupting American families – this isn’t a Republican issue or a Democratic issue. It’s an American one – and it’s one that we’re committed to fixing. Watch today’s hearing on it here:  https://www.youtube.com/watch?v=_z_1rJ6D2vs …,1095339421732229120,2019-02-12,15:10:43,repjohnlarson,0,1,7
"#IRS is now accepting/processing tax returns. Free help filing returns is available for taxpayers w low to moderate incomes, taxpayers who are elderly, & taxpayers w limited English proficiency. To locate a volunteer tax assistance site near you, visit: http://www.irs.gov/vita ",1094986418873618432,2019-02-11,15:48:00,repjohnlarson,1,5,8
"#ClimateChange isn’t something we can kick down the road any longer, we need to take serious measures to address this issue head on. This isn’t a partisan issue, this is about facts & science. I am proud to cosponsor the #GreenNewDeal as we work to make this a reality. pic.twitter.com/byG2nAD4dO",1093546848512630785,2019-02-07,16:27:40,repjohnlarson,4,6,26
Today’s hearing was the start of the conversation. We’re facing a retirement crisis and Social Security is a bedrock program for millions of Americans. That’s why I’m working to strengthen Social Security and increase benefits with Social Security 2100. #Secure2100 pic.twitter.com/Jtrl0DUCss,1093205037684273153,2019-02-06,17:49:26,repjohnlarson,8,29,66
"Today, @HouseJudiciary is holding its first hearing on gun violence since Sandy Hook. Please tune in here:  https://www.youtube.com/watch?v=RNFAfVWVoIE&feature=youtu.be … #EndGunViolence",1093183884571885568,2019-02-06,16:25:23,repjohnlarson,0,4,3
My thoughts are with @RepDebDingell and @JohnDingell today and in the coming days.,1093172999782629377,2019-02-06,15:42:07,repjohnlarson,0,2,6
"It was great joining @AliVelshi yesterday to discuss the Social Security 2100 Act. We’re working to make sure Social Security isn’t just strengthened for this generation, but for future generations too. #Secure2100 pic.twitter.com/4WGmlyW1Uf",1092894368837615619,2019-02-05,21:14:57,repjohnlarson,3,20,70
"After years of inaction, Congress is FINALLY holding a hearing on preventing gun violence on Wednesday. I thank @RepJerryNadler  and @RepThompson for their leadership. #NotOneMore #EndGunViolence",1092804456281001986,2019-02-05,15:17:40,repjohnlarson,3,7,13
Going live on @MSNBC with @AliVelshi at 3:50 pm! Tune in! pic.twitter.com/fzDYYeZOtO,1092522915671797760,2019-02-04,20:38:55,repjohnlarson,4,4,20
"#SocialSecurity isn’t an entitlement, it’s the insurance you paid for! That’s why I’m working with 200+ of my colleagues in the House to strengthen Social Security and ensure it will be around for generations to come! #Secure2100 https://www.nytimes.com/2019/02/03/us/politics/social-security-2100-act.html …",1092499406987948037,2019-02-04,19:05:30,repjohnlarson,5,46,69
The Social Security 2100 Act is a commonsense solution to increase benefits and enhance #SocialSecurity. #Secure2100 https://www.latimes.com/business/hiltzik/la-fi-hiltzik-social-security-expansion-20190130-story.html …,1091426584089759745,2019-02-01,20:02:30,repjohnlarson,5,26,31
"Great time visiting Howell Cheney Technical High School today and presenting the 2018 @CongressionalAC winners, Isabel & Justin with citations in honor of their winning app! You both have bright futures ahead of you! pic.twitter.com/FsTU5746tc",1091421708840521728,2019-02-01,19:43:07,repjohnlarson,1,4,14
"Tune in now, I’m live in Bristol with @SenBlumenthal discussing Social Security 2100! #Secure2100  https://www.facebook.com/RepJohnLarson/videos/525881964600431/ …",1091403676453875715,2019-02-01,18:31:28,repjohnlarson,1,4,6
