tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
"If we are to build a society at peace with itself, we cannot sow seeds of hatred and division. Hate is too heavy a burden to bear, love is the only way.",1106696196624732161,2019-03-15,23:18:29,repjohnlewis,577,6123,23985,2019-03-15 23:18:29
"I am overwhelmed by sadness at the murder of 49 souls in Christchurch, New Zealand. There is no room in our society for hate, especially on the basis of religion. I pray for our Muslim brothers and sisters and hope that the world community will come to see love as the better way.",1106645610126548998,2019-03-15,19:57:28,repjohnlewis,227,3732,23615,2019-03-15 19:57:28
Today I questioned Treasury Secretary Steve Mnuchin about Tax Disclosures at the @WaysMeansCmte Hearing on the President’s Budget. pic.twitter.com/qJRRw3ToKF,1106260066418728961,2019-03-14,18:25:27,repjohnlewis,33,167,618,2019-03-14 18:25:27
"I first met Louise Slaughter thirty-two years ago during our freshman orientation.  From the first day, she stood out.  Louise was a kind, unbelievable beautiful person.  She was a born leader, who was thoughtful, mindful, and she didn’t take any stuff. #ThanksLouise pic.twitter.com/IqnhwWJdK1",1105919331853127680,2019-03-13,19:51:30,repjohnlewis,16,184,1147,2019-03-13 19:51:30
The time has come to tear down the barriers to the ballot box. #goodtrouble https://www.youtube.com/watch?v=tTej12-Dv1w …,1104057207241490432,2019-03-08,16:32:05,repjohnlewis,124,517,1974,2019-03-08 16:32:05
"54 years ago today, we were beaten, tear gassed, trampled by horses, and left bloody on that bridge in Selma. But we cannot rest. We cannot become weary. We must honor those who gave their lives for the right to vote. We must continue to find a way to get in the way. #goodtrouble pic.twitter.com/Utygfx9hzc",1103685536189988864,2019-03-07,15:55:11,repjohnlewis,1598,23634,82078,2019-03-07 15:55:11
"My prayers are with @GovernorKayIvey and all of the people of Alabama affected by the powerful tornadoes yesterday, especially those who lost loved ones. May you all find peace after this tragedy.",1102690007863779329,2019-03-04,21:59:19,repjohnlewis,16,183,1624,2019-03-04 21:59:19
"How many more lives do we need to lose before we decide to do all we can to bring an end to wanton gun violence in this country? My heart goes out to the victims, their families and the members of the Chabad of Poway. https://johnlewis.house.gov/media-center/press-releases/rep-john-lewis-decries-rampant-violence-places-worship …",1122955806016716802,2019-04-29,20:08:22,repjohnlewis,80,516,2379,2019-04-29 20:08:22
"During this time of the year, when tens of millions of Americans are working to file their taxes by April 15th, I am very proud of our work to improve taxpayer service, protect taxpayers during enforcement, and enhance the appeals process. pic.twitter.com/wdsZxEDTte",1113130055092371457,2019-04-02,17:24:20,repjohnlewis,159,125,742,2019-04-02 17:24:20
"Thank you for all of the kind birthday wishes. I still feel good, I feel young. I’m ready to keep fighting, to keep pushing, to keep getting in good trouble, necessary trouble so that we may continue to build the beloved community. #GoodTrouble",1098976584306954240,2019-02-22,16:03:30,repjohnlewis,2609,6479,63202,2019-02-22 16:03:30
"Immigration status should not be an excuse to treat people in an inhumane way. We should make it easier, not harder, for people who have the desire to pursue an education to get one. I am proud to introduce this bill with Rep. Gallego. #HigherEdDreamAct https://johnlewis.house.gov/media-center/press-releases/reps-lewis-and-gallego-introduce-bill-pave-way-higher-ed-dreamers …",1098246532825038848,2019-02-20,15:42:32,repjohnlewis,198,460,1724,2019-02-20 15:42:32
"We mourn the unspeakable loss of life one year ago today at Marjory Stoneman Douglas High School, but I continue to be inspired by the commitment of the student survivors to nonviolent protest and direct action to bring an end to gun violence in America.",1096163470633062402,2019-02-14,21:45:11,repjohnlewis,51,1013,6786,2019-02-14 21:45:11
"This nation has lost one of the great legislators of our time.  Rep. John Dingell was a man who did not hesitate to stand up, speak up and speak out for those who were left out and left behind. He will be deeply missed. https://johnlewis.house.gov/media-center/press-releases/rep-john-lewis-mourns-passing-rep-john-dingell …",1093893157580926978,2019-02-08,15:23:46,repjohnlewis,17,209,1311,2019-02-08 15:23:46
"56 years ago today, we Marched on Washington for Jobs and Freedom. Today we continue to fight for the progress we sought in 1963–livable wages, fair housing, equal education. We must continue to speak up & stand up, to find a way to get in the way to build the Beloved Community. pic.twitter.com/kqyOQPfeZy",1166799310815727617,2019-08-28,19:46:48,repjohnlewis,127,1509,5423,2019-08-28 19:46:48
"Superintendent @CarstarphenMJ, my sister from Selma, I am so proud of you. You are a leader. You are a doer. You do the hard, necessary work to educate, protect, and inspire our young people. Keep getting in #goodtrouble and building the Beloved Community in APS. @apsupdate pic.twitter.com/cGYmel0vNB",1164224699158732801,2019-08-21,17:16:13,repjohnlewis,29,153,980,2019-08-21 17:16:13
".@BOEAPS & Chairman @Jasonesteves, I’m grateful for the service of Superintendent @CarstarphenMJ. We must be persistent and consistent in leadership if we are to build the Beloved Community in Atlanta. #extendprogress",1164223299687108608,2019-08-21,17:10:39,repjohnlewis,3,35,149,2019-08-21 17:10:39
"Reminder: All eligible 5th District of Georgia students interested in attending a Military Service Academy are invited to participate in the 2019 Military Service Academy forum, hosted by my office on August 24 at 11am. For more information, visit: https://johnlewis.house.gov/media-center/press-releases/upcoming-event-military-service-academy-forum-0 …",1164207556895617024,2019-08-21,16:08:06,repjohnlewis,4,42,121,2019-08-21 16:08:06
"All eligible 5th District of Georgia students interested in attending a Military Service Academy are invited to participate in the 2019 Military Service Academy forum, hosted by my office on August 24 at 11am. For more information, visit:  https://johnlewis.house.gov/media-center/press-releases/upcoming-event-military-service-academy-forum-0 …",1160655518165282818,2019-08-11,20:53:34,repjohnlewis,14,90,266,2019-08-11 20:53:34
Toni Morrison was our griot who told the stories that defined the soul of a people. She weaved our centuries of struggle for existence and recognition with a spiritual philosophy of love and gifted imagination. https://johnlewis.house.gov/media-center/press-releases/rep-john-lewis-passing-nobel-laureate-toni-morrison …,1158871382563930113,2019-08-06,22:44:03,repjohnlewis,19,217,1173,2019-08-06 22:44:03
