tweet,id,date,time,username,replies_count,retweets_count,likes_count
"It's been a busy day in Wilson County. Thank you 
@PermobilPower, @amazon, and @cityoflebanontn Mayor Bernie Ash for your time today discussing your work in #TN6. pic.twitter.com/77LHIvo6Sw",1156668468500074497,2019-07-31,20:50:27,repjohnrose,4,0,8
Coming up next with Coleman Walker on WANT FM 98.9. Hope you’ll tune in:  http://player.streamguys.com/wantfm/sgplayer/player.php …,1156543252029431809,2019-07-31,12:32:53,repjohnrose,3,0,3
ICYMI: John Rose Co-Sponsoring SONG Act To Improve Concert Safety https://newstalk941.com/john-rose-co-sponsoring-song-act-to-improve-concert-safety/ …,1156251613356576768,2019-07-30,17:14:01,repjohnrose,2,0,5
"It was an early start to the day on the Kerry Roberts Show, followed by a meeting with the Robertson Co.  County Chamber of Commerce and a roundtable with area bankers. We truly have outstanding community leaders in #TN6, and I am grateful for the insight they always provide. pic.twitter.com/rh93XjSghf",1155931769276780544,2019-07-29,20:03:04,repjohnrose,3,0,8
"ICYMI: Last night on the House Floor, I spoke on the “PAST Act” and my efforts to end soring of Tennessee Walking Horses. 
 https://www.c-span.org/video/?c4810102/rep-rose-speaks-hr-693 …",1154495603159662592,2019-07-25,20:56:15,repjohnrose,3,3,9
It was wonderful to meet with the Hon. Marilyn Musgrave and Ms. Jamie Dangers today to discuss the good work of @SBAList. I appreciate SBA List's strong stand for life and the unborn. pic.twitter.com/hnKJfwUxPi,1154484642948505601,2019-07-25,20:12:42,repjohnrose,1,1,9
"Today, the “Stopping Bad Robocalls Act,” which I cosponsored, obtained final passage in the U.S. House to end the frustrating, deceitful, and oftentimes harmful calls which plague Tennesseans and folks across the country. Read my full statement here: https://johnrose.house.gov/media/press-releases/rose-supports-bill-end-bad-robocalls-passes-house …",1154141214758883329,2019-07-24,21:28:03,repjohnrose,4,9,31
"Thank you to this great group for meeting today to discuss distillers’ legislative concerns. I always appreciate folks from #TN6 making the trip to Washington, DC to share their thoughts. pic.twitter.com/eniSfw5nHd",1154119616949608450,2019-07-24,20:02:13,repjohnrose,1,1,7
I was pleased to welcome the Tennessee FFA State Officers to the Capitol today. I hope they have an outstanding week on the hill. pic.twitter.com/NRaozPBCvg,1153753750391132161,2019-07-23,19:48:24,repjohnrose,1,1,13
"A great time was had by all last night at Robertson County Farm Bureau's annual steak supper. It was wonderful to fellowship with many old and new friends, and it was especially good to see RCFB President Buddy Bryant and State Representative Kumar. pic.twitter.com/Ft63oe8OHX",1153686917680128005,2019-07-23,15:22:50,repjohnrose,3,3,28
Enjoyed meeting with the good folks at Caliber Collision in Mt. Juliet today. I always appreciate the opportunity to see firsthand the work of local businesses who make #TN6 proud. pic.twitter.com/uSACCqhWY4,1152300204068093952,2019-07-19,19:32:32,repjohnrose,1,2,9
