tweet,id,date,time,username,replies_count,retweets_count,likes_count
Always wonderful to join @NCNWHQ for their annual MLK breakfast event here in Louisville. A great group working to honor the life and legacy of a great man. pic.twitter.com/1V12jTd44p,1218601643446587393,2020-01-18,18:30:46,repjohnyarmuth,3,3,20
You should read this. https://twitter.com/rachelbitecofer/status/1218532331918647297 …,1218582350566694913,2020-01-18,17:14:07,repjohnyarmuth,10,18,60
"Thinking of my hero, Louisville’s own @MuhammadAli, on what would be his 78th birthday today. Thankful for the @AliCenter and grateful for their dedication to promoting Muhammad’s six core principles: confidence, conviction, dedication, respect, giving, and spirituality. #GOAT pic.twitter.com/MIghBxjEdG",1218198040575606784,2020-01-17,15:47:00,repjohnyarmuth,4,17,101
"Proud of the work @raiseRED_UofL continues to do, on and off campus! #GoCards #FTK https://twitter.com/raiseRED_UofL/status/1215410169225588736 …",1217176284528287750,2020-01-14,20:06:54,repjohnyarmuth,7,13,84
"Thank you, Chairman @BobbyScott and @EdLaborCmte members, for successfully marking up my bill, the Runaway and Homeless Youth & Trafficking Prevention Act, today. Congress must #PassRHYTPA to help protect & provide support services to our at-risk youth and young adult population.",1217142532246773761,2020-01-14,17:52:47,repjohnyarmuth,4,3,30
"Finally, some good news out of Washington. If you paid even passing attention to the news of the past few years, that probably sounds like the setup to a joke. But it’s true. I actually come bearing a tale of this government working as it should. https://www.courier-journal.com/story/opinion/2020/01/13/yarmuth-louisville-womans-letter-helped-end-widows-tax/4430960002/ …",1216792235758563328,2020-01-13,18:40:50,repjohnyarmuth,9,14,67
"Article I of the Constitution gives Congress the responsibility to declare war, and I am unwilling to send any of our men and women in uniform into harm’s way on the orders of an impulsive and unstable President.",1215404268032872453,2020-01-09,22:45:33,repjohnyarmuth,14,8,92
"I am heading to the House floor now to vote in favor of a War Powers Resolution limiting President Trump’s ability to enter us into another uncertain endless war, this time with Iran.",1215404267298750469,2020-01-09,22:45:33,repjohnyarmuth,28,23,323
"Nine years later, I remain in awe of my friend @GabbyGiffords’ tenacity, her dedication, and her courage in the fight for common sense reforms to our nation’s gun laws. I’m proud to stand with her in this fight, today and always. https://twitter.com/GabbyGiffords/status/1214892794675912705 …",1214958365002129411,2020-01-08,17:13:41,repjohnyarmuth,4,5,68
Iran was abiding by the JCPOA—which explicitly states they can never obtain a nuclear weapon on its third line—as fully confirmed by international inspectors and your own State Department. You blew it when you blew up that agreement.  https://twitter.com/realDonaldTrump/status/1214197038063243266 … pic.twitter.com/4f86V6pLqn,1214585316872511493,2020-01-07,16:31:20,repjohnyarmuth,10,34,85
"Thrilled to be on hand for the launch of @ridetarc’s new Rapid bus service, part of the @NewDixieHighway project to improve safety & ease congestion. Proud to have helped secure @USDOT funding for this and larger effort to keep pedestrians, drivers, & transit riders safe. pic.twitter.com/BUJJRiIQnf",1214258018810023937,2020-01-06,18:50:46,repjohnyarmuth,9,6,47
"Was this part of your strategic calculations, Mr. President? https://twitter.com/nytimes/status/1213885910024151041 …",1213911151534333953,2020-01-05,19:52:26,repjohnyarmuth,9,13,63
Will someone in the White House please inform the President that this would be a war crime?  http://www.unesco.org/new/en/culture/themes/armed-conflict-and-heritage/convention-and-protocols/1954-hague-convention/ … https://twitter.com/realDonaldTrump/status/1213593975732527112 …,1213885801362329600,2020-01-05,18:11:42,repjohnyarmuth,26,33,165
"Was this part of your strategic calculations, Mr. President? https://twitter.com/thedailybeast/status/1213854252264763392 …",1213883429672103936,2020-01-05,18:02:17,repjohnyarmuth,24,35,143
My statement on the Trump Administration’s deadly airstrike targeting Iranian military leaders at the Baghdad International Airport: pic.twitter.com/uRB45k5zMq,1213167974506487815,2020-01-03,18:39:19,repjohnyarmuth,29,30,119
Wishing everyone a happy and healthy New Year! Looking forward to 2020 and continuing to serve the people of Kentucky’s Third Congressional District. pic.twitter.com/MhgjafiYmS,1212208485632528384,2020-01-01,03:06:39,repjohnyarmuth,14,14,129
