tweet,id,date,time,username,replies_count,retweets_count,likes_count
"There is a sustained attack on women's health in the states, and it must be stopped. #WHPA - H.R. 2975 - which I introduced w/ @SenBlumenthal, will prohibit non-medical restrictions on abortion access. #StopTheBans https://www.vox.com/2019/5/30/18645952/louisiana-abortion-ban-heartbeat-bill-edwards …",1134470719126069248,2019-05-31,14:44:31,repjudychu,4,12,42
"While Trump tries to undermine the census, I'm holding a roundtable w/ local leaders to discuss how an inaccurate census will impact our area & how we can ensure an accurate count. At stake is $100 billion in funding that CA receives for schools, housing, Medicaid, roads, & more. pic.twitter.com/njuzJV9tB9",1134157158965239810,2019-05-30,17:58:32,repjudychu,8,7,50
"The Trump administration KNEW that adding a question on citizenship would lead to an inaccurate census, meaning less $ for schools or healthcare where it's needed. They did anyway b/c it would benefit “Republicans and non-Hispanic Whites.” They then lied to Congress & the people. https://twitter.com/srl/status/1134076185737125888 …",1134133222361751557,2019-05-30,16:23:26,repjudychu,7,44,80
"Robert Mueller wants you to read his report. So do I. It details how Russia attacked our democracy & lists at least 10 times the President tried to stop that truth from becoming public. If you can't sit & read all 448 pages, don't worry, we did it for you: https://www.youtube.com/watch?v=kCjOA6-YXSI&feature=youtu.be …",1133772927055343616,2019-05-29,16:31:44,repjudychu,25,67,202
"Congratulations to Lonnie Bunch - a renowned and ground-breaking man in his own right. As our country rapidly becomes more diverse, Mr. Bunch will help this iconic institution better reflect the country it serves, reaching new audiences that have been underrepresented in arts. https://twitter.com/NMAAHC/status/1133376013834940416 …",1133767438661816320,2019-05-29,16:09:56,repjudychu,1,1,14
"Do you need help with a federal agency like Social Security or the VA, but can't make it to one of my offices in Pasadena or Claremont? My staff will  be at the Live Oak Park Community Center in Temple City from 11-1 on Wednesday for Mobile Office Hours. Come say hi! pic.twitter.com/sLmxVPaNUT",1133477324530311169,2019-05-28,20:57:07,repjudychu,0,4,6
"I want to ensure every Veteran takes advantage of benefits they earned. That is why I am thrilled that after 7 years of work, the San Gabriel Valley finally has our own Veterans Health Clinic! Now our 45,000 Vets can get healthcare close to home. Call me for info 626-304-0110",1133475814727720960,2019-05-28,20:51:07,repjudychu,1,7,38
"Abortion is safe and legal in all 50 states, and you have a constitutional right to access it. But states like Missouri are trying to illegally restrict your rights, determining your healthcare options, instead of  you & your doctor. It's an attack on women's health and lives. https://twitter.com/PPFA/status/1133390639511625729 …",1133434812939866112,2019-05-28,18:08:12,repjudychu,6,21,79
"To those who gave up their future for the sake of ours and to the family and loved ones of those heroes for what they had to sacrifice as well, we say thank you to all of you. #MemorialDay",1133003181850595329,2019-05-27,13:33:03,repjudychu,2,26,91
That’s right. But we only need one to stop them: the Women’s Health Protection Act. It’s simple. No restrictions for non-medical reasons. Abortion is healthcare. Healthcare is a human right. And we won’t have our rights denied. 3 https://twitter.com/prhdocs/status/1131552257584107522 …,1131554952999051270,2019-05-23,13:38:18,repjudychu,5,26,82
"States like Alabama and Georgia want to take us back to the days before safe, legal abortions. So today, we’re introducing the Women’s Health Protection Act to codify the protections from Roe into law & prohibit states from restricting access to abortion for nonmedical reasons. pic.twitter.com/KfYxBInMxv",1131551368957898753,2019-05-23,13:24:04,repjudychu,47,186,618
"It’s also his birthday today, so we got him a cake featuring the sheet music for “Your Song” in frosting. Happy birthday Bernie!  @RespectCreators pic.twitter.com/TtDNNixYXW",1131272903801147392,2019-05-22,18:57:32,repjudychu,0,5,26
Ever belted “Tiny Dancer” at the top of your lungs? Me too. Well you have Bernie Taupin to thank for those lyrics. He has been Elton John’s songwriting partner for decades and today he’s on the Hill to promote creators & filmmakers like those who made “Rocketman”. pic.twitter.com/hpC1ykuaOu,1131272159534493696,2019-05-22,18:54:35,repjudychu,4,7,58
We got the beat. Now we need to make sure they get fair compensation. It was a thrill to have The Go-Go’s on the Hill today to talk about the Music Modernization Act and need to ensure songwriters are able to make a living off their work. pic.twitter.com/i5MKTcHSHv,1131243071084146688,2019-05-22,16:59:00,repjudychu,1,11,39
"President Trump says he doesn't ""do cover ups."" How do you prove that? Through an investigation. But we can't, because he's blocking every investigation and tried to obstruct Mueller's at least 10 times. That's called a cover up.",1131231455517057026,2019-05-22,16:12:50,repjudychu,8,18,96
"States like Alabama want to take us back to the days before Roe when women had to risk their lives just to get an abortion. Well we won't go back! Yesterday, we rallied to #StopTheBans. Tomorrow, we fight back with the Women's Health Protection Act to ensure access to abortions pic.twitter.com/tbpAftsoAv",1131220439752151043,2019-05-22,15:29:04,repjudychu,3,4,18
Donald Trump and @stevenmnuchin1 are breaking the law. Period. https://www.washingtonpost.com/business/economy/confidential-draft-irs-memo-says-tax-returns-must-be-given-to-congress-unless-president-invokes-executive-privilege/2019/05/21/8ed41834-7b1c-11e9-8bb7-0fc796cf2ec0_story.html?utm_term=.25c11b532cce …,1131192219589926912,2019-05-22,13:36:56,repjudychu,7,6,27
"History changed 100 years ago today when the House passed the #19thAmendment giving women the right to vote. I'm honored to be Speaker Pro Tem on this anniversary, but our work isn't done. Equality isn't handed to us, we're going to have to fight for it. We're ready! pic.twitter.com/ifAvLEuXVJ",1130909537286983680,2019-05-21,18:53:39,repjudychu,1,16,103
