tweet,id,date,time,username,replies_count,retweets_count,likes_count
"When people think of racism like this, they think about some far-off time in some far-off land. 

But this is today, in South Los Angeles, on Crenshaw. These are swastikas on Black faces. 

An attack on one of us is an attack on all of us. pic.twitter.com/xP7D05A3o4",1068276922470334465,2018-11-29,22:54:00,repkarenbass,90,271,459
I'm so grateful for all of the expressions of good will and support -- I will be honored to receive the gavel in January from Chairman @RepRichmond. I want to thank him for his outstanding leadership of the @OfficialCBC this Congress. https://www.rollcall.com/news/politics/rep-karen-bass-elected-lead-growing-congressional-black-caucus …,1068008449135570945,2018-11-29,05:07:11,repkarenbass,51,142,757
"The very first thing we are going to do in January is pass legislation to limit the power of big money in politics, stop officials from using their public office for personal gain, and to make it easier, NOT harder, to vote.",1067419022294011904,2018-11-27,14:05:01,repkarenbass,69,309,1699
"What exactly was it that warranted shooting tear gas at this child. 

What did this child do? pic.twitter.com/lDn59vCFHA",1067259970624794624,2018-11-27,03:33:00,repkarenbass,17,24,81
"One of the most chilling parts about this report is that it was written well before the fires in California AND Hurricanes Florence and Michael. 

Those disasters are evidence that we need to act before it’s too late. https://weather.com/news/climate/news/2018-11-23-fourth-national-climate-assessment/ …",1067232036543438849,2018-11-27,01:42:00,repkarenbass,4,38,71
"African American women are more likely to develop and die from diabetes or lung cancer than other groups. We must commit to combatting the root causes of these disparities in addition to the diseases themselves.
#AmericanDiabetesMonth #LungCancerAwarenessMonth",1067195042572361729,2018-11-26,23:15:00,repkarenbass,4,17,45
"Thomas Farr has ties to white supremacists and has spent his entire career working against civil rights, especially voting rights and the rights of workers. 

His district court nomination MUST be stopped. #StopFarr https://www.huffingtonpost.com/entry/thomas-farr-nomination-voting-rights_us_5bfc3652e4b0eb6d93126cba …",1067159640549527552,2018-11-26,20:54:19,repkarenbass,10,136,151
"Necesitamos observar cuidadosamente lo que se está haciendo para que los inmigrantes se vean como criminales.

No es justo. pic.twitter.com/71BTGVm5qS",1067072097917304837,2018-11-26,15:06:28,repkarenbass,7,6,21
"You can change your @CoveredCA health plan right now! 

Don’t have one? You have until January 15th to get one!",1066709342643093504,2018-11-25,15:05:00,repkarenbass,1,19,24
"There’s so much to be thankful for. I’m in good health, I’m surrounded by friends and family, and I’m able to do the job I love — fighting #forthepeople in DC. 

I hope everyone has a restful holiday.",1065721571413827585,2018-11-22,21:39:57,repkarenbass,5,12,155
".@RepMarciaFudge is a fearless legislator and one of the most respected Members of Congress by both parties. Now that we’ve won the House back, it is more important than ever that House Democrats rally around our leader so that we can begin passing legislation #forthepeople. pic.twitter.com/iMVzXOL5Hx",1065130397690818565,2018-11-21,06:30:50,repkarenbass,12,10,47
