tweet,id,date,time,username,replies_count,retweets_count,likes_count
Scott Eden used his #TCJA #TaxCuts to help his employees and grow his company. Good policy has good consequences. Watch his story here: https://youtu.be/urMDH6d1-ag ,1068590739431411712,2018-11-30,19:41:00,repkenbuck,10,1,2
Putting more money into the pockets of small business owners allows them to pay higher wages and grow their business. That's one reason why we passed the #TaxCutsandJobsAct. https://youtu.be/urMDH6d1-ag ,1068570316660715520,2018-11-30,18:19:51,repkenbuck,30,7,14
"I'm focused on making sure that the price of aluminum in America is set in a fair and consistent manner, for all the industries and consumers in Colorado who rely on aluminum in products. https://denver.cbslocal.com/2018/11/28/aluminum-beer-cans-caught-trade-war/ …",1068150751623634944,2018-11-29,14:32:39,repkenbuck,11,2,4
I'm thankful the law enforcement officers involved in this incident are all safe and I'm grateful for their vigilance. https://www.denverpost.com/2018/11/27/douglas-county-officer-involved-shooting-2/ …,1067442388933718018,2018-11-27,15:37:52,repkenbuck,6,0,10
"Congratulations to all the men and women at Lockheed Martin Space in Colorado who played a part in building NASA's #InSight Lander, which touched down on Mars this afternoon! https://www.space.com/42541-mars-insight-lander-success.html …",1067165997772271618,2018-11-26,21:19:35,repkenbuck,8,34,103
"Happy #Thanksgiving! I hope everyone has a chance today to reflect on the ways they're thankful. I'm grateful today for a loving family, for a caring community, and for a country that believes in freedom.",1065633444502224898,2018-11-22,15:49:46,repkenbuck,11,1,15
"On #WorldDiabetesDay, we have a chance to recognize the 29 million Americans and their families who struggle with this difficult disease.",1062755572536279040,2018-11-14,17:14:08,repkenbuck,13,1,3
"Thank you to those men and women who have served, and thank you to the families and friends who have supported those who have served. #veteransday",1061992008892497921,2018-11-12,14:40:00,repkenbuck,3,2,16
"Today, we mark the many American lives lost in #WorldWarI. Though distant from our present day, their fight greatly influenced the world we know today, ushering in a world order that prioritizes American values like peace, democracy, and free markets.",1061649756580122625,2018-11-11,16:00:01,repkenbuck,6,4,12
"Thank you to all who have, all who are, and all who will call themselves a United States Marine. #MarineCorpsBirthday pic.twitter.com/JhSQeEG4oS",1061296676579594240,2018-11-10,16:37:00,repkenbuck,5,5,14
Great jobs numbers this morning! https://thehill.com/policy/finance/414471-october-jobs-report …,1058457330323521537,2018-11-02,20:34:27,repkenbuck,18,4,9
"If we want Congress to work better for the people, then we need to change the way we do business around here. Read this op-ed I co-authored with @repderekkilmer to learn about our ideas for reform: https://thehill.com/blogs/congress-blog/politics/414293-reformers-in-congress-must-work-together-to-make-it-more …",1058032882936094720,2018-11-01,16:27:51,repkenbuck,17,4,9
