tweet,id,date,time,username,replies_count,retweets_count,likes_count
"We’re thrilled to unveil this piece by D.G. Smalling, a brilliant Choctaw artist and resident in our district. His work holds a special place in our community. It’s an honor to have it here!
Thank you to everyone who dropped in to see it, including @LeaderHoyer. pic.twitter.com/uKRL5BDtpw",1111684988079099905,2019-03-29,17:42:09,repkendrahorn,3,14,107
"After two years of extensive and expensive investigations, we deserve more than four pages. My constituents sent me to Congress to change how things work in Washington. We need more transparency not less. (2/2)",1110575303389134854,2019-03-26,16:12:40,repkendrahorn,18,19,124
The attorney general’s letter makes clear there are still unanswered questions about obstruction of justice in Special Counsel Mueller’s report. This makes it all the more urgent that Congress and the American people understand Mr. Mueller's findings from the report itself. (1/2),1110575216382615552,2019-03-26,16:12:19,repkendrahorn,25,20,154
"It was great to sit down with municipal leaders working to better central Oklahoma. If we are going to build a brighter future, we’ll have to roll up our sleeves and work together. Thank you for a great event, @OklaMuniLeague! pic.twitter.com/urGaNQ8mZZ",1108510738707083264,2019-03-20,23:28:49,repkendrahorn,3,4,45
"I’m so lucky to have such brilliant, kind colleagues. Thank you, @RepKatieHill! https://twitter.com/RepKatieHill/status/1108384131782709250 …",1108416742483783681,2019-03-20,17:15:19,repkendrahorn,3,6,90
"Got to spend time with two great ladies at the @OKYouthExpo tonight: Emmie and Clover! I’m so proud Oklahoma has the biggest youth expo in the country, and that such great kids represent us. pic.twitter.com/2OfCS8XytT",1108175333919019009,2019-03-20,01:16:03,repkendrahorn,3,12,123
The deadline is almost here! Intern candidates have until midnight tomorrow to apply. https://twitter.com/RepKendraHorn/status/1101493292364115969 …,1108084493901094912,2019-03-19,19:15:05,repkendrahorn,5,11,29
"As Oklahomans, we are no strangers to that.But we also know the power of love and coming together to support each other. We won’t let hatred and fear control us. Let us stand together, support the grieving and create connections that transcend race and religion. (2/2)",1106592911221800960,2019-03-15,16:28:04,repkendrahorn,8,8,72
Our hearts are broken for those mourning the 49 fallen in the Christchurch mosque murders and for the global community who is witnessing another callous loss of life. This devastating attack is but the most recent example of what happens when hate turns to violence. 1/2,1106592575534915585,2019-03-15,16:26:44,repkendrahorn,2,18,129
"Honored and humbled to celebrate the @girlscouts’ 107th birthday from the House floor yesterday. Fun fact: 60% of Congress’ female members were Girl Scouts. So we’re virtually all female astronauts, including the first American woman in space, Sally Ride 
 https://www.c-span.org/video/?c4785689/girl-scouts-107th-birthday …",1105813625263009800,2019-03-13,12:51:27,repkendrahorn,4,15,132
Congratulations to @SpaceX and @NASA! We’re one step closer to sending Americans into space from our own soil. pic.twitter.com/FSWHpN4d8e,1105155181912748033,2019-03-11,17:15:02,repkendrahorn,3,5,40
"Happy belated birthday to OKC Mayor and our social media inspo, @davidfholt! So happy we get to work together for a better Oklahoma.   Also happy our photographer here managed to get us both in the frame. pic.twitter.com/icCj7Zq7z8",1105139156391550976,2019-03-11,16:11:22,repkendrahorn,3,5,132
"In this week’s Connecting with Kendra, I talk a little about getting to be chairwoman of the Subcommittee on Space and Aeronautics. #ConnectingwithKendra pic.twitter.com/KamruybZB4",1104103721443778560,2019-03-08,19:36:55,repkendrahorn,8,14,100
Is this bill perfect? No. But overall this legislation improves how our country performs its most critical work. #HR1 (14/14),1103828960251727877,2019-03-08,01:25:06,repkendrahorn,8,5,27
