tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Texas is behind you @VP
#USMCA is vital for Texas
👉 Texas trade with Canada and Mexico = $127B in exports
👉 Supports 948,000 Texas jobs
👉 Important for Ag, Energy, Manufacturing and so many other industries https://twitter.com/VP/status/1133862158339592199 …",1134095768040742912,2019-05-30,13:54:36,repkevinbrady,234,727,3266
"Proud to join @FarmersforTrade & @TexasFarmBureau at Kevin Counsil’s ranch to rally Texas support for #USMCA. 
Important for TX agriculture - billions $$$ of sales to Mex/Can & 60,000 ag-related jobs. 

#Time2Act http://www.madisonvillemeteor.com/stories/congressman-rallies-local-support-for-free-trade-pact,31404 …",1133840623763693570,2019-05-29,21:00:45,repkevinbrady,5,7,22
Exciting to see the progress being made by @PoccaPort as they work to become the Energy Port of the Americas. Thank you @realDonaldTrump and @RepCloudTX for helping to make this #infrastructure project happen. So important for #Texas #trade #jobs & #economy #MovingAmericasEnergy pic.twitter.com/RHSugS4nEu,1133792171902078976,2019-05-29,17:48:13,repkevinbrady,6,8,23
"Great #protrade discussion with @FarmersForTrade and @RepCloudTX this morning. #USMCA is great for Texas farmers, jobs and economy. #motorcadefortrade pic.twitter.com/hcmR4sJD5c",1133748761799352320,2019-05-29,14:55:43,repkevinbrady,22,27,58
"For no good reason, special interests forced Dems to remove bipartisan provisions which allow #homeschool parents to use educational savings, tax free, for expenses of homeschooling; and families with kids in grades K-12 for books, tutors and educational therapies @thsc @HSLDA pic.twitter.com/ZaDMJDNvH4",1131982722631688193,2019-05-24,17:58:06,repkevinbrady,28,39,63
Love seeing this kind of American ingenuity coming out of a company headquartered in The Woodlands.  #polyusable https://www.forbes.com/sites/jeffkart/2019/05/15/regenyx-process-recycles-throw-away-polystyrene/?fbclid=IwAR34pTrZu3Qc9snccjpzL7ZiNKoKXCs34-lQbeNAPVdx0J_wqIBcWohzHxA#9e3df565b06b …,1131672235213819906,2019-05-23,21:24:20,repkevinbrady,2,3,14
"I'm fighting to stop Washington from giving TCR the power of eminent domain. They should not have the power to seize lands from Texas property owners against their will. 
We won this battle once. Nothing has changed. 

 https://twitter.com/intent/tweet?url= https://washex.am/2WgxmzT&text=Texas%2C%20don%27t%20even%20think%20about%20importing%20California%27s%20rail%20disaster …",1131218131307905027,2019-05-22,15:19:54,repkevinbrady,14,12,31
"TRUE AGENDA, REVEALED

""If we don't impeach this President, he will get re-elected.""
           - Rep. Al Green, Democrat.    May 4, 2019 pic.twitter.com/0pxm0WP3xj",1130960435862282241,2019-05-21,22:15:54,repkevinbrady,36,40,56
"Worst kept secret in D.C.:  Rush to impeachment still ON. 
Meanwhile, amid the investigations, hearings, subpoena's, lawsuits & obsession w/@realDonaldTrump, the crucial work to serve the American people is ignored by #HouseDemocrats. 

#LetsGetToWork https://www.philly.com/politics/nation/impeachment-democrats-push-nancy-pelosi-donald-trump-20190521.html …",1130924963609886721,2019-05-21,19:54:57,repkevinbrady,30,61,89
"100 years ago today, the House passed the 19th Amendment, granting women the right to vote. Honored to wear a yellow rose today to show my support and honor the courageous women who led this historic movement! #womensvote100 #suffragents #SuffrageSisters pic.twitter.com/FBREhgZFl4",1130887963234242560,2019-05-21,17:27:55,repkevinbrady,11,12,45
"More great economic news!! Recent @Gallup poll shows...

✔️ Majority of Americans feel positively about the U.S. job market

✔️ Majority of Americans say the economy is improving

✔️ Workforce employment optimism highest since 2000 https://news.gallup.com/poll/257672/americans-view-job-market-hits-new-high.aspx …",1130828214069338112,2019-05-21,13:30:30,repkevinbrady,18,22,43
"By all means, lets go back to the @joebiden economy:
- high taxes
- worst economic recovery since WWII
- flat paychecks
- U.S  jobs & companies moving overseas
- Americans giving up hope/dropping out of workforce
- failed ‘stimulus’.

#BadOldDays https://www.atr.org/biden-when-i-m-president-if-god-willing-i-am-we-re-going-reverse-those-trump-tax-cuts …",1129230243485478912,2019-05-17,03:40:44,repkevinbrady,38,58,92
"TEXAS IS MADE FOR TRADE
- $123b sales of manufacturing goods to Mexico & Canada
- 4,149 Texas manufacturing companies selling to Mex/Can
- 114,000 Texas manufacturing jobs depend on trade to Mex/Can
- 1/4 Texas manufacturing companies sell to Mex/Can

#USMCA pic.twitter.com/spRwQ1bAuA",1129148793709060096,2019-05-16,22:17:05,repkevinbrady,9,8,32
"SAD
Today #HouseDemocrats forcing thru HR 987.
- 1.5 million Americans lose their preferred health care plan. 
- Bails out Affordable Care Act w/hundreds of millions of $$.
- Poisons bipartisan agreement to lower drug prices. 

#ForThePolitics pic.twitter.com/1YfJEE6ZXn",1129146329710645251,2019-05-16,22:07:18,repkevinbrady,104,89,114
Another bad day for #Cuomo claims about tax reform.... https://blog.timesunion.com/capitol/archives/286769/state-financial-forecast-doesnt-match-cuomos-dire-salt-predictions/ …,1129132483398766595,2019-05-16,21:12:16,repkevinbrady,4,11,18
"Cuomo Fact Checked on @GOPTaxCuts: ""Mostly False"". 

 https://www.politifact.com/new-york/statements/2019/apr/17/andrew-cuomo/cuomo-claims-tax-change-bad-ny/ … via @NYPolitiFact",1129132048654970881,2019-05-16,21:10:33,repkevinbrady,3,5,10
"Proud to join my colleagues in introducing this bipartisan bill to make sure our communities get the funds they need to recover from disasters, ASAP. https://twitter.com/RepFletcher/status/1129022676910190592 …",1129025715989602304,2019-05-16,14:08:01,repkevinbrady,1,9,19
"That’s why I just signed the discharge petition to force a vote on legislation to counter the toxic BDS movement. #IStandWithIsrael 
Important oped from @senatemajldr @GOPLeader to read ⬇️ https://www.washingtonpost.com/opinions/mitch-mcconnell-and-kevin-mccarthy-the-house-must-stand-against-the-toxic-bds-movement/2019/05/14/413e24ee-75bc-11e9-bd25-c989555e7766_story.html?noredirect=on&utm_term=.2dcc09d800e8 …",1128727685021278208,2019-05-15,18:23:45,repkevinbrady,13,16,41
"The recent anti-Semitic and anti-Israel rhetoric coming from some of my Democratic colleagues is not just hateful – it’s inexcusable. As members of Congress, we have a duty to stand against this type of hate, and fight for what is right.",1128726685736685569,2019-05-15,18:19:47,repkevinbrady,64,59,208
"The key to successfully tackling climate change is American innovation.

Innovation is what made America the global energy leader, and is what will make us the driving force behind clean and affordable energy as a realistic, practical solution to greenhouse gas emissions. https://twitter.com/WaysandMeansGOP/status/1128674146907504640 …",1128675202529935360,2019-05-15,14:55:12,repkevinbrady,23,13,34
Great time this morning speaking to @NAFB about our booming economy and how important #USMCA is to the Texas agricultural community. pic.twitter.com/QiakcbNFkV,1128653119510994947,2019-05-15,13:27:27,repkevinbrady,2,5,14
Too true. pic.twitter.com/ZYShqvheTL,1128357726965383169,2019-05-14,17:53:40,repkevinbrady,12,8,28
Middle class was anything but left behind by Trump tax reform   https://fxn.ws/2E7w5ke  #FoxBusiness,1128352389575192576,2019-05-14,17:32:28,repkevinbrady,58,45,127
"Three things you can do when you earn a dollar:
1) Spend it
2) Save it
3) Invest it. (Great for you & U.S. economy)

Cap gains rates are lower to encourage more investment.
Raising rates slows growth, jobs,economy.

#Growth https://twitter.com/taxfoundation/status/1126920092451778560 …",1126925011284107264,2019-05-10,19:00:34,repkevinbrady,22,10,24
Join me in praying for Kaleo and his parents as he battles neuroblastoma. He’s a fighter! #KaleoStrong pic.twitter.com/2ztLJSpMZ2,1126916555256815617,2019-05-10,18:26:58,repkevinbrady,3,9,37
"As flooding continues at home, am introducing House bill w/@TXRandy14 to force HUD to release within 60 days disaster relief funding approved by Congress last Feb for Hurricane Harvey recovery.  
Sec. Carson pledged  $$ released by May 1. We appreciate.
We need the help ASAP. pic.twitter.com/4gIH6w3SW2",1126910602243342336,2019-05-10,18:03:19,repkevinbrady,6,9,9
"FAIL. AGAIN.
Last year #HouseDemocrats voted down critical disaster relief many times. Today they force thru highly partisan bill w/no #GOP input, no hope of Senate approval. 

These communities need help. 
Why not WORK TOGETHER on aid bill that can actually become law? 

#ASAP pic.twitter.com/kc3A5UqPA7",1126899223851671553,2019-05-10,17:18:06,repkevinbrady,24,24,21
Update - Defeated 215-189 by #HouseDemocrats. Disappointing. Those kids deserve help.,1126888249962782722,2019-05-10,16:34:30,repkevinbrady,3,2,3
"@GOPHouse offering motion to give emergency $$ to provide all Unaccompanied Alien Children at border w/critical child welfare services, including shelter, food & care. This is real crisis at border.",1126883916131065862,2019-05-10,16:17:16,repkevinbrady,2,2,6
"THIS DOESN'T HAPPEN WITH SOCIALISM
Millennials had gain of over 1,700%. 
Ave 401(k) savings of $7,000 in 2009 now worth nearly $130,000.

#BrighterFuture https://cnb.cx/2VtXuYn ",1126869872795951106,2019-05-10,15:21:28,repkevinbrady,199,335,785
"This is a deceitful claim. 

Since 2014 a change to make kids taxes simpler was vetted by Democrats, Republicans, experts & Joint Tax - yet this honest unintended consequence wasn't caught.

BOTH parties now working together to help Gold Star families. 
Why make it political?",1126862541454487553,2019-05-10,14:52:20,repkevinbrady,2,2,4
"America is out of the mainstream. 

Worldwide only 6% of countries allow elective abortion after the first trimester. 
Only 3 percent allow it after viability - 22 weeks.

We find ourselves the company of notorious human rights violators like China and North Korea.  

#Life",1126842471848271873,2019-05-10,13:32:35,repkevinbrady,6,5,23
"Proud to co-write w/ Dr. Ingrid Skop - ob/gyn of San Antonio. 

Late-term abortions far more dangerous to the mother than early.  
Risk of death from abortion increases 38%  for each week beyond 8 weeks.
76 times higher after pregnancy reaches viability. https://thehill.com/blogs/congress-blog/healthcare/442942-house-leadership-has-a-duty-to-take-up-the-born-alive?rnd=1557422322 …",1126842471227564033,2019-05-10,13:32:35,repkevinbrady,3,6,27
"The BDS movement wages economic war against our friend Israel & people of Jewish faith.

Sadly, every Democrat refused to stand for Israel, refused to denounce anti-Semitic/anti-Israel attacks.

This used to have bipartisan support. No more. 
#Democrats proudly anti-Israel. https://twitter.com/HouseGOP/status/1126600132114505728 …",1126664311479394305,2019-05-10,01:44:38,repkevinbrady,86,57,118
"Whether #prolife or pro-choice, we should be able to agree that if a baby survives an abortion, they deserve the same attention and life-saving medical care that any other child would receive after birth. #endinfanticide
#BornAliveAct
 https://thehill.com/blogs/congress-blog/healthcare/442942-house-leadership-has-a-duty-to-take-up-the-born-alive?rnd=1557422322 … pic.twitter.com/jMzWJiQNWZ",1126564806708944897,2019-05-09,19:09:15,repkevinbrady,116,171,496
"Democrats @WaysandMeans urge hiring of 1,600 more IRS enforcement agents to unleash on American taxpayers.  But would close less than 1% of “tax gap”.  #Ineffective #Intrusive",1126504753100251137,2019-05-09,15:10:37,repkevinbrady,9,6,20
"To close $450b “tax gap” at IRS some in DC urge more agents, more audits & more intrusion into the lives of taxpayers.  @WaysandMeansGOP  disagree. Solution: smarter audits, better customer service, keep simplifying tax code. @GOPHouse pic.twitter.com/DQ7xrDdXdH",1126491988080177152,2019-05-09,14:19:53,repkevinbrady,16,23,35
"WARNING - MORE SHAM VOTES AHEAD

Today #HouseDemocrats bill titled ""Protecting Pre-Existing Conditions"" is a SHAM. 
Nothing to do w/Pre-X. 

Blocks states from helping workers/families trapped in ObamaCare get lower costs, more choices while protecting Pre-X.  

#SHAMeful pic.twitter.com/tyBvq8U9ok",1126484653454569472,2019-05-09,13:50:45,repkevinbrady,27,36,45
"Great job, #Kats! https://twitter.com/SamHoustonState/status/1126209407354843139 …",1126308305960353793,2019-05-09,02:10:00,repkevinbrady,0,4,11
Great meeting with the @HFRRF1 today. Addressing the WEP continues to be a top priority and I’m committed to working in a bipartisan manner on this issue. We all agree that Houston firefighters and everyone affected by the WEP have waited long enough. pic.twitter.com/g9d4wsbRsf,1125899385815085058,2019-05-07,23:05:06,repkevinbrady,2,2,12
Happy National #SmallBusinessWeek to the 30 million small businesses that are the backbone of our economy and our communities!,1125418110322917376,2019-05-06,15:12:41,repkevinbrady,17,40,109
"THEN & NOW

Dec 4, 2017
- Tax cuts “Armageddon” for U.S., says @SpeakerPelosi. 

May 3, 2019
- Jobs surge in April
- Lowest unemployment in generation
- Hispanic American unemployment lowest on record. pic.twitter.com/MsXDehIVmq",1124359529691537408,2019-05-03,17:06:16,repkevinbrady,22,37,63
Unemployment is the lowest in a generation - more great news for our economy thanks to Republican led efforts like #GOPTaxCuts https://twitter.com/WaysandMeansGOP/status/1124316072646254592 …,1124317436134686720,2019-05-03,14:19:00,repkevinbrady,25,15,66
“There’s no law that says this has to stop”. https://www.chicagotribune.com/news/opinion/editorials/ct-edit-economy-trump-gdp-growth-unemployment-20190428-story.html …,1123910780372553731,2019-05-02,11:23:05,repkevinbrady,4,10,28
