tweet,id,date,time,username,replies_count,retweets_count,likes_count
"This #VietnamWarVeteransDay we honor the 3 million+ who served during the Vietnam War and the 58,000 Americans who lost their lives.

To our Vietnam veterans, thank you for your service and welcome home. pic.twitter.com/tDF6fJHaxV",1111670954290307072,2019-03-29,16:46:24,repkimschrier,23,2,11
Thank you to Terri for my new cover photo! pic.twitter.com/6HJQXyq6Eh,1111633306892881923,2019-03-29,14:16:48,repkimschrier,1,0,4
Thanks for coming by! Great to learn about how we can be better supporting college and post-graduate students. https://twitter.com/UWGOV/status/1111323339405094912 …,1111624177918849029,2019-03-29,13:40:31,repkimschrier,1,3,15
There was a small glitch. It's fixed now so you should be able to RSVP!,1111377744586129408,2019-03-28,21:21:17,repkimschrier,0,0,1
"Looking forward to my next Town Hall, this time in Auburn:  https://www.eventbrite.com/e/rep-kim-schrier-auburn-town-hall-tickets-59409179455 … pic.twitter.com/hOwbynDIVB",1111353109870190593,2019-03-28,19:43:23,repkimschrier,3,2,9
I'm proud to vote for the #PaycheckFairnessAct. #EqualPay would cut the poverty rate in half. It's the right thing to do.,1111019079807184897,2019-03-27,21:36:05,repkimschrier,0,0,17
"As a proud member of the @LGBTEqCaucus, I will do everything I can to make sure transgender people #WontBeErased by violence, fear or prejudice. I am committed to safety and equality for all. #TransVisibilityWeek pic.twitter.com/eB9nihPsaI",1110928104892047360,2019-03-27,15:34:34,repkimschrier,180,37,176
"Attempts to dismantle the #ACA & threats of taking away care for people like me with pre-existing conditions has led to uncertainty. And as a doctor, I know that families are very concerned about health care costs. It's long overdue to #ProtectOurCare",1110661029309177856,2019-03-26,21:53:19,repkimschrier,6,10,38
Spoke on the floor this afternoon to honor #Kittitas Officer Chavez & the late Deputy Sheriff Thompson. We will be forever grateful for their service to our community. pic.twitter.com/tUMU49twN3,1110638774420234241,2019-03-26,20:24:53,repkimschrier,1,0,11
Thank you to Col. Tim Holman for presenting me with the @USArmy Seal for my office! I enjoyed learning all of the different aspects that make up the Seal. pic.twitter.com/B0nW5fqxP5,1110598825884958720,2019-03-26,17:46:08,repkimschrier,3,1,8
Glad that Mueller has completed his work investigating the actions of the President and his associates. The American people have a right to see the full report and findings. I hope the #MuellerReport is released soon.,1110184424635805698,2019-03-25,14:19:27,repkimschrier,8,5,28
"9 years ago today, the #ACA was signed into law. It guaranteed me and over 3 million Washingtonians access to #healthcare even with pre-existing conditions. In building on this legacy, we will keep fighting to bring down costs and increase access.",1109601098736824320,2019-03-23,23:41:31,repkimschrier,6,27,91
"Great meeting with King County Mayors. We talked about transportation and infrastructure, local funding needs, and social media impacts on teen mental health. Hopefully the first of many! pic.twitter.com/d8d7aOXmCQ",1109457908826337280,2019-03-23,14:12:32,repkimschrier,2,1,9
Calling all #WA08 high school artists! I look forward to seeing all of your submissions. Learn more here:  https://schrier.house.gov/services/art-competition … pic.twitter.com/C5x7L45X6p,1108740172731027457,2019-03-21,14:40:31,repkimschrier,1,0,1
Thanks for all you do! Great to learn more about how you’re supporting kids to make sure every one has an opportunity to succeed. https://twitter.com/PSESD/status/1108420284510437378 …,1108463934254866436,2019-03-20,20:22:50,repkimschrier,1,2,10
Sending my deepest condolences to the families of the Deputy and Police Officer. And wishing the Officer a swift and easy recovery. Thank you to the brave citizens who put their lives on the line every day to protect us. https://twitter.com/KCSheriffOffice/status/1108236767017078784 …,1108371347791626240,2019-03-20,14:14:56,repkimschrier,2,4,13
So great to see a packed house last night for the interfaith vigil & anti-Islamophobia teach-in in Redmond. None of us is safe until all of us are safe from this evil #Christchurch pic.twitter.com/pVsyRX1045,1108038828835651585,2019-03-19,16:13:37,repkimschrier,7,8,27
"Sam, David and I had a fun and informative tour of the Northwest Trek Wildlife Park. pic.twitter.com/svh1VO6nb7",1107729361904513027,2019-03-18,19:43:55,repkimschrier,1,0,16
Learned a lot during tours of @SeaTacAirport & Port of Seattle. Lots going on and it sounds like a lot more to come! pic.twitter.com/d5DoIT1tK1,1107670152424902656,2019-03-18,15:48:38,repkimschrier,2,2,17
"Heartbreaking news out of New Zealand. None of us is safe as long as this epidemic of violent, hateful extremism exists. We must condemn it & those who inspire this white supremacist rhetoric at every turn. Sending condolences and prayers. Salaam Alaikum",1106589268309393408,2019-03-15,16:13:35,repkimschrier,2,13,42
So nice to see @HRC this morning to talk about the importance of the #EqualityAct! Thanks for coming by. pic.twitter.com/4YpYWODYGY,1106215743673257990,2019-03-14,15:29:20,repkimschrier,3,5,27
No #LGBTQ person should be fired from their job or evicted just because of who they are. That is unacceptable and shouldn't be who we are as a country. Let's pass the #EqualityAct now! pic.twitter.com/ZnBAsOuHPs,1105933277557387265,2019-03-13,20:46:55,repkimschrier,1,2,20
Great to meet with @PPVNH on our shared values. #ProtectX pic.twitter.com/EaSmWlLOQh,1105875997822472198,2019-03-13,16:59:18,repkimschrier,0,2,8
Happy 107th Birthday @girlscouts! Thank you for all of the leadership skills you’ve given me and other members. Here’s a special present for you: pic.twitter.com/85aHb7nNnN,1105564112153706499,2019-03-12,20:19:59,repkimschrier,1,4,27
Proud to be a member of the largest LGBT Equality caucus to date! With this diverse new class we’ll keep making progress and fighting for equal rights for the LGBTQ community. 🏳️‍🌈 https://twitter.com/LGBTEqCaucus/status/1105178277801545728 …,1105513406956818435,2019-03-12,16:58:30,repkimschrier,3,8,53
"Met with the Snoqualmie Tribe at the beautiful, sacred Snoqualmie Falls. Listened to their concerns and discussed how we can best work together. pic.twitter.com/nYmslSb7WS",1105170514954326018,2019-03-11,18:15:58,repkimschrier,0,6,26
"When scared parents are searching the internet about how to best protect their young children, websites like the @CDCgov’s should be the first results, not hoax videos. We must do more with fact-based #vaccines info. Read my full op-ed here: https://thehill.com/blogs/congress-blog/healthcare/433208-more-stringent-immunization-requirements-combating-bad …",1104137311003074560,2019-03-08,21:50:23,repkimschrier,0,15,35
"Thrilled to join my colleagues to pass #HR1 today! We are putting the government back in the hands of the American people, where it has always belonged.",1104071809618624512,2019-03-08,17:30:06,repkimschrier,4,11,64
"Nice to meet you this week, Dorothy! Glad to be working with you on our common goal of eliminating child hunger. https://twitter.com/nokidhungry/status/1104050151986028544 …",1104054711873867780,2019-03-08,16:22:10,repkimschrier,0,1,14
"Leaders. Trailblazers. Artists. Politicians. Moms. Today and every day, we honor the women who have changed our lives and paved the way for us. #IWD2019 pic.twitter.com/mltLVcjIpq",1104053600404336640,2019-03-08,16:17:45,repkimschrier,1,5,15
"Professionals who are trained and ready are imperative to survivor support. #VAWA-funded grantees trained 11,519 sexual assault nurse and forensic examiners, 89,937 law enforcement officers, and 18,404 court personnel. Let’s reauthorize #VAWA",1103790822049398786,2019-03-07,22:53:34,repkimschrier,0,6,9
Had important art installed in my D.C. office today: my son Sam’s #lego U.S. Capitol! pic.twitter.com/Ul3XUG4ttO – at Longworth House Office Building,1103417668235915264,2019-03-06,22:10:47,repkimschrier,3,7,79
"As a pediatrician, I took an oath to “first do no harm.” I have talked w/ parents about vaccinating their kids & understand the fear of making a wrong decision. Study after study has demonstrated the safety & efficacy of immunizations. #Vaccines save lives. https://twitter.com/NBCNews/status/1102939608961159173 …",1103344823401095168,2019-03-06,17:21:19,repkimschrier,5,30,104
"Headed back to DC. Looking forward to voting for #HR1 this week, which will get big money out of politics, modernize & secure our elections, and make sure public servants are actually serving the public. Let's get this done!",1103041009959792642,2019-03-05,21:14:04,repkimschrier,9,9,54
Definitely a step in the right direction! https://twitter.com/RepChuyGarcia/status/1103025760732921858 …,1103035569813315584,2019-03-05,20:52:27,repkimschrier,1,3,15
"This #WomensHistoryMonth I am proud to follow in the footsteps of the women who came before me. And continue to work with the record-breaking 131 women in Congress to fight for issues related to women, families, and equality. @HouseDemWomen",1102657130484641794,2019-03-04,19:48:40,repkimschrier,3,5,27
Sam and I are reading Schooled by Gordon Korman to celebrate #readacrossamerica! @EdLaborCmte pic.twitter.com/tbK7CcfvAS,1101891607236960256,2019-03-02,17:06:45,repkimschrier,1,3,34
