tweet,id,date,time,username,replies_count,retweets_count,likes_count
@SLIAC champs. NCAA tournament bound! Good luck @EurekaRedDevils and @coachwilde! https://twitter.com/EurekaRedDevils/status/1101173125385990144 …,1101173871292624903,2019-02-28,17:34:44,replahood,1,3,5
We discussed ways Congress can continue to support the work being done by our @IL_Natl_Guard and the @the182AW. I am grateful for their leadership and I will continue to be an advocate in Washington for the great work they do protecting our country.,1101155644672040962,2019-02-28,16:22:18,replahood,0,0,8
"I had the pleasure of joining @RepCheri, the 40th Adjutant General of the @IL_Natl_Guard, Richard Neely, Assistant Adjutant Air General Peter Nezamis and Colonel Daniel McDonough of the @the182AW for the @NGAUS1878 C-130 Hercules Breakfast. pic.twitter.com/bOLPFWQNqh",1101155403549863936,2019-02-28,16:21:21,replahood,3,3,20
"At the @WaysandMeansGOP hearing with the @USTradeRep, I discussed the importance of getting an enforceable trade agreement with China that ensures our corn, soybean, and pork producers in Illinois have open markets to sell their products. Watch below ⬇️ https://youtu.be/ylyXIkE9FIQ ",1100887069222727681,2019-02-27,22:35:05,replahood,4,5,5
STARTING NOW: @WaysandMeansGOP hearing with U.S. Trade Ambassador Robert Lighthizer on trade with China. I look forward to discussing the importance of trade to #IL18. Watch live below.  https://www.youtube.com/watch?v=v8SmI8-ax-s …,1100775052662972416,2019-02-27,15:09:58,replahood,5,2,6
Disappointed that the Senate failed to pass a bill that would simply require doctors to provide medical care to infants born during a botched abortion. It's shameful that Democrats can't stand up against infanticide and give every child a chance at life. https://www.nationalreview.com/corner/born-alive-bill-fails-to-pass-senate-vote/ …,1100468075147743235,2019-02-26,18:50:09,replahood,24,18,44
"Thanks for the opportunity to sit down and discuss a number of important issues, Derek. Great new space at the @Pantagraph, too. https://twitter.com/pg_beigh/status/1100104401346273281 …",1100110852529766401,2019-02-25,19:10:40,replahood,2,0,7
Congrats to the @EurekaRedDevils on clinching their FIRST-EVER SLIAC Title and NCAA Tournament berth! Central IL will be cheering you on in the tourney. Go Red Devils! @EurekaCollege #d3hoops https://twitter.com/EurekaRedDevils/status/1099745042351247360 …,1100038593110790145,2019-02-25,14:23:32,replahood,2,12,57
Pleased to see this step taken by the President. Tariffs have hurt our farmers in central Illinois and it’s important the dialogue between us and the Chinese continue without escalated tensions so an agreement can be reached and trade markets opened. https://twitter.com/CNBC/status/1099805589423689728 …,1099817904374272002,2019-02-24,23:46:36,replahood,8,10,33
LaHood hopeful trade dispute with China nearing an end via @WhigNews https://www.whig.com/20190222/lahood-hopeful-trade-dispute-with-china-nearing-an-end# …,1099730683533045760,2019-02-24,18:00:01,replahood,4,2,7
