tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Today, lets focus on what brings us together. I’m thankful to live in a country where we all have the freedom to live as we please, and I’m forever grateful for those who have fought to make that a reality. From my family to yours, I hope you all have a very Merry Christmas! pic.twitter.com/FA0xdHw0o1",1077566262224568322,2018-12-25,14:06:31,replamalfa,8,2,16
"(3/3) I’m very disappointed that some of my Democrat colleagues in the Senate have blocked an agreement thus far, but we will continue this fight to ensure the relief from disasters is reliable and our sovereign borders are protected.",1076288309951901696,2018-12-22,01:28:24,replamalfa,52,10,45
"(2/3) Remember - most of the government has already been funded through the year, & a government shutdown won’t affect our parks, TSA, or the FEMA employees currently assisting with disasters in Butte & Shasta counties & the hurricane-affected states elsewhere in the country.",1076288308748136449,2018-12-22,01:28:23,replamalfa,10,10,34
"(1/3) While it appears the Senate won’t pass a funding bill tonight, I’m proud that the House has stayed here to fight for disaster funding and security at our southern border. It’s worth the fight.",1076288306772627458,2018-12-22,01:28:23,replamalfa,92,71,313
"I commend Republican leadership for adding to the funding bill much-needed disaster relief for the west coast & south, as well as the border security measure demanded by most Americans. I'm pleased with our efforts in the House - I hope the Senate now has the guts to do the same. pic.twitter.com/kbDXbcVU6I",1076158493370077184,2018-12-21,16:52:33,replamalfa,26,10,39
"Tonight, the House voted for improved border security and disaster relief funding - and to keep the government operating. I hope my colleagues in the Senate will do the same. https://twitter.com/cspan/status/1075918690456141829 …",1075929017402970112,2018-12-21,01:40:42,replamalfa,22,8,17
WATCH: House debates important border security and disaster assistance measures recently added to the government funding bill.  https://www.c-span.org/video/?456178-2/us-house-debates-government-funding-shutdown-looms&live= …,1075905417178464256,2018-12-21,00:06:55,replamalfa,7,2,5
"The importance of this #FarmBill should not be understated. North State farmers, ranchers, and Ag producers help feed and clothe the entire nation. Thank you, President Trump, for signing into law this important legislation to protect the interests of the U.S. Ag industry. https://twitter.com/WhiteHouse/status/1075864418259484673 …",1075877728883261440,2018-12-20,22:16:54,replamalfa,7,3,5
Today I attended a #CampFire debris removal meeting at the Veterans Memorial Hall in Chico. We’re working with @fema and Cal-OES to expedite removal and get people back on their property as quickly as possible. pic.twitter.com/tKkdg7JhLH,1075126892867522562,2018-12-18,20:33:20,replamalfa,1,0,2
"Thank you, @SpeakerRyan, for your leadership in crafting, passing, and enacting once in a generation #TaxReform that has set our nation on a better course. https://twitter.com/SpeakerRyan/status/1075019741511716869 …",1075123320302026754,2018-12-18,20:19:09,replamalfa,54,12,60
