tweet,id,date,time,username,replies_count,retweets_count,likes_count
The extreme cold rolling through the country is not to be taken lightly. Please prepare and make sure you are being proactive to protect you and your family. pic.twitter.com/nIC00ghP23,1090426976970702848,2019-01-30,01:50:25,replarrybucshon,2,3,7
"If Senator Harris and Washington Democrats get their way and complete this total government takeover of health care, your access to treatment will be solely at the mercy of Washington bureaucrats.",1090344759779045382,2019-01-29,20:23:43,replarrybucshon,4,2,3
It will also eliminate the health care for millions of Americans – including 158 million Americans who get their coverage through their employer.,1090344758877306883,2019-01-29,20:23:42,replarrybucshon,1,1,3
" https://www.realclearpolitics.com/video/2019/01/29/kamala_harris_on_private_health_insurance_market_eliminate_all_of_that_lets_move_on.html … Medicare for All will end Medicare as we know it, leaving the health care of millions of seniors in jeopardy.",1090344758109790208,2019-01-29,20:23:42,replarrybucshon,6,2,3
"If Speaker Pelosi really believes what she told Congress and the American people last year when she said, ‘As Members of Congress, we have a moral responsibility to act now to protect DREAMers,’ then she would put forth the President’s proposal for a vote in the House tomorrow.",1088532708282851328,2019-01-24,20:23:16,replarrybucshon,7,1,5
"and it also contained a legislative solution to provide legal protection for 700,00 DACA recipients and 300,000 Temporary Protected Status recipients sought by Democrats in Congress.",1088532707645292544,2019-01-24,20:23:16,replarrybucshon,1,0,3
"It contains $5.7 billion for additional personnel and a physical barrier to secure our southern border sought by President Trump and Republicans in Congress,",1088532706928005121,2019-01-24,20:23:15,replarrybucshon,3,0,3
"This week, President Trump proposed a commonsense proposal to secure our border and end this needless government shutdown.",1088532706391220224,2019-01-24,20:23:15,replarrybucshon,3,0,0
"During this speech, she said ‘there is nothing partisan or political about protecting DREAMers.’ However, with the Speaker’s gavel back in hand, she has seemingly changed her mind, putting her political agenda before the DREAMers she so passionately urged the Congress to protect.",1088532705535508480,2019-01-24,20:23:15,replarrybucshon,2,0,1
"Almost a year ago, Speaker Pelosi spoke on the House floor for more than eight hours about the importance of bringing a legislative solution for recipients of the  Deferred Action for Child Arrivals (DACA) program. 
 https://bucshon.house.gov/news/documentsingle.aspx?DocumentID=1137 … pic.twitter.com/lxvdbuJ4cR",1088532701110509568,2019-01-24,20:23:14,replarrybucshon,3,0,1
"Enough is enough. Democrats must come to the table, put forth legislation that the President will sign and end this politically charged shutdown.",1088183128919822336,2019-01-23,21:14:10,replarrybucshon,9,1,7
Democrats are once again standing between federal employees on furlough as well as those that continue to show up for work each day and their paychecks.,1088183128206860288,2019-01-23,21:14:09,replarrybucshon,1,1,6
I just voted to pay all federal employees that have been furloughed and those that have continued to work without pay throughout the duration of this partial government shutdown that started on December 22. Democrats in the House blocked it.,1088183127099535361,2019-01-23,21:14:09,replarrybucshon,11,3,11
"Today at the University of Southern Indiana’s annual MLK Day luncheon in Evansville. Pictured with Mayor Lloyd Winneke, his wife Carol McClintock and USI President Ronald Rochon. pic.twitter.com/1QdBrWczaa",1087480882867384326,2019-01-21,22:43:41,replarrybucshon,3,0,7
"This bill will help create more clean, American-made energy and jobs while also preserving environmental standards.",1087396834983710720,2019-01-21,17:09:42,replarrybucshon,2,0,3
"Prior to my bill becoming law, many projects never even got off the drawing board because it could take over a decade of navigating the federal permitting process before a project could even begin.",1087396833905856512,2019-01-21,17:09:42,replarrybucshon,2,0,2
Last Congress I authored a bill that was signed into law by President Trump expediting the process to turn existing dams into hydro-powered dams.,1087396832714653702,2019-01-21,17:09:42,replarrybucshon,2,0,3
#ICYMI: https://www.courierpress.com/story/news/local/2019/01/20/renewable-energy-hydroelectric-dams-larry-buschon/2583060002/ …,1087396830223192064,2019-01-21,17:09:41,replarrybucshon,2,2,3
"President Trump outlined today a common sense, reasonable offer to end the shutdown. This includes investment in border security to end the border crisis and addresses DACA and TPS. These are programs which Dems have said are priorities to them. Dems stop playing 2020 politics.",1086761511085920256,2019-01-19,23:05:09,replarrybucshon,26,4,33
"I urge the Democrats to end the political gamesmanship and to stop holding the government hostage, come to the table to secure our nation, and pass a bill that the Senate and President Trump will sign.",1085980527138693121,2019-01-17,19:21:48,replarrybucshon,11,2,9
