tweet,id,date,time,username,replies_count,retweets_count,likes_count
"It is more obvious every day that this Administration has no regard for the future of our planet. Let me be clear: as a member of @EnergyCommerce, I will continue to ensure Congress passes legislation to address climate change and protect our environment. https://www.washingtonpost.com/climate-environment/2019/08/29/trump-administration-reverse-limits-methane-powerful-greenhouse-gas/ …",1167110652873367552,2019-08-29,16:23:58,replbr,9,4,24
"Happy #NationalDogDay to my own Roxy, and all the other furry companions out there! pic.twitter.com/XacoL7zQth",1166030418698809344,2019-08-26,16:51:30,replbr,5,5,20
"A majority of Americans support equal pay regardless of gender, race, ethnicity, and socioeconomic level. It's time to eliminate the pay gap. #EqualPayEqualWork",1164603430230470656,2019-08-22,18:21:09,replbr,6,1,12
"Today marks #BlackWomensEqualPay Day - or the date in the new year when Black women FINALLY earn what white, non-Hispanic men made last year alone. pic.twitter.com/nLuuG14j23",1164603306674724864,2019-08-22,18:20:40,replbr,3,4,11
Title X is THE family planning program our country relies upon & @PPFA serves 40% of its patients. I’ll continue to stand up to this administration’s attacks on our health care. #StandWithPP #ProtectX,1163544878095175681,2019-08-19,20:14:51,replbr,1,5,23
"The Trump Administration just forced @PPFA out of the Title X program, putting the reproductive health of 1.6 million Americans at risk.",1163544877184929792,2019-08-19,20:14:50,replbr,4,4,9
Israel’s decision to deny entry to @RepRashida & @Ilhan only undermines the U.S.- Israel relationship. The decision is wrong and should be reversed immediately.,1162057001041575936,2019-08-15,17:42:33,replbr,5,5,30
"Having visited Israel myself, it is my belief that every Member of Congress should be afforded that same opportunity as we seek to find peace in the Middle East. https://twitter.com/nytimes/status/1162023707088306176 …",1162056999409979402,2019-08-15,17:42:33,replbr,2,8,21
Grateful to the brave police officers wounded in this afternoon’s shooting in Philadelphia and to those who rescued hostages. Wishing them a full and speedy recovery and that the perpetrator is caught and brought to justice. #PhiladelphiaShooting,1161833821752451072,2019-08-15,02:55:43,replbr,1,4,32
Getting ready to kick off our Diabetes Roundtable @christianacare with health advocates from across the state! pic.twitter.com/yK9iMJc8kY,1161353139825598464,2019-08-13,19:05:40,replbr,0,1,11
BREAKING: the Trump administration just finalized regulations to eviscerate the Endangered Species Act-- our most effective law for protecting wildlife in danger of extinction. RT if you are outraged by the #TrumpExtinctionPlan. @SecBernhardt #StopExtinction https://twitter.com/nytimes/status/1160931874245623809 …,1160942675140456449,2019-08-12,15:54:37,replbr,9,35,26
"Climate change isn’t some far-off, distant threat – it’s happening now. Which means that we need to change our behavior now. While our governments must act immediately, each of us can make more sustainable lifestyle choices. https://www.nytimes.com/2019/08/08/climate/climate-change-food-supply.html?action=click&module=Top%20Stories&pgtype=Homepage …",1159554940119015426,2019-08-08,20:00:15,replbr,2,3,17
"Wow! What a great first Congressional Conversation. Thank you, Wilmington! It continues to be my honor and privilege to serve you in the House. 

Kent & Sussex, I'll see you soon! pic.twitter.com/fayVVPHK8x",1159278610659909632,2019-08-08,01:42:13,replbr,1,4,29
What a pleasure it was to join the @MillSummit & have the chance to introduce @Kechi. She and all the Millennials here inspire me and leave me certain that our future is bright! pic.twitter.com/MZ87oH83o1,1158785473239834624,2019-08-06,17:02:40,replbr,0,2,7
Getting ready to head on-stage at the @MillSummit! pic.twitter.com/ixFqLhRrPY,1158780882934779904,2019-08-06,16:44:26,replbr,1,0,10
"She was an icon, a Pulitzer Prize winner, a Nobel Laureate, and a singular and essential voice in our American story. Rest In Peace “beloved” Toni Morrison. We will carry your words with us forever. https://www.nbcnews.com/news/amp/ncna1039556 …",1158765091514441742,2019-08-06,15:41:41,replbr,0,4,16
"While we work to address the national crisis of mass shootings, we must also continue to fight the epidemic of gun violence in our own neighborhoods.",1157791902521053190,2019-08-03,23:14:34,replbr,0,6,29
"It is hard to even know what to say after this latest mass shooting. While we send thoughts and prayers to the families of El Paso and the the first responders, they alone feel insufficient. On so many levels, it is time to act. https://www.google.com/amp/s/www.nbcnews.com/news/amp/ncna1039001 …",1157791900822319104,2019-08-03,23:14:34,replbr,3,10,43
"It is my hope that the marker is returned to New Castle County quickly, and that our community continue to embark upon the hard work of healing.

If you have any information about the missing marker, please contact Detective Elwood at 302-395-2761 or Daniel.Elwood@newcastlede.gov",1157394084044169225,2019-08-02,20:53:47,replbr,1,4,10
"A little over a month ago, I stood with community leaders to unveil the historical marker of George White’s lynching. Today’s theft of that marker is a reminder that facing our country’s history is still relevant. https://www.delawareonline.com/story/news/2019/08/02/historical-marker-remembering-1903-lynching-george-white-stolen/1903555001/ …",1157394082936840193,2019-08-02,20:53:47,replbr,2,23,32
"ICYMI: Next Wednesday I'm hosting the first of three Congressional Conversations! Register below⬇️
 https://www.facebook.com/events/475466503277182/ …",1157321750834810881,2019-08-02,16:06:22,replbr,0,0,3
"📢We're looking for interns!📢

If you're interested in applying to be a fall intern in my Wilmington Office, send in your resume and cover letter to LBR.Internship@mail.house.gov by August 16th. pic.twitter.com/75WfBuCIb1",1156950723738918912,2019-08-01,15:32:02,replbr,1,3,7
