tweet,id,date,time,username,replies_count,retweets_count,likes_count
"50 years ago, today, some of the first and most consequential steps in a long march toward equality were taken at the Stonewall Inn. It was those brave LGBTQ+ individuals who paved the way for progress. While we’ve come a long way, we still have much further to go. #Stonewall50 pic.twitter.com/Hm2WzxQiUT",1144678760576430081,2019-06-28,18:47:38,replbr,1,3,18
"It’s a nightmare for voters too. If #SCOTUS won’t step in to stop partisan gerrymandering, Congress must. It’s time for the Senate to pass H.R. 1, the For The People Act. https://twitter.com/mjs_DC/status/1144246040960393217 …",1144262690518568963,2019-06-27,15:14:19,replbr,1,11,27
"Congratulations to Delaware’s Congressional Art Competition winner, Ava! I’m inspired by your creativity and I’m proud to see that Delaware is home to so many talented students. pic.twitter.com/VkwWUQvxjv",1143565104904069127,2019-06-25,17:02:22,replbr,0,2,17
It is my hope that this marker will serve as a solemn reminder of this vile incident for generations of Delawareans to come and that our community will use this as a catalyst to fight racism and bigotry wherever they see it. https://www.delawareonline.com/story/news/2019/06/23/historical-marker-commemorating-1903-delaware-lynching-unveiled/1509164001/ …,1143143518627598336,2019-06-24,13:07:08,replbr,3,2,9
"The only way that we can learn from our past is by confronting it. The racist murder of George White is unquestionably one of our darkest chapters as a state. This weekend, I stood with members of the Delaware Legislative Black Caucus to unveil a historical marker of the murder.",1143143517377708032,2019-06-24,13:07:07,replbr,3,7,23
"I carry with me every day an image of the voting card of my great-great-great-grandfather, himself a freed slave, to remind myself how far we’ve come. Today, let us recommit ourselves to continuing that fight for equality.",1141367375675166722,2019-06-19,15:29:22,replbr,1,13,27
"154 years ago, today, the last group of slaves in the United States were set free. Juneteenth is a celebration of freedom and a reminder of our fight for true equality. pic.twitter.com/EKyfTPqaBS",1141367373787729921,2019-06-19,15:29:22,replbr,11,51,149
"In the words of Dr. King, “Darkness cannot drive out darkness, only light can do that. Hate cannot drive out hate, only love can do that.” https://www.yahoo.com/entertainment/emanuel-explores-life-tragic-church-174728091.html …",1140700609106120712,2019-06-17,19:19:53,replbr,0,4,10
"Four years ago, parishioners of the Emanuel A.M.E. Church welcomed a stranger into their sanctuary to join them in prayer. What followed was a hateful act of racism that took nine lives. Today, and every day, we must remain vigilant and commit ourselves to ending that racism.",1140700608250417152,2019-06-17,19:19:52,replbr,2,4,21
"It should be swiftly and strongly condemned by all members of Congress, regardless of party.",1139224385708052480,2019-06-13,17:33:53,replbr,5,2,8
"I carry with me, every day, a scarf emblazoned with the voting card of my great great-grandfather. It is a constant reminder of how sacred but fragile our right to vote is. @realDonaldTrump's encouragement of foreign interference is beneath the office of the Presidency.",1139224384563044352,2019-06-13,17:33:53,replbr,2,2,10
"Last night, we saw the President move beyond just degrading those norms and into the realm of encouraging foreign adversaries to interfere in our elections. Make no mistake – it is illegal for a foreign power to interfere in American elections.",1139224383157915650,2019-06-13,17:33:53,replbr,2,1,3
"We are a nation of norms and of laws. Beyond the damaging policies and regulations that this Administration continues to pursue, perhaps the most dangerous aspect of this presidency has been the degradation of our most sacred norms. https://abcnews.go.com/Politics/id-exclusive-interview-trump-listen-foreigners-offered-dirt/story?id=63669304 …",1139224382230925312,2019-06-13,17:33:53,replbr,3,6,14
It was such an honor to meet with these young Delawareans nominated to the U.S. Service Academies.  I am so grateful to be part of the nominating process and thank these young leaders for all they do to represent Delaware and our nation. Congratulations to all of you! pic.twitter.com/EslnwrH4iN,1138902869904678912,2019-06-12,20:16:18,replbr,0,1,10
"Today should also serve as a stark reminder of the consequences of gun violence. It’s long past time for the Senate to take up the common sense measures passed by the House so that, for the victims, we can #HonorThemWithAction",1138873849477574656,2019-06-12,18:20:59,replbr,1,2,9
"Today & every day we remember the 49 that lost their lives in a senseless act of hate in the #Pulse nightclub. We recommit ourselves to fighting against violence, bigotry, and hate & to standing as allies to all those in the LGBTQ+ community. #WeAreOrlando pic.twitter.com/GvcvxaymCV",1138873845165768704,2019-06-12,18:20:58,replbr,1,2,20
"The US Women’s National Team has a rich history of success and inspiration on and off the field. Whether it’s the ‘99ers, or our current defending champs, we’ve got your back and we’ll be cheering you on every step of the way! #OneNationOneTeam https://www.npr.org/2019/06/11/731577004/womens-world-cup-u-s-is-ready-excited-hungry-as-it-takes-on-thailand …",1138522137873014784,2019-06-11,19:03:25,replbr,2,1,7
"The #SaveTheNet Act:
✔️ Restores #NetNeutrality protections
✔️ Empowers the FCC to stop abusive practices online 
✔️ Promotes competition and innovation",1138475781502509057,2019-06-11,15:59:12,replbr,1,6,8
