tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Today, I voted to continue our impeachment inquiry into the President of the United States. While I take no pleasure in that vote, I took an oath to protect and defend the Constitution. No one is above the law. https://www.nytimes.com/2019/10/31/us/politics/house-impeachment-vote.html?action=click&module=Top%20Stories&pgtype=Homepage …",1189929924913709056,2019-10-31,15:39:36,replbr,22,8,79
That's why I'm proud to support legislation that reduces the cost-sharing burden on diagnostic testing so that there's no delay in diagnosis. #BreastCancerAwarenessMonth pic.twitter.com/e1IQt38rbo,1189263962912763907,2019-10-29,19:33:18,replbr,1,4,12
Did you know? Delaware has the highest rate of triple-negative breast cancer in the country. Triple-negative is the hardest to treat and disproportionately impacts women of color. #BreastCancerAwarenessMonth,1189263953186246656,2019-10-29,19:33:16,replbr,4,6,10
"That's why yesterday, along with some of my @EnergyCommerce Democratic colleagues, I wrote a letter to NHTSA asking them to tell Congress why they've been missing these deadlines and to put together a plan to make sure it doesn't continue to happen. https://bluntrochester.house.gov/news/documentsingle.aspx?DocumentID=2274 …",1189193373934129152,2019-10-29,14:52:49,replbr,2,3,8
"The National Highway Traffic Safety Administration (NHTSA) is the federal agency in charge of keeping our highways safe. Recently, however, NHTSA has been missing critical deadlines to write rules that keep our roadways safe. pic.twitter.com/DtqjeFQcxt",1189193372143144960,2019-10-29,14:52:48,replbr,1,3,6
"Tomorrow, my team will be hosting Mobile Office Hours in Georgetown. The Mobile Office Hours will be held on Tuesday, October 29th from 11:00 am to 3:00 p.m. at the Georgetown Public Library.

Register below ⬇️
 https://bluntrochester.house.gov/forms/form/?ID=18 …",1188899932167688200,2019-10-28,19:26:47,replbr,0,0,4
Hoping that all the #BlueHens are have a safe and enjoyable homecoming! #UDHC https://twitter.com/UDBlueHens/status/1188129808104001537 …,1188132788207312896,2019-10-26,16:38:25,replbr,0,4,21
"Despite the repeated attempts by this administration to sabotage the Affordable Care Act, premiums this year are set to decrease.

If you don't currently have health insurance, remember that open enrollment begins on November 1st. https://www.nytimes.com/2019/10/22/us/politics/obamacare-trump.html?action=click&module=Top%20Stories&pgtype=Homepage …",1186696679426351106,2019-10-22,17:31:50,replbr,4,8,17
"Serving Delaware in Congress has brought my joy back. Back in August, @DelawareToday joined me for a day as I visited with constituents around Delaware. 

Here’s a glimpse into my life as your representative. http://www.delawaretoday.com/delaware-today/november-2019/a-day-in-the-life-delaware-represenative-lisa-blunt-rochester/ …",1186645108181078016,2019-10-22,14:06:55,replbr,2,5,19
"She was a trailblazer and icon, the likes of which are few and far between. We will miss her tremendously and will keep Gil, and the entire Sloan family in our prayers. https://www.delawareonline.com/story/news/2019/10/19/sonia-sloan-prominent-democratic-activist-has-died/4040969002/ …",1185961512910970880,2019-10-20,16:50:33,replbr,0,2,14
Some of my many stories and memories of Sonia come from her time on the board of the Metropolitan Wilmington Urban League. She carried with her a quiet but clear strength which she used every day in further pursuit of justice and equality.,1185961509702295552,2019-10-20,16:50:32,replbr,1,1,8
It is difficult to put into words the profound impact that Sonia Sloan made on every person who was fortunate enough to spend any amount of time with her. Almost all who did have their very own Sonny story.,1185961506552332294,2019-10-20,16:50:31,replbr,1,4,22
"I was proud to vote to advance H.R. 3 – the Lower Drug Costs Now Act out of @EnergyCommerce. Right now, Americans pay two, three, sometimes 60 times more than other countries for the same prescription drugs.
 
It's time to #LowerDrugCostsNow pic.twitter.com/XTtBMtaqnG",1185232319847620609,2019-10-18,16:33:00,replbr,2,6,24
Firefighters and those in our military have served our country – now they deserve our service. I’ll continue fighting to ensure that the Department of Defense does its part to clean up military instillations and working to secure health care for those acutely exposed to PFAS. https://twitter.com/acherry13/status/1185184081606299649 …,1185216720321036288,2019-10-18,15:31:01,replbr,1,3,10
Proud to be able to lead this bill through @EnergyCommerce and looking forward to continuing to work with @RepAndyKimNJ and @RepDwightEvans to bring the bill before to the floor of the House. https://twitter.com/EnergyCommerce/status/1184980746466971648 …,1184981897237147650,2019-10-17,23:57:54,replbr,1,3,13
". @SenateGOP just voted down a measure that would have reversed the Trump Administration’s attack on our environment.
 
Climate change is a real and present danger to Delawareans – we must begin moving toward a 100% clean energy economy NOW. #ClimateActionNow https://twitter.com/SenateDems/status/1184891884398882817 …",1184913002564337664,2019-10-17,19:24:09,replbr,4,5,19
". @EnergyCommerce is marking up H.R. 3 to lower the cost of prescription drugs - but we're doing so with heavy hearts at the passing of Rep. Elijah Cummings. Today, we rededicate our efforts in his memory. pic.twitter.com/mFOvLxJIWd",1184871937169866752,2019-10-17,16:40:58,replbr,0,6,27
"”When we’re dancing with the angels, the question will be asked, in 2019, what did we do to make sure we kept our democracy intact?” #DancingWithTheAngels pic.twitter.com/bRIMnp1Qsf",1184824181495685120,2019-10-17,13:31:12,replbr,0,3,21
"It was an honor to serve with Chairman Elijah Cummings in Congress. His professionalism, intellect and steady leadership earned him the respect of his colleagues on both sides of the aisle. My thoughts and prayers are with his family and friends. https://twitter.com/nytimes/status/1184770738567417856 …",1184797458804674561,2019-10-17,11:45:01,replbr,3,11,72
Delawareans don’t need to be told that climate change is real – my constituents are experiencing it every day. It’s time for the federal government to step up to the challenge and develop a strategy to transition our economy to 100% clean energy. https://www.politico.com/news/2019/10/15/im-standing-here-in-the-middle-of-climate-change-how-usda-fails-farmers-043615 …,1184156179183886339,2019-10-15,17:16:48,replbr,4,4,26
"All-star, MVP, & now, champion. Congrats to @De11eDonne and the @WashMystics. You continue to make the First State incredibly proud.",1182476888092090368,2019-10-11,02:03:54,replbr,0,7,52
A reminder to everyone that tonight's Congressional Conversation begins at 6 p.m. at the Del Tech Owens Campus in Georgetown. The event will take place in the theater located in the Arts and Science Center. A map to the campus is below. We hope to see you there! pic.twitter.com/4IZLk3ZISv,1182315976844595200,2019-10-10,15:24:29,replbr,1,1,10
"With 14 separate regulations designed to cut the safety net out from our most vulnerable communities, President Trump is waging a #WarOnWorkingFamilies. pic.twitter.com/G5lO9P84vu",1181626367064121345,2019-10-08,17:44:14,replbr,5,5,15
Preparing our workforce for the future of our economy means creating job training programs that meet people where they are. It was a pleasure to join with @goodwillde to tour their Digital Career Accelerator. #FutureOfWork https://6abc.com/community-events/goodwill-digital-career-accelerator-training-workers-in-wilmington/5600578/ …,1181578568196923392,2019-10-08,14:34:17,replbr,2,2,6
