tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Our nation faces challenges...always will, but it is still the greatest most exceptional nation ever. Feeling blessed. 🇺🇸",1112139384483168256,2019-03-30,23:47:46,repleezeldin,80,306,1773
"Release it all...from start to finish: The Mueller report, how the Clinton probe ended, how the Trump-Russia probe began, the Page FISA applications & more. The public deserves to know the truth, the whole truth & nothing but the truth. Sunlight & accountability!",1111261772764336130,2019-03-28,13:40:27,repleezeldin,211,1797,5592
"Yesterday, I met with Dir of the NY/NJ @VeteransHealth Network Dr. Joan McInerney, Interim Dir of the @NorthportVAMC Dr. Cathy Cruise & others to discuss their efforts to improve the delivery of health care to veterans on Long Island. pic.twitter.com/M4nI8QvZ8L",1111244719303155714,2019-03-28,12:32:41,repleezeldin,9,7,50
"Great to welcome scientists & reps from national labs, including @BrookhavenLab, to the @uscapitol. As co-chair of the bipartisan National Labs Caucus, I discussed the importance of supporting these institutions & the scientists who are pioneering the future of our great nation. pic.twitter.com/3CFBj308AR",1111063269232570369,2019-03-28,00:31:40,repleezeldin,15,8,42
Sat down w/ MG Ray Shields & BG Timothy J LaBarge of the Army & Air @NationalGuardNY to discuss local priorities at Gabreski ANGB & how we can keep our NY National Guard units strong & prepared as vital components of our homeland security. pic.twitter.com/yxYheOINUx,1111037892946784256,2019-03-27,22:50:50,repleezeldin,6,7,34
 pic.twitter.com/2i54R70iOm,1110949561667911681,2019-03-27,16:59:50,repleezeldin,17,17,360
".@RepAdamSchiff, Do you have ""more than circumstantial evidence"" of Trump-Russia collusion or not, which you declared on 3/22/17? You haven't produced it, no one has seen it & Mueller couldn't find it. Stop lying to Congress, the media & American public! https://thehill.com/policy/national-security/435983-schiff-defiant-undoubtedly-there-is-collusion …",1110888760365993984,2019-03-27,12:58:14,repleezeldin,1535,6510,16614
Excited to have NJROTC Sr Instructor of the North Fork Program Major Bill Grigonis join me as my gallery guest to Sec Gen of NATO Jens Stoltenberg’s Joint Address to Congress next Wednesday. His commitment to our community & service to our nation elicits so much pride in NY-1!,1110662989785518087,2019-03-26,22:01:06,repleezeldin,11,12,89
"Time for some House cleaning

On 3/22/17 @RepAdamSchiff declared he had ""more than circumstantial evidence"" Pres Trump colluded w Russia. He hasn't produced it. I haven't seen it. Mueller couldn't find it. 

No more double standards. @DevinNunes recused himself. Your turn Schiff https://twitter.com/RepLeeZeldin/status/1109957653411913728 …",1110241728190128129,2019-03-25,18:07:09,repleezeldin,335,2086,5899
The US-Israel alliance has never had a better friend & partner serve as President of the United States. This is an excellent decision that I have been long calling for as well. https://twitter.com/politico/status/1110214987643936768 …,1110227453786669058,2019-03-25,17:10:26,repleezeldin,24,96,317
"It was an honor to swear in dozens of future soldiers in Rocky Point this past weekend before they soon depart for @USArmy & @USArmyReserve basic training. Their commitment to our great nation is inspiring & they are making Suffolk County so proud.

Good luck & GO ARMY! pic.twitter.com/I5IIAGQxN6",1110222337985708038,2019-03-25,16:50:06,repleezeldin,5,20,94
"Our legal system should never be weaponized like this ever again, our political system should never be disgraced like this ever again, and our intelligence should never be insulted like this ever again. https://twitter.com/RepLeeZeldin/status/1105951827420430337 …",1109957653411913728,2019-03-24,23:18:21,repleezeldin,332,1714,4809
NO collusion. NO obstruction. I look forward to max transparency for everything in the Mueller report & max accountability for the individuals responsible for spreading destructive disinformation trying to take down a President of the United States for crimes he didn't commit. pic.twitter.com/UY0cc3aWeA,1109957526420942848,2019-03-24,23:17:50,repleezeldin,89,117,257
Great to continue the #StPatricksDay celebrations in NY-1 today at the Hampton Bays St. Patrick’s Day Parade! A little cold couldn’t keep so many friendly faces away from this beloved annual tradition. pic.twitter.com/U3CuRNmxmZ,1109570323593261056,2019-03-23,21:39:14,repleezeldin,10,13,89
Honor to receive the Friend of the Farm Bureau Award from the @LIFarmBureau last night. Continued the convo this AM during the LI Farm Bureau’s annual “Coffee w/ the Congressman.” Farmers play a critical role in our communities & preserving our agricultural heritage is critical. pic.twitter.com/hzcwXYqqWO,1109496216721805313,2019-03-23,16:44:46,repleezeldin,14,13,67
Looking forward to reading Mueller’s report & want max transparency w/its contents. I still HAVEN’T seen any evidence @realDonaldTrump colluded w the Russians to win election. I HAVE seen much evidence of misconduct by ppl trying to take him down though along the way.,1109210825078771714,2019-03-22,21:50:43,repleezeldin,222,1882,5883
