tweet,id,date,time,username,replies_count,retweets_count,likes_count
"L'Shana Tova to all celebrating #RoshHashanah! May you be inscribed in the book of life, & be given a year ahead of good health. Wishing you a happy & sweet new year. pic.twitter.com/RCLT1Kn0wt",1178427986254684160,2019-09-29,21:55:00,repleezeldin,35,114,431
"oh boy. The girls are now teenagers. Yikes! Wishing a very Happy 13th Birthday to my two little ladies, Mikayla and Arianna! I hear it is a breeze - raising teenagers! 😅 pic.twitter.com/0iRrj9LRVs",1178323481878056960,2019-09-29,14:59:44,repleezeldin,48,39,371
"Again @RepAdamSchiff just said to @GStephanopoulos that @POTUS was insisting that Ukraine “manufacture dirt” against Joe Biden. That is 100% untrue. Schiff refuses to be honest about what was actually said. Bad faith, no credibility, and loaded w double standards.",1178320534729367554,2019-09-29,14:48:02,repleezeldin,858,4167,9972
Amazing! PETE ALONSO CRUSHES 53!! New rookie record for a really great guy. https://twitter.com/MLB/status/1178101674587705345 …,1178102894085713925,2019-09-29,00:23:12,repleezeldin,21,29,155
"This entire impeachment inquiry is a parody. Those pushing it are getting less & less serious about good faith, credibility, or the process, the more & more they rush to impeach w/out knowing the charge or the facts & evidence to support the charge. pic.twitter.com/Qv5Wzqkk6i",1178045433802891264,2019-09-28,20:34:53,repleezeldin,195,557,1455
"“Manufacture dirt”? 

Schiff’s statements aren’t parodies. 

Schiff is the parody. https://twitter.com/RepAdamSchiff/status/1177710671376592897 …",1177762574500339712,2019-09-28,01:50:54,repleezeldin,209,620,1767
"If the goal of Congressional Dems this week was to divide the country, waste time, embarrass themselves, blow off policy opportunities, master the double standard, appease their enraged activist base, & show just how unfit they are to lead...well then...mission accomplished! 👎",1177640272219508737,2019-09-27,17:44:55,repleezeldin,258,1041,3250
"What “doesn’t add up” is CNN covering for #QuidProJoe threatening to withhold $1B from Ukraine if the prosecutor of his son’s co. wasn’t fired. The investigation WAS ongoing, NOT dormant. 

Quick to shut me down. Will you be quick to correct your story? 

 https://thehill.com/opinion/campaign/463307-solomon-these-once-secret-memos-cast-doubt-on-joe-bidens-ukraine-story … https://twitter.com/OutFrontCNN/status/1176655960892411904 …",1177388007592210432,2019-09-27,01:02:30,repleezeldin,1049,3808,8371
"Great job by the Special Rapporteur on Freedom of Religion or Belief for the United Nations, issuing a report that concludes “the objectives, activities and effects of the Boycott Divestment Sanctions (BDS) movement are fundamentally antisemitic.”
 https://www.ohchr.org/Documents/Issues/Religion/A_74_47921ADV.pdf …",1177343342088208384,2019-09-26,22:05:01,repleezeldin,22,58,128
"When you don’t have facts on your side some just make it up. The opening statement by their ring leader was #FullofSchiff. House Dems blatantly lying to justify their impeachment inquiry is horribly timed, poorly written and badly intentioned.",1177255520715071488,2019-09-26,16:16:03,repleezeldin,554,2807,7352
"The “whistleblower complaint” has been released. As expected, it is hearsay without first hand knowledge & isn’t impeachable regardless. This entire scene in Congress has been a one way express ticket to crazy town.  https://intelligence.house.gov/uploadedfiles/20190812_-_whistleblower_complaint_unclass.pdf …",1177208207082758148,2019-09-26,13:08:02,repleezeldin,198,1070,2530
"Last night, the House of Representatives voted on a resolution of disapproval of this  impeachment inquiry. We can put an end to this sideshow right now, but every single Democrat voted against passing this resolution. They will all own this historic, baseless embarrassment.",1177182985256349701,2019-09-26,11:27:49,repleezeldin,339,1537,3805
"Every last House Democrat voted this evening to proceed with impeachment against the President of the United States based off of a whistleblower complaint they hadn’t read, filed by a person without firsthand knowledge, after the transcript today showed no impeachable offense.",1177051418777268224,2019-09-26,02:45:01,repleezeldin,775,3736,9904
Just read transcript of POTUS’ call w/Ukraine Pres. Absolutely ZERO grounds for impeachment and I agree w/ the President that US-Ukraine should investigate. This is absurd how Congressional Dems & many in media are trying to spin this all!,1176875760101076992,2019-09-25,15:07:01,repleezeldin,777,2201,6229
Or the same Dems not caring about their fellow Dems in Congress demanding last year that the Ukraine gov't investigate & help take down POTUS & other US political opponents? Enough w the double standards & games!  https://www.foreign.senate.gov/imo/media/doc/5-4-18%20Menendez%20joint%20letter%20to%20General%20Prosecutor%20of%20Ukraine%20on%20Mueller%20investigation.pdf …,1176702601217355776,2019-09-25,03:38:56,repleezeldin,48,103,291
How telling is it that the same Dems COULDN'T CARE LESS about VP Biden threatening the Ukranians that the US would block $1 bil in funding if the state prosecutor who investigated his son's company wasn't instantly fired? pic.twitter.com/MN3j3sRyBu,1176702598885314560,2019-09-25,03:38:56,repleezeldin,61,170,436
"It's so transparently shameful the DC swamp is demanding impeachment based on a whistleblower report that hasn’t been read, filed by a person w/out 1st hand knowledge.
@SpeakerPelosi & Congressional Dems refuse to even wait ONE day to read the transcript of the call!",1176702500637990918,2019-09-25,03:38:32,repleezeldin,152,505,1584
"Dems declaring POTUS should be impeached based on a whistleblower complaint they haven't read reportedly from a person w/ZERO 1st hand knowledge. Meanwhile, vid surfaces of VP Biden threatening Ukraine w/loss of 1 bil if prosecutor isn't fired & these same Dems could care less. pic.twitter.com/cWXGMZLoqf",1176309789657317377,2019-09-24,01:38:03,repleezeldin,988,4787,9314
s.t.i.l.l......w.a.i.t.i.n.g............. 🦗 🦗 https://twitter.com/RepLeeZeldin/status/1110888760365993984 …,1175130557396791303,2019-09-20,19:32:12,repleezeldin,156,395,1330
Hizballah terrorist Alexei Saab was just arrested by our great @TheJusticeDept. Saab is from Lebanon & became a naturalized US citizen in 2008 after lying about his identity to US authorities. https://www.justice.gov/opa/pr/new-jersey-man-indicted-terrorist-activities-behalf-hizballah-s-islamic-jihad-organization …,1175072698768285705,2019-09-20,15:42:17,repleezeldin,25,72,151
The economy just keeps growing stronger and stronger and stronger! https://www.bloomberg.com/news/articles/2019-09-20/hold-that-recession-u-s-indicators-are-trouncing-forecasts …,1175053868671098892,2019-09-20,14:27:28,repleezeldin,45,78,218
"Today is National #POWMIARecognitionDay. Through generations, larger than life Americans have risked it all on the battlefield to defend our freedoms. Many were captured & others never returned home. We should remember & honor all of these heroes today & everyday. #Veterans pic.twitter.com/EA7PPRffg4",1175034928158969856,2019-09-20,13:12:12,repleezeldin,19,41,106
"What an amazing blessing with the miracles of modern medicine, faith & the will to survive. https://www.goodmorningamerica.com/family/story/pound-preemie-fought-100-days-nicu-heads-home-65688883 …",1175024013053190146,2019-09-20,12:28:50,repleezeldin,23,68,224
The bad idea fairy just paid another visit to the adults who are supposed to be running the NYC school system and now they are actually proposing to ban chocolate milk in schools. pic.twitter.com/pkXLv8EXCf,1175016364777660416,2019-09-20,11:58:26,repleezeldin,118,139,451
NYS is wrong to give driver’s licenses to people illegally in the US. The law also withholds the applicant’s info from the feds & mandates licenses be visually identical to REAL IDs. @TheJusticeDept should review the constitutionality of this law & take appropriate action.,1174757210091479041,2019-09-19,18:48:39,repleezeldin,113,728,1608
JUST NOW➡️House voted to extend an important housing grant program for low-income vets. Ensuring homeless vets have shelter & a safe place to live should always be bipartisan. My colleagues should continue this important mission & pass my bill to make this program PERMANENT. pic.twitter.com/10rWmnMf41,1174430748545310722,2019-09-18,21:11:24,repleezeldin,33,106,269
".@SpeakerPelosi, Why isn't the House voting on USMCA? #EndNAFTA #GiveAmericaTheWin",1174130554129866758,2019-09-18,01:18:33,repleezeldin,287,2052,5554
"232 years ago today, the US Constitution was adopted & signed, an iconic doc that has stood the test of time. We are blessed to live in an exceptional nation, with essential virtues & individual liberties inscribed in the Constitution, guaranteed by it and defended at all costs. pic.twitter.com/QD4nKJXG9v",1174045136436781056,2019-09-17,19:39:07,repleezeldin,51,99,255
"#EndNAFTA! @SpeakerPelosi should give America the win, pass the USMCA & have this be the next of many more victories for the American worker.",1173750743628689408,2019-09-17,00:09:19,repleezeldin,125,979,3319
"Amazing turnout & such a blast at Councilman Dan Panico's annual 3 on 3 bball tournament in Mastic Beach! Great to be joined by Sue Wicks, former professional @WNBA player & NY-1 resident. TY to Dan & Brookhaven Town for putting this together & the kids who came out to play ball! pic.twitter.com/DiMVFCtK3f",1173356304204783617,2019-09-15,22:01:57,repleezeldin,10,9,58
Our nation’s debt & deficit need to be addressed. The will of the US taxpayer/voter & US Congress must all move in this direction to insist upon action. A balanced budget shouldn’t be viewed as extreme. It should be the only acceptable norm.,1172497878939553792,2019-09-13,13:10:52,repleezeldin,124,201,685
"Andrew McCabe was fired for good reason, violated his oath, weaponized his DOJ position & broke the law.  McCabe should be indicted & tried. If convicted, he should be imprisoned. It’s time.",1172207335080488960,2019-09-12,17:56:21,repleezeldin,522,4481,14136
"Always great to see @AmericasVetDogs whether it’s on LI or in the US Capitol. This AM, I thanked them for their incredible work & discussed the importance of supporting vets & progs that help vets transition back to civilian life. Also hung out once again w NY-1’s Sully H.W. Bush pic.twitter.com/gyeGVsxmUd",1172195280088907776,2019-09-12,17:08:27,repleezeldin,3,36,72
"We were shocked to see this destructive, terrorist brainwashing of kids on US soil & an investigation was launched. Joined by @RepScottPerry, I just requested an update this AM on that investigation ➡️ https://zeldin.house.gov/media-center/press-releases/reps-zeldin-perry-request-findings-investigation-muslim-american-society … https://twitter.com/MEMRIReports/status/1124229721431130112 …",1172176762958176261,2019-09-12,15:54:52,repleezeldin,159,1031,1410
"On the 18th Anniv of 9/11/01, we remind our nation's enemies that if you seek us harm like this, we will deliver justice swiftly & overwhelmingly w/ lethality, skill & resolve. What unites us as Americans is so much stronger than anything that will ever seek to tear us apart. pic.twitter.com/fEnYl5ke0K",1171947812763963394,2019-09-12,00:45:06,repleezeldin,179,1016,3830
"It’s been 18 years since Sept 11, 2001 & while our memories have not faded, most importantly, neither has our resolve. Our commitment must forever remain to #NeverForget, honor & exemplify those brave Americans, who in the face of unconscionable evil, were the best of who we are. pic.twitter.com/6W1p8psl7l",1171818000036577281,2019-09-11,16:09:17,repleezeldin,10,70,220
"On #SuicidePreventionDay, I testified @HouseVetAffairs in support of my bipartisan bill (HR1749) to expand the successful PFC Dwyer peer-to-peer support program for vets suffering from PTSD & TBI. They have earned our support & the Dwyer Program is a critical part of that mission pic.twitter.com/zrCVT94VPF",1171553559655124992,2019-09-10,22:38:29,repleezeldin,21,44,184
Absolutely the right call to cancel meeting with the Taliban on US soil the week of 9/11. Shouldn't have ever been scheduled like this in the first place.,1170832763949395971,2019-09-08,22:54:18,repleezeldin,113,182,1149
Establishment today by @ENERGY of an Artificial Intelligence & Technology Office builds on the US' advancement in AI & doubles downs on leading the world in this field in the 21st Century. TY to @SecretaryPerry & the scientists at all our national labs for their incredible work! https://twitter.com/ENERGY/status/1170075541606547456 …,1170097210727587840,2019-09-06,22:11:29,repleezeldin,27,20,49
"Everyone should consider this as great news, but it’s so crazy how some people are irresponsibly pushing for a recession in the US just to win the 2020 election. https://apple.news/AW0bfy_HdSOSYxHExSW-GTw …",1170032742958022658,2019-09-06,17:55:18,repleezeldin,91,561,1515
"While reading about Hezbollah's new terror activities & its growing influence over Lebanese Armed Forces, keep in mind US taxpayers have sent $1.7B in aid to LAF! That's not acceptable. I wrote H.R. 3331, a bipartisan solution, to do something about it. Pass this bill ASAP!",1168986608810508288,2019-09-03,20:38:20,repleezeldin,62,449,1691
"UPDATE: Services for SSgt Albert Woolley (30 year decorated veteran of WWII, Korea AND Vietnam) - Funeral: This Thurs at 9:15am at St. John’s in Riverhead. Burial to follow at 10:30am at Calverton National Cemetery.  https://www.manganofh.com/obituaries/Albert-M-Woolley?obId=6988159#/celebrationWall … https://twitter.com/RepLeeZeldin/status/1167958830015074308 …",1168941574983704576,2019-09-03,17:39:24,repleezeldin,1,29,63
"UPDATE: Let's get a great turnout to pay our final respects to this local hero. Info on services for SSgt Albert Woolley of Riverhead (30 year Air Force veteran of WWII, Korea AND Vietnam) can be found here:  https://www.manganofh.com/obituaries/Albert-M-Woolley?obId=6988159#/celebrationWall … https://twitter.com/RepLeeZeldin/status/1167958830015074308 …",1168559173992374278,2019-09-02,16:19:52,repleezeldin,4,40,130
"Today is the 125th Anniversary of our great country formally honoring the heart, soul and engine of US labor, the American worker. Happy #LaborDay to the largest workforce in US history! pic.twitter.com/RQuWfnQar9",1168526367895511040,2019-09-02,14:09:30,repleezeldin,39,83,300
"We lost a great patriot this afternoon, Air Force Staff Sergeant Albert Woolley, a decorated veteran of World War II, Korea AND Vietnam! He was the best of the best with heroic service from the beaches of Normandy to the TET Offensive in Vietnam. Rest In Peace pic.twitter.com/hDisYr9p6J",1167958830015074308,2019-09-01,00:34:19,repleezeldin,43,278,1007
