tweet,id,date,time,username,replies_count,retweets_count,likes_count
I’ve asked the DOD to include funding for the Hacking for Defense program in its FY2020 budget. The Hacking For Defense program has helped create a pipeline of new technology & engineering talent focused on national security issues. https://lipinski.house.gov/press-releases/lipinski-lends-support-to-innovative-national-security-program/ …,1078824367453339655,2018-12-29,01:25:47,replipinski,0,3,2
The majority of Americans don’t think a government shutdown is good policy. @HouseGOP & @RealDonaldTrump ought to work with Democrats to reopen the government now.,1078055561697087493,2018-12-26,22:30:49,replipinski,7,2,19
"Merry Christmas from the Lipinskis! Judy and I wish everyone a happy and healthy 2019. Peace, joy, and love to you and your family. pic.twitter.com/AzFdXCONCS",1077659170520862723,2018-12-25,20:15:42,replipinski,2,4,22
Veterans: @librarycongress wants to hear your stories for the Veterans History Project. This is an opportunity for future generations to hear directly from you to better understand the realities of war. Please contact my office for details. https://lipinski.house.gov/press-releases/lipinski-invites-vets-to-share-their-stories-for-library-of-congress-history-project/ …,1077375765455556608,2018-12-25,01:29:33,replipinski,1,2,2
"Veterans: please be careful. Remember the VA will never call & request money, even if you see “Veterans Affairs” on caller ID. Never give out financial & bank information. If you need help w/ your benefits, contact my office: 773-948-6223. @Palosparkpolice https://www.chicagotribune.com/suburbs/daily-southtown/news/ct-sta-palos-park-warning-va-scam-calls-st-1223-story.html …",1076976839313248262,2018-12-23,23:04:22,replipinski,1,6,10
"Despite all the other dysfunction, today the Senate cleared S 3661, which establishes a DOD program to commemorate the 75th anniversary of WWII & educate the public about its history. I was pleased to cosponsor & help pass in the Senate w/ @RepSamGraves.  https://www.c-span.org/video/?c4769428/rep-lipinski-remarks-75th-anniversary-wwii-commemoration-act …",1076651545884803072,2018-12-23,01:31:46,replipinski,0,2,5
Funeral services are being held today for fallen #CPD Officers Eduardo Marmolejo and Conrad Gary. Both were shining examples of devotion to service and making Chicago a better place to live. God bless them and their families. pic.twitter.com/9KdZWFhHnm,1076554581797232640,2018-12-22,19:06:28,replipinski,0,0,3
We know we have to take drastic action to reduce carbon dioxide emissions if we want to avoid the most catastrophic effects of climate change. A fee and dividend system provides the right incentive for everyone throughout the entire economy to make the right choices. https://twitter.com/citizensclimate/status/1075861501305589760 …,1076317245066956802,2018-12-22,03:23:22,replipinski,2,4,13
"While I didn’t always agree w Gen. Mattis, I always respected his service to our country. There was never any doubt he was a stabilizing force admired by our allies. His departure is concerning & I hope the next defense secretary shares the same principles http://www.wlsam.com/2018/12/21/lipinski-says-trump-maybe-wants-to-have-chaos/ …",1076263551285805056,2018-12-21,23:50:01,replipinski,4,2,6
Must-read EtO story in today’s @chicagotribune. The story lays out how the medical device industry’s own reporting found there are less-risky sterilization methods available than EtO. We should consider mandating these immediately. I will push @epa to act. https://www.chicagotribune.com/news/ct-met-ethylene-oxide-sterigenics-cancer-science-20181214-story.html …,1075906953484877826,2018-12-21,00:13:01,replipinski,1,9,19
The support for this bill exemplifies the change we can facilitate when we focus on bipartisan solutions to our toughest challenges.,1075839691491033088,2018-12-20,19:45:45,replipinski,1,1,2
Making needed reforms to our criminal justice system has been an extremely long process but I’m proud to see we’ve finally got a bill passed. Problem Solvers Caucus endorsed this bill & helped pull together both parties to generate momentum for its passage https://www.washingtonpost.com/powerpost/house-backs-bipartisan-criminal-justice-overhaul-sends-bill-to-trump/2018/12/20/111e57e2-0448-11e9-b6a9-0aa5c2fcc9e4_story.html?utm_term=.fc3ce1ce57cf …,1075839446187237376,2018-12-20,19:44:46,replipinski,4,1,6
Reauthorizing & dedicating funding to LWCF is crucial to providing access to the outdoors & protecting our environment. It’s critical that we #saveLWCF before the end of the year. https://twitter.com/LWCFCoalition/status/1032009447391088645 …,1075799448368922625,2018-12-20,17:05:50,replipinski,1,2,3
I’m pleased to announce @metra received a $2 million grant for Positive Train Control safety technology. I have always made safety a top priority on the Railroad Subcommittee and am hopeful this will help alleviate some of the delays with Metra trains. pic.twitter.com/QvkxgZ1Qqa,1075750512333606918,2018-12-20,13:51:23,replipinski,1,1,4
"Quantum technology is poised to revolutionize secure communication, AI, & next-generation sensors. I’m glad the House voted to send the National Quantum Initiative Act to POTUS for his signature. I was proud to help develop & lead this bill through the Science Committee.",1075558739476996096,2018-12-20,01:09:21,replipinski,1,0,5
"Congress voting tonight to send BOLD Infrastructure for Alzheimer’s Act to POTUS. I cosponsored to make sure we have public health infrastructure to respond to this cruel disease. All of us know someone who is/will be affected, time to act is now. #BOLDAlzheimersAct #ENDALZ",1075542774722805761,2018-12-20,00:05:54,replipinski,3,9,51
Congrats to the Village of La Grange for passing a resolution last night to come to an agreement on a pipeline project to reduce flooding in the village. I’m grateful I was able to bring everyone together to help solve this problem. pic.twitter.com/dputngXfNf,1075405656293863424,2018-12-19,15:01:03,replipinski,1,0,0
so we can have a better picture of the pollution levels crossing its property boundary and present clear and convincing evidence to EPA regarding its decision on Sterigenics’ fate.,1075138587048509448,2018-12-18,21:19:48,replipinski,1,3,8
"I continue to stand by my statement that Sterigenics should close until we’re assured it’s not a public health threat. Because EPA won't shut Sterigenics (which they have the authority to do), & because the company won't shut itself down, I'm calling for new EtO testing methods",1075138123120676865,2018-12-18,21:17:58,replipinski,3,3,14
"We learned from today's @EPA webinar that new results for EtO testing conducted on 11/23 in Willowbrook differ from previous results, but only raise more questions & cannot be said to demonstrate that @Sterigenics1 is not a public health threat. https://lipinski.house.gov/press-releases/lipinski-calls-for-new-eto-emissions-testing-method-at-sterigenics/ …",1075137257517002752,2018-12-18,21:14:31,replipinski,3,9,11
"Please take a moment today to honor @chicago_police officers Conrad Gary and Eduardo Marmolejo, who lost their lives in the line of duty in a tragic train accident. The officers’ heroic actions pursuing an armed suspect cost them their lives. My condolences to their families. RIP",1075074348975865856,2018-12-18,17:04:33,replipinski,0,1,9
"The @EPA is hosting a webinar tomorrow at 1 p.m. CST to share the latest info on EtO monitoring at @Sterigenics1 in Willowbrook. As I work to protect public health and safety, I’ll continue to provide updates.   https://www.epa.gov/il/sterigenics-willowbrook-facility-latest-update …",1074824119307382784,2018-12-18,00:30:13,replipinski,1,8,14
