tweet,id,date,time,username,replies_count,retweets_count,likes_count
Wishing you and your family a very Merry Christmas! I hope your holiday is filled with joy and shared with those you love. pic.twitter.com/evsIaZFIel,1077583495059394561,2018-12-25,15:15:00,reploisfrankel,0,1,11
"Bah humbug -- @RealDonaldTrump’s government shutdown needlessly hurts 800,000 federal employees across the nation who ensure the well-being and security of the American people. We need to end the #TrumpShutdown now!",1077312491967918081,2018-12-24,21:18:08,reploisfrankel,6,4,14
"Let's not forget this direct quote from @realDonaldTrump: ""I am proud to shut down the government... I will take the mantle. I will be the one to shut it down."" Enough is enough, Mr. President - or should I say Scrooge - end this ridiculous stunt and open our government. No wall!",1076901553120968705,2018-12-23,18:05:12,reploisfrankel,6,7,28
"Not only did Trump & his Republican colleagues shut down the gov, they let #VAWA expire, leaving survivors of domestic violence high & dry. Congress should pass @JacksonLeeTX18's bill to strengthen this critical program & provide greater resources to survivors!",1076879521280872449,2018-12-23,16:37:39,reploisfrankel,1,6,11
I’ve got one word to describe Trump’s shutdown: clueless. #TrumpShutdown pic.twitter.com/rG8yLvVl0F,1076273203360788482,2018-12-22,00:28:22,reploisfrankel,15,10,53
Thanks to my colleagues @SenatorCardin @JohnBoozman @RepEdRoyce @RepEliotEngel for their partnership in getting the #WEEEAct across the finish line. Now let's make it official & get it signed into law!,1076232856379232256,2018-12-21,21:48:03,reploisfrankel,1,6,26
"When women & girls are educated, free from violence, & have access to tools to support their families, their communities are safer, stronger, & more peaceful.",1076232855636840454,2018-12-21,21:48:02,reploisfrankel,2,12,36
Thrilled the #WEEEAct passed in the Senate & the House today. This bill recognizes there's an undeniable link between women’s economic success & global prosperity. pic.twitter.com/7IS7g8R1o6,1076232715173875712,2018-12-21,21:47:29,reploisfrankel,6,39,136
Trump’s erratic&irresponsible foreign policy makes our world less safe. Mattis’ resignation comes at a dangerous time—@POTUS w/ his Twitter diplomacy has lost the respect of allies & is handing over our global leadership to adversaries like Russia&China https://www.washingtonpost.com/world/national-security/trump-announces-mattis-will-leave-as-defense-secretary-at-the-end-of-february/2018/12/20/e1a846ee-e147-11e8-ab2c-b31dcd53ca6b_story.html?utm_term=.c3cfcd90f1b6 …,1076199374558883840,2018-12-21,19:35:00,reploisfrankel,2,1,8
"Sending best wishes for a full & speedy recovery to Justice Ginsburg. Get well soon, #RBG! https://www.politico.com/story/2018/12/21/justice-ginsburg-had-surgery-to-remove-malignant-nodules-in-her-lung-1073268 …",1076188841445376000,2018-12-21,18:53:09,reploisfrankel,0,3,5
".@realDonaldTrump has sabotaged multiple opportunities to reach a bipartisan consensus on immigration. His latest tantrum over his immoral, absurd border wall isn’t worth yet ANOTHER government shutdown. #TrumpShutdown #GOPShutdown pic.twitter.com/Cy1egHTJty",1076164352242266117,2018-12-21,17:15:50,reploisfrankel,2,8,12
"755,000 Americans could lose their nutrition assistance thanks to this unnecessary rule by the Trump Administration. We should be working to help hungry families & children, not taking away their food. https://www.npr.org/2018/12/20/678593200/sidestepping-congress-trump-administration-proposes-more-work-rules-for-food-sta …",1076151114414915584,2018-12-21,16:23:14,reploisfrankel,0,7,9
An enterprise program specifically for minority and women-owned businesses means greater opportunities & economic security for many West Palm Beach families. Excited to see the effect this will have on our community! #WPB https://www.palmbeachpost.com/news/20181218/new-west-palm-approves-plan-to-increase-women-minority-owned-business-program …,1075496985577340928,2018-12-19,21:03:57,reploisfrankel,0,4,6
News flash: the #ACA remains the law of the land. @HouseDemocrats will fight to keep protections for Americans with pre-existing conditions & will keep defending access to health care #ForThePeople. #ProtectOurCare https://thehill.com/policy/healthcare/421702-incoming-dem-chairman-vows-hearings-on-obamacare-lawsuit-right-away …,1075157848282275841,2018-12-18,22:36:21,reploisfrankel,0,8,17
"Instead of taking steps to address gun violence in our schools after the horrific Parkland shooting in our #SFL community, the Trump admin is undermining policies that protect students’ civil rights. This won’t make our schools & students safer. https://www.buzzfeednews.com/article/maryanngeorgantopoulos/betsy-devos-school-shooting-commission-racial-discipline …",1075106639370432513,2018-12-18,19:12:51,reploisfrankel,3,7,11
Just one day left to #GetCovered for 2019! The deadline for the Open Enrollment period is almost here - visit  http://healthcare.gov  to find a plan that works for you & your family. pic.twitter.com/ZZd4o60GBJ,1073661400935854080,2018-12-14,19:30:00,reploisfrankel,1,2,4
Florida’s beautiful & unique wetlands are under attack from the Trump administration. We must protect our environment for future generations – not repeal clean water regulations to appease polluters. https://www.tampabay.com/environment/trump-wetlands-rule-rollback-makes-about-6-million-acres-in-florida-unprotected-20181213/ …,1073646303115018240,2018-12-14,18:30:00,reploisfrankel,2,3,7
"Today, we remember the 26 innocent young lives cut short at #SandyHook 6 years ago. We continue to stand with Newtown & all those that have been affected by #gunviolence, & will continue to work towards a future where no more communities have to live through that pain. pic.twitter.com/B8fdiDXmxm",1073626168899776515,2018-12-14,17:10:00,reploisfrankel,5,6,21
I'm devastated this child died in our custody & horrified this is how immigrants are treated when they come to the US seeking a better life. The Trump Admin must be held accountable for the humanitarian disaster they've created at our southern border. Absolutely disgraceful. https://twitter.com/washingtonpost/status/1073378638949703680 …,1073609308288532480,2018-12-14,16:03:00,reploisfrankel,4,12,38
"The number of gun deaths in our nation is staggering. Despite Democratic efforts to pass commonsense gun violence prevention legislation, Republicans in Congress continue to turn a blind eye to this alarming rise in gun deaths & any solutions to prevent gun violence. https://twitter.com/CNN/status/1073276387853783040 …",1073596862110801923,2018-12-14,15:13:33,reploisfrankel,0,3,7
