tweet,id,date,time,username,replies_count,retweets_count,likes_count
Proud to help introduce The Safe from the Start Act with my friend & colleague @RepGraceMeng to ensure our government addresses gender-based violence in humanitarian crises - Because empowering women leads to a more secure world. https://frankel.house.gov/news/documentsingle.aspx?DocumentID=2971 …,1156647415958650880,2019-07-31,19:26:48,reploisfrankel,1,6,15
"From the start of their lives, women and girls everywhere must have the right to safety and security. Never are they more vulnerable than when their country is in crisis, making rape more common & access to reproductive care scarce.",1156647415040139264,2019-07-31,19:26:47,reploisfrankel,3,6,20
"In South Florida, more extreme heat caused by the #ClimateCrisis won’t just be uncomfortable: it could be deadly for vulnerable communities like seniors, cause a public health crisis, & affect our economy. https://www.sun-sentinel.com/news/florida/fl-ne-climate-hot-days-20190730-zoy5usscefh3tl72pulft5c27m-story.html …",1156582189519245312,2019-07-31,15:07:36,reploisfrankel,5,8,7
"Happy 54th Birthday to #Medicare & #Medicaid! For decades, these programs have helped Older Americans, women, children & the disabled get the care they need. @HouseDemocrats will keep fighting to protect this life-saving care #ForThePeople pic.twitter.com/CiBv977g7H",1156264443468296194,2019-07-30,18:05:00,reploisfrankel,3,3,15
"Taking away meals from those who need it the most, and making it harder for parents to get the help they need to keep their kids from going hungry? This is unacceptable. #HandsOffSNAP https://www.nbcnews.com/politics/white-house/trump-plan-failed-note-it-could-jeopardize-free-school-lunches-n1035281 …",1156225255825973249,2019-07-30,15:29:17,reploisfrankel,9,4,20
"Joined 145 of my colleagues today to denounce the Trump Admin's cuts to @UNFPA. Without funding these programs, we're putting the health and safety of women around the world in jeopardy. For safe & secure countries, women need access to health care! https://speier.house.gov/media-center/press-releases/146-house-members-urge-administration-immediately-reverse-decision …",1154856120390995968,2019-07-26,20:48:49,reploisfrankel,7,10,28
"In April, I asked then-Sec. Acosta about his handling of the #EpsteinCase, including how & why the sweetheart deal was arranged. I sent him 18 additional questions for the record. I got non-responses to ALL of them yesterday & am still waiting on real answers. Check it out ⬇️ pic.twitter.com/ELj9mmveHR",1154779849246089217,2019-07-26,15:45:45,reploisfrankel,7,5,9
"This strong, bipartisan bill allows us to invest in the health & well-being of the American people. It restores certainty to our budgeting, avoids another reckless government shutdown, & protects the full faith and credit of the U.S. #ForThePeople https://www.cnn.com/2019/07/25/politics/house-vote-budget-debt-limit-deal/index.html …",1154515340753195008,2019-07-25,22:14:41,reploisfrankel,3,6,8
"🚨 An estimated 167.5 MILLION robocalls have been made to West Palm Beach in 2019 so far. 🚨

South Floridians are sick & tired of these illegal spam calls! Proud to help pass the bipartisan #StopBadRobocalls Act to end the nuisance of robocalls once & for all. pic.twitter.com/OirWpth26Y",1154451748985032704,2019-07-25,18:02:00,reploisfrankel,6,3,18
"The people of Florida have spoken – former felons who served their time deserve the right to vote. The regulations Gov. DeSantis signed into law are a major roadblock, disenfranchising countless Floridians who should have had their rights reinstated. https://www.theguardian.com/us-news/2019/jul/25/the-voting-rights-advocates-fighting-floridas-poll-tax-on-former-felons …",1154408390652846081,2019-07-25,15:09:42,reploisfrankel,4,5,18
"#Florida is a top tourism destination & families booking a dream vacation here shouldn’t worry that an online scam will turn it into a nightmare. Our bipartisan, bicameral bill will crack down on booking fraud so folks aren’t ripped off by bad actors. https://thehill.com/policy/technology/454447-bipartsan-lawmakers-introduce-bill-combatting-online-hotel-booking-scams …",1154092461939183617,2019-07-24,18:14:19,reploisfrankel,1,0,6
"Part 2 of #Mueller's testimony is underway. Here are a few key takeaways from earlier:

1. Mueller didn’t indict @realdonaldtrump b/c of DOJ guidelines
2. Mueller DID NOT exonerate Trump – despite what @POTUS may tweet
3. Trump could be charged after he leaves office pic.twitter.com/utrPlIqn7J",1154082060891541504,2019-07-24,17:32:59,reploisfrankel,9,5,9
