tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Heartbroken to learn of another violent anti-Semitic attack — this time, at a Synagogue in Poway, California, on the last day of Passover.

Another community devastated by an act of gun violence at their place of worship.

This hate-fueled violence has no place in our society. https://twitter.com/ABC/status/1122253453894586368 …",1122273885079130112,2019-04-27,22:58:39,replucymcbath,14,162,563
"Visited @GeorgiaGuard Language Training Center to learn more about regional, state, nat'l, & international programs at Clay National Guard Center in Marietta that ensure we are prepared for disasters & that our military personnel have cutting edge training to keep us safe. #GA06 pic.twitter.com/0496b93Xa2",1121874525421961221,2019-04-26,20:31:44,replucymcbath,1,7,22
"My thanks to @Elekta for inviting me to visit with your team at your U.S. headquarters in Dunwoody!

As a two-time cancer survivor, I appreciate your commitment to advancing technologies in precision radiation medicine to improve the patient experience, lower costs, & save lives. pic.twitter.com/mIlhoMXlyH",1121530126922145794,2019-04-25,21:43:13,replucymcbath,4,10,42
"Glad to have been able to meet with Georgia’s @AARP team for a discussion about protecting Medicare, expanding access to health care, & lowering prescription drug costs.
 
Thank you for supporting my Saving for the Future Act - to give more workers access to a secure retirement. pic.twitter.com/Z33JM3BxdK",1121459069460545537,2019-04-25,17:00:52,replucymcbath,5,7,36
"“We are our community, and we are the face of democracy as it looks now: it's diverse and it's inclusive."" https://twitter.com/politico/status/1115639391110729728 …",1120824063193223170,2019-04-23,22:57:35,replucymcbath,8,15,77
"Happy #EarthDay!

We can all do our part to preserve our environment and our planet for future generations.

Let’s work to protect #GA06’s natural beauty.

And let’s recommit ourselves as a nation to #ActOnClimate. pic.twitter.com/JzpMJhoWxw",1120467892267622403,2019-04-22,23:22:17,replucymcbath,6,20,138
"Enjoyed spending the morning with Mayor Ernst and the @BrookhavenGaGov community at their annual Easter Egg Scramble yesterday! 🐰🐣 

Happy #Easter to all who are celebrating today! pic.twitter.com/eSW38R9uaK",1120035273851715586,2019-04-21,18:43:13,replucymcbath,2,4,40
"Heartbreaking news. Our thoughts are with the injured, the families who have lost loved ones, and the people of Sri Lanka on this Easter Sunday. https://twitter.com/washingtonpost/status/1119939244880027648 …",1119988569068769281,2019-04-21,15:37:37,replucymcbath,0,6,46
"20 years ago, 13 lives were lost in the tragic shooting at Columbine High School.

Our thoughts are with the survivors & families who lost loved ones as we work to #EndGunViolence in all its forms & keep others from knowing the pain of losing a child or loved one to gun violence. pic.twitter.com/qIpzkP1FoB",1119759379216072707,2019-04-21,00:26:54,replucymcbath,6,47,199
"To all those celebrating Passover, Chag Sameach!

Honored to spend the evening celebrating alongside our friends and neighbors in the local Jewish community at the annual Passover Seder led by Rabbi Lebow at Temple Kol Emeth in East Cobb tonight. pic.twitter.com/wVhoULuEMW",1119382932223942656,2019-04-19,23:31:02,replucymcbath,2,7,64
