tweet,id,date,time,username,replies_count,retweets_count,likes_count
"My dear friend ⁦@repjohnlewis⁩: your courage and bravery echo loudly through the halls of Congress. Serving together with you, your heart, and your grace inspires me every day.

Your fighting spirit is made for a time such as this, and you are in my love and in my prayers. pic.twitter.com/kASr2XdY2g",1211642708378497024,2019-12-30,13:38:27,replucymcbath,16,187,1153
"Wishing you a very Merry Christmas, from my family to yours!

Sending blessings and warm wishes for a safe holiday to our #GA06 neighbors.",1209891561623805954,2019-12-25,17:40:01,replucymcbath,7,16,181
"Wishing a Happy Hanukkah to all.

May this season be filled with peace, light, and love. pic.twitter.com/eYxMvDQShu",1208874573246140419,2019-12-22,22:18:52,replucymcbath,5,12,136
"This week's court decision threatens the health & financial security of families across our country.

We came together in the House this year on measures to strengthen ACA protections & make care more affordable for Americans.

Visit  https://bit.ly/370i4kj  for my statement. pic.twitter.com/wq58snjKKv",1208139623395930112,2019-12-20,21:38:27,replucymcbath,12,18,38
"Last week we passed #HR3, monumental legislation to #LowerDrugCosts & level the playing field so Americans can afford the lifesaving treatments they need.

My bill to help make hearing aids more affordable for seniors on Medicare was included. #ForThePeople pic.twitter.com/Wxlah4N188",1206924253460754432,2019-12-17,13:09:00,replucymcbath,40,46,161
"One of my most important jobs as a member of Congress is helping you with your federal cases.

Here's another wonderful success story from #GA06. pic.twitter.com/swpUKKeTKu",1206749854195757056,2019-12-17,01:36:00,replucymcbath,13,5,34
"BREAKING NEWS: Gun violence prevention research funding I requested for the @CDCgov and @NIH has been APPROVED in end-of-year budget talks.

This is the first funding like this in 20 years, and it will help keep our families whole.

Read more⬇️ https://mcbath.house.gov/press-releases?id=90DEFC07-24B2-416B-879F-BCD3CE2AF994 …",1206722661730148353,2019-12-16,23:47:57,replucymcbath,104,812,3588
"Our movement has grown as senseless gun violence continues.

I joined survivors, activists, parents, and lawmakers for the 7th National Vigil for All Victims of Gun Violence.

We can and we will #EndGunViolence, in memory of all those we have lost. pic.twitter.com/EZfFOS8w5f",1205908996152025091,2019-12-14,17:54:44,replucymcbath,51,27,120
"7 years ago, 26 beautiful lives were ripped away and countless more were shattered by the hateful gun violence at Sandy Hook Elementary.

How could this happen, in our nation, to our children?",1205908977986473984,2019-12-14,17:54:39,replucymcbath,50,56,268
 pic.twitter.com/LRhYzlmX1g,1205610740398338048,2019-12-13,22:09:34,replucymcbath,51,7,52
Have a community success you'd like to share? Visit  https://bit.ly/2PisXbz  to submit your story.,1205181708020207616,2019-12-12,17:44:45,replucymcbath,77,7,26
"One of my most important jobs as a member of Congress is helping you with your federal cases.

I'd like to share some of the wonderful success we've had while fighting for #GA06. pic.twitter.com/7VSJgOPZ0l",1205176170716844032,2019-12-12,17:22:44,replucymcbath,327,38,197
 pic.twitter.com/L55YkVStkg,1204967242020130817,2019-12-12,03:32:32,replucymcbath,397,202,752
"There are just a few days left of Open Enrollment! Don’t forget to visit  http://HealthCare.gov  before Dec. 15 to make sure your plan works for your family.

So glad to meet with Peter @MoreThanMySLE about the importance of affordable health care. #GetCovered #ProtectOurCare pic.twitter.com/rU6PLFzrNt",1204844405229850625,2019-12-11,19:24:25,replucymcbath,56,421,676
"We must protect our children and give families peace of mind.

Proud to take this step to stop child abuse & support the work of law enforcement by introducing this bill with @RepAGonzalez @RepAnnieKuster @GReschenthaler @SenCortezMasto & @MarshaBlackburn. https://twitter.com/RepAGonzalez/status/1204531871905964032 …",1204773651846979585,2019-12-11,14:43:16,replucymcbath,18,14,53
"The USMCA agreement we announced today makes sure our North American businesses are competitive, our workers are empowered, and our economies are strong — just what #GA06 needs.

Read my full statement ⬇️ https://mcbath.house.gov/press-releases?id=89E205AD-6AAE-4889-BD5C-3299C175F8CF …",1204568372849135618,2019-12-11,01:07:34,replucymcbath,66,7,25
"Have questions about a federal case or ways my office can help you? Stop by Mobile Office Hours at the Milton Library tomorrow or the Tucker Library on Thursday!

Learn more:  https://bit.ly/2Ywrq4s  or call (470) 773-6330 with any questions. pic.twitter.com/uqCu5buirT",1204183105969496066,2019-12-09,23:36:39,replucymcbath,15,10,31
"FDR spoke of a day that would live in infamy as peace gave way to war.
 
This week, the world was shocked again by a tragedy at Pearl Harbor.

Today, we honor those who lost their lives 78 years ago, and we open our hearts to the families of those lost to gun violence this week.",1203477844057178122,2019-12-08,00:54:12,replucymcbath,12,22,109
"I always want to show our service men and women they are loved and we hold them in our prayers, especially as a member of a military family.

So glad to join the @RedCross to sign holiday cards for those who are sacrificing abroad for our nation. Thank you and Happy Holidays. pic.twitter.com/SBnhTKxYAk",1203076147287736321,2019-12-06,22:18:00,replucymcbath,10,14,82
"I was raised to always fight for what is just and stand up for those who don't have a voice.

I was proud to vote in favor of #HR4 today and continue the work of Americans like my father.

We must make sure our elections are free, fair, and secure. #RestoreTheVote #ForThePeople pic.twitter.com/TwqcPZ0m3o",1203050024923516929,2019-12-06,20:34:12,replucymcbath,42,91,382
"Thank you for all that you do, Peter, and thank you for sharing your story with me. 

As a two-time breast cancer survivor, I know how important this fight is to #ProtectOurCare and make sure we cover all those who live with pre-existing conditions. https://twitter.com/morethanmySLE/status/1202958440806715394 …",1202960426952253440,2019-12-06,14:38:10,replucymcbath,13,48,215
"Stop by Mobile Office Hours today at the Alpharetta Branch Library if you'd like assistance with a federal case or have questions about other ways we can help.

If you're not able to make it today, call (470) 773-6330 with your questions. pic.twitter.com/KUvfxmcoxs",1202577109220315136,2019-12-05,13:15:00,replucymcbath,9,5,24
"In 2015, 14 Americans lost their lives in San Bernardino.

For 279 days, the Senate has refused to act on our common-sense legislation to stop gun violence.

These are families & communities that will never be the same.

It's time to put aside differences & save American lives.",1201610081307156480,2019-12-02,21:12:22,replucymcbath,28,29,89
