tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Are Democrats really that scared that they believe Trump winning this fight will cost them the 2020 election? If that is the case, they do not deserve the American people’s vote.",1091028951168880640,2019-01-31,17:42:26,repmarkgreen,12,22,61
"Democrats need to end their quixotic 2020 posturing and start doing their jobs immediately. A legislator’s job is to legislate, so let’s come to the table and work on a solution.",1091028950544015360,2019-01-31,17:42:26,repmarkgreen,5,16,50
We knew this would happen. The past year has shown us Democrats don't want to secure our border. They only care about one thing -- refusing the president a “win.”,1091028949910671360,2019-01-31,17:42:26,repmarkgreen,6,11,39
"Then: ‘Open up the government, and we’ll negotiate’

Now: --> https://twitter.com/cnsnews/status/1091016963151810560 …",1091028027436421120,2019-01-31,17:38:46,repmarkgreen,38,76,203
Killing a baby once born is infanticide. Plain and simple.,1090746153979793408,2019-01-30,22:58:42,repmarkgreen,4,20,45
"Like a scene from a science fiction movie, our elected officials are casually floating infanticide on the airwaves. Are we going to allow this affront to our civilization to happen unchecked? If so, we’ve lost our soul. I am appalled. https://www.nationalreview.com/corner/virginia-governor-defends-letting-infants-die/?fbclid=IwAR1OwJVe4zJzwlS3PLdbEwpHTqYhGvDGA9Dja9AjMBUit1dERYto_RP3BzM …",1090746153300307980,2019-01-30,22:58:42,repmarkgreen,5,16,21
"Excited to announce that I have introduced my first bill in Congress, and it is a pro-veteran bill just like the first bill I introduced in the Tennessee Senate. Read my press release for more info:  https://markgreen.house.gov/news/documentsingle.aspx?DocumentID=34 …",1090625659725058048,2019-01-30,14:59:54,repmarkgreen,4,9,26
Sen. Kamala Harris's idea -- to kick every single American off of their private health insurance plan -- will only benefit the top 1% and end up hurting the middle class. Watch my full conversation on @OutnumberedOT to hear why. pic.twitter.com/5RIRYLuUiI,1090337954483048449,2019-01-29,19:56:40,repmarkgreen,88,237,587
"Thank you, @HARRISFAULKNER, for having me! https://twitter.com/OutnumberedOT/status/1090324731285377029 …",1090329723778056197,2019-01-29,19:23:58,repmarkgreen,4,9,58
Americans shouldn’t have to navigate different states’ bureaucracies in order to bear arms – a right enshrined in our U.S. Constitution by the Second Amendment. Signing onto this bill is a no-brainer.,1090281095671758851,2019-01-29,16:10:44,repmarkgreen,2,12,19
"Meanwhile, 132 bipartisan members of Congress are working to protect your rights with the Concealed Carry Reciprocity Act -- a common sense bill allows law-abiding citizens who are qualified to conceal carry in one state also carry in other states that allow residents to do so.",1090281094962921473,2019-01-29,16:10:44,repmarkgreen,1,12,17
"Progressive House Democrats are readying attacks on the 2A and Americans’ constitutional rights. They are: 

- Pushing a bill that'd raise the min age to buy some guns
- Pressuring companies to end relationships with law-abiding citizens exercising 2A https://www.nationalreview.com/2019/01/second-amendment-maxine-waters-heads-key-house-committee/ …",1090281092316389376,2019-01-29,16:10:43,repmarkgreen,1,17,13
"Pro-growth, limited government policies helped us get here. Let’s keep it up.",1089974858065346568,2019-01-28,19:53:51,repmarkgreen,0,6,15
"And as the Wall Street Journal reports, companies are providing opportunity to deeper labor pools like disabled Americans. https://www.wsj.com/articles/americas-hidden-workforce-returns-11548478801?fbclid=IwAR2cR-2-6uTBidaePyCLWW3OziWB7nlQoA8xhKFcOiWtt-aF8oCzCaknZd4 …",1089974857419366400,2019-01-28,19:53:51,repmarkgreen,1,3,15
4.6 million Americans have been lifted off of food stamps.,1089974856974852098,2019-01-28,19:53:51,repmarkgreen,4,11,21
African-American and Hispanic-American poverty rates have reached record lows.,1089974856551157760,2019-01-28,19:53:51,repmarkgreen,1,8,16
"Last summer, for the first time on record, there were more job openings than there were people unemployed.",1089974855896834057,2019-01-28,19:53:51,repmarkgreen,1,6,15
5 million jobs have been created since 2016 and unemployment is below 4%.,1089974855280283648,2019-01-28,19:53:50,repmarkgreen,1,4,11
One of the under-told stories in the U.S. right now -- everyone is benefiting from our very strong economy.,1089974854642741248,2019-01-28,19:53:50,repmarkgreen,8,41,106
Want regular updates from my office delivered straight to your inbox? Sign up for my newsletter here:  https://markgreen.house.gov/forms/emailsignup/ …,1089960024582037504,2019-01-28,18:54:54,repmarkgreen,1,3,6
"If Democrats yet again refuse the experts, refuse people studying the border for years and refuse @realDonaldTrump, we know that their opposition is not to the policy but the person in the White House.",1089956927411503114,2019-01-28,18:42:36,repmarkgreen,11,14,68
"Democrats must come to their senses and realize the crisis on our southern border is causing human suffering and we have a cure for it. We need to help the president administer that cure. And that cure includes a wall, more technology, more agents and more resources.",1089956926824374273,2019-01-28,18:42:36,repmarkgreen,111,371,1996
