tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Enjoyed speakIng today in Eden, North Carolina. Always a privilege to be with Pastor Steve and Osborne Baptist Church. A huge church with a heart to serve the people of Rockingham County. pic.twitter.com/AgsWDjneRt",1145406279420141568,2019-06-30,18:58:32,repmarkwalker,3,5,24
Thank you @arthurbrooks for the inspiration you are to so many people around the world.,1145403914298241031,2019-06-30,18:49:08,repmarkwalker,0,0,16
"""Love is the most important thing in the world, but baseball is pretty good too.""  –Yogi Berra #CBG2019 pic.twitter.com/iNK4hgzBDU",1145008589578354688,2019-06-29,16:38:15,repmarkwalker,2,5,28
I enjoyed the rare opportunity to have our DC and NC staff together. Kelly and I love these incredible people and witness their devotion and tireless service to the people of North Carolina. They’re the best! #NC06 pic.twitter.com/MrI0EG8N8X,1144669921097527296,2019-06-28,18:12:30,repmarkwalker,4,7,37
There’s no unborn life that can’t be taken! There’s no tax that can’t be raised! There’s no border that can’t be open and there’s no private insurance that can’t be replaced. News flash: @realDonaldTrump wins the first two debates #DemDebate2,1144437868674387969,2019-06-28,02:50:25,repmarkwalker,11,10,32
The Statue of Liberty brought our parents and grandparents here legally. America leads the world with more than a million legal immigrants per year.  Does citizenship mean nothing?#DemDebate2,1144424142223155200,2019-06-28,01:55:52,repmarkwalker,18,10,41
Joe Biden not always sure about that hand raising thing. #DemDebate2,1144421715285618690,2019-06-28,01:46:13,repmarkwalker,3,4,47
"• Open borders
• Unlimited abortion restrictions
• Eliminate your health insurance

I’m not trying to be hyperbolic or even political - this is an actual summation of Democratic presidential platforms. #DemDebate",1144409326779424769,2019-06-28,00:57:00,repmarkwalker,16,18,35
"Reminder: @realDonaldTrump requested humanitarian aid at the border 58 days ago.

This was Sen. Schumer 24 days ago: https://www.washingtontimes.com/news/2019/jun/3/chuck-schumer-trump-fabricating-border-crisis/ …",1144292511751593984,2019-06-27,17:12:49,repmarkwalker,4,9,15
Washington has ignored the humanitarian and security crisis at the border for too long. I will not leave until we send aid to resolve this travesty to the President’s desk. My other colleagues in Congress should join me.,1144291287979503616,2019-06-27,17:07:57,repmarkwalker,7,5,26
"Last night, House Democrats voted to block overtime pay for our overwhelmed immigration law enforcement officers.

They then voted to give $1B to contractors who did not work during the government shutdown.

Our officers don’t have that luxury. Once again, very disappointing.",1143980491445547015,2019-06-26,20:32:57,repmarkwalker,12,41,51
"At this point, I think @Google, @facebook and @Twitter have apologized more than @kanyewest has to @taylorswift13. They need to stop apologizing and start screening content without blocking voices they disagree with. pic.twitter.com/7t34YdwTuc",1143923708375031808,2019-06-26,16:47:19,repmarkwalker,4,14,40
Great to be representing @elonuniversity today as we raise money for @BGCGW at #CBG2019. Breakfast in the bullpen at @Nationals Park. pic.twitter.com/n9MgTqZOeK,1143868414353641472,2019-06-26,13:07:36,repmarkwalker,1,5,11
Picture of courage. pic.twitter.com/cGvskqG6ZT,1143866920434831360,2019-06-26,13:01:40,repmarkwalker,2,6,21
This isn't your Comcast subscription. 'Cancelling it’ just means taxpayers get the bill! https://twitter.com/IlhanMN/status/1143534512997113856 …,1143632627695529986,2019-06-25,21:30:40,repmarkwalker,12,27,150
"Algorithms are subjective, developed and operated by humans who possess their own bias. We've come to a crossroads in the debate on what content should be prohibited from platforms and the appropriate mechanisms to identify and remove them. https://walker.house.gov/media-center/press-releases/walker-leads-ai-and-counterterrorism-hearing-we-have-come-crossroads …",1143543254035632132,2019-06-25,15:35:32,repmarkwalker,1,3,8
"This is why passing a federal law to ensure access to the free market is so important. @NCAA is clearly going to bully any state that challenges their monopoly.

@WaysMeansCmte should hold a hearing on @RepRichmond’s and my #StudentAthleteEquity Act. #NCAA https://www.usatoday.com/story/sports/2019/06/24/ncaa-california-schools-could-banned-championships-over-bill/1542632001/ …",1143288202104623110,2019-06-24,22:42:03,repmarkwalker,5,13,27
Walker co-sponsors election security bill https://www.courier-tribune.com/news/20190622/walker-co-sponsors-election-security-bill …,1142882596172587015,2019-06-23,19:50:19,repmarkwalker,2,3,2
"Delayed flights and lots of baggage with my friend, Wasif.  It’s midnight, but we’re both glad to be back home in Greensboro. pic.twitter.com/8bNgtrBnmr",1142290696587620352,2019-06-22,04:38:19,repmarkwalker,2,3,13
POTUS’ backyard is a little larger than mine. Glad to have Kelly and the girls in town for the Congressional Picnic. pic.twitter.com/rp8r0oO2is,1142184282301095941,2019-06-21,21:35:28,repmarkwalker,7,9,41
Go the whole hog this #NationalSelfieDay and first day of Summer. pic.twitter.com/PPO2RK9xXH,1142161828056850433,2019-06-21,20:06:14,repmarkwalker,4,7,21
The Mueller Report made clear that Russia meddled in our election and threatened our security in ‘sweeping and systematic fashion.’ We cannot lose sight of this malicious attack on our sovereignty. Thank you @RodneyDavis for introducing this bill today. https://walker.house.gov/media-center/press-releases/walker-co-sponsors-legislation-secure-north-carolina-elections-foreign …,1142133224082223105,2019-06-21,18:12:35,repmarkwalker,12,3,3
"As an amicus curiae of this case, I am thankful #SCOTUS has overturned the faulty ruling of the Fourth Circuit, protected religious liberty, and allowed the cross to remain as tribute to the 49 American names it holds, each who laid down their life for our freedom.",1141796794340392960,2019-06-20,19:55:43,repmarkwalker,0,2,12
"The Bladensburg #PeaceCross is a sacred symbol of sacrifice, love and honor, built by Americans who chose to pay tribute to the brave World War I heroes of their community.",1141796792910143488,2019-06-20,19:55:43,repmarkwalker,2,3,15
"At a time when seemingly so few understand the realities of war and the cost of our freedom and prosperity, we should be doing more to honor the bravery of our men and women in uniform, not tearing down the symbols of their valor. #SCOTUS #PeaceCross https://thehill.com/regulation/449496-supreme-court-rules-cross-at-state-run-wwi-memorial-can-remain …",1141796791106621443,2019-06-20,19:55:43,repmarkwalker,1,8,32
America welcomes the refugee but we must be ever-vigilant of those wishing to do us harm. We are thankful that the hard work of the FBI prevented this attack on a place of worship.,1141730502216470530,2019-06-20,15:32:18,repmarkwalker,3,1,10
This foiled plot by a Syrian refugee to bomb a Pittsburgh church underscores the importance of gathering proactive intelligence and having a basic knowledge of who is coming into our country – both at the border and through refugee vetting processes.,1141730499846688768,2019-06-20,15:32:18,repmarkwalker,1,2,10
"While ISIS’s self-proclaimed caliphate in Iraq and Syria has been virtually destroyed, the United States must remain diligent in stopping efforts to encourage and execute homegrown terrorism. This is the 99th homegrown terror plot or attack since 9/11. https://www.cnn.com/2019/06/19/politics/syrian-refugee-arrested-isis-attack/index.html …",1141730498324025344,2019-06-20,15:32:17,repmarkwalker,1,6,8
"A House committee chairman harassing a Hollywood PR consultant because he didn’t like the conclusion of a two-year investigation seems pretty “absurd.”

@RepJerryNadler, how about your committee actually does something? Like pass asylum reform to stop the border crisis. https://twitter.com/mkraju/status/1141342246383640577 …",1141413488478367746,2019-06-19,18:32:36,repmarkwalker,8,5,13
"1⃣5⃣ times House Dems have blocked humanitarian border aid. Unless they let us vote and address the #BorderCrisis, @HHSGov will soon run out of funds to care for unaccompanied children.

It's time to stop putting politics ahead of the safety of migrant children and our officers. pic.twitter.com/mTbj1wm0eK",1141388513449074689,2019-06-19,16:53:22,repmarkwalker,48,79,200
Sounds more like a wind symphony!,1141367056719392768,2019-06-19,15:28:06,repmarkwalker,0,1,2
"On June 19, 1865, Union soldiers arrived in Texas proclaiming the “absolute equality of rights” and that all slaves were free. While it took us longer to fulfill that promise, 154 years later we celebrate #Juneteenth to commemorate the end of slavery in our country. pic.twitter.com/uDgApQCaZI",1141326010094379008,2019-06-19,12:45:00,repmarkwalker,3,17,36
"While everyone outdoes each other in absurdity, there is still a crisis at our border. Migrant conditions are unsafe and our law enforcement officers are in danger.

Congress needs to pass humanitarian aid and stop putting politics before people.",1141085108805545984,2019-06-18,20:47:44,repmarkwalker,9,11,25
"Happy Birthday, Anna Claire! 

Thirteen years ago, you were born on Father’s Day and you have been a joy to all of us ever since. 

Allow God to lead your path. 

I love you and look forward to seeing you this week. pic.twitter.com/13IdscHlWr",1141062901807165440,2019-06-18,19:19:30,repmarkwalker,1,5,36
I’m inspired by Carla’s dedication to making a real difference in the lives of mothers and children with compassion and service. Thank you Carla for being a @GSOCareCenter volunteer and a #NC06 community hero. https://walker.house.gov/media-center/press-releases/walker-honors-guilford-county-s-carla-stowers-community-hero-month …,1141017178231189504,2019-06-18,16:17:49,repmarkwalker,5,4,8
"Well said, @JohnnyCTaylorJr! We need to keep working to close the skills gap and help Americans get the knowledge and training they need to compete for good-paying and in-demand careers. https://twitter.com/WhiteHouse/status/1140718048460103681 …",1140719126878572545,2019-06-17,20:33:28,repmarkwalker,1,2,10
"Four years ago, hate went into a sacred church & killed nine innocent lives.

In the face of evil, love won.

Thank you, #EmanuelAME, for showing forgiveness, strength & grace.

We continue to pray & do all we can to ensure the light always outshines the darkness.

#NeverForget pic.twitter.com/4qlkRLF9tV",1140626035496706049,2019-06-17,14:23:33,repmarkwalker,5,31,75
"Dad, you're still the greatest man I've ever met. Thank you for showing me what it means to love people and love God. Happy Fathers Day! pic.twitter.com/7kteiprbup",1140374560409358336,2019-06-16,21:44:16,repmarkwalker,2,5,42
