tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Congratulations, @AuburnMBB! Next stop: Final Four. https://twitter.com/AuburnMBB/status/1112457092944855041 …",1112477372543053824,2019-03-31,22:10:49,repmartharoby,0,4,19
War Eagle! Congratulations to the @AuburnU men’s basketball team on last night’s big win. On to the Elite 8! https://twitter.com/CollegeGameDay/status/1111804611394977794 …,1111975019591151617,2019-03-30,12:54:38,repmartharoby,1,1,46
"On this #VietnamWarVeteransDay, we honor all those who bravely served and sacrificed for our great country and our uniquely American freedoms. https://twitter.com/VVMF/status/1111576986185400320 …",1111713610504523781,2019-03-29,19:35:54,repmartharoby,2,0,6
"Honda execs stopped by yesterday to discuss patents & technology. As Ranking Member of the House Judiciary Subcommittee on Courts, IP, & the Internet, it's vital that I hear from those impacted by our Subcommittee's work. Thanks for meeting w/ me & sharing your experiences. pic.twitter.com/yXSsCuXoPQ",1111292621970964481,2019-03-28,15:43:02,repmartharoby,1,0,6
"The deadline to apply for my 2019 summer internship program is quickly approaching on Friday, April 12! Learn more about this exciting opportunity & access the application in my weekly column via @yhn: https://yellowhammernews.com/roby-congressional-internships-provide-valuable-opportunities/ …",1111261934211469312,2019-03-28,13:41:06,repmartharoby,0,2,3
"During a MilCon-VA hearing today, I told VA Secretary Wilkie that my #1 goal for the VA's FY2020 budget is that our nation's veterans are finally taken care of. With this healthy budget, I expect to see some results delivered. Watch the hearing live here:  https://www.youtube.com/watch?v=5K5QVmIl71w&feature=youtu.be … pic.twitter.com/Wy1Fs7ZapF",1110973163939291136,2019-03-27,18:33:37,repmartharoby,7,3,10
"Today I met w/ the Director of the AL Fusion Center, Jay Moseley. We had a great discussion about their work to prevent human trafficking throughout AL-02 & the entire state. Until the number of human beings trafficked reaches 0, our work isn't complete. Thanks for meeting w/ me! pic.twitter.com/IlVrUZi8mA",1110972788129570816,2019-03-27,18:32:08,repmartharoby,1,0,5
"This afternoon I met with GKN Aerospace, an F-35 supplier. They updated me on the status of the F-35 program and its positive impact on Alabama. Thank you for coming by! pic.twitter.com/sMc05NrSac",1110958119503515648,2019-03-27,17:33:50,repmartharoby,1,3,9
"As Ranking Member of the House Judiciary Subcommittee on Courts, Intellectual Property, and the Internet, I am glad to be participating in this important conversation today. https://twitter.com/JudiciaryGOP/status/1110913501634150401 …",1110914767407976448,2019-03-27,14:41:35,repmartharoby,1,2,9
Students from @uasga just stopped by my office – what an impressive group of young leaders. Thanks for the update about all the exciting things happening on campus. pic.twitter.com/YYK7lONnW3,1110658049264570369,2019-03-26,21:41:28,repmartharoby,0,0,4
"The conversation about providing access to affordable, quality childcare is not new, but as more women join & choose to stay in the workforce, it has become increasingly important. It's time for us to find a way to offer cost-effective & accessible childcare to working families. https://twitter.com/firstfiveyears/status/1110613384012185601 …",1110615146576207872,2019-03-26,18:50:59,repmartharoby,2,10,24
