tweet,id,date,time,username,replies_count,retweets_count,likes_count
I now call on Members of Congress to come together on a legislative solution to strengthen border security and fix our broken immigration laws once and for all. I look forward to the President signing this bill into law.,1144356409993244672,2019-06-27,21:26:43,repmccaul,1,5,9
"This bill is long overdue and I’m pleased the Democrats chose to accept what was a strong, common-sense solution to begin with. This bill is a compassionate solution that will help the children at our southern border by providing $4.6 billion to address our humanitarian crisis.",1144356409309573120,2019-06-27,21:26:43,repmccaul,17,4,7
Almost 8% of American adults experience #PTSD in their life and around 11-20% of veterans have PTSD. You can help by sharing resources available through @DeptVetAffairs' website:  https://www.ptsd.va.gov/  #PTSDAwarenessMonth pic.twitter.com/wR03O3joif,1144341546621440000,2019-06-27,20:27:40,repmccaul,0,2,2
The Senate just acted in good faith & passed bipartisan legislation to provide $4.6 billion in humanitarian aid to alleviate the crisis at our southern border. I urge @SpeakerPelosi to take up this package as passed for a vote ASAP.,1143986416323612677,2019-06-26,20:56:30,repmccaul,38,46,153
"Republicans have put forth legislative solutions to alleviate the humanitarian crisis at our border. If Democrats truly wanted to help those suffering, they would not have waited until this week – when the crisis is at a breaking point – to act. https://www.foxnews.com/opinion/rep-michael-mccaul-border-crisis-immigration-democrats-house-politics …",1143970329720774656,2019-06-26,19:52:35,repmccaul,198,420,1498
"Earlier this week I called for immediate humanitarian aid to help the unaccompanied children at our southern border. I stand by this call. Instead of working with Republicans to find a solution, House Democrats put forward a partisan bill. MORE ⇓  http://bit.ly/2Xclv7l  pic.twitter.com/ksoxMhUY3r",1143900612502986758,2019-06-26,15:15:33,repmccaul,12,3,5
Reprehensible that many @HouseDems are accusing @POTUS of pushing Iran to attack the United States. Sad & un-American for them to side with our 40-year enemy who is responsible for the deaths of hundreds of Americans. I urge my colleagues to stop.,1143882720466153473,2019-06-26,14:04:27,repmccaul,53,43,168
"The FIRST Robotics Program, @FTCViperBots from @VandegriftHS are attending the FIRST National Advocacy Conference in Washington D.C. Today, I had the opportunity to meet with them and discuss their efforts to promote #STEM education. pic.twitter.com/3ooKnwn1wj",1143624786280669189,2019-06-25,20:59:31,repmccaul,0,2,3
"After fighting super-villains on screen, @chrisevans is fighting #fakenews off screen by educating the next gen of Americans on issues that affect us all. Enjoyed talking to him about bringing civility back to politics & appreciate he’s working w/ leaders of both parties on this. pic.twitter.com/lNaMPwTIGO",1143616344480505856,2019-06-25,20:25:58,repmccaul,11,83,298
A great conversation this morning with @BillGates! We discussed the importance of United States aid in foreign countries to tackle global health challenges and the necessary public-private partnerships that make these efforts possible. Thanks for stopping by! pic.twitter.com/QINfVvk423,1143566827089514497,2019-06-25,17:09:12,repmccaul,3,4,6
"I participated in a bipartisan meeting with Canadian PM Justin Trudeau about the #USMCA. Texas exports $120 billion per year to Canada & Mexico, which supports over 948,000 jobs in Texas. We need to get this done! More ↓ http://bit.ly/2WYj9Zp ",1142164471168811013,2019-06-21,20:16:44,repmccaul,17,22,84
"Sharing more than the love of Texas...nice tie, @DanCrenshawTX! pic.twitter.com/nb35nqOWjv",1141870051341012999,2019-06-21,00:46:49,repmccaul,9,9,76
"Today, I introduced sound bipartisan legislation with @RepMikeRogersAL, @RepCuellar, @USRepKeating, and @SenMcSallyAZ to detect and deter illicit entry to the United States. You can learn more about the legislation here: http://bit.ly/2FnIvoZ ",1141828480881106945,2019-06-20,22:01:38,repmccaul,2,0,1
