tweet,id,date,time,username,replies_count,retweets_count,likes_count
". @WhipClyburn's bill, #HR1112 would allow the FBI more time to run background checks so we can stop prohibited gun owners from slipping through the cracks.",1101148362013925377,2019-02-28,15:53:22,repmceachin,4,6,13
"He then used that weapon to murder 9 innocent worshipers at a Bible  study at the Emanuel AME Church in Charleston, SC. We must fix the #CharlestonLoophole now!",1101148197701984261,2019-02-28,15:52:43,repmceachin,3,8,12
"In 2015, the #CharlestonLoophole allowed someone with a criminal background to buy a gun even though his background check wasn't completed.",1101148115615342592,2019-02-28,15:52:23,repmceachin,3,7,7
Acting Administrator Wheeler is unfit to lead the @EPA. We must #StopWheeler. https://twitter.com/SenatorCarper/status/1100838938120544257 …,1100865804365631511,2019-02-27,21:10:35,repmceachin,5,33,91
Today is a new day – Congress is taking bipartisan action to keep communities safe by passing #HR8. I am a co-sponsor of this bill because I firmly believe we must #EndGunViolence. One life lost to gun violence is one too many.,1100841805799743488,2019-02-27,19:35:13,repmceachin,2,7,29
I’m starting my morning with a conversation about #healthcare with @CQHealthTweet’s @LaClason. pic.twitter.com/HKCW4KElPK – at Newseum,1100769184072503296,2019-02-27,14:46:39,repmceachin,0,2,10
I swore an oath to defend our Constitution. That is why I voted to protect the separation of powers by rejecting Trump’s #FakeEmergency. https://twitter.com/nytimes/status/1100540276760821760 …,1100747947631935488,2019-02-27,13:22:16,repmceachin,6,13,50
"In my district, #LWCF has protected important stretches of the James River—both the water and the shore.",1100479599107035138,2019-02-26,19:35:57,repmceachin,1,0,6
"Because of #LWCF, people across the country have the chance to explore the great outdoors—taking in sunshine, breathing clean air, and enjoying beautiful vistas they might never otherwise have seen.",1100478991734095873,2019-02-26,19:33:32,repmceachin,0,0,5
"The #PublicLands package is the biggest conservation agreement passed in years. 🌎 Today, @HouseDemocrats are voting to permanently reauthorize #LWCF, protect millions of acres of lands from mining and save taxpayers $9 million.",1100477705542340608,2019-02-26,19:28:25,repmceachin,2,21,70
Thank you ⁦@weact4ej⁩ for hosting today’s #RenewableEnergy and #GreenJobs briefing in partnership with me. pic.twitter.com/GpCefdMPdh,1100422945799843840,2019-02-26,15:50:49,repmceachin,1,7,14
"My heart sank when I heard about the mass shooting in Aurora, IL. Thank you to the first responders for your service. https://twitter.com/NBCNews/status/1096536080638189569 …",1096544378078855168,2019-02-15,22:58:47,repmceachin,0,2,6
The #DirtyWaterRule would put the drinking water sources for millions at risk. You can tell @EPA to drop this outrageous proposal today by submitting your comment here ➡  http://bit.ly/2N5jzFa .  #ProtectCleanWater,1096408792139476992,2019-02-15,14:00:00,repmceachin,1,3,5
I am honored to lead today’s @NRDems #BlackHistoryMonth forum to discuss the centuries of important work the African-American community has done to protect our natural and cultural resources.,1096113038753701889,2019-02-14,18:24:47,repmceachin,0,5,17
The @NRDems #BlackHistoryMonth forum is underway! You can watch the conversation live here:  http://bit.ly/2tkHd7C ,1096111118202929154,2019-02-14,18:17:09,repmceachin,0,1,4
"My office has received an outpouring of support for #HR8, like this postcard from Elizabeth. I am a proud co-sponsor of the bipartisan background checks bill because it is time to #EndGunViolenceTogether. pic.twitter.com/xwUFPgeVdV",1095764732420804608,2019-02-13,19:20:45,repmceachin,2,2,18
I am excited to see that my colleagues in the Senate passed legislation  to permanently reauthorize the #LWCF on a bipartisan basis. This bill  recognizes the importance of preserving our unique American landscapes  for future generations. https://twitter.com/NRDems/status/1095459337731010560 …,1095731445182722048,2019-02-13,17:08:28,repmceachin,0,1,18
"In Virginia alone, more than 20 communities have officially voiced their opposition to seismic surveys and offshore drilling, including Virginia Beach and Norfolk – Virginia’s most populous cities. #ProtectOurCoast",1095412888972472326,2019-02-12,20:02:39,repmceachin,0,3,9
"I urge the administration to listen to Virginians, who have expressed vehement opposition to all forms of oil and gas exploration off Virginia’s coast. https://www.dailypress.com/news/science/dp-nws-seismic-tests-congress-20190212-story.html …",1095412626836934663,2019-02-12,20:01:36,repmceachin,1,7,19
"History has shown us that offshore drilling accidents can irrevocably harm coastal communities’ economies, public health and marine life – and compromise military activities that are important to national security. #ProtectOurCoast #BlockTheBlast",1095411843076624384,2019-02-12,19:58:29,repmceachin,1,10,24
Virginians have too much to lose when we prioritize polluters’ profits over the health and safety of our ocean and coastal communities.,1095411447872536576,2019-02-12,19:56:55,repmceachin,0,8,27
"Today, I led a letter in opposition to seismic airgun blasts and offshore drilling off the coast of Virginia that was signed by every Democratic member of our delegation. pic.twitter.com/CFToGWCvXC",1095411359729242114,2019-02-12,19:56:34,repmceachin,8,72,205
I proudly co-sponsored the #FAMILYAct so that we can establish a national paid leave system for Virginians and families across the country.,1095403414857674752,2019-02-12,19:25:00,repmceachin,0,0,3
A national #paidleave policy would shift #caregiving norms and making workplaces more equitable and family friendly.,1095402156503445504,2019-02-12,19:20:00,repmceachin,0,0,0
"At some point in our lives, all working people will need access to #paidleave. The #FAMILYAct would set a national standard and advance the FMLA's vision of more equitable and family-friendly workplaces.",1095400898707288064,2019-02-12,19:15:00,repmceachin,0,2,4
#HappeningNow I’m on @CNNTonight with @DonLemon.,1095168600732823557,2019-02-12,03:51:56,repmceachin,4,1,5
"Given recent developments, I believe that it is best for the Commonwealth of Virginia if Justin Fairfax dealt with these accusations as a private citizen. He can no longer serve us as the Lieutenant Governor of Virginia.",1094007933090844672,2019-02-08,22:59:51,repmceachin,181,546,3646
"This week as I began service on the @EnergyCommerce committee, it was clear that the spirit and legacy of @JohnDingell lived on through our work. Rep. John Dingell is a legendary public servant who will be sorely missed.",1093852425541337090,2019-02-08,12:41:55,repmceachin,0,5,21
Thank you @RevYearwood and @Kingdomliving4u for the longstanding partnership and your unwavering commitment to #ActOnClimate.,1093163656802529284,2019-02-06,15:05:00,repmceachin,4,6,13
Minority communities deserve equal representation as we discuss #environmentaljustice solutions.,1093162400612667393,2019-02-06,15:00:00,repmceachin,1,2,10
I have worked hard to ensure that we have more voices of color as we discuss energy and environment issues. That is why I co-founded the United for Climate and Environmental Justice Task Force.,1093159881924849664,2019-02-06,14:50:00,repmceachin,4,4,20
The fact is that communities of color are disproportionately impacted by environmental injustices that can harm their public health and economic livelihoods. Having voices from these communities at the table is critical.,1093158623209959424,2019-02-06,14:45:00,repmceachin,3,12,33
I have worked with @RevYearwood and @Kingdomliving4u throughout my tenure in Congress. Here are two prominent leaders on the front lines in our communities as we fight for #environmentaljustice across the country.,1093157770378072064,2019-02-06,14:41:37,repmceachin,0,2,7
"On behalf of the @OfficialCBC Environmental and Agriculture Task Force, I am thrilled to see two friends serve as witnesses for the first #climatechange hearings in 6 years. @RevYearwood @KingdomLiving4u pic.twitter.com/oyGGVXvf4I",1093157587594416128,2019-02-06,14:40:53,repmceachin,2,8,10
"Thank you, Petty Officer Second Class Megan Winters for joining me as my guest for last night’s #SOTU address. Thank you for sharing your experiences with me and please know I will continue to fight for equality in our military. pic.twitter.com/wxobG4wj4W",1093154849242308608,2019-02-06,14:30:00,repmceachin,0,5,24
I’m #outfront with ⁦@ErinBurnett⁩ right now. pic.twitter.com/WCELqj8ugD,1092944079456010245,2019-02-06,00:32:29,repmceachin,1,1,9
"I am honored to have Petty Officer Second Class Megan Winters, a transgender active-duty member of the U.S. Navy, join me as my guest for tonight’s State of the Union address. https://www.vox.com/policy-and-politics/2019/2/4/18210530/transgender-military-trump-state-of-the-union …",1092926533268881408,2019-02-05,23:22:45,repmceachin,2,4,34
I look forward to my discussion with @ErinBurnett on @OutFrontCNN this evening at 7:30p. #OutFront,1092916671210315778,2019-02-05,22:43:34,repmceachin,0,0,3
Here is a link to my op-ed in the @virginianpilot explaining why I believe the #SOTU should address the state of our #climate. https://pilotonline.com/opinion/columnist/guest/article_8ea8bbca-25af-11e9-9fe5-cfe2df2baed7.html …,1092912597861576710,2019-02-05,22:27:23,repmceachin,2,4,7
"Today on @MeetThePress: ""Ralph should have known better."" pic.twitter.com/DdDqDGkUve",1092083553595199488,2019-02-03,15:33:03,repmceachin,5,8,43
My official statement calling for Northam to resign: pic.twitter.com/nHVOgx6ibq,1091536670263070721,2019-02-02,03:19:56,repmceachin,57,318,1100
Let us use this 400th anniversary and the entire #BlackHistoryMonth to take every opportunity to recommit ourselves to acknowledging the stain of slavery and racism on our country and take the steps we need to truly find equality for all.,1091394500524535808,2019-02-01,17:55:00,repmceachin,6,19,73
"Now in 2019, we continue to see far too many African-Americans struggle from the systemic racism that began 400 years ago in Jamestown.",1091393241029726208,2019-02-01,17:50:00,repmceachin,4,3,13
"On this first day of #BlackHistoryMonth, we commemorate the first Africans who were brought here to Virginia as slaves in 1619 - 400 years ago.",1091391982306357248,2019-02-01,17:45:00,repmceachin,3,0,10
My @NRDems colleagues and I are interested in hearing your #ClimateChangeImpactsMe stories.,1091369196825518083,2019-02-01,16:14:27,repmceachin,0,1,5
"We know that #climatechange directly impacts Americans across the country – as it is making our wildfires bigger, floods worse and hurricanes stronger. How have you been impacted by climate change? You can share your #ClimateChangeImpactsMe story at  http://bit.ly/2WAz5NF .",1091368667210805249,2019-02-01,16:12:21,repmceachin,2,13,20
