tweet,id,date,time,username,replies_count,retweets_count,likes_count
Thank you for inviting me & letting me stop by to say hello! https://twitter.com/SPS_Partners/status/1134175462681452544 …,1134501801032593411,2019-05-31,16:48:02,repmcgovern,0,1,7
"Tomorrow, Jon Niedzielski will begin serving as my District Director & Kelly Brissette as Deputy District Director. We're grateful & lucky to have such dedicated & hardworking public servants working #ForThePeople of #MA02! http://www.golocalworcester.com/politics/mcgovern-names-former-obama-appointee-niedzielski-district-director?fbclid=IwAR0ndM2wM-c3AhyY5aO-rfMG67sXuDLfW3oJgyTg8HyLsvlZ7rtaN6a7A4s …",1134501225888702466,2019-05-31,16:45:44,repmcgovern,0,2,12
"Wow. Here’s what the objective, nonpartisan economic experts at the Congressional Research Service had to say this week about Republicans’ 2017 #GOPTaxScam: “most of the tax cut benefited corporations” & “the individual income tax cut largely went to higher-income individuals.” pic.twitter.com/FrRk1YA6wb",1134280222742929409,2019-05-31,02:07:33,repmcgovern,12,50,105
Proud to join @repmarkpocan signing onto this important letter. Workers have the right to decide for themselves whether to form a union. @Delta should immediately end all anti-union activity and respect their workers’ rights. https://twitter.com/repmarkpocan/status/1133842228642754560 …,1134174253740449792,2019-05-30,19:06:28,repmcgovern,4,38,91
 pic.twitter.com/cD7o44gPrK,1134121387998818307,2019-05-30,15:36:24,repmcgovern,19,23,98
"Trump is a small, petty man — a coward that dodged the draft, lived off daddy’s money & became president because Russia helped him win. 

His fear is that he will never be a great leader like John McCain was, and he is 100% right. https://twitter.com/rebeccaballhaus/status/1133882529335980032 …",1134102972542201856,2019-05-30,14:23:13,repmcgovern,24,55,205
"We need to expand our idea of what hunger looks like in America — there are thousands of students who struggle with food insecurity when balancing living expenses, tuition, and food. Thank you @MountWachusett for working to #EndHungerNow with your Food for Thought: Campus Pantry. https://twitter.com/MountWachusett/status/1133469152356786177 …",1133553010829864961,2019-05-29,01:57:52,repmcgovern,2,8,31
Grateful to everyone at the #Leominster Veterans Center for all you do every day to serve those who have served. Glad I got to stop by & say thank you! 🇺🇸 pic.twitter.com/4mPgBnUiDF,1133509277916778497,2019-05-28,23:04:06,repmcgovern,0,0,12
"In 72 hours, Missouri could become the first state in the country without a health center that provides safe, legal abortion. 

This is unacceptable. RT to say we will fight back to #StopTheBans!
 https://www.cbsnews.com/news/planned-parenthood-missouri-last-abortion-clinic-says-it-may-lose-its-license-this-week-exclusive-2019-05-28/ … #StoptheBans",1133463051489955840,2019-05-28,20:00:24,repmcgovern,5,18,25
"We can never repay the debt we owe them. Yet as we express our appreciation, we must not forget that the highest form of gratitude is to live by their example, serve our communities & our country, and work towards justice, equality, and freedom for all Americans. pic.twitter.com/DptQWi7CQ2",1133059841851834369,2019-05-27,17:18:12,repmcgovern,1,5,25
"This Memorial Day in #Leominster and #Sutton, we remembered and honored the brave men and women who have paid the ultimate price to defend our nation and everything we hold dear. pic.twitter.com/n1dRTwCIyo",1133059827213754368,2019-05-27,17:18:08,repmcgovern,2,6,33
"What happens in Colombia will affect the US -- and indeed our whole hemisphere -- for decades to come.

The US must stand for human rights & speak out in support of those who are fighting for freedom & equality. @SecPompeo should push for full implementation of the peace accords.",1132077302299414528,2019-05-25,00:13:56,repmcgovern,16,40,79
#Colombia is facing this crisis at a critical time as they attempt to implement the historic peace accords which ended their decades-long war. The peace agreement must not be allowed to unravel or founder. Colombia's peace is too precious to abandon. https://www.nytimes.com/2019/05/23/opinion/colombia-peace-agreement.html …,1132077301565448193,2019-05-25,00:13:56,repmcgovern,7,23,60
We are deeply concerned about the recent spike in killings of human rights defenders & human rights activists. The U.S. Government must insist on protecting these targeted groups & cannot turn a blind eye to the political violence which is being used against them. pic.twitter.com/GHrzsruuxN,1132077296108675077,2019-05-25,00:13:55,repmcgovern,14,36,65
"BREAKING: @RepSchakowsky, @repjohnlewis & I are leading 79 colleagues asking @SecPompeo to urge the Colombian Government to fully implement the 2016 peace accord & protect human rights defenders. pic.twitter.com/MMSHt5sxeM",1132077290727366656,2019-05-25,00:13:53,repmcgovern,35,80,151
"ICYMI: this week, I sat down with @rollcall to talk about my time as an intern & how important it is that young people on both sides of the aisle can build a future for themselves in public service and make a difference in their communities. https://www.rollcall.com/news/hoh/jim-mcgovern-george-mcgovern?utm_source=morningheadlines&utm_medium=email&utm_campaign=newsletters&utm_content=05%2F24%2F2019&fbclid=IwAR2Y-opmSnMruOalwOolitMpxs7zyisxJbNC95EFkSBbDamkQaG_f2eouMU …",1132070956221063168,2019-05-24,23:48:43,repmcgovern,3,8,18
I strongly urge Chief Executive Carrie Lam to preserve #HongKong’s reputation as a center of commerce governed by rule of law & withdraw the proposed extradition bill. Read our letter ⬇️⬇️ https://twitter.com/Nectar_Gan/status/1131954895236554752 …,1131960108093779968,2019-05-24,16:28:15,repmcgovern,3,22,31
What an honor it was to spend the evening sharing our nation’s history with Grafton Middle School’s 8th Grade. Loved getting to tell them all about what happens at the @uscapitol & answer their questions on the House Floor! https://twitter.com/gmsgrafton/status/1131698969137090560 …,1131760850732224513,2019-05-24,03:16:28,repmcgovern,0,4,25
Two years ago I started joining 93.9 WRSI @River939 live at 7:30am every Thursday to give a D.C. update & answer questions. It’s something I look forward to every week now & today was our 100th episode. Thanks for being such a great host @MonteBelmonte! https://wrsi.com/monte/the-i-word-mcgoverning-with-mcgovern/ …,1131748922341433346,2019-05-24,02:29:04,repmcgovern,1,5,10
"Voted YES today on the SECURE Act, which fixes an unfair provision in the 2017 #GOPTaxScam which saddled Gold Star families w/ massive tax hikes. 

We must always honor our commitment those who serve our nation in uniform & their families. https://www.washingtonexaminer.com/policy/economy/house-passes-fix-for-gold-star-family-tax-hikes …",1131710199138607104,2019-05-23,23:55:12,repmcgovern,2,9,22
"4/ ...for its citizens and their basic human rights, including religious freedom. I call on the Saudi authorities to drop all charges against Salman al-Odah, Ali al-Omari and Awad al-Qarni and to release them and all other prisoners of conscience immediately.",1131700508044013575,2019-05-23,23:16:41,repmcgovern,3,8,27
"3/ I have introduced legislation to halt all arms sales to the Saudi government following the murder of Jamal Khashoggi – and a bipartisan, bicameral group in Congress is growing increasingly alarmed by the Saudi Government’s lack of respect...",1131700506794090497,2019-05-23,23:16:41,repmcgovern,4,10,33
"2/ ...for their execution. What kind of “justice” system is that? The Saudi government seems to believe that the United States & the international community will turn a blind eye to their increasingly brazen human rights violations, but they are sorely mistaken.",1131700505531625472,2019-05-23,23:16:41,repmcgovern,1,4,8
1/ I am deeply distressed by news reports that the #Saudi Government plans to execute three prominent moderate Sunni Muslim clerics shortly after Ramadan. These men have been imprisoned since September 2017 without trial – yet government sources have already confirmed plans... https://twitter.com/TLHumanRights/status/1131657535449108480 …,1131700503338016770,2019-05-23,23:16:40,repmcgovern,11,23,50
"Just like everything else this president says, his infrastructure plan was a lie. We have bridges in Massachusetts that are older than some states in America, but his temper tantrums continue to hold back our country & hurt Massachusetts families. Shame on him. https://twitter.com/nytimes/status/1131236411938623488 …",1131309292810854400,2019-05-22,21:22:08,repmcgovern,13,22,118
"First stop this morning was a 7:00am tour of the Capitol Building w/ Auburn Middle School. Always exciting to share our nation’s history w/ students from #MA02!

Did you know you can sign up for tours through my office? Visit my website to find out more:  https://mcgovern.house.gov/forms/tourrequest/ … pic.twitter.com/SmgmVUp6bm – at United States Capitol Building",1131196766076985352,2019-05-22,13:55:00,repmcgovern,0,1,18
"100 years ago today, the House of Representatives passed the 19th amendment guaranteeing women the right to vote.

While it was a big step forward toward a more perfect union, the fight for full equality & participation in our democracy is far from over. The work goes on! pic.twitter.com/d2s7ifDGCJ",1130906531866796032,2019-05-21,18:41:43,repmcgovern,3,25,73
"We’re not doing enough to support veterans in crisis, but @VetAffairsDems is working to change that. If you or a veteran you know is dealing with thoughts of suicide, you can contact your regional VA or text the veteran crisis line at: 838255 https://abcnews.go.com/Politics/legislation-address-uptick-veteran-suicides-va-facilities/story?id=62462330 …",1130897293379604480,2019-05-21,18:05:00,repmcgovern,2,5,10
It was a great honor to address the class of 2019 at the Friedman School of Nutrition Science & Policy at @TuftsUniversity. I’m proud of everything you have accomplished & I can’t wait to see what comes next. https://medium.com/@RepMcGovern/mcgovern-delivers-commencement-address-at-tufts-university-friedman-school-of-nutrition-science-c701f5d68ef1 …,1130663193469214720,2019-05-21,02:34:46,repmcgovern,2,9,50
"Alana, I can't begin tell you how much this means to me. It's full circle for me to see students taking the lead & building the political will to end hunger. Keep up the fight! https://twitter.com/AlanaRDavidson/status/1130481437755543553 …",1130515597526278145,2019-05-20,16:48:17,repmcgovern,1,6,40
"Honored to be w/ @SpeakerPelosi as she accepted the @JFKLibrary #ProfileInCourage Award tonight.

“It was not arrogance, but courage that launched this historic experiment in democracy,” she said. Thank you Madam Speaker for embodying that courage every day. https://twitter.com/SpeakerPelosi/status/1130178228801462272 …",1130303623156699138,2019-05-20,02:45:58,repmcgovern,71,114,450
Can one of the “adults” that’s supposedly at the @WhiteHouse please get the president’s tweets under control before he starts another world war? Thanks. https://twitter.com/realDonaldTrump/status/1130207891049332737 …,1130245092080590850,2019-05-19,22:53:23,repmcgovern,296,717,2331
Thank you Professor Masters — such a pleasure to speak to the amazing @TuftsNutrition class of 2019 today! https://twitter.com/wamasters/status/1130142926313410560 …,1130231962436874242,2019-05-19,22:01:13,repmcgovern,2,8,31
"Thanks for coming, Ilyse! Appreciate you taking the time to speak out for the issues you believe in. I can’t tell you how much that means to me. https://twitter.com/IlyseKanji/status/1129814576479068160 …",1129851351360581632,2019-05-18,20:48:48,repmcgovern,0,5,16
Rules Committee schedule for next week ⬇️ https://twitter.com/RulesDemocrats/status/1129127196021395456 …,1129812717571907585,2019-05-18,18:15:17,repmcgovern,1,5,12
