tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Don’t let Republicans fool you – @HouseDemocrats have worked tirelessly to deliver on our promises to the American people.

We didn’t run for office to impeach the president, but make no mistake: we will uphold our oath and counteract this president’s abuse of power. pic.twitter.com/52KMkh623H",1190038992126980096,2019-10-31,22:53:00,repmcgovern,31,47,158
"Republicans want to talk about a “sham process,” so let’s talk about a sham process. Article I of the constitution gives the House the right to investigate the President, but the White House is obstructing our investigation at every turn! pic.twitter.com/DcUjxaf543",1189995707278745602,2019-10-31,20:01:00,repmcgovern,14,43,140
"My opening remarks as the House of Representatives begins consideration of H.Res. 660, a resolution to ensure transparency, enable effective public hearings, and provide important due process protections for the President as our impeachment inquiry moves forward. pic.twitter.com/P4sdacmfuB",1189912281053876225,2019-10-31,14:29:29,repmcgovern,68,54,190
The House will ensure the public-facing phase of this inquiry is transparent and will stand the test of time. That’s what Members of Congress deserve. It’s what the president deserves. And it’s what the American people deserve. https://twitter.com/BostonGlobe/status/1189754557586452486 …,1189884052200804352,2019-10-31,12:37:19,repmcgovern,92,42,127
Wishing everyone a fun and safe #Halloween with family and friends tonight! #HappyHalloween pic.twitter.com/2FST5RACBb,1189876169262477317,2019-10-31,12:06:00,repmcgovern,38,24,87
✅ @HouseDemocrats continue to deliver on our promises to the American people by ensuring that our precious public lands are protected and preserved for future generations to enjoy. https://twitter.com/NRDems/status/1189667976439427072 …,1189769803462008835,2019-10-31,05:03:20,repmcgovern,4,10,43
"Thank you, @MindyForMA. I’m truly grateful to have strong allies like you in this fight and the support of so many people back home. His childish nicknames and bullying won’t stop us from exposing the truth and holding him accountable! https://twitter.com/MindyForMA/status/1189734261496131584 …",1189765640195911683,2019-10-31,04:46:48,repmcgovern,8,6,58
"Thank you, @lauraoften! -Grateful for your support. https://twitter.com/lauraoften/status/1189716969806876674 …",1189762317136859137,2019-10-31,04:33:35,repmcgovern,2,1,22
We will continue to stand up to the Trump Administration’s special interest agenda and protect our most sacred natural parks and open spaces.,1189680150327242757,2019-10-30,23:07:05,repmcgovern,17,8,27
"The Grand Canyon Centennial Protection Act is an essential piece of @HouseDemocrats commitment to protecting our public lands and national parks & upholding our moral responsibility to leave a healthy, sustainable future for generations to come.",1189680148511100929,2019-10-30,23:07:05,repmcgovern,2,7,19
This bill makes permanent an existing mining ban for public land surrounding the Grand Canyon and permanently prohibits new mining claims on approximately one million acres of public land surrounding Grand Canyon National Park.,1189680146564964352,2019-10-30,23:07:04,repmcgovern,2,4,13
"Proud to vote YES on H.R. 1373, @RepRaulGrijalva’s Grand Canyon Centennial Protection Act. 

As the Trump administration continues to roll back environmental protections, it is more important than ever before that Congress acts to #ProtectOurLands. pic.twitter.com/cTAhw0P86u",1189680128978247680,2019-10-30,23:07:00,repmcgovern,10,21,81
"Right now: the Rules Committee is marking up my resolution to provide a clear pathway forward as we begin the public-facing phase of our impeachment inquiry into the conduct of President Trump. 

My opening remarks here. pic.twitter.com/fzQRqUA8Op",1189627964973076480,2019-10-30,19:39:43,repmcgovern,52,47,174
"While there's bound to be a lot of Ukraine talk coming our way, lets remember the bills @HouseDemocrats have passed to:
✅Protect Healthcare for Americans with Pre-Existing Conditions 
✅Expand Universal Background Checks 
✅Protect Dreamers
✅Address the Climate Crisis",1189599093695373313,2019-10-30,17:45:00,repmcgovern,16,21,65
Yesterday’s “Never Trumper” received a Purple Heart for serving this country. You dodged the draft AND obstructed justice. https://twitter.com/realDonaldTrump/status/1189527179425730560?s=20 …,1189573424672313344,2019-10-30,16:03:00,repmcgovern,14,33,120
They’re going to lie. A lot. https://twitter.com/WhiteHouse/status/1189294036278038529 …,1189570822278701056,2019-10-30,15:52:39,repmcgovern,10,11,59
"Colonel Vindman is a decorated soldier and American patriot.

We should all be grateful for his service to our country and loyalty to his oath of office. https://www.nbcnews.com/politics/trump-impeachment-inquiry/extremely-disturbing-top-dems-alarmed-over-vindman-s-testimony-trump-n1073371 …",1189380408527523840,2019-10-30,03:16:01,repmcgovern,7,13,68
"📺via @wbz @kelleratlarge: Today the House voted to officially recognize the #ArmenianGenocide.

This is a big day for the Armenian community in #Massachusetts and worldwide. Standing up for human rights is an American issue and I was proud to help bring this bill to the floor. pic.twitter.com/8q17ZMn21a",1189364473729040384,2019-10-30,02:12:42,repmcgovern,3,15,50
"The president’s Republican allies in Congress have tried to hide the president’s conduct, but the American people will now see the facts firsthand.

My resolution can be viewed here: https://rules.house.gov/bill/116/h-res-PIH-inquiry …",1189307023093096449,2019-10-29,22:24:25,repmcgovern,12,24,86
"The resolution I introduced today outlines the next steps in this inquiry, including establishing the procedure for public-facing hearings conducted by the Intelligence Committee and the process for transferring evidence to the Judiciary Committee once they are completed.",1189307021817995270,2019-10-29,22:24:24,repmcgovern,4,9,77
"While the President and his allies try to obstruct our investigation and cover up his wrongdoing, the House will continue to do its job and uncover the truth for the American people.",1189307020702310400,2019-10-29,22:24:24,repmcgovern,1,6,55
None of us came to Congress to impeach a president – but each of us took a solemn oath to protect and defend the Constitution.,1189307018743554048,2019-10-29,22:24:24,repmcgovern,33,67,325
"Here is what @HouseDemocrats have done:
-Protect Healthcare for Americans with Pre-Existing Conditions
-Expand Universal Background Checks
-Strengthen Protections for Dreamers
-Address the Climate Crisis

Here is what McConnell has done in the Senate:
-🦗
-🦗
-🦗
-🦗",1189285780029444096,2019-10-29,21:00:00,repmcgovern,9,23,92
"People Mitch McConnell does not like working for:
-Dreamers
-Women
-Workers
-Students
-Gun Violence survivors

People Mitch McConnell does like working for:
-Donald Trump
#McConnellGraveyard pic.twitter.com/RlaoGGLmcx",1189255580646424576,2019-10-29,19:00:00,repmcgovern,6,16,39
"Recognizing this genocide is the right thing to do, and on  behalf of the #Armenian community in Worcester & across Massachusetts I am proud to vote YES.

I wish we took this step long ago, but it is always the right time to do the right thing. https://www.bostonglobe.com/opinion/2019/10/29/resolving-honor-victims-armenian-genocide/YNlQeOzywetUSOprcxWVwM/story.html …",1189252742117806080,2019-10-29,18:48:43,repmcgovern,8,42,102
"Today I managed debate for @RulesDemocrats as we brought to the floor H.Res. 296, a resolution recognizing and memorializing the #ArmenianGenocide. Here are my opening remarks: pic.twitter.com/Z4WXshVDyx",1189251784965009408,2019-10-29,18:44:55,repmcgovern,32,130,382
"Why are you fighting to rip money away from working families and those who served our country, 
@senatemajldr? It's time you do your job and dig up useful legislation out of the #McConnellGraveyard. https://twitter.com/reporterjoe/status/1189191412576706562 …",1189226219071508480,2019-10-29,17:03:20,repmcgovern,3,22,51
"Right now, the Trump Administration is moving us in the wrong direction by giving cover to the forces of hate and bigotry.

We can not let up on our work to defend the dignity and worth of every single person in this country!",1189000382376304641,2019-10-29,02:05:56,repmcgovern,6,5,26
"10 years ago today, President Obama signed into law the Matthew Shepard and James Byrd, Jr. Hate Crimes Prevention Act.

We’ve come a long way, but our fight for equality and justice is far from over. https://twitter.com/CBSNews/status/1188925131806126085 …",1189000379628953600,2019-10-29,02:05:55,repmcgovern,3,4,54
"Salvadoran #TPS holders are friends, family, neighbors, business owners — this is good news, but it’s a stopgap solution.

@HouseDemocrats passed the American Dream and Promise Act months ago to provide a path to citizenship for TPS holders. It’s time for the Senate to vote! https://twitter.com/washingtonpost/status/1188928450813464576 …",1188957830025531392,2019-10-28,23:16:51,repmcgovern,6,6,28
"Cohen: prison
Manafort: prison
Flynn: guilty
Gates: guilty

Here’s what Trump said about—
Bannon: “lost his mind”
Tillerson: “dumb as a rock”
Omarosa: “lowlife”
Sessions: “very weak”

What do they have in common? Our “genius of a president” hired them all. https://twitter.com/CNNPolitics/status/1188520531106127872 …",1188947019630559234,2019-10-28,22:33:53,repmcgovern,9,37,89
"Every Member of Congress took an oath of office to support and defend the Constitution of the United States against all enemies, foreign and domestic.

That is what we intend to do.",1188898835940159489,2019-10-28,19:22:25,repmcgovern,2,13,38
"As committees continue to gather evidence and prepare to present their findings, I will be introducing a resolution, which the Rules Committee will mark up this week, to ensure transparency and provide a clear path forward.",1188898834019209216,2019-10-28,19:22:25,repmcgovern,3,8,30
"There is mounting evidence that the President of the United States betrayed his oath of office by abusing his power, endangering our national security, and compromising the integrity of our elections.",1188898832735723520,2019-10-28,19:22:25,repmcgovern,4,8,15
