tweet,id,date,time,username,replies_count,retweets_count,likes_count
Had a great time in the Clarksburg parade! pic.twitter.com/HkuEVpeQJd,1167877780786184192,2019-08-31,19:12:15,repmckinley,3,1,5
"ICYMI: Yesterday, I heard from physicians and other medical professionals about how to best address the opioid epidemic and how to expand access to non-opioid pain management. https://www.wvnews.com/theet/news/legislation-ideas-emerge-from-mckinley-opioid-roundtable-with-uhc-providers/article_ee88624a-7082-5062-8eb2-482a341ef322.html …",1167166347098382342,2019-08-29,20:05:16,repmckinley,0,0,0
Opioids should not be the only option given to patients who are suffering from acute pain. It was wonderful to speak with doctors and other medical professionals who are looking for alternative treatments for pain. pic.twitter.com/gxAiBrbkL8,1166768143756386304,2019-08-28,17:42:57,repmckinley,1,0,1
"The failure of these companies to take responsibility for their actions is infuriating, this ruling is the first steps in holding producers accountable for the crisis they helped to fuel. https://www.politico.com/story/2019/08/26/johnson-and-johnson-oklahoma-opioids-1475735 …",1166325296255164417,2019-08-27,12:23:14,repmckinley,3,1,0
This week has given me a chance to celebrate job growth in West Virginia. Today I joined NextGen at the ribbon cutting for their new office in Morgantown! pic.twitter.com/PzQO2tR06p,1164562910565326848,2019-08-22,15:40:09,repmckinley,3,2,8
"It was exciting to join Hino as they opened their new factory, but an even more exciting was their announcement. Hino plans to invest an additional $40 million and create 200 plus jobs in West Virginia! pic.twitter.com/uHI4sTpUa7",1164280446768898048,2019-08-21,20:57:44,repmckinley,1,1,3
It was wonderful to tour of the new Hino facility in Mineral Wells and to join them in a tree planting ceremony to honor the opening of this new factory! pic.twitter.com/43Vjcw3SuI,1164244663987003392,2019-08-21,18:35:33,repmckinley,1,1,4
"Oil and natural gas production across our state hit record numbers in 2018. This rise in production has helped to fund fund road improvements, and health care, while also creating jobs! http://www.theintelligencer.net/news/top-headlines/2019/08/marshall-and-ohio-counties-lead-state-in-oil-production/ …",1163856469139361793,2019-08-20,16:53:00,repmckinley,3,2,2
"When someone is struggling with thoughts of suicide or having any mental health crisis the last thing, they are thinking about is looking up a number to call. Having a three-digit easy to remember number can provide someone who is struggling easy access to the help they need. https://twitter.com/AjitPaiFCC/status/1162018496269750275 …",1162089514384449537,2019-08-15,19:51:45,repmckinley,0,1,0
"More good news in our state! @wvsosoffice released a report emphasizing economic growth and new business development in WV. According to the report, all 55 counties  business growth! http://www.newsandsentinel.com/news/business/2019/08/west-virginia-report-highlights-economic-changes/ …",1161981694666334208,2019-08-15,12:43:19,repmckinley,1,2,4
"Governor Justice and I just addressed an overflowing crowd at Wheeling University as they received notice that the higher ed agency will be recommending their accreditation be approved next week.  Great news; thank you, Governor for your involvement.",1161771640847572993,2019-08-14,22:48:38,repmckinley,1,4,7
"President Trump had great things to say on his visit to our region! He saw firsthand how through American ingenuity and research, we have emerged as a leading producer of crude oil & natural gas in the world. http://www.theintelligencer.net/news/top-headlines/2019/08/president-trump-touts-cracker-plant-as-economic-engine/?fbclid=IwAR0lySciTeyfPjD_2Ziy_4_fX_vDbingiNnKwRb_e9N674PojaB8KufZnc0 …",1161680817426456578,2019-08-14,16:47:44,repmckinley,1,3,5
"West Virginia University Research Corporation will receive $1M and Community Care of West Virginia, Inc. will also receive $1M. these funds will be used for prevention and treatment efforts in rural communities across West Virginia.",1161341081457516544,2019-08-13,18:17:45,repmckinley,0,0,3
The Health Resources and Services Administration (HRSA) announced $2 million in grants for prevention and treatment efforts in rural communities across West Virginia.,1161340456757846017,2019-08-13,18:15:16,repmckinley,2,0,3
"The opioid epidemic is a national emergency that is devastating families and communities. That’s why we have taken action to provide more resources to fight the crisis,",1161340455713431554,2019-08-13,18:15:15,repmckinley,2,0,3
It is always wonderful to have the President in our region. Today's tour will help to showcase just some of jobs in the Ohio River Valley that have been created thanks to oil and natural gas! https://twitter.com/realDonaldTrump/status/1161327783882231809 …,1161330052560281601,2019-08-13,17:33:55,repmckinley,1,0,2
"ICYMI: Our office co-hosted the Regional Workforce Workshop, the event included educators from across the area to talk about some major workforce needs -- many of which are trades -- and how to prepare young students for opportunities in those roles. https://wtov9.com/news/local/workshop-on-workforce-needs-held-in-wheeling?fbclid=IwAR1EFTXkwrzraoS1DqHGZrPnSXEPVp_p6_DjeyAQxdVgxufo2puRxRvC0Rk …",1161015876000407553,2019-08-12,20:45:30,repmckinley,2,1,1
"Today, the FCC announced that they will invest over  $1.2 million to expand broadband in Taylor Co.! https://twitter.com/FCC/status/1160927806848741376 …",1160978459642011649,2019-08-12,18:16:49,repmckinley,0,3,4
"Ever since two of the four hospitals in the Wheeling area announced unexpectedly they would be closing, we’ve been in direct contact with all involved to identify options available, protect many of the 1200 jobs,  and maintain the mental health and emergency departments.",1160549868412317696,2019-08-11,13:53:45,repmckinley,5,0,7
"Good discussion of workforce needs in the Valley today @WVNCC. CTE and training programs need to match the needs of employers that are hiring. We need to make sure educators, students, and parents are aware of opportunities in growth areas. Thanks to all who participated! pic.twitter.com/jL9yldwJo3",1159553822370516999,2019-08-08,19:55:49,repmckinley,0,3,3
"Since hearing the news last night, we have met with the leadership at OVMC & spoken with Gov. Justice to urge him to get WVDHHR involved. We will work to ensure as soft a transition as possible for the employees and the tens of thousands of people who rely on OVMC for care (2/2)",1159527275823607808,2019-08-08,18:10:20,repmckinley,2,1,2
"The Ohio Valley Medical Center has been part of the fabric of our community for decades, so the announcement that it will close hurts. Everybody in the Valley should focus on extending a helping hand to the 1200 employees who are impacted, from the nurses to housekeeping (1/2)",1159526345103294464,2019-08-08,18:06:38,repmckinley,0,1,3
Good discussion with leaders of Union Bank and the Community Bankers of WV in Sistersville this afternoon. Community banks play a vital role in ensuring small businesses and families have the access to financing they need to grow and thrive. pic.twitter.com/AvPvxcm36R,1159208525240918017,2019-08-07,21:03:44,repmckinley,1,1,7
"Wild, wonderful WV....people kayaking on the Greenbrier River and taking a refreshing swim.  Now that’s rural America and I’m proud of it. pic.twitter.com/koqHkFHiNc",1158568208313606144,2019-08-06,02:39:20,repmckinley,3,4,12
"Last night, Mary and I shared a beautiful WV sunset with DOE Assistant Energy for Fossil Fuels, Steve Winberg and his wife, Ann pic.twitter.com/v0dG4CKoXG",1158367889000468482,2019-08-05,13:23:20,repmckinley,5,3,3
Our prayers go out to the families suffering from the senseless horror of violence in El Paso and Dayton.,1158044903835938819,2019-08-04,15:59:55,repmckinley,11,2,10
"Mary and I attended a refreshing service at St. James Episcopalian Church in Lewisburg, WV led by Rev. Joshua Saxe.  Good theologically based message.  Renewed an old Wheeling acquaintance with former rector, Chris Thompson.  Headed back to DC in morning.",1158043203389575169,2019-08-04,15:53:09,repmckinley,1,1,1
Good news for farmers and ranchers across the U.S.! The EU will purchase more American beef! We also owe them a huge thank you for their patience in these negotiations. https://www.rollcall.com/news/heres-beef-trump-will-formally-announce-trade-pact-european-countries …,1157372640031584256,2019-08-02,19:28:34,repmckinley,1,1,2
Spent today in Tyler Co. and stopped by  Willow Island where I had a chance to tour the Pleasants Hydroplant! pic.twitter.com/rtImyCuvkX,1157108549534867456,2019-08-02,01:59:10,repmckinley,0,1,4
"Mary and I had a wonderful time  at the farm bureau event in Parkersburg! We loved Having a chance to talk with Don and Toni Fleming, West Virginia Secretary of Agriculture Kent Leonhardt,Donna Boley and all of the other amazing West Virginians in attendance. pic.twitter.com/OLjojtk1CE",1157095692776693760,2019-08-02,01:08:05,repmckinley,2,2,4
