tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Investments in infrastructure are key to the future of our nation. I'm thrilled that WV has received a $100 million grant to fund the construction of Corridor H. We were happy to support this project, and look forward to seeing all the positive impacts it will have on our state.",1134597862594088960,2019-05-31,23:09:44,repmckinley,0,1,4
"More positive economic news: Americans expect both business conditions and the labor market to continue to improve !

 https://www.wsj.com/articles/consumer-confidence-rises-1155905300 …",1134579052973645824,2019-05-31,21:55:00,repmckinley,0,2,4
We couldn't be prouder that the Mountaineers baseball team has ranked No. 15 overall nationally and will be competing in the NCAA playoffs.  Let's go Mountaineers! http://wvmetronews.com/2019/05/27/west-virginia-15-overall-seed-ncaa-baseball-tournament/ …,1134192757810106368,2019-05-30,20:20:00,repmckinley,1,1,4
"Today is Memorial Day, a time to remember the brave men and women who gave their lives for our freedoms. It is so important that we never forget the courage and valor displayed by these individuals. pic.twitter.com/DXJRcDskVk",1132995870742392832,2019-05-27,13:04:00,repmckinley,4,2,4
Today is #DontFryDay—a reminder to protect your skin this #MemorialDay weekend (and all year long) using broad spectrum sunscreen with SPF 30 or higher. Learn more about how you can prevent #SkinCancer at  http://www.preventcancer.org/skincancer . #CongressionalFamilies @PreventCancer,1132014318759944192,2019-05-24,20:03:40,repmckinley,0,1,2
The red poppy is a symbol of sacrifice. It honors those who served and died for our country in all wars. It reminds Americans of the sacrifices made by our veterans while protecting our freedoms. https://www.legion.org/poppyday/history …,1131938402826194945,2019-05-24,15:02:00,repmckinley,2,5,8
"Randall Reid-Smith, Curator of the WV Dept. of Culture, History and Arts was in our Washington office today.  His voice for the arts in WV is bold and impassioned.  We owe him a large debt of gratitude for his dedicated service.",1131347298737381376,2019-05-22,23:53:10,repmckinley,1,2,14
A carbon tax would be devastating to our nation’s economy and take money from the pocketbooks of middle-class families. It is a regressive tax that would hurt the most those who can least afford it. https://bit.ly/2wgL3A5 ,1131331151434354688,2019-05-22,22:49:00,repmckinley,6,8,7
Seven years ago today WVU and the rest of us in Mountaineer Country lost one of the finest men we ever knew.  Bill Stewart has been missed ever since......”leave no doubt”,1131030976090390528,2019-05-22,02:56:12,repmckinley,1,1,10
"It was great to meet with Tim, Clarence, and Mickey to hear about some of the issues Air Traffic Controllers in WV are facing   @NATCA pic.twitter.com/e8MTRAF5yZ",1130945631206486016,2019-05-21,21:17:05,repmckinley,0,1,2
"The ripple effects and cost of Medicare for All, are hard to predict,  but according to Congress’s budget analysts: the transition would be  “complicated, challenging and potentially disruptive.” On top of that  wait times to see a doctor could increase and entail new taxes. pic.twitter.com/GEbLMAnU5z",1130867519139536896,2019-05-21,16:06:41,repmckinley,41,34,38
"Mr. Somerville is a 94-year-old WWII Veteran, came into our Parkersburg office last week to get our assistance with a Veteran Affairs issue.  We were honored to help him! If you need help with a Federal Agency, please don't hesitate to reach out.
  https://mckinley.house.gov/forms/casework/  pic.twitter.com/CqI0fYz71t",1130483869038317569,2019-05-20,14:42:12,repmckinley,1,3,9
