tweet,id,date,time,username,replies_count,retweets_count,likes_count
Fun Fact: Seven games were played this #WorldSeries and all of them were played at brownfield redevelopments! Both Nats Park and Minute Made Park are great examples of the positive impacts that the redevelopment of brownfields properties can have.,1189891063424659456,2019-10-31,13:05:11,repmckinley,0,0,1
"Drug distributors shipped hundreds of millions of pills into small communities throughout West Virginia, fueling our current crisis. While there's a lot more work to be done, I am proud of what @HouseCommerce has done to chip away at the problem from all angles. https://twitter.com/HouseCommerce/status/1189601749075660801 …",1189616757406912513,2019-10-30,18:55:11,repmckinley,2,0,4
"It is critical that we ensure our nation's seniors have access to safe, effective, and affordable medicines.” https://townhall.com/columnists/johndoolittle/2019/10/29/congress-will-finally-allow-seniors-to-reap-cost-savings-from-generic-drugs-n2555474 …",1189572635048452098,2019-10-30,15:59:52,repmckinley,11,22,70
"Seniors are getting hit the hardest by skyrocketing drug prices, specifically since many live on a fixed income. . Our bill, the Ensuring Access to Lower-Cost Medicines for Seniors Act would work to ensure seniors on Medicare Part D receive their medication at the best price.",1189572634360602624,2019-10-30,15:59:51,repmckinley,5,6,5
"Mary spent the morning making care packages with @the_USO for service members. Mary always goes out of her way to help others, and never misses an opportunity to volunteer. pic.twitter.com/PJWo7nSDqu",1189563003072593920,2019-10-30,15:21:35,repmckinley,3,1,10
"It was a wonderful opportunity last week to address the advisory board of the WVU School of Engineering.  The school is gaining in national respect for its growth in research, advances in women in engineering and focus on STEM education. pic.twitter.com/qhbIagQprR",1189233515696574464,2019-10-29,17:32:19,repmckinley,1,0,3
"As the last large company paying into the pension fund, their bankruptcy only moves forward the timeline for insolvency. I urge Speaker Pelosi to see the gravity of the situation and bring our legislation, Miners Pension Protection Act (H.R. 935), to the floor for a vote",1189233073105330183,2019-10-29,17:30:34,repmckinley,1,0,1
Murray Energy’s announcement not only highlights the dire state of coal but the fast-approaching insolvency of the UMWA 1974 Pension Fund.,1189233072543326209,2019-10-29,17:30:34,repmckinley,3,0,0
"In the face of yet another coal bankruptcy, we must look for ways to help ensure a market for coal exists by promoting fuel security and grid resilience.",1189233071863861248,2019-10-29,17:30:33,repmckinley,2,0,0
"We hope that as Murray Energy works to find a solution that will allow them to continue to operate, they remember that thousands of people depend on them for their livelihoods",1189233071175983104,2019-10-29,17:30:33,repmckinley,1,0,0
"Murray Energy is one of the largest coal companies in America, their bankruptcy has without a doubt put both current employees, & retired miners on edge As this continues to play out, our office's number 1 priority will be preserving jobs & finding a solution for miners' pensions",1189233070370631681,2019-10-29,17:30:33,repmckinley,5,1,1
