tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
Today I sent the following letter to the Governor about the risks posed to the habitats of Virginia's birds by the Hampton Roads Bridge-Tunnel. pic.twitter.com/4JZcM5im9N,1218274276584960001,2020-01-17,20:49:56,repmgriffith,1,4,3,2020-01-17 20:49:56
Broadband access is vital to economic opportunity in rural areas in Virginia and nationwide. Chairman @AjitPaiFCC's proposed Rural Digital Opportunity Fund will help connect more homes and businesses. I appreciate this commitment to serving rural communities. https://twitter.com/FCC/status/1217555897586679809 …,1217816571856457728,2020-01-16,14:31:11,repmgriffith,5,12,32,2020-01-16 14:31:11
"Southwest Virginians are proud of our musical heritage. This @NEAarts grant of $25,000 will support the Mountains of Music Homecoming at the Crooked Road, highlighting our rich music and culture.

More⬇️ https://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=402228 …",1217564674004344833,2020-01-15,21:50:14,repmgriffith,0,5,11,2020-01-15 21:50:14
"We need more information from Insys, Mallinckrodt, and Purdue in order to understand how drug manufacturers may have affected the course of the crisis. Learning from the mistakes of the past will help prevent such tragedies in the future.",1217111075340066819,2020-01-14,15:47:47,repmgriffith,3,2,3,2020-01-14 15:47:47
"Lapses across the drug supply chain contributed to the opioid crisis, which has devastated communities across the country and in the Ninth Congressional District particularly. https://twitter.com/HouseCommerce/status/1217085847104823296 …",1217111073842761728,2020-01-14,15:47:47,repmgriffith,2,5,2,2020-01-14 15:47:47
Congressman Griffith's Weekly E-Newsletter 1.13.20 Topic: Second Amendment https://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=402225 …,1216741355432677380,2020-01-13,15:18:39,repmgriffith,9,1,4,2020-01-13 15:18:39
My statement on Speaker Pelosi saying she will send the articles of impeachment to the Senate next week ⬇️ pic.twitter.com/swXx1KcMuZ,1215697449689518080,2020-01-10,18:10:33,repmgriffith,7,4,12,2020-01-10 18:10:33
"Whether or not to wage war is a matter of the greatest significance to our country.
 
Unfortunately, the War Powers Resolution introduced by Democrats does not do justice to the topic. 

More ⬇️ pic.twitter.com/O8jr68QEgm",1215416964660781068,2020-01-09,23:36:00,repmgriffith,11,3,12,2020-01-09 23:36:00
"On this Law Enforcement Appreciation Day, let's thank the men and women who protect our communities every day. pic.twitter.com/RU0MJwUgi5",1215405477296734208,2020-01-09,22:50:21,repmgriffith,0,1,13,2020-01-09 22:50:21
I am concerned for our troops in harm’s way after Iran’s missile attacks on U.S. personnel in Iraq. This is a serious action on Iran’s part. Congress must debate and vote if the conflict escalates.,1214720899083112449,2020-01-08,01:30:05,repmgriffith,20,6,27,2020-01-08 01:30:05
"Congressman Griffith's Weekly E-Newsletter 1.3.20 Topics: New Laws, Impeachment, and Airstrike https://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=402220 …",1213209512821362690,2020-01-03,21:24:22,repmgriffith,0,1,7,2020-01-03 21:24:22
