tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Thank you for your kind words, General Rice. I will continue to support our men and women in military and promote the values that have made our great nation strong. https://www.wtok.com/content/news/ANG-director-visits-Key-Field-NCO-honored-505101422.html …",1091111087217565698,2019-01-31,23:08:49,repmichaelguest,0,0,9
Mississippians deserve to have access to healthcare services in their communities. It was a pleasure to visit the Covington County Hospital in Collins today and meet with CEO Gregg Gibbes to discuss policy issues affecting rural hospitals. pic.twitter.com/SeD08xMNui,1091062840180510720,2019-01-31,19:57:06,repmichaelguest,0,0,15
"Abortion at anytime is immoral, but a bill allowing abortions when a woman is showing physical signs of labor is unconscionable. We must continue to be a voice for our unborn children and oppose any such bill introduced in Congress. https://bit.ly/2WqihJc ",1091021959729684480,2019-01-31,17:14:40,repmichaelguest,1,0,13
"I’m honored to join so many talented Freshmen Members on @HouseHomeland, including @RepMarkGreen, @RepDanCrenshaw, @RepVanTaylor, and @RepJohnJoyce. I look forward to working with them and our colleagues on both sides of the aisle to keep our country safe. https://youtu.be/v_06cDD7Wng?t=4015 …",1090726344768540672,2019-01-30,21:39:59,repmichaelguest,0,3,7
"As a former prosecutor of numerous drug interdiction cases, I know that securing our southwest border is necessary. I hope that an agreement can be reached on a solution to the crisis at the border so that our government can remain open past February 15.",1090654144577392643,2019-01-30,16:53:06,repmichaelguest,2,1,29
The MS School for the Blind is shaping new ways of teaching and learning. It was a pleasure to discuss how our office can be a resource as they create more opportunities for the blind and visually impaired pic.twitter.com/owICEoVKJ7,1090364655942467589,2019-01-29,21:42:46,repmichaelguest,0,1,17
I was honored to welcome the Georgian Parliamentary Delegation & the First Vice Speaker of the Parliament into our office today. Democracy across our globe is vital to the prosperity of all nations & I was honored to discuss how our two nations can continue to work together. pic.twitter.com/VkUAP2vFfb,1090045968211501056,2019-01-29,00:36:25,repmichaelguest,2,0,15
This is great news for the people of Mississippi. Our energy industry is growing under conservative leadership and this expansion will lead to an even stronger economy for all Mississippians. https://www.wapt.com/article/entergy-nuclear-adding-more-than-300-jobs-in-mississippi/26028749 …,1088899814786560002,2019-01-25,20:42:01,repmichaelguest,1,0,9
"The Department of Homeland Security released new data showing the number of apprehensions between the points of entry on our southwest border has increased 81 percent this FY. Additional border security and a physical barrier is needed to end this trend, and it’s needed now.",1088844516700884993,2019-01-25,17:02:17,repmichaelguest,2,0,20
It was a pleasure to sit down with Mayor Percy Bland to discuss how we can work together to benefit Meridian and all of East Mississippi. I will continue to work with our local leaders for the people of Mississippi and the Third District. pic.twitter.com/PR6xwCgS9U,1088537769109016577,2019-01-24,20:43:22,repmichaelguest,1,0,11
