tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Thank you for your service and dedication in the People's House, @MacTXPress. 

I appreciate your mentorship and guidance on the Armed Services Committee. Your leadership will be missed. https://twitter.com/MacTXPress/status/1178684292857237504 …",1178758380527263745,2019-09-30,19:47:52,repmichaelwaltz,1,1,8
"Gen. Milley, looking forward to a Patriots-Jaguars rematch! @thejointstaff pic.twitter.com/MrdaQg5GYa",1178756706970591237,2019-09-30,19:41:13,repmichaelwaltz,0,1,5
Gen. Milley was a fantastic Army Chief of Staff and he'll continue to lead America's military with honor. https://twitter.com/thehill/status/1178700907090976770 …,1178756006832160768,2019-09-30,19:38:26,repmichaelwaltz,2,4,20
Looking forward to celebrating the opening of Brunswick Fiberglass Boat Technology Center in Edgewater with @GovRonDeSantis today! https://twitter.com/dbnjbiz/status/1178686955485302784 …,1178707881308368902,2019-09-30,16:27:12,repmichaelwaltz,0,2,9
"One of my office caseworkers will be hosting @CityofDeltona, Florida Mobile Office Hours TUESDAY offering assistance to anyone struggling to navigate the federal bureaucracy. If you need help with the VA, a passport, Social Security, the IRS or any other federal agency, stop by! pic.twitter.com/7d141nyZi6",1178670836133158913,2019-09-30,14:00:00,repmichaelwaltz,1,1,2
Warmest wishes and Shana Tova to those celebrating #RoshHashanah tonight! May you and your loved ones have a healthy and happy new year! pic.twitter.com/9rl8EHDstK,1178434779034914816,2019-09-29,22:22:00,repmichaelwaltz,1,1,8
"Today we honor and recognize our nation's Gold Star Mothers and families, who lost a son or daughter serving in our Armed Forces. We must repay the sacrifice of our military families by ensuring the men and women who died serving our nation will never be forgotten. pic.twitter.com/S2kM4Nl9vN",1178378948373356548,2019-09-29,18:40:09,repmichaelwaltz,1,12,34
"The people you hear clapping are regular people out enjoying their afternoon. 

When our WWII vets came by, they all stopped what they were doing to clap for them and recognize their service. 

Such a humbling experience. Makes me so proud to be an American! pic.twitter.com/h5uVJkIBvx",1178009477221625856,2019-09-28,18:12:00,repmichaelwaltz,0,8,35
"All of America needs to see this right now.

Welcomed our #SpaceCoast Honor Flight with @congbillposey at the WWII Memorial in DC this afternoon.

Each of these veterans and their families have sacrificed for our freedoms.

Words can’t express our gratitude for these heroes. 🇺🇸 pic.twitter.com/wSUHJ9lfb8",1178008421116846081,2019-09-28,18:07:48,repmichaelwaltz,2,8,44
"Recently met with @JacksAngels1, Elizabeth Psar of Julia Barbara Foundation and her son William to talk about Diffuse Intrinsic Pontine Glioma, a type of deadly brain tumor. Awareness is the first step. Thank you for sharing your stories! #Moonshot4Kids pic.twitter.com/n3vQFaJvjR",1177734667715391493,2019-09-28,00:00:00,repmichaelwaltz,0,2,12
"One year ago, Florida lost one of its greatest servant leaders, Dorothy Hukill.

Dorothy dedicated her life to fighting for Volusia County and for Florida. Both are better because of her service.

It was an honor to recognize her legacy on the House floor today. pic.twitter.com/NYpC1Udtpo",1177621801691680769,2019-09-27,16:31:31,repmichaelwaltz,4,22,78
"LIVE RADIO ALERT 🚨 

Speaking NOW with @MarcBernierShow. Tune in! 📻",1177540915637968896,2019-09-27,11:10:06,repmichaelwaltz,2,1,5
"Proud to work with you on this critical bill to combat harmful algal blooms, @RepBrianMast! 💪 https://twitter.com/RepBrianMast/status/1177280438563463169 …",1177307975083601921,2019-09-26,19:44:29,repmichaelwaltz,5,3,22
Big news! The House just passed the bipartisan South Florida Clean Coastal Waters Act with my amendment included! This is an important step to combat harmful algal blooms in Florida. Read more about the bill here → https://waltz.house.gov/media/press-releases/house-passes-bill-combat-harmful-algal-blooms-includes-waltz-amendment-improve …,1177303276103929856,2019-09-26,19:25:48,repmichaelwaltz,3,2,11
Sorry @RepSherrill -- only my #deepfake would support Navy. #GoArmy https://twitter.com/rebeccamkern/status/1177290306540191746 …,1177290961938001920,2019-09-26,18:36:52,repmichaelwaltz,3,1,11
"This is our amazing community in action. Thank you, Juan. God bless you and Sgt. Tucker! @VolusiaSheriff https://twitter.com/fox35orlando/status/1176829954560053248 …",1177236869257601025,2019-09-26,15:01:56,repmichaelwaltz,2,2,9
Second Lt. Steve Foster Jr. just recently graduated from the Virginia Military Institute and is attending William and Mary Law School to compete his JAG training. Always great to sit down with a servant leader who's working hard for our country. Thank you for visiting! pic.twitter.com/sfUKdFwvyB,1177221285702774787,2019-09-26,14:00:00,repmichaelwaltz,1,1,6
Today @housescience unanimously passed the MSI STEM Achievement Act I co-sponsored with Chairwoman @RepEBJ. This bill will improve STEM opportunities for minorities and can now head to the floor for a full vote! https://waltz.house.gov/media/press-releases/house-committee-unanimously-passes-waltz-bill-improve-stem-opportunities …,1176910510014513159,2019-09-25,17:25:06,repmichaelwaltz,2,2,16
"That’s five committees that could be solving problems like the rising cost of healthcare, the crisis at our Southern Border and our pressing national security issues. 

It’s clear the Democrats are here to investigate, not legislate – and the American people deserve better.",1176606003363815424,2019-09-24,21:15:06,repmichaelwaltz,9,6,25
"The radical left has truly lost sight of the good of the American people. 

To put it in perspective, five House committee chairmen are currently involved in some sort of investigative inquiry against the President.",1176606002680123392,2019-09-24,21:15:05,repmichaelwaltz,5,6,16
The decision to launch an investigation before learning the entire set of facts and hearing from the Director of National Intelligence is reckless. This is clearly politically-motivated and I am incredibly disappointed.,1176606001937694722,2019-09-24,21:15:05,repmichaelwaltz,21,15,41
"Speaking now with @VoiceofFLBiz about Florida’s role in the new space race 🚀, clean water, STEM education and our national security. Thank you for allowing me to be a part of your US Capitol Summit! 🇺🇸 pic.twitter.com/wnHht7Ngp5",1176559596955164673,2019-09-24,18:10:41,repmichaelwaltz,1,2,8
"The Women's Global Development and Prosperity Initiative gives women the right to own property, travel freely, work & receive access to government services. 

Nations that empower women are safer and more stable. 

Glad to see the #WGDP empowering women around the globe. https://twitter.com/CLH45/status/1176523233480368128 …",1176529626233024512,2019-09-24,16:11:36,repmichaelwaltz,2,3,6
"America stands for freedom and democracy, both at home and abroad. #UNGA",1176514033777807360,2019-09-24,15:09:38,repmichaelwaltz,6,2,14
"America will NEVER be a socialist nation. 

@realDonaldTrump's #UNGA speech reaffirms our commitment to protecting ourselves from all threats to freedom: unfair trade by China, global terrorism, #Iran and socialism.",1176512269523591173,2019-09-24,15:02:38,repmichaelwaltz,6,5,21
"Today is #NationalVoterRegistrationDay! American men and women are all over the world right now defending our democracy and our right to vote.

Florida voters, click below to visit the Florida Online Voter registration website directly ⬇️
 https://registertovoteflorida.gov/en/Registration/Index …",1176507077063335941,2019-09-24,14:42:00,repmichaelwaltz,2,3,8
".@POTUS is right. 

And he's right to continue to maximum economic pressure campaign against #Iran because it's working. #UNGA https://twitter.com/BenKennedyTV/status/1176504184209838080 …",1176505865093955585,2019-09-24,14:37:11,repmichaelwaltz,4,4,14
"This past weekend’s 2019 Service Academy Day in Port Orange was a success! 

Very proud to see so many young students taking an interest in serving their country and attending a service academy. 🇺🇸 pic.twitter.com/3VNL5hIEqb",1176474805161381888,2019-09-24,12:33:46,repmichaelwaltz,1,2,11
"One of my office caseworkers will be hosting 
@CityofEustis Mobile Office Hours WEDNESDAY offering assistance to anyone struggling to navigate the federal bureaucracy. If you need help with the VA, a passport, Social Security, the IRS or any other federal agency, stop by! pic.twitter.com/6GK87EC0Li",1176164321929252864,2019-09-23,16:00:01,repmichaelwaltz,1,1,4
Beautiful! https://twitter.com/johnkrausphotos/status/1176118861713817600 …,1176120376037916672,2019-09-23,13:05:23,repmichaelwaltz,3,1,54
"On National POW/MIA Recognition Day, we remember the brave men and women who were captured or went missing while defending our nation. 

We will forever be indebted to these service members for their service and sacrifice. 

Heroes never to be forgotten! pic.twitter.com/Pky9RXvOJh",1175122966201475072,2019-09-20,19:02:02,repmichaelwaltz,1,6,17
"Really enjoyed my visit to @LakeTechCollege in Eustis where they help students learn about manufacturing, health science and business administration. These skills are all critical to help students get jobs and it was great to meet with them! pic.twitter.com/dGB09L7dBY",1175107354670575618,2019-09-20,18:00:00,repmichaelwaltz,0,0,10
"LIVE RADIO ALERT 🚨 

Coming up at 7:10 AM with @MarcBernierShow about my most recent #STEM bill. Be sure to listen on 93.5 FM/1150 AM! 📻",1174989074332930049,2019-09-20,10:10:00,repmichaelwaltz,0,0,8
"LIVE RADIO ALERT 🚨 

Coming up at 6:30 AM EST Friday with @hughhewitt to talk about our new National Security Advisor @robertcobrien. Tune in! 📻",1174835822711005187,2019-09-20,00:01:02,repmichaelwaltz,1,2,5
Minorities make up 27% of the U.S. population but only account for 11% of STEM jobs. Proud to introduce this bill to help improve STEM opportunities for minorities with @RepEBJ. https://waltz.house.gov/media/press-releases/reps-waltz-johnson-introduce-bill-improve-stem-opportunities-minorities …,1174767052504162304,2019-09-19,19:27:46,repmichaelwaltz,1,2,7
"@realDonaldTrump is right to dial up the maximum pressure campaign against Iran because it's working. 

Iran wants to pressure the U.S. into easing the sanctions tanking Iran's economy and stopping them from building nuclear weapons. 

The U.S. should support a Saudi response. pic.twitter.com/HqCkqLjR4j",1174729871685083136,2019-09-19,17:00:01,repmichaelwaltz,0,1,5
"PSA that the Service Academy Day in #PortOrange is THIS SATURDAY, Sept. 21! If you or a high school or middle school student are interested in attending a Service Academy, please stop by! pic.twitter.com/biAvbKh0p6",1174654372426461185,2019-09-19,12:00:01,repmichaelwaltz,2,2,5
"LIVE TV ALERT 🚨 

Coming up at 9:30 PM EST with @seanhannity  to talk #Iran. Tune in! 📺",1174480749812158470,2019-09-19,00:30:06,repmichaelwaltz,4,2,10
"Thank you for meeting with me, @RoyaRahmani. 

It's important the U.S. supports the democratic process in #Afghanistan and rejects any peace deal that pulls the rug out from under the Afghan government and army. https://twitter.com/Embassy_of_AFG/status/1174434386017685504 …",1174436250306170880,2019-09-18,21:33:16,repmichaelwaltz,0,7,19
"The attack in Saudi Arabia this weekend is right out of the Iranian playbook. 

Iran wants the U.S. to let up its maximum pressure campaign so it can continue building its nuclear program. @realDonaldTrump is right to continue economic sanctions. https://www.reuters.com/article/us-saudi-aramco/saudi-arabia-promises-material-evidence-linking-iran-to-oil-attack-idUSKBN1W30TS …",1174414002442657792,2019-09-18,20:04:52,repmichaelwaltz,8,4,11
"Wise move by @GovRonDeSantis. 

Russians hacked two Florida counties in 2016. We can't let that happen again. 

We must do everything we can to protect voters from future attacks. https://twitter.com/Mdixon55/status/1174387219261513729 …",1174392983845855232,2019-09-18,18:41:21,repmichaelwaltz,2,4,13
Happy 72nd birthday to the @usairforce! Thank you to the amazing men and women of the Air Force for their service and hard work to protect our country. pic.twitter.com/ruB36X8d0e,1174361241197928448,2019-09-18,16:35:13,repmichaelwaltz,0,5,10
".@robertcobrien has both the demeanor and the experience to be our National Security Advisor. 

Fantastic pick by @realDonaldTrump. https://twitter.com/realDonaldTrump/status/1174312984522309633 …",1174325256389103616,2019-09-18,14:12:13,repmichaelwaltz,2,4,8
"Great point by @teammoulton on how critical peace is for the future of women in #Afghanistan. In areas where women have opportunities, education, empowerment and leadership, terrorism and extremism exponentially decreases.",1174318215629037570,2019-09-18,13:44:15,repmichaelwaltz,1,2,5
"Speaking now about peace talks in #Afghanistan and the importance of supporting Afghanistan’s elections next week. 

We have to support the Afghans long-term for their own stability, so they can take care of themselves and their country.",1174315898611671041,2019-09-18,13:35:02,repmichaelwaltz,2,2,9
"One of the ways Congress can care for our Special Ops is by taking care of their families. 

That’s why @teammoulton, @RepDonBacon & I introduced a bill to improve their benefits. https://waltz.house.gov/media/press-releases/reps-waltz-moulton-bacon-introduce-legislation-enhance-benefits-gold-star …",1174311376891912192,2019-09-18,13:17:04,repmichaelwaltz,1,2,4
"Just after 9:00 AM EST I’ll be joining @teammoulton and @RepAdamSmith at the 2019 @NewAmerica Special Operations Policy Forum. 

Check out the livestream here ⬇️ https://www.newamerica.org/conference/special-ops-2019/ …",1174300608720965632,2019-09-18,12:34:17,repmichaelwaltz,2,4,6
"Really enjoyed visiting family-owned business CJ Manufacturing in #DaytonaBeach! CJ Manufacturing has been providing quality products to the defense industry for over 30 years, 26 of which have been in Northeast Florida. Thanks for having me! 🇺🇸 pic.twitter.com/SKBEsGEdjN",1174114571356913664,2019-09-18,00:15:02,repmichaelwaltz,1,1,7
Looking forward to working with strong pick @ChrisSprowls as Speaker-Designate of the Florida House. Congrats! https://twitter.com/GovRonDeSantis/status/1174074045933019136 …,1174083328405884931,2019-09-17,22:10:53,repmichaelwaltz,1,2,8
"Happy #ConstitutionDay! 

Today is the 232nd anniversary of the adoption of the U.S. Constitution. When the Founding Fathers wrote the Constitution, they established a government of the people, by the people and for the people. 

This is what servant leadership is all about! pic.twitter.com/DxPdMf3fvQ",1174046614266118145,2019-09-17,19:45:00,repmichaelwaltz,2,4,12
"Right on, @VP. #Iran's ultimate goal is to change the narrative that peace can only be achieved if we stop exerting economic pressure. If the U.S. de-escalates and eases sanctions, Iran will kick their nuclear program into overdrive. 

That's dangerous for us and for our allies. https://twitter.com/VP/status/1173997047114096640 …",1174000308269277184,2019-09-17,16:41:00,repmichaelwaltz,0,3,9
"Wonderful to meet @CanEmbUSA @KirstenHillmanA and @EmbamexEUA @Martha_Barcena at @Heritage for @VP Pence’s talk on #USMCA! 

Passing #USMCA will pull Canada and Mexico together economically and make America’s position in negotiations with China even stronger. pic.twitter.com/DiZLwMrIEG",1173993558191353857,2019-09-17,16:14:10,repmichaelwaltz,0,3,5
"Just spoke with Mexican Ambassador to U.S. @Martha_Barcena. She’s confident we will have a deal on seasonal tomatoes in the coming weeks. 

The Florida delegation is working hard to address seasonality for other commodities as well. Great for Florida growers!",1173987877715423232,2019-09-17,15:51:36,repmichaelwaltz,1,1,5
"Here now at @Heritage listening to @VP speak about the #USMCA. For the good of our country, let’s pass the USMCA now! pic.twitter.com/sw7WliTBH7",1173981237943443467,2019-09-17,15:25:13,repmichaelwaltz,1,3,9
"Jeremy Griffin is the fifth Green Beret killed in action in  #Afghanistan this month. They were partnered with Afghan commandos to fight the #Taliban, #ISIS and #AlQaeda on the ground. #DeOppressoLiber https://twitter.com/GreenBeretFound/status/1173933392100057088 …",1173957781474480129,2019-09-17,13:52:00,repmichaelwaltz,1,3,11
"LIVE RADIO ALERT 🚨 

Coming up at 9:20 AM EST with @kilmeade to talk #SaudiArabia and #Iran. Tune in! 📻",1173934632691216384,2019-09-17,12:20:01,repmichaelwaltz,0,0,5
