tweet,id,date,time,username,replies_count,retweets_count,likes_count
#BuildTheWall https://www.breitbart.com/politics/2019/01/30/exclusive-mo-brooks-trump-ought-to-declare-a-national-emergency-build-the-wall-save-american-lives/ …,1090814950954680320,2019-01-31,03:32:05,repmobrooks,68,126,467
#BuildTheWall https://yellowhammernews.com/mo-brooks-says-existing-law-authorizes-border-wall-construction/ …,1090672614740238338,2019-01-30,18:06:29,repmobrooks,33,231,318
"In today's Armed Services hearing, Under Secretary of Defense for Policy John Rood confirmed that existing federal law (10 U.S.C. 284) permits @realDonaldTrump to direct the military to #BuildTheWall without declaring a national emergency. pic.twitter.com/4SDHUd1Apa",1090329993467576320,2019-01-29,19:25:02,repmobrooks,704,6074,9108
My statement on the end of the shutdown:  https://brooks.house.gov/media-center/news-releases/brooks-shutdown-ends-democrats-agree-negotiate-border-security-and-wall … pic.twitter.com/8RdXQicSqI,1088891562220834824,2019-01-25,20:09:13,repmobrooks,24,9,31
Enjoyed taking part in this morning’s ground breaking ceremony for @blueorigin’s rocket engine facility in H'ville’s @CRPHSV. The facility’s 340 workers will manufacture Blue Origin’s BE-4 engine that will finally end America’s reliance on Russian made rocket engines. pic.twitter.com/Off5dVZOAO,1088854089407102976,2019-01-25,17:40:19,repmobrooks,5,5,14
"Last week, @CNN had a rotten no good, horrible week and proved they truly are #FakeNews. Strike three, you're OUT! CNN, you are officially crowned the “Fake News King!” https://www.dailywire.com/news/42580/watch-rep-brooks-shreds-fake-news-king-cnn-ryan-saavedra …",1088547278355341313,2019-01-24,21:21:10,repmobrooks,13,13,46
"The EL CHAPO Act shifts drug & blood money to border security & a border wall, thus helping to save the lives of thousands of Americans who die each year at the hands of illegal aliens or because of America's porous southern border. #BuildtheWall https://www.washingtonexaminer.com/news/make-el-chapo-pay-for-the-wall-say-republicans …",1088541376453718019,2019-01-24,20:57:42,repmobrooks,6,15,29
"This morning, I gave a House Floor speech rebuking CNN for repeated vitriolic, prejudiced, biased, & deceptive reporting last week that guaranteed CNN’s continued reign as America’s undisputed “Fake News King.” https://www.youtube.com/watch?v=jWIqGbGTtLk&feature=youtu.be …",1088111998871764993,2019-01-23,16:31:31,repmobrooks,36,14,52
Congratulations to Governor Kay Ivey and all Alabama’s Constitutional officers on being sworn in to office today! https://www.al.com/news/2019/01/kay-ivey-inauguration-alabama-governor-to-take-oath-of-office-today.html …,1084878070446727169,2019-01-14,18:21:02,repmobrooks,6,5,14
"Called out @NewDayCNN's for misleading the public. CNN & Democrats may want to trivialize the number of Americans who die because of illegal alien crime, but to me Congress needs to do everything in its power to save American lives & #BuildTheWall. https://www.youtube.com/watch?v=BE-t3sHJ0bI&feature=youtu.be …",1083742733259419648,2019-01-11,15:09:37,repmobrooks,717,155,384
"On this #LawEnforcementAppreciationDay, I want to express my deep appreciation for the brave law enforcement officials across America who everyday work to keep our communities safe. pic.twitter.com/7MyH4gAsdM",1083090940083032065,2019-01-09,19:59:37,repmobrooks,45,7,22
"This morning, I delivered a House Floor speech highlighting President Trump's compelling immigration letter to Congress & calling for an end to the partial government shutdown. https://www.youtube.com/watch?v=7JIdwJUFyk4&t=1s …",1083038165806522369,2019-01-09,16:29:55,repmobrooks,40,10,25
"Great briefing by @VP and @SecNielsen on America's desperate need for border security. 

Facts: 

*@ICEgov arrested 235k aliens on criminal charges in FY17-FY18. 

*In FY18 Customs & Border Protection arrested 17k adults at the border who had existing criminal records. pic.twitter.com/36zTu631RI",1082779737037197312,2019-01-08,23:23:01,repmobrooks,38,29,45
"Thankful @realDonaldTrump signed into law my bill naming the Athens Post Office for Judge James E. Horton Jr., who took a stand against extreme racial prejudice that risked & ended his judicial career. https://twitter.com/newscourier/status/1081255412559740928 …",1081260784594894848,2019-01-04,18:47:14,repmobrooks,8,2,17
Congratulations to former Huntsville City Schools Superintendent Casey Wardynski on being confirmed as Assistant Secretary of the Army for Manpower and Reserve Affairs! https://whnt.com/2019/01/03/former-huntsville-school-superintendent-approved-as-an-assistant-secretary-of-the-army/ …,1081218101977534467,2019-01-04,15:57:38,repmobrooks,2,5,11
"As the 116th Congress begins, I'm deeply honored to again have the opportunity to serve the people of Alabama’s 5th District. I appreciate the trust citizens of the Tennessee Valley have placed in me, & I look forward to a fifth term in the U.S. House. https://brooks.house.gov/media-center/news-releases/brooks-sworn-fifth-term-us-house …",1080952033971261440,2019-01-03,22:20:22,repmobrooks,22,5,42
