tweet,id,date,time,username,replies_count,retweets_count,likes_count
Great talking with employees and touring Vulcan Materials in Mill Creek. Our infrastructure is crumbling and desperately needs to be updated. Investing in infrastructure also means supporting local businesses and jobs. It’s a win-win for our communities. pic.twitter.com/RkQwRM0NF9,1167482110766022656,2019-08-30,17:00:00,repmullin,13,1,20
The Tulsa Technology Industry Training Center helps people get the career and technical education they need to jumpstart their career and find a job in the service industry. I was glad I could visit with students and faculty last week. pic.twitter.com/VRMTIpjf7W,1167421714260615170,2019-08-30,13:00:00,repmullin,4,0,10
"American manufacturers, farmers and ranchers need a fair trade deal with our North American trading partners. It's time to stop playing politics and pass the USMCA. pic.twitter.com/TS4GXoFgSi",1167227934219866112,2019-08-30,00:10:00,repmullin,17,5,15
M & M Machining was established in June 2007 by Justin & Sarah Amador. They started with only 2 machines & no employees at the beginning of the economic downturn & have since tripled their capacity. They are a great example of how our strong economy is helping manufacturers. pic.twitter.com/uMdxF7QNoc,1167059324541308929,2019-08-29,13:00:00,repmullin,2,0,1
Our economy is STRONG and that’s what I’m hearing from small business owners as I travel around Oklahoma. Thank you for the opportunity to represent such a great state. #WeeklyWrapUp https://youtu.be/1FCAAY7id40 ,1165011050560937984,2019-08-23,21:20:53,repmullin,53,49,206
"The JM Davis Arms & Historical Museum in Claremore is the largest privately held firearms collection in the world, with over 12,000 firearms. They recently celebrated their 50th anniversary and I’m glad I could stop by to visit. pic.twitter.com/ESvN9VgmLn",1164265597556932614,2019-08-21,19:58:44,repmullin,4,1,9
"Manufacturers drive our economy and employ over 130,000 people in Oklahoma. It was good to hear from the Tulsa Area Manufacturers Association and tour MST Manufacturing in Claremore yesterday. pic.twitter.com/A3bLeX1Kdo",1164247433100107781,2019-08-21,18:46:33,repmullin,9,7,53
Congratulations to INTEGRIS Miami Hospital on 100 years of service to the Miami community! They celebrated their centennial on July 1st and I was glad I could present a certificate to them to recognize this milestone. pic.twitter.com/djcRSNcx0o,1163524482549596161,2019-08-19,18:53:48,repmullin,3,1,14
"“The right of the people to keep and bear arms shall not be infringed.” -Second Amendment

So how can Congress pass laws that infringe on our Constitutional rights? If the people want to change our Constitution, there is a process to do that. #noredflaglaw",1162409389044752384,2019-08-16,17:02:49,repmullin,21,7,35
"Earlier this week, I attended the ribbon cutting and open house at NEO Health and Wellness Center in Miami. It is a new cutting-edge outpatient clinic designed to treat opioid abuse. pic.twitter.com/H6pl7eGPsb",1162106950311653378,2019-08-15,21:01:02,repmullin,3,1,3
