tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Want to stay up to date about the work I'm doing in Washington for #AZ01 families? Subscribe to my e-newsletter, here:  http://bit.ly/30MrFsu ",1167923769236774912,2019-08-31,22:15:00,repohalleran,1,1,3
"It is past time for something to be done for domestic violence survivors in Indian Country. I intro'd the SURVIVE Act to provide legal, medical, & counseling resources to #AZ01 tribal communities, & increase the allocation of Crime Victims Fund monies provided to tribes. pic.twitter.com/01mzIRT38Z",1167870921090187264,2019-08-31,18:45:00,repohalleran,1,2,11
"Last month, I voted to pass bipartisan legislation to make it harder for scammers to spoof fake phone numbers & spam you with robocalls. These calls put hardworking #AZ01 families at risk of being the victims of fraud. pic.twitter.com/e9JfGPE2ex",1167561381324812288,2019-08-30,22:15:00,repohalleran,5,2,10
Coming to Washington for the long weekend? Visit my website to see what tours and tickets my office can secure for you: #AZ01 http://bit.ly/2Umc6FE ,1167508533417512960,2019-08-30,18:45:00,repohalleran,1,1,2
"Transparency and accountability are not partisan issues. This spring, I introduced a package of five ethics bills to hold lawmakers and government officials accountable to hardworking #AZ01 families. Learn more: pic.twitter.com/ts3jJk40Eg",1167459459825729537,2019-08-30,15:30:00,repohalleran,2,3,9
"This is unacceptable. We must find compromises that lower our greenhouse gas emissions & protect our water and natural resources for the next generation without hampering our economy, but rolling back regulations on methane is not the solution. #AZ01 https://wapo.st/2UeuuQy ",1167248067042664454,2019-08-30,01:30:00,repohalleran,2,11,25
There is no reason that teachers across America should be some of the lowest paid professionals in the workforce. Their jobs are critical to the economic vitality of our country. I introduced H.Res.58 to support increased public school teacher pay and education funding. #AZ01 pic.twitter.com/KNyny9WCiW,1167198993769627648,2019-08-29,22:15:00,repohalleran,2,8,17
The Office of Congressional Ethics is imperative to preserving transparency and accountability in Washington. I introduced the CLEAN Act to strengthen this important group and protect it from partisan attacks. Learn more: #AZ01 pic.twitter.com/qgGnRXVFSQ,1167146145266585600,2019-08-29,18:45:00,repohalleran,1,0,4
"ICYMI: This month, I hired a new dedicated vets service representative to serve vets throughout #AZ01. Our vets have served our nation bravely, & it is our responsibility to ensure they have access to the resources they were promised when they return home. http://bit.ly/2ZnfeGL ",1167097072383868928,2019-08-29,15:30:00,repohalleran,2,3,8
"ICYMI: Last month, the House of Reps voted to pass my amendment to the Raise the Wage Act that would require the nonpartisan Government Accountability Office to conduct an analysis to determine the impact the wage raise would have on the economy. #AZ01 http://bit.ly/3274qJL ",1166885679088852992,2019-08-29,01:30:00,repohalleran,2,2,8
"Interested in honoring an #AZ01 veteran or a loved one with a flag flown over the US Capitol? You can order one through my office, here: http://bit.ly/2ZoHSHB ",1166836605719588865,2019-08-28,22:15:00,repohalleran,1,1,1
"Last week, I stopped by the future site of the Oro Valley Incubator, a public/private partnership that includes the University of Arizona & aims to serve as an innovation hub for STEM research. I enjoyed learning about the jobs and economic growth this will bring to #AZ01. pic.twitter.com/wpyOLAexij",1166783757451288577,2019-08-28,18:45:00,repohalleran,2,2,6
"We must continue to identify opportunities for growth in our rural economies, including investment in education and job skills training programs. Learn about the work I'm doing to improve the economy of rural #AZ01: http://bit.ly/342lh2m ",1166734684417642497,2019-08-28,15:30:00,repohalleran,1,3,10
Community health centers are critical to the health of #AZ01 families. I'm honored to be able to advocate for policies that allow them to continue their important work.,1166523291793674240,2019-08-28,01:30:00,repohalleran,2,5,7
"#AZ01 MOBILE OFFICE HOUR ALERT: If you're in the Window Rock area tomorrow, my staff is hosting office hours to connect you with constituent resources. Stop by the Navajo Nation VA between 10 am and 2 pm. Details: pic.twitter.com/zqOqRRqvnu",1166474218235748352,2019-08-27,22:15:00,repohalleran,0,0,0
"Last week, it was my pleasure to stop by the Marana Police Department and Northwest Tucson Fire Station and present our hardworking first responders with flags flown over the US Capitol. #AZ01 pic.twitter.com/MusikuTzky",1166421369690578944,2019-08-27,18:45:00,repohalleran,1,1,4
"Next Wednesday, I am hosting a hands-on workshop on the federal budget for constituents in the Flagstaff area. Attendees will work together in groups to create mock federal budgets, and then we will discuss the process in Washington. Details: #AZ01  https://www.facebook.com/events/478696359592165/ …",1166374381200838657,2019-08-27,15:38:17,repohalleran,0,0,0
"PAGE: My staff is hosting mobile office hours from 11 am to 2 pm tomorrow at the Community Center. If you're having an issue with a federal program, such as Medicare or Social Security, caseworkers in my office are trained to assist you. #AZ01 pic.twitter.com/RMPmBbv5wv",1166160904053854209,2019-08-27,01:30:00,repohalleran,3,1,2
"Tomorrow, I am hosting #AZ01 open office hours at my Northwest Tucson office. If you are in the area, I encourage you to stop by and share your questions and concerns with me. Details: pic.twitter.com/H6yehiACIw",1166111830030344197,2019-08-26,22:15:00,repohalleran,1,1,2
We need to act on climate change. The President should not be skipping an international meeting on a topic with such global importance. #AZ01 http://bit.ly/2U3DNTr ,1166058981669756928,2019-08-26,18:45:00,repohalleran,9,10,38
"Happy #InternationalDogDay to our official Government Watchdog and Constituent Pawsitivity Representative, Winston. This best good boy celebrated by spending a relaxed morning catching up on impawtent news. pic.twitter.com/TjRYvlFL1l",1166025221842853888,2019-08-26,16:30:51,repohalleran,4,9,51
"On Friday, I was humbled to witness the naturalization ceremony of 250 new U.S. citizens hailing from 53 different nations. Diversity is part of what makes our nation great; it was a pleasure to meet these hardworking individuals & their families. #AZ01 http://bit.ly/2HrewNH ",1166011687855509504,2019-08-26,15:37:04,repohalleran,0,1,10
