tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Today, I introduced five ethics and transparency bills aimed at cleaning up corruption in Washington and restoring Americans' faith in Congress. Read more about my legislation and my efforts to hold lawmakers accountable to their constituents. #AZ01  http://bit.ly/2SuhVhD  pic.twitter.com/59uMCFsMWX",1101244402490531840,2019-02-28,22:15:00,repohalleran,0,7,12
"As we look to the future & invest in energy infrastructure, we must focus on the needs of rural & tribal communities. Training a skilled rural workforce is critical for the economic stability of working families & communities as we transition to different types of energy. #AZ01 pic.twitter.com/8NIoqExyFt",1101191553945485312,2019-02-28,18:45:00,repohalleran,2,6,22
"As a former law enforcement officer, I know firsthand the dangers #AZ01 cops face every day on the job. I'm proud to cosponsor the Protect and Serve Act, which would designate an act of violence against a law enforcement officer as a federal crime. pic.twitter.com/EoIcLzNQ5o",1101143466627747840,2019-02-28,15:33:55,repohalleran,1,3,8
ICYMI: This week I joined my colleagues for a Bipartisan Heroin & Opioid Task Force hearing. Opioid addiction & abuse have ravaged rural #AZ01. We must act by funding critical programs to combat addiction before it starts & giving EMTs and officers the tools they need. pic.twitter.com/W4LvsQP7WE,1100931087897935873,2019-02-28,01:30:00,repohalleran,2,12,26
"In #AZ01, uranium mining has a toxic legacy, & many continue to struggle with effects of radiation exposure. This weekend, @RepRaulGrijalva & I announced the Grand Canyon Centennial Protection Act to permanently ban uranium mining near the Grand Canyon. http://bit.ly/2NwJzcV ",1100882014784372736,2019-02-27,22:15:00,repohalleran,0,11,27
"Last week, I stopped by VFW Post 9907 to visit #AZ01 vets & hear abt issues impacting them, including access to health care & housing. These brave men & women served our country; it is our responsibility to ensure they have the best care when they return.  http://bit.ly/2Vo38qI ",1100829167040516096,2019-02-27,18:45:00,repohalleran,0,2,13
"Last night, the House passed a permanent authorization of the Land & Water Conservation Fund. Within are proposals I introduced, including land exchanges in northern #AZ01, Cottonwood, Bullhead City, Embry-Riddle Aeronautical University, & Udall Park.  https://wapo.st/2SxkiAe ",1100780345161584641,2019-02-27,15:31:00,repohalleran,1,2,11
"Tomorrow, my #AZ01 staff is in Window Rock bringing constituent services to you. Contact my Flagstaff office to schedule an appointment to stop by and get assistance with issues you may be having with a federal program, including Medicare, Social Security, and veterans benefits. pic.twitter.com/vBo6KGhSsx",1100546052715933699,2019-02-27,00:00:00,repohalleran,0,3,5
"#TuesdayThoughts 

4 years ago today: The Sun City, Arizona #llama chase

 https://www.azcentral.com/story/news/local/surprise/2015/02/26/sun-city-llamas-on-the-loose-abrk/24068713/ … pic.twitter.com/nORXI1Y8Di",1100481680559755265,2019-02-26,19:44:13,repohalleran,2,3,15
"Thank you to @RepDebHaaland, @TomColeOK04, and @repdonyoung for joining me to introduce this important legislation.",1100473061973868545,2019-02-26,19:09:58,repohalleran,0,1,9
