tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
"Cheryl, I agree; Steve Knight is a good man and a great friend of mine. My statement was referring to Steve King, a Congressman from Iowa with a long history of racist statements and behavior, not Steve Knight.",1083932317100527616,2019-01-12,03:42:57,reppaulcook,1,3,5,2019-01-12 03:42:57
"Whether deriding racial minorities at home or cavorting with Nazis and white supremacists abroad, Rep. Steve King brings dishonor to himself, the party of Abraham Lincoln, and his nation. We must reconsider whether Mr. King has the moral authority to continue serving in Congress. pic.twitter.com/pUNn6XOpbE",1083761943691870208,2019-01-11,16:25:57,reppaulcook,89,87,271,2019-01-11 16:25:57
"This morning, I joined a bipartisan group of fellow Representatives to wash the Vietnam Veterans Memorial by hand to show respect and gratitude for those who lost their lives in Vietnam. We must never forget their sacrifices. https://bit.ly/2MiOHTy ",1154906864024526848,2019-07-27,00:10:28,reppaulcook,22,19,60,2019-07-27 00:10:28
Last night I joined 397 of my colleagues in supporting Israel by passing H.Res.246. We must stand against the dangerous #BDS movement and show our steadfast support for our ally.,1154086603826094080,2019-07-24,17:51:02,reppaulcook,17,39,98,2019-07-24 17:51:02
@ymosko I enjoyed our conversation this morning. Thank you for all that you do to support Israel and the Jewish people. Keep up the good work. #IsraelStrong,1149378525406924800,2019-07-11,18:02:49,reppaulcook,1,1,1,2019-07-11 18:02:49
"Follow @Caltrans8 for updates on any road closures, delays, or damages occurring in the area. Please stay safe on the road during this time.",1147526246601023490,2019-07-06,15:22:31,reppaulcook,14,3,5,2019-07-06 15:22:31
"Last night, a larger 7.1 magnitude earthquake struck Ridgecrest and was felt throughout Southern California. The USGS has the latest updates and helpful information on what to do during an earthquake. Please stay safe and be prepared for any aftershocks.  https://www.usgs.gov ",1147525891255414784,2019-07-06,15:21:07,reppaulcook,5,4,10,2019-07-06 15:21:07
A 6.6 magnitude earthquake was reported this morning in Searles Valley and felt throughout Southern California. Please stay safe and report to the police in the case of an emergency. https://bit.ly/2FPpbRt ,1146851491048763393,2019-07-04,18:41:17,reppaulcook,9,6,9,2019-07-04 18:41:17
"Today we commemorate the 75th anniversary of D-Day, when our brave soldiers stormed the beaches of Normandy and changed the course of history. We must never forget the courage and immeasurable sacrifices of our World War II veterans. #DDay75 #GreatestGeneration pic.twitter.com/T3L2Q5RXQ3",1136657870672601090,2019-06-06,15:35:29,reppaulcook,16,6,36,2019-06-06 15:35:29
"I strongly condemn this act of racism against the Sikh Center in Orangevale, CA. As Vice Chair of the American Sikh Caucus, I recognize that we must be vigilant and stand united against those who seek to divide us with prejudice and hate. Our country has no place for racism. https://twitter.com/sacbee_news/status/1216920012629446656 …",1217166514849288192,2020-01-14,19:28:05,reppaulcook,4,4,16,2020-01-14 19:28:05
"After attending a bipartisan briefing on Iraq and Iran this afternoon, I released the following statement: pic.twitter.com/opCGcxhzJ9",1215037320736444416,2020-01-08,22:27:26,reppaulcook,9,11,20,2020-01-08 22:27:26
"(3/3) The government of Iran is the number one sponsor of terrorism worldwide, and we must proceed cautiously while remaining resolute in protecting our country and in defending freedom.",1212962601367420928,2020-01-03,05:03:14,reppaulcook,11,23,39,2020-01-03 05:03:14
"(2/3) Soleimani ran Iran's terrorist Quds Force for over a decade and has orchestrated countless terror attacks, including the attack on the American Embassy in Baghdad earlier this week.",1212962576302247936,2020-01-03,05:03:08,reppaulcook,2,24,29,2020-01-03 05:03:08
"(1/3) The Pentagon reports that the U.S. military has killed General Qassem Soleimani, a brutal terrorist responsible for the deaths of hundreds of American service members and killing thousands of civilians in Iraq, Syria, and across the Middle East.",1212962554349342721,2020-01-03,05:03:03,reppaulcook,11,48,73,2020-01-03 05:03:03
