tweet,id,date,time,username,replies_count,retweets_count,likes_count
You can read more about their story here: https://www.candgnews.com/news/macomb-township-siblings-raise-estimated-12000-for-homeless-project-113736?fbclid=IwAR1qmcMY3x9iSjQpoSkk5E00vuxXjbxwmbYZ8VmX1uoyIsKW7oq0-KaGceE …,1167169884964499458,2019-08-29,20:19:20,reppaulmitchell,1,0,1
"Earlier this week, I visited the Broadbridge family in Macomb Township to recognize siblings Emily & Michael Broadbridge for their outstanding work raising money for the Homeless Education Project, which provides students in Macomb County with schools supplies, clothing and more! pic.twitter.com/TZUObu57bD",1167169880149450754,2019-08-29,20:19:19,reppaulmitchell,5,0,7
"• Dennis Kostinko (Marine Corps): Vietnam Service Pin

If you, or someone you know, need help with the VA or other federal agencies, you can contact my office by visiting:  https://mitchell.house.gov/servi …/help-with-a-federal-agency",1166341670117498882,2019-08-27,13:28:18,reppaulmitchell,1,0,2
"(cont.), Expert Badge with Machine Gun Bar, and Marksman Badge with Rifle Bar
• Giovanni (John) Zerilli (Navy): National Defense Service Medal, Vietnam Service Medal, Honorable Reserve Discharge Button, Republic of Vietnam Campaign Medal w/ 1960 Device",1166341669316374528,2019-08-27,13:28:18,reppaulmitchell,2,0,1
"• Hermann Christoph (Army): Bronze Star Medal with letter “V” Device, Purple Heart, National defense Service Medal, Vietnam Service Medal with 2 bronze service stars, Combat Infantry Badge 1st Award, Republic of Vietnam Campaign Ribbon w/ Device (1960)",1166341668523642880,2019-08-27,13:28:18,reppaulmitchell,1,0,1
"They are:

• Albert Janus (Army): Good Conduct Medal, Sharpshooter Badge & Carbine Bar, and Markman Badge & Rifle Bar",1166341667806482432,2019-08-27,13:28:17,reppaulmitchell,1,0,1
"Last night, I had the honor of presenting four veterans with medals they earned during their service but they had either never received or lost. We should all show great respect and gratitude for their incredible service to our nation. 🇺🇸🎖️ pic.twitter.com/OS6NHSdL6v",1166341307951976448,2019-08-27,13:26:52,reppaulmitchell,12,21,117
"ICYMI: ""To put it bluntly: one can find more information these days on the reliability of a washing machine than one can about the likelihood of attaining a degree resulting in a meaningful career."" 🏫🎒📓 https://www.detroitnews.com/story/opinion/2019/04/08/opinion-help-students-make-informed-college-choices/3367248002/?fbclid=IwAR3xc4BUdSh0umB24dF4T-aOia8uSig3O7FE1KgGCzh8ABTO87jetJe70j8 …",1165996619789156352,2019-08-26,14:37:11,reppaulmitchell,2,2,1
Denmark is one of our staunchest allies and I urge the president to use every opportunity to stengthen our relationship.,1164023567761043456,2019-08-21,03:56:59,reppaulmitchell,7,4,13
"If you, or someone you know, are going to be in Washington D.C., be sure to contact my office for a tour! 🇺🇸🏛️ https://mitchell.house.gov/services/tours-and-tickets …",1161633389268602881,2019-08-14,13:39:16,reppaulmitchell,2,0,1
"I recently met with the U.S. Army Corps of Engineers, Detroit District in Harrison Township to discuss high water levels on the #GreatLakes. @detroitdistrict @USACEHQ pic.twitter.com/hJJf590FCx",1160905866016624640,2019-08-12,13:28:21,reppaulmitchell,1,1,4
"As the opioid crisis ravages our nation— claiming more lives than car accidents— our government should assist efforts that fight this issue head on.
 https://mitchell.house.gov/media/press-releases/mitchell-applauds-hhs-opioid-response-grants-sandusky-and-marlette … pic.twitter.com/vADqufEOcu",1159897483012648960,2019-08-09,18:41:24,reppaulmitchell,2,0,3
I recently gave a speech on the House floor recognizing Ed Lomasney for his 60 years of dedicated service to the Burtchville Fire Department. 🚒 pic.twitter.com/XfuMw37ECk,1159842193038667776,2019-08-09,15:01:42,reppaulmitchell,0,0,2
"My office is planning to hold more events like these, but if you have any questions about, or need help with the VA MISSION Act or other federal agencies, please contact my office by calling 586-997-5010, or by visiting my website at  https://mitchell.house.gov/services/help-with-a-federal-agency?fbclid=IwAR0sxCK2stj2_jFIOnAcL0xlVrBlmq8W6YsDUHLPBlGkiCJRMOvbd-h7Ogo … pic.twitter.com/CiDn3QHUvL",1159480245365477376,2019-08-08,15:03:27,reppaulmitchell,1,0,2
Thanks to everyone who came out for our office's informational VA forums with the Aleda Lutz VA Medical Center regarding the new MISSION Act! pic.twitter.com/oDeozOaEyN,1159480227543834624,2019-08-08,15:03:23,reppaulmitchell,2,0,2
"Yesterday afternoon, I sent the letter below to #Michigan @GovWhitmer expressing my concerns about the proposed gravel mine on the D Bar A Boy Scout property in #Metamora, which is adjacent to the Metamora Landfill #Superfund site. pic.twitter.com/dpSdUA4bO7",1158737419811938305,2019-08-06,13:51:43,reppaulmitchell,5,2,6
"Over the weekend, I spoke with @DevinScillian on Flashpoint (@Local4News) to discuss the current state of our politics, and Congress’ need to put policy solutions ahead of election politics. pic.twitter.com/3rUB2W3CTA",1158395734233964544,2019-08-05,15:13:59,reppaulmitchell,10,1,7
Happy 229th Birthday @USCG! Thank you for all you do to protect our country and keep everyone safe - especially during the summer months! 🇺🇸⚓#CoastGuardBirthday pic.twitter.com/JdblwX5VXV,1157988050317860864,2019-08-04,12:14:00,reppaulmitchell,5,1,9
"Another strong jobs report this month!
✔️A record high 164 million labor force 
✔️Wage gains of 3.2%
✔️164,000 new jobs added
✔️3.7% unemployment https://www.cnbc.com/2019/08/02/us-jobs-report-july-2019.html …",1157283238072725504,2019-08-02,13:33:19,reppaulmitchell,11,3,10
"""The bipartisan SIMPLE Act will streamline the process for borrowers to access these plans, protect them from paying more than they can afford, and help them avoid default.” https://thehill.com/blogs/blog-briefing-room/news/454237-house-lawmakers-introduce-bill-to-help-those-struggling-with …",1156945143276232705,2019-08-01,15:09:51,reppaulmitchell,2,0,1
