tweet,id,date,time,username,replies_count,retweets_count,likes_count
"This morning, Tony, Lisa, and Ed from my office are at the Sanilac County Senior Fair to provide information on casework services.
If you, or someone you know, are having issues w/your Social Security, Medicare, VA benefits or more, contact my office @  https://mitchell.house.gov/services/help-with-a-federal-agency … pic.twitter.com/quimpXrdsY",1144612175249575938,2019-06-28,14:23:03,reppaulmitchell,2,1,5
I’m glad @HouseDemocrats agreed to work with @HouseGOP to pass the bipartisan #Senate bill that provides badly needed #HumanitarianAid and resources needed to deal with the crisis at the #border.   https://mitchell.house.gov/media/press-releases/mitchell-votes-fund-border-security-humanitarian-aid … pic.twitter.com/B5x1ArKnJd,1144355735540850688,2019-06-27,21:24:03,reppaulmitchell,2,0,2
"🚨 It’s time for us to pass the #bipartisan bill that cleared the #Senate 84-8, and provide the #HumanitarianAid and resources needed to deal with the #crisis at the #border. 🚨 pic.twitter.com/tblF6bAIuR",1144300948417908737,2019-06-27,17:46:20,reppaulmitchell,16,33,90
I just asked for a #House vote on the bipartisan #border funding bill that passed the Senate yesterday with a vote of 84-8. House #Democrats said no. pic.twitter.com/JFHsMYTlwL,1144281966633791488,2019-06-27,16:30:55,reppaulmitchell,58,203,388
"If Nancy Pelosi is serious about fixing this issue, she’ll bring the bipartisan Senate bill to the House floor for a vote. (2/2) https://www.usatoday.com/story/news/politics/2019/06/26/border-crisis-senate-passes-4-6-billion-border-funding-bill/1573674001/ …",1144241043073916928,2019-06-27,13:48:18,reppaulmitchell,2,6,14
"Yesterday, the Senate overwhelmingly passed a bipartisan border bill 84-8,  which includes nearly $3 billion in humanitarian aid. As I said yesterday, while the bill is not perfect, it’s far better than what was voted on in the House. (1/2)  https://www.usatoday.com/story/news/politics/2019/06/26/border-crisis-senate-passes-4-6-billion-border-funding-bill/1573674001/ …",1144241042306347008,2019-06-27,13:48:18,reppaulmitchell,5,2,7
Team Mitchell is excited to be at the #bipartisan @thehillbaseball game for charity! ⚾️ #congressionalbaseballgame pic.twitter.com/Lg5Ak6trDt,1144031184071958528,2019-06-26,23:54:24,reppaulmitchell,2,3,11
House Democrats should stop playing partisan games. This bill falls woefully short of addressing the very real humanitarian and security crisis at our southern border. https://mitchell.house.gov/media/press-releases/mitchell-emergency-supplemental-vote?fbclid=IwAR3szzJJAIBFgZasbn4CjQ11GF95YM2VbanlT2dT84G1d6Z9YaPiQiF-N9I …,1143899390005915649,2019-06-26,15:10:41,reppaulmitchell,9,2,6
"Just had a great visit with Troop 911 from New Haven and family before my team led them on a tour of the Capitol.
During their trip to our DC they also had the special opportunity to lay a wreath at the Tomb of the Unknown Solider at @ArlingtonNatl. 🇺🇸⚜️ @boyscouts #boyscouts pic.twitter.com/mWEqdJ5w07",1143557984250925056,2019-06-25,16:34:04,reppaulmitchell,1,4,9
"This morning, I spoke with @fbtalk about gravel #mining in Metamora and the situation in #Iran. 📻 @wjrradio

Click below to listen to the whole #interview. ⬇️⬇️⬇️ #Michigan pic.twitter.com/d4B4zeGcdG",1143534893319761920,2019-06-25,15:02:19,reppaulmitchell,0,1,1
"Second, we must ensure mining operations avoid creating or exacerbating existing environmental problems – such as with our ground water.  https://www.freep.com/story/news/local/michigan/2019/06/24/paul-mitchell-epa-oversight-metamora-gravel-mine/1423139001/?fbclid=IwAR0Qxh3aCOBQjxsXpdy8Nk9wTq_dauxR7aI3CR61D-zsyVxg3mC_xU2HCn4 … (2/2)",1143238880629612552,2019-06-24,19:26:04,reppaulmitchell,1,0,2
"I believe there are two important considerations for new gravel mining operations. First, given that these operations are typically long-term endeavors they should be approved at the local level – where any adverse impacts would be felt.  https://www.freep.com/story/news/local/michigan/2019/06/24/paul-mitchell-epa-oversight-metamora-gravel-mine/1423139001/?fbclid=IwAR0Qxh3aCOBQjxsXpdy8Nk9wTq_dauxR7aI3CR61D-zsyVxg3mC_xU2HCn4 … (1/2)",1143238879677440000,2019-06-24,19:26:03,reppaulmitchell,3,0,2
 https://sanilaccountynews.mihomepaper.com/articles/hoyt-wins-congressional-art-competition/ …,1143166472887439360,2019-06-24,14:38:20,reppaulmitchell,0,0,1
Excited to welcome MI-10's 2019 #CongressionalArtCompetition winner Logan Hoyt of @CrosLexHS ​ to #Washington D.C. His #scratchboard #art piece “Chick Me Out” will hang in the Cannon Tunnel to the U.S. #Capitol for the next year! #Michigan pic.twitter.com/thvGUelnbP,1143166187016196096,2019-06-24,14:37:12,reppaulmitchell,1,1,1
"As #Michiganders we all know the significance of this project, and I want to make sure people are kept up to date as the project moves forward. #Michigan (3/3) pic.twitter.com/2eYY1LQw9g",1142090600340250625,2019-06-21,15:23:12,reppaulmitchell,0,0,4
It’s important we build a second lock because any failure at the #SooLocks would have a devastating ripple effect on our nation’s #economy and #NationalSecurity. (2/3) pic.twitter.com/Hg1gFArRHD,1142090589149773824,2019-06-21,15:23:10,reppaulmitchell,1,0,3
"Just received a quarterly update from the U.S. Army Corps of Engineers Detroit District on progress being made to build a second 1,200 foot lock at the #SooLocks. @USACEHQ (1/3) pic.twitter.com/0rTl0zIVdI",1142090583709802496,2019-06-21,15:23:08,reppaulmitchell,3,0,4
"Yesterday, Mexico became the first country to ratify the #USMCA. Now it’s time for #Congress to ratify the USMCA! 🇺🇸🇲🇽🇨🇦  https://www.cnbc.com/2019/06/19/mexico-ratifies-usmca-trade-deal-via-senate-vote.html?fbclid=IwAR2wWgm4qm-Wj6cSXBbK5Vvhg7Slol2dYxLGTSOl3cWjDEBSRB6Xrbl5IwA …",1141704005397204998,2019-06-20,13:47:01,reppaulmitchell,13,39,124
"Candid 📸 caught me in transportgop! ➡️➡️➡️ @ Washington, District of Columbia  https://www.instagram.com/p/By6CI5anVlN/?igshid=pa1fl5jngnt0 …",1141461773326753793,2019-06-19,21:44:28,reppaulmitchell,0,0,1
