tweet,id,date,time,username,replies_count,retweets_count,likes_count
Surrounded by inspiring leaders at the @capregchamber Women of Excellence Awards this week! pic.twitter.com/zBreNurjSZ,1134441599637831681,2019-05-31,12:48:48,reppaultonko,1,4,18
"Students across a quarter of all U.S. school districts don't have internet access that even meets federal baseline standards. A quarter of rural Americans face the same problem. We should be working to close this divide, not paper over it with rosy reports. https://twitter.com/JRosenworcel/status/1133746336464015361 …",1133774862382751745,2019-05-29,16:39:26,reppaultonko,5,11,26
"Time and again, our nation has turned to her sons and daughters who risk everything to serve. Today we honor and reflect on the sacrifices of all of those brave women and men who have been lost to that service, and ensure that they will never be forgotten. #MemorialDay pic.twitter.com/EowNmhZ3AZ",1133011003027988480,2019-05-27,14:04:08,reppaultonko,2,3,19
Democrats stand with American workers by fighting to ensure you can retire with the financial peace of mind you’ve earned. Today we passed landmark bipartisan retirement legislation through the House. Our colleagues in the Senate must do the same. Details:  http://bit.ly/2JxKeeR ,1131709898088243201,2019-05-23,23:54:00,reppaultonko,1,0,2
"Because of the #GOPTaxLaw, #GoldStar families are now facing huge unexpected tax hikes. These families have sacrificed and suffered enough. Today, my colleagues and I are fixing this egregious wrong with a provision in the #SECUREAct. pic.twitter.com/dMh8CHQqwy",1131709154106728449,2019-05-23,23:51:03,reppaultonko,2,2,1
"The #SECUREAct: 
1. Makes it easier for small businesses to offer retirement plans to their employees
2. Ensures home health care workers can receive retirement benefits
3. Eliminates unfair tax hikes on children in Gold Star families caused by the #GOPTaxLaw",1131708732830826496,2019-05-23,23:49:22,reppaultonko,1,0,1
Nearly two-thirds of Americans have ZERO retirement assets. This is a crisis – and it’s one we are actively working to fix by passing the #SECUREAct today. pic.twitter.com/ZqqiLqv7AW,1131708516656472064,2019-05-23,23:48:31,reppaultonko,2,0,3
"Democrats are making sure that doesn’t happen by advancing landmark, bipartisan retirement legislation through the House. #RT to spread the word and make sure your family, friends & followers know about the #SECUREAct! pic.twitter.com/e5vm4Jh4X3",1131708278717722626,2019-05-23,23:47:34,reppaultonko,1,0,0
"More than 30% of Americans believe they’ll either face financial hardship in retirement...

 or won’t be able to retire at all. pic.twitter.com/ha2sWs90d9",1131708088053116936,2019-05-23,23:46:48,reppaultonko,1,0,1
"The #SECUREAct is comprehensive, bipartisan legislation that would help more Americans retire with financial peace of mind. Proud to cast my vote for its passage. http://bit.ly/2Qg066x ",1131706800154259456,2019-05-23,23:41:41,reppaultonko,2,0,3
Transportation is now the #1 source of greenhouse gas emissions in the U.S. Our work to #ActOnClimate will fall short unless we help build infrastructure for cleaner vehicles. #LIFTAmerica has major funding for transportation electrification & electric vehicle charging stations!,1131232575626895361,2019-05-22,16:17:17,reppaultonko,0,2,5
