tweet,id,date,time,username,replies_count,retweets_count,likes_count
"This week, the House heeded the multiple warnings from top intelligence and national security officials and passed comprehensive election security legislation. This is important to ensure every vote counts and to #ProtectOurDemocracy. https://reut.rs/31Y5Gjf ",1145440874249236480,2019-06-30,21:16:00,repperlmutter,9,11,36
A great game with great colleagues for a great cause. #CBG2019 http://bit.ly/329FqTg ,1145379972447494145,2019-06-30,17:14:00,repperlmutter,1,2,3
Thank you for your advocacy and tireless work to help individuals and families dealing with this terrible disease. #EndAlz https://twitter.com/alzcolorado/status/1144633378408288256 …,1145100632199745536,2019-06-29,22:44:00,repperlmutter,2,7,21
"#SCOTUS' decision on this issue also reinforces the need for the Senate to pass HR 1 to ensure nonpartisan, fair redistricting across the country. https://dpo.st/31WDk9f ",1145005757114589184,2019-06-29,16:27:00,repperlmutter,7,8,17
"As the uncertainty continues for Dreamers, it's important to note that the House has passed the #DreamandPromiseAct. It's time for the Senate to act on behalf of Dreamers and as part of a much-needed comprehensive immigration reform package. https://twitter.com/NILC/status/1144607819242434560 …",1144772973196222464,2019-06-29,01:02:00,repperlmutter,12,9,17
Congrats to the US Women’s team and our two Colorado athletes for making it to the World Cup semifinal! #OneNationOneTeam #FIFAWWC https://twitter.com/TeamUSA/status/1144710875569434624 …,1144745038821224448,2019-06-28,23:11:00,repperlmutter,2,4,21
.@thehillbaseball game is one of my favorite activities here in DC and this year's game was no exception. #CBG2019 https://twitter.com/CapitolLens/status/1144044602623766531 …,1144619210062127104,2019-06-28,14:51:00,repperlmutter,2,2,13
The situation at these facilities both near and far from the border is disgraceful. This type of treatment of migrants and children should never be allowed and we are working to get resources to them as quickly as possible. https://abcn.ws/31XqhEj ,1144346218107219980,2019-06-27,20:46:13,repperlmutter,16,8,28
We have suspected all along the Trump Admin wanted to include a citizenship question on the #2020Census for political gain. It was proved in recent docs & again today. It’s time we work together to ensure we have an accurate count of all Americans in 2020. https://dpo.st/31VH5eV ,1144298804642033669,2019-06-27,17:37:49,repperlmutter,6,4,10
"Climate change is a serious threat to our nat’l security, economy & health. I will continue to support & push for policies that reduce our carbon footprint & puts our country on a path for clean energy independence & sustainable development. https://www.nbcnews.com/health/health-news/climate-change-health-emergency-74-medical-public-health-groups-warn-n1020961 …",1143981396547035137,2019-06-26,20:36:33,repperlmutter,8,2,17
"With fire season quickly approaching here in Colorado, now is a good time to ask yourself, are your tax documents and financial information protected in case a natural disaster strikes? Get prepared with #IRS tips:  http://bit.ly/2IcoZNL  pic.twitter.com/GyAvEElJOe",1143641266435121153,2019-06-25,22:05:00,repperlmutter,1,0,3
"Thank you to everyone who stopped by my Government in the Grocery this past Saturday! I had several great conversations on topics ranging from Veterans’ issues, housing & foreign affairs. pic.twitter.com/9GPgq2D61H",1143591063317356544,2019-06-25,18:45:31,repperlmutter,3,2,21
Remembering the #CWSG as we look forward to this week's @thehillbaseball game. Let's go Democrats! pic.twitter.com/f017dClaCS,1143215712053465090,2019-06-24,17:54:00,repperlmutter,0,2,7
ICYMI - Learn why #SAFEBanking is a bipartisan issue and how it will keep our communities safer. https://twitter.com/HillTVLive/status/1142196255134760965 …,1143183751524102145,2019-06-24,15:47:00,repperlmutter,2,5,9
".@SenateMajLdr’s refusal to bring House-passed legislation to the Senate floor prevents our country from solving the issues that matter most to hardworking families. We don't need a ""Grim Reaper"", we need someone who will do their job. #McConnellGraveyard pic.twitter.com/cSCpsrnMN5",1142936622616289280,2019-06-23,23:25:00,repperlmutter,19,102,144
My DC office started a new tradition this year - Ed's Capitol Crawl. Interns from several congressional offices participate in a scavenger hunt to familiarize themselves with the Capitol and meet one another. Congrats to the winning team and thanks to everyone who participated! pic.twitter.com/cUwuJDgki0,1142882264629444608,2019-06-23,19:49:00,repperlmutter,5,4,28
"This week, in a subcommittee hearing I asked the experts if we're ""winning"" with @realDonaldTrump's tariffs.

The response? 

""Definitely not."" pic.twitter.com/3lE6G9fUoe",1142839230822961152,2019-06-23,16:58:00,repperlmutter,39,131,295
Marijuana industry sales are estimated to reach $23 billion by 2022. We need #SAFEBanking to get cash off our streets and into the banking system. pic.twitter.com/sSeBgOIN9M,1142556115454124039,2019-06-22,22:13:00,repperlmutter,5,16,25
These raids need to be delayed indefinitely. This is no way to handle our current situation. We need true comprehensive immigration reform to fix our broken system and provide an earned pathway to citizenship for undocumented Americans. https://wapo.st/2L7l6f7 ,1142529943206858753,2019-06-22,20:29:00,repperlmutter,16,9,28
"This week, 267 of my colleagues in the House voted to prevent DOJ from taking action against businesses and individuals in states which have legalized marijuana. We need to continue to respect states’ rights and pass #SAFEBanking. http://bit.ly/31K3GLj ",1142512578872184832,2019-06-22,19:20:00,repperlmutter,20,134,359
"There needs to be checks and balances on @realDonaldTrump on many issues, including on these costly and harmful tariffs. Congress should be more involved in global economic policymaking and the President needs to start successfully negotiating with our trading partners. pic.twitter.com/W88xEkSh5s",1142478101793951749,2019-06-22,17:03:00,repperlmutter,10,9,23
This is unacceptable. This type of fearmongering and anti-migrant cruelty harms our communities and our neighbors and does nothing to address our broken immigration system. https://twitter.com/KDVR/status/1142150015282008065 …,1142258907110182913,2019-06-22,02:32:00,repperlmutter,66,30,100
"It has broad, bipartisan support with 206 cosponsors in the House. In March, it passed out of the House Financial Services Committee and is currently awaiting a vote on the floor of the House. More info here: http://bit.ly/31MiSaT ",1142187291424821248,2019-06-21,21:47:25,repperlmutter,0,0,1
#SAFEBanking is a bipartisan issue. It's about public safety and respecting states' rights. http://bit.ly/2Y1QTBT ,1142156230963716097,2019-06-21,19:44:00,repperlmutter,3,9,20
"The current tensions with Iran require a well-thought-out and strategic approach, not an uninformed and impulsive response. https://abcn.ws/2ZxWlfY ",1142104912886738944,2019-06-21,16:20:05,repperlmutter,10,8,17
"This week we're continuing our work on appropriations to make robust investments for Americans on issues such as combatting climate change, protecting our environment and clean drinking water & preventing gun violence. #ForThePeople https://twitter.com/HouseDemocrats/status/1141742028868521984 …",1141884943267708928,2019-06-21,01:46:00,repperlmutter,4,8,9
"The House is in the middle of #appropriations, or the process to fund the government for fiscal year 2020 and determine how to invest in our country. As a member of the @RulesDemocrats, I get to hear a lot of different amendments and participate in a critical part of the process. https://twitter.com/RulesDemocrats/status/1141762811657433088 …",1141846187840028674,2019-06-20,23:12:00,repperlmutter,3,2,5
"114 days ago @HouseDemocrats passed bipartisan universal background checks.

According to the Center for Disease Control, 100 people/day in the US from firearm-related injuries which means an estimated 11,400 people have died since #HR8 was passed.

Time for the Senate to act. https://twitter.com/RulesDemocrats/status/1141752570567749634 …",1141823286822756353,2019-06-20,21:41:00,repperlmutter,1,5,5
"Great to see so many players representing the U.S. in the World Cup - including two from Colorado! Keep up the good work! #USWNT
#OneNationOneTeam https://twitter.com/USWNT/status/1141764947204018180 …",1141787802851393537,2019-06-20,19:20:00,repperlmutter,0,1,5
"In 2018, the international community recorded 70.8 million displaced people, refugees & asylum seekers fleeing violence & persecution in every region of the world. The U.S. must reaffirm its commitment to the safety, health & well-being of refugees. #WorldRefugeeDay pic.twitter.com/Ix7J7Nmnb9",1141766659524444162,2019-06-20,17:55:59,repperlmutter,3,4,4
Congrats to the winners #BadNewsBabes and great playing by #TeamCongress. Such a fun event for a great cause. #TisAPrivilege #CWSG2019 https://twitter.com/YSCBuzz/status/1141512909958393861 …,1141724068363874306,2019-06-20,15:06:44,repperlmutter,0,2,0
"Proud to join w/other members of CO's Congressional delegation to declare for the record that “this one’s for Pat.” We thank him for the pride he brought to the team & our state, and we offer our deepest condolences to the Bowlen family for their loss.
 http://bit.ly/2WQcaBT ",1141521296716521473,2019-06-20,01:41:00,repperlmutter,1,3,8
"Across the globe, families are forced to flee their homes because of violence, persecution & other extreme conditions. The UN Refugee Agency estimates that half the world’s refugees are children. We cannot abandon the world’s most vulnerable populations. https://n.pr/2N7RwbM ",1141487322938171392,2019-06-19,23:26:00,repperlmutter,7,4,11
Grant programs can provide vital support for companies like RoGo Fire. My office was proud to provide a letter of support for RoGo as they continue to develop this life-saving technology. Questions about grants or letters of support? Call us at 3/274-7944. https://cbsloc.al/2WT8X4p ,1141440514652278784,2019-06-19,20:20:00,repperlmutter,0,1,0
"By protecting public health & encouraging investment in clean energy, the #CleanPowerPlan was one of our best tools for addressing the climate crisis. We can’t afford to wait for climate action and we certainly can’t afford @EPAAWheeler’s #DirtyPowerScam. https://cbsn.ws/2WTeAzz ",1141415097081970688,2019-06-19,18:39:00,repperlmutter,2,3,7
More White House officials stonewalling Congress and obstructing our investigatory work. Why? What are they hiding? https://twitter.com/NBCNews/status/1141390853006667776 …,1141395676900810754,2019-06-19,17:21:50,repperlmutter,22,5,32
"#DidYouKnow the June 19th announcement came more than two & a half yrs after the Emancipation Proclamation was issued? Although the 250,000 slaves in TX were already free, no one made them aware. On this #Juneteenth, let's recommit ourselves to the work that remains undone.",1141386348236087303,2019-06-19,16:44:46,repperlmutter,2,0,3
A great game and a great cause! Looking forward to the #CWSG today and continuing to raise awareness and support for the @YSCBuzz. #BeatCancer #copolitics https://twitter.com/CWSoftballGame/status/1140312694538608640 …,1141364765794754561,2019-06-19,15:19:00,repperlmutter,0,1,3
The Trump administration continues to pursue dangerous immigration policies that will only make a bad situation worse. There is strong bipartisan support among Americans and in Congress to pass true comprehensive immigration reform and the time is now.  http://bit.ly/2MTtfpW ,1141063027266949120,2019-06-18,19:20:00,repperlmutter,22,6,17
Excited for a great game tomorrow for a great cause! https://twitter.com/CWSoftballGame/status/1140984526539284481 …,1141010205217632256,2019-06-18,15:50:06,repperlmutter,2,1,0
"Governors, State Treasurers, Attorneys General, State Banking Supervisors, state banking associations all agree: it's time to pass #SAFEBanking. http://bit.ly/2WSanfJ ",1140785196305747968,2019-06-18,00:56:00,repperlmutter,4,6,28
There is no place in America today where a full-time worker making the $7.25 federal minimum wage can afford their basic needs. Yet we've now reached the longest period in U.S. history without an increase to the federal minimum wage. It's time to pass the #RaisetheWage Act. pic.twitter.com/oMiDpAYi2l,1140682016935096320,2019-06-17,18:06:00,repperlmutter,12,8,25
This is one of many ways we can work to #EndAlzheimers. I also support increased NIH funding to fight Alzheimer's disease and other dementias as well as providing additional support and tools to families who have a loved one with dementia. #ENDALZ https://twitter.com/alzcolorado/status/1140634418006020096 …,1140671397863350278,2019-06-17,17:23:48,repperlmutter,4,6,14
"Medical research is a critical part of helping Americans live longer, healthier lives and robust funding for the program helps save lives, create jobs and spur innovation. https://twitter.com/NIH/status/1139532949299200000 …",1140632691869736960,2019-06-17,14:50:00,repperlmutter,2,2,18
