tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Democrats are trying to end the #TrumpShutdown, but Republicans refuse to even debate a reasonable package, forcing hundreds of thousands of Americans to work without pay. All thanks to a presidential temper tantrum. https://twitter.com/RepMcGovern/status/1078418028809936901 …",1078510535686148096,2018-12-28,04:38:44,reppeterdefazio,115,145,314
Don’t take my word for it. Incoming COS Mulvaney said a fence or wall doesn’t stop anybody who wants to get across. End the #TrumpShutdown and fund the government. Show some leadership. https://www.cnn.com/2018/12/21/politics/mulvaney-on-trump-in-2015/index.html …,1076618743055347712,2018-12-22,23:21:25,reppeterdefazio,12,36,92
This high school student has a better understanding than President Trump and congressional Republicans of the urgency of climate change. I’m looking forward to taking steps to address this crisis in the Democrat-led congress. https://amp.cnn.com/cnn/2018/12/16/world/greta-thunberg-cop24/index.html …,1076260881254830080,2018-12-21,23:39:24,reppeterdefazio,7,21,60
"Federal workers could be on the job without pay over the holidays: Secret Service and the Coast Guard protecting the President; TSA, border patrol, and air traffic controllers during a busy travel season. For what? A wall that doesn’t work. Oppose the #TrumpShutdown. pic.twitter.com/Gbg7jcY3J8",1076220390094061572,2018-12-21,20:58:30,reppeterdefazio,49,113,277
"Meanwhile, worker bonuses are up a mere 2 cents since the tax cuts. In the new Congress, the Democratic agenda will make the economy work for working Americans  https://www.epi.org/blog/bonuses-are-up-0-02-since-the-gop-tax-cuts-passed/ … (2/2)",1075445016338804737,2018-12-19,17:37:27,reppeterdefazio,7,7,23
"This week, corporations celebrated the anniversary of the GOP tax bill by reaching a record trillion dollars in stock buybacks. A windfall for investors, but where are the promised benefits to the American worker?   https://www.cnn.com/2018/12/17/investing/stock-buybacks-trillion-dollars/index.html … (1/2)",1075444959958966279,2018-12-19,17:37:13,reppeterdefazio,6,7,18
"I will do everything in my power to fight back against the Texas ruling, which would slash coverage for the 312K in my district with pre-existing conditions and allow bare-bones plans that don’t cover essential health benefits. https://www.nytimes.com/2018/12/15/us/politics/obamacare-ruling-health-care.html …",1074698778651832320,2018-12-17,16:12:10,reppeterdefazio,17,20,105
"“This is the existential threat to the future of the planet. I don't think we can have too many members actively involved."" https://www.politico.com/story/2018/12/14/climate-change-select-committee-defazio-1066638 …",1073739385844260865,2018-12-15,00:39:53,reppeterdefazio,12,18,104
"The Trump Administration hid a report that showed @wellsfargo was taking advantage of students. @CFPB must do its job and protect consumers, not be beholden to the interests of banks. https://www.politico.com/story/2018/12/10/student-loan-fees-wells-fargo-1021129 …",1072967019748884481,2018-12-12,21:30:46,reppeterdefazio,3,16,18
"3 years after the #ParisAgreement, Republicans and Trump still ignore the existential threat of #ClimateChange in order to prop up polluters. Democrats will keep fighting for a cleaner environment. #ActOnClimate",1072946871931494401,2018-12-12,20:10:43,reppeterdefazio,20,19,71
You can select health coverage for you and your family right now through December 15. Evaluate plans & learn more about how to #GetCovered before the end of open enrollment at  http://HealthCare.gov  pic.twitter.com/0iGjMsCV4i,1072890242804396032,2018-12-12,16:25:41,reppeterdefazio,1,8,6
"Today I announced $20 million for improvements to the Coos Bay Rail Line. These improvements will make it easier for businesses in the Coos Bay area to bring their goods to market and boost SW Oregon's economy. 

 http://defazio.house.gov/media-center/press-releases/defazio-merkley-wyden-announce-major-federal-grants-for-oregon …",1070793136404918272,2018-12-06,21:32:32,reppeterdefazio,7,14,76
"Ahead of tonight’s Capitol Christmas Tree lighting, I met with officials from Sweet Home to discuss issues facing the city, as well as to congratulate them on the city’s 125th anniversary! pic.twitter.com/aFCqqE0y20",1070757062005702658,2018-12-06,19:09:11,reppeterdefazio,2,1,20
Open Enrollment only lasts until December 15. Don’t miss your chance to #GetCovered on  http://HealthCare.gov  for 2019!  https://www.healthcare.gov/  pic.twitter.com/bKVN4M9trD,1069728189109493760,2018-12-03,23:00:49,reppeterdefazio,1,3,9
"Although we had our differences, I have always respected George Bush’s many decades of public service and devotion to our nation.  My thoughts go out to the entire Bush family.",1068903075006562305,2018-12-01,16:22:06,reppeterdefazio,2,3,49
