tweet,id,date,time,username,replies_count,retweets_count,likes_count
"This past week, I had the privilege of touring the Bug-O-Nay-Ge-Shig School. I look forward to ensuring the federal government fulfills its promise to the Leech Lake Band & provides the educational resources needed to preserve their culture, language, and traditions. pic.twitter.com/FQG93uswMd",1112408323368861697,2019-03-31,17:36:26,reppetestauber,4,2,23
My staff and I enjoyed showing students from Ely High School around the U.S. Capitol this afternoon! pic.twitter.com/QE45HrPIEX,1111369974378102784,2019-03-28,20:50:24,reppetestauber,0,19,63
ICYMI: The MN PUC’s decision to uphold its approval of the #Line3 replacement project reaffirmed what most of us in northern MN already know: we can safely transport critical natural resources while unleashing the economic engine in our part of the state. https://bit.ly/2WxM0iR ,1111329959715459074,2019-03-28,18:11:24,reppetestauber,2,14,22
"I had the honor of witnessing @POTUS award the late Army Staff Sergeant Travis Atkins with the Medal of Honor. Staff Sergeant Travis Atkins was a hero who went beyond the call of duty and gave his life to save his brothers in arms, earning him our nation’s highest military honor. pic.twitter.com/0jYmzqahYr",1111019285198131201,2019-03-27,21:36:53,reppetestauber,2,8,42
"Modern air travel is incredibly safe, but in order to keep it that way, we must constantly work to update and improve upon safety protocols. I’m glad that my colleagues on the Committee agree. Learn more about my bill here:  https://bit.ly/2I0iRc5  https://twitter.com/TransportGOP/status/1110909556572463104 …",1110956052726583300,2019-03-27,17:25:38,reppetestauber,1,5,10
"I spoke in honor of World Down Syndrome Day, which was March 21st. One of the greatest blessings in my life is my 16-year old son Isaac, who has Down Syndrome. I was happy to speak about the value and joy that individuals like Isaac bring to the world: https://bit.ly/2UjM34p ",1110652286789926912,2019-03-26,21:18:34,reppetestauber,2,7,38
"Every student, no matter their circumstance, should be afforded the opportunity to succeed. That’s why I am proud to team up with @RepAngieCraig to ensure the federal government upholds its commitment to students with special needs. Learn more: https://bit.ly/2FwdgY5 ",1110629857539616768,2019-03-26,19:49:27,reppetestauber,2,3,14
Thank you to the Rohlader family from Hermantown for stopping by our D.C. office. I hope you enjoyed your Capitol tour! pic.twitter.com/GJOTeLUSU4,1110557945287397376,2019-03-26,15:03:41,reppetestauber,0,1,12
"If you’re in the Grand Rapids area, consider stopping by our mobile office hours at the Culvers on Pokegama Ave from 1:30 to 3:30. A member of my staff will be on hand to help you one-on-one w/ any issues you may have w/ a federal agency or department.",1110536180284747777,2019-03-26,13:37:12,reppetestauber,0,5,16
"On National Medal of Honor Day, we must pause to remember the brave Americans whose service to our nation has been distinguished through extraordinary valor. Today, I'm remembering brave Medal of Honor recipients, like Mike Colalillo & Henry Courtney, who both called #MN08 home.",1110297564593750016,2019-03-25,21:49:02,reppetestauber,1,3,22
"#ICYMI, see my statement on the findings of the Mueller investigation:  https://bit.ly/2CERalk  pic.twitter.com/4lGDY7yxWY",1110222996243927040,2019-03-25,16:52:43,reppetestauber,7,12,20
