tweet,id,date,time,username,replies_count,retweets_count,likes_count
"I visited an American Government class at Duluth East High School. We had a great discussion about what is happening in our nation's capital. I was especially interested to hear about their end of the year project, which involved writing federal officials & letters to the editor. pic.twitter.com/RMFF2uQOAX",1134559338373271552,2019-05-31,20:36:40,reppetestauber,3,7,22
"I was honored to speak at an event celebrating the historic reroute of the North Country Scenic Trail. This reroute will give locals & visitors alike the chance to view more of our region’s stunning scenery, all while benefiting local small businesses & strengthening the economy! pic.twitter.com/esHAbOvPPH",1134533063545884673,2019-05-31,18:52:15,reppetestauber,2,5,9
Thanks for coming! I am proud to work with you on this critical issue. https://twitter.com/RepAngieCraig/status/1134141279099600896 …,1134171600113324038,2019-05-30,18:55:56,reppetestauber,2,4,8
"Today, I hosted a House Small Biz Committee field hearing in #MN08 on the importance of rural broadband. I was glad that @RepGolden , @RepAngieCraig, & @RepHagedorn could join the discussion. Together, we can ensure that every American small biz & family has access to broadband. pic.twitter.com/INouNM9ogr",1134161062239096837,2019-05-30,18:14:03,reppetestauber,3,8,15
Getting set up for our House Small Business Committee field hearing on rural broadband which will take place later this morning. Can’t wait to see everyone there! @HSBCgop pic.twitter.com/NjAz43Y7Jz,1134092693372641280,2019-05-30,13:42:23,reppetestauber,3,7,19
"Yesterday, I toured the Plastech Corporation, a molding manufacturing company. During the tour I was joined by Dennis Frandsen, who founded the company in 1963. We spoke about the importance of manufacturing and the needs of the manufacturing community in Minnesota. pic.twitter.com/ZbrKyYC8qN",1133752755418484736,2019-05-29,15:11:35,reppetestauber,5,12,18
"This afternoon, I swung by Isanti Primary School to deliver a shipment of books from the Library of Congress Surplus Books Program and read “It’s a BIG Secret” to 1st grade students. pic.twitter.com/AU5BTiGUGU",1133435736185802752,2019-05-28,18:11:52,reppetestauber,2,1,17
"Today, I toured the @UPS facility in Isanti and even helped deliver packages. I appreciated the opportunity to take a behind the scenes look at their successful delivery system. pic.twitter.com/WQRyJFPsfE",1133405626669903872,2019-05-28,16:12:13,reppetestauber,3,6,27
"I recently attended the funeral of Dante Tini, the 19-year old sailor who died at Pearl Harbor & was unidentified for decades. This Memorial Day, let us remember that our country remains the greatest in the world because of the extraordinary courage of Americans like Dante Tini. pic.twitter.com/edrwLztjSk",1133008926780346369,2019-05-27,13:55:53,reppetestauber,4,12,48
"Through the @librarycongress
 Surplus Books program, my office is able to donate books to libraries, schools, and nonprofits in our district. Yesterday I had the opportunity to donate a few books to Bay View Elementary in Duluth. pic.twitter.com/i9Jj1pO3OK",1132296035110461440,2019-05-25,14:43:06,reppetestauber,2,7,16
