tweet,id,date,time,username,replies_count,retweets_count,likes_count
"This Thanksgiving, I want to offer my sincere thanks to all of you who have welcomed me into your homes, businesses, and lives this past year. I am deeply grateful to be serving #MN08 in Congress.

From my family to yours, have a safe and happy Thanksgiving. pic.twitter.com/ZmrljMhqS7",1200097261948145665,2019-11-28,17:00:58,reppetestauber,4,1,10
This is a very serious issue so I am glad to see Minnesota's tribal leaders united in preventing this epidemic of violence and I remain committed to supporting them in this important mission.  https://cs.pn/2DnooWu  (3/3),1199749062070812672,2019-11-27,17:57:21,reppetestauber,1,2,8
"On some Native American reservations, federal studies show that women are killed at a rate over ten times the national average. (2/3)",1199748926418624513,2019-11-27,17:56:48,reppetestauber,0,1,3
"I was pleased to see that Fond du Lac councilmember Roger Smith, Fond du Lac chairman Kevin Dupuis, and Mille Lacs Band Chief Executive Melanie Benjamin were all in the Oval Office for the signing of Trump's Executive Order on Missing & Murdered Native Americans Task Force. (1/3)",1199748834534084608,2019-11-27,17:56:27,reppetestauber,0,1,8
"When I retire at night, I know that I put my best foot forward and have given it my all that day. https://bit.ly/35Biqxi ",1199450886768144384,2019-11-26,22:12:30,reppetestauber,17,2,12
"Speaker Pelosi just claimed that we don't have enough time to pass the USMCA this year. 

She should stop wasting our time with partisan impeachment proceedings and finally bring this critical trade agreement to the House Floor for a vote! https://bit.ly/2D7mPf3 ",1197612388666744834,2019-11-21,20:26:58,reppetestauber,358,908,2418
"Every week, I send out a newsletter to keep Minnesotans updated on the work I am doing to improve their lives. If you haven't already, sign up for my newsletter here: https://bit.ly/2KGLpI7 ",1197580922876510208,2019-11-21,18:21:56,reppetestauber,13,4,10
"As Americans, our commonalities far outweigh our differences. I remain committed to working with my colleagues on both sides of the aisle to accomplish bipartisan wins for Minnesota's Eighth Congressional District. https://bit.ly/2QAULbX ",1197166654351925248,2019-11-20,14:55:47,reppetestauber,16,3,14
"If we voted on the USMCA today, it would pass the House w/bipartisan support. Unfortunately, Speaker Pelosi is more interested in partisan impeachment than clinching bipartisan wins for the nation.

Enough is enough. 

The time to pass the USMCA is now. https://bit.ly/2CUPu7c ",1196884788369596418,2019-11-19,20:15:45,reppetestauber,59,165,400
"Last Friday, I spoke on the House Floor to honor Jeremiah Heesaker and Theresa Miller of Ely for taking action to honor America's departed heroes this past Veterans Day. Watch my speech here: https://bit.ly/37fipRe ",1196517936904724485,2019-11-18,19:58:01,reppetestauber,1,10,15
"Today, Sergeant Thomas Stolee of the Duluth Police Department and his son dropped by my Washington, D.C. office before their tour of the Capitol. It was such a great surprise to see my friend and old co-worker! pic.twitter.com/ZxP0uzWthd",1195364482064801792,2019-11-15,15:34:35,reppetestauber,6,4,17
"The #USMCA will benefit farmers, companies, and manufacturers across Minnesota. If we voted on the USMCA today, it would pass with bipartisan support.

Unfortunately, Speaker Pelosi continues to delay a vote on this critical trade agreement. pic.twitter.com/V1X4y9a61B",1195054028117463040,2019-11-14,19:00:57,reppetestauber,14,23,28
"I was proud to help pass a series of veteran-specific bills out of the House this evening, including the VA-SBA Act, of which I am a cosponsor. This bill is critically important as it will help more veteran-owned small businesses succeed! @HSBCgop",1194748209257730048,2019-11-13,22:45:45,reppetestauber,8,16,28
"These impeachment proceedings do nothing to help the American people. 

Instead, let's pass the #USMCA trade agreement, lower the cost of prescription drugs, improve broadband access, and grow our economy! https://twitter.com/SteveScalise/status/1194692983393849350 …",1194697562248372227,2019-11-13,19:24:29,reppetestauber,117,276,802
I will continue to break through the gridlock in Congress and work with my colleagues on both sides of the aisle to achieve more bipartisan wins for Minnesota’s Eighth Congressional District and the nation! https://bit.ly/2KvqAPR ,1194378927638224897,2019-11-12,22:18:21,reppetestauber,11,13,28
"On Veterans Day, we pause to honor the men & women who have bravely served this nation. Through their service, our veterans have preserved the many freedoms we enjoy & made the American Dream possible. To all of our vets, I thank you from the bottom of my heart for your service. pic.twitter.com/egNx0wLW4r",1193904352525598720,2019-11-11,14:52:33,reppetestauber,1,5,20
Thanks for having me! https://twitter.com/UMDNRRI1/status/1192166310504992773 …,1192169568782966784,2019-11-06,19:59:09,reppetestauber,3,2,7
"St. Louis County was recently designated as a High Intensity Drug Trafficking Area, meaning additional funds and resources will be allocated to the region to assist law enforcement w/drug control efforts. This designation was welcome news. Learn more here: https://bit.ly/2JWhfju ",1192088451132383234,2019-11-06,14:36:49,reppetestauber,3,6,16
"Today, I had the privilege of presenting Stan Cvar of Hibbing with an American flag that was flown over the United States Capitol. It was an absolute honor to meet this American hero and present him with a token of our gratitude. https://twitter.com/ReneePassal/status/1191740417865404418 …",1191800874177323008,2019-11-05,19:34:05,reppetestauber,1,7,20
"Thx to the Hibbing Chamber for allowing me to give an update on the work I am doing to help unleash the economic engine in #MN08. I discussed my work to bring reliable broadband to our rural communities, lower the cost of healthcare, & secure fairer trade deals for MN’s workers. pic.twitter.com/Gf9wKiJlSa",1191729382827724805,2019-11-05,14:50:00,reppetestauber,4,9,33
