tweet,id,date,time,username,replies_count,retweets_count,likes_count
Great news for the American economy thanks to pro-growth policies like tax cuts and deregulation. https://twitter.com/WhiteHouseCEA/status/1101131056240050176 …,1101221723809161216,2019-02-28,20:44:53,repratcliffe,1,47,95
"I just voted against the House passage of H.R. 8. 

Instead of actually reducing gun violence, this bill makes it harder for law-abiding citizens to exercise their Second Amendment rights while doing almost nothing to keep guns out of the hands of dangerous criminals. https://twitter.com/RepRatcliffe/status/1095797114091782145 …",1100860191812259845,2019-02-27,20:48:17,repratcliffe,26,128,382
"I was pleased to welcome Secretary Esper to the Red River Army Depot yesterday. The Depot is equipped with the facilities, lines of production, and the experienced personnel needed to support the important mission of the war fighter. #ArmyReadiness @SecArmy @RRAD_TX pic.twitter.com/2ndAtIoeOL",1098618174264823808,2019-02-21,16:19:18,repratcliffe,3,12,65
Happy #PresidentsDay! 🇺🇸 pic.twitter.com/isUskQEpKO,1097528143647334402,2019-02-18,16:07:55,repratcliffe,3,12,74
Looking forward to joining @MariaBartiromo on @SundayFutures tomorrow at 10:30 a.m. ET. https://twitter.com/MariaBartiromo/status/1096921808723431424 …,1096959257835114497,2019-02-17,02:27:22,repratcliffe,14,13,80
"Now, he will be forced to sign woefully inadequate legislation to avoid another government shutdown, then take further action to ensure our national security needs are met. When the safety of American citizens is on the line, we just can’t afford to miss the mark.",1096235085060341760,2019-02-15,02:29:45,repratcliffe,18,35,144
President Trump’s requests very clearly laid out the funding and resources we need to address the growing crisis at our Southern Border – but the bill being sent to his desk falls short.,1096235083705520130,2019-02-15,02:29:45,repratcliffe,2,22,115
I voted against H.J. Res. 31 because I could not in good conscience support legislation that fails to fulfill Congress’ constitutional obligation to provide for the common defense by ensuring the security of our territorial borders.,1096235081436487682,2019-02-15,02:29:45,repratcliffe,23,51,270
"Praying for all who were impacted by the deadly terrorist attack in Jammu and Kashmir today, as we stand in solidarity with India against such violent acts of terrorism across the globe. https://twitter.com/USAmbIndia/status/1096049604431351814 …",1096084225265152001,2019-02-14,16:30:18,repratcliffe,12,152,432
The Democrats’ H.R. 8 fails to keep guns out of the hands of criminals based on the false premise that most criminals follow the law and will go through a background check to get a gun. Let's not forget the definition of a criminal: someone who doesn’t obey the law. pic.twitter.com/VhUPT6yZuJ,1095797114091782145,2019-02-13,21:29:25,repratcliffe,33,155,462
