tweet,id,date,time,username,replies_count,retweets_count,likes_count
Happy to announce with @MayorKos413 $42.6 million for @439Westover for a new C-5 maintenance hangar. pic.twitter.com/YQ5wUdjK0T,1091038522960687104,2019-01-31,18:20:29,reprichardneal,12,6,13
Thank you @RepGwenMoore for sharing your personal story today. We need to continue to embrace policies that protect people with pre-existing conditions so that they can get and keep coverage - no matter what. https://twitter.com/RepGwenMoore/status/1090305124470276102 …,1090339155119431680,2019-01-29,20:01:26,reprichardneal,6,12,23
"We need to embrace policies that protect people w pre-existing conditions. I have seen in MA that we can work together across party lines to protect families from financial ruin. We need more of that in Congress, and I hope this hearing will be the beginning of that process. https://twitter.com/WaysMeansCmte/status/1090329427005882368 …",1090329971036442626,2019-01-29,19:24:57,reprichardneal,7,8,42
The @WaysMeansCmte is holding a hearing RIGHT NOW on protecting the over 130 Americans with pre-existing conditions. Tune in here:  https://bit.ly/2DHm9OE ,1090265567469068290,2019-01-29,15:09:02,reprichardneal,6,7,25
Tomorrow the @WaysMeansCmte will hold a hearing on protecting the health care coverage of 130 million Americans with pre-existing conditions under the Affordable Care Act. Details here: https://bit.ly/2G3XQMs ,1089977768723574795,2019-01-28,20:05:25,reprichardneal,12,9,22
The national economy has suffered & people have been denied essential govt services during a shutdown they did not want. I will continue to work with my colleagues to find an agreement that is permanent and includes a frank discussion about border security.,1088912571728580608,2019-01-25,21:32:42,reprichardneal,11,5,23
"While I am pleased that a compromise has been reached today, this needless shutdown went on 35 days longer than necessary. For over a month, 800k federal employees have missed paychecks and experienced financial hardship during the longest shutdown in our nation’s history.",1088912393588166656,2019-01-25,21:32:00,reprichardneal,8,6,45
Watch the whole conversation here:  http://bit.ly/2T7StQ7 ,1088111735721074689,2019-01-23,16:30:28,reprichardneal,6,1,4
I’ll be live at @telegramdotcom at 10:30AM. Follow along here ⬇️ https://twitter.com/telegramdotcom/status/1088089212098961410 …,1088093105952309250,2019-01-23,15:16:26,reprichardneal,7,1,5
Great to be #intheBerkshires to teach a class at #Drury High School. The future is bright with these kids from @TheNorthAdamsPS. pic.twitter.com/gjAm6WxEdN,1087794538935173120,2019-01-22,19:30:02,reprichardneal,5,4,19
One month has passed since the #TrumpShutdown began. It’s well past time for @realDonaldTrump to stop holding American families & our economy hostage. #EndTheShutdown pic.twitter.com/pIRfUqZcUV,1087773590278279168,2019-01-22,18:06:48,reprichardneal,10,13,48
A great day yesterday at the @HoophallClassic @SpfldCollege celebrating the launch of the Naismith Memorial @Hoophall Commemorative Coin. Thanks to my colleague @RepAndyBarr for his support and coming from KY to MA for the announcement. https://twitter.com/Hoophall/status/1087381865122664450 …,1087719687461502976,2019-01-22,14:32:37,reprichardneal,6,9,20
"With a potential snowstorm on the way, check out these useful tips from @MassEMA. pic.twitter.com/CZ8A7cvTyQ",1086258154164219904,2019-01-18,13:45:00,reprichardneal,5,5,9
The #NewEngland Delegation met today today in DC. Our guest was Eric Rosengren of the @BostonFed. We were able to discuss New England’s economic outlook and how we in Congress can continue to best utilize our partnership with the Fed. pic.twitter.com/cda06oDBqB,1085632855290593281,2019-01-16,20:20:17,reprichardneal,7,4,20
A @NPR @IpsosNewsPolls poll shows 74% think the government #shutdown is embarrassing for the country. 71% say the government #shutdown is going to hurt our country and 70% say it is going to hurt our economy. I agree. #EndTheShutdown pic.twitter.com/iHYTFLjrgU,1085235666873544704,2019-01-15,18:02:00,reprichardneal,24,14,34
"And, as of last night, @RepJimmyGomez!",1085195766010863620,2019-01-15,15:23:27,reprichardneal,2,1,11
"Last week, my House colleagues & I voted to reopen the government – and this week, we did so again. Twenty Days is twenty too many. #EndTheShutdown pic.twitter.com/jghCVBo7Zy",1083438829594238977,2019-01-10,19:02:00,reprichardneal,12,10,25
"Thrilled to welcome the newest Democratic members of the @WaysMeansCmte:
@RepGwenMoore
@RepDanKildee
@CongBoyle
@RepDonBeyer
@RepDwightEvans
@RepTomSuozzi
@RepJimmyPanetta
@RepStephMurphy
@RepSchneider
@RepHorsford",1083431636061114368,2019-01-10,18:33:25,reprichardneal,15,24,77
