tweet,id,date,time,username,replies_count,retweets_count,likes_count
"""Steady hiring suggests U.S. economy enters 2019 on strong note"" https://www.marketwatch.com/story/213000-private-sector-jobs-created-in-january-adp-says-2019-01-30 …",1090650069655801857,2019-01-30,16:36:54,reprichhudson,3,6,10
My wife Renee and I are praying for Congressman Walter Jones and his family during this difficult time. May God bring them strength and comfort. https://www.fayobserver.com/news/20190127/north-carolina-congressman-walter-jones-in-hospice-care …,1089917699256451073,2019-01-28,16:06:43,reprichhudson,1,2,16
#WeRemember pic.twitter.com/HwNOdZfZDo,1089628632514027520,2019-01-27,20:58:04,reprichhudson,0,7,20
Today @HouseGOP voted to immediately provide DHS employees with their paychecks. House Democrats voted – again – against paying federal workers during the shutdown. These political games must end. pic.twitter.com/rA8hobqXW5,1088529295478321152,2019-01-24,20:09:42,reprichhudson,147,163,263
And today marks the THIRD time House Democrats voted against paying federal workers as we try to negotiate to secure our border & open the government. These political games must end. https://twitter.com/SenateGOP/status/1088491636777201669 …,1088496102372986885,2019-01-24,17:57:48,reprichhudson,9,8,17
"The tragic loss of Staff Sergeant Beale – a husband, father, friend, son and patriot – is immeasurable. We pray God brings his loved ones peace and comfort knowing he is a hero who laid down his life for our country.",1088148614902362112,2019-01-23,18:57:01,reprichhudson,3,5,25
My wife Renee and I are saddened to learn of the death of Staff Sergeant Joshua Z. Beale. We send our deepest condolences and sympathy to his family and the Special Forces community. https://abc11.com/fort-bragg-soldier-killed-during-combat-in-afghanistan/5102851/ …,1088148541267197953,2019-01-23,18:56:43,reprichhudson,4,6,14
"Today we honor Dr. Martin Luther King, Jr. and his service for justice and freedom. As we celebrate his life and legacy, we continue to strive to fulfill his vision of equality.  #MLKDay pic.twitter.com/seHf1sjXTt",1087357776567902208,2019-01-21,14:34:30,reprichhudson,2,3,6
"Since day one, President Trump has tried to work to find a bipartisan solution to the crisis at our southern border. I continue to call on my colleagues to come to the table to work together to secure our border and reopen the government.",1086782776848928769,2019-01-20,00:29:40,reprichhudson,27,16,60
"To everyone participating in today’s March for Life in Washington, DC, thank you and God bless you. Like you, I believe life is a precious gift from God. And I’m proud to stand with you as we work to end the cruel practice of abortion. #ProLife #MarchForLife pic.twitter.com/npTRf4FuMj",1086292948646535169,2019-01-18,16:03:15,reprichhudson,10,6,56
