tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Today, Speaker Pelosi and House Democrats passed a partisan impeachment resolution in a desperate attempt to legitimize their secretive, closed-door process. I will not stop fighting against this impeachment sham.",1189943193657323520,2019-10-31,16:32:20,reprickallen,13,4,14
It’s an especially scary Halloween when a major political party tries to remove a duly elected President simply because they do not like him.,1189942935380484096,2019-10-31,16:31:18,reprickallen,32,15,77
"Chairman Scott not only wouldn’t support my amendment, he used this opportunity to rail against the tax cuts passed last Congress that have benefited hard-working Americans. He said he would refer this to the Ways & Means Committee, which has jurisdiction over raising taxes. 3/3 pic.twitter.com/XSGWf9TaZD",1189667650449952768,2019-10-30,22:17:25,reprickallen,3,2,7
The Democrats want to reward criminal behavior rather than be fair to American taxpayers and legal immigrants. 2/3,1189666143948148737,2019-10-30,22:11:26,reprickallen,6,2,11
"Today at the House Education and Labor Committee, I offered an amendment to Democrats’ College #unAffordability Act that would prohibit institutions of higher education from offering in-state tuition to illegal immigrants 1/3",1189665785880481797,2019-10-30,22:10:00,reprickallen,3,1,10
"U.S. Army Corps of Engineers South Atlantic Division announced they will proceed with the removal of the Lock and Dam and move forward with Alternative 2-6D, which was simulated in February with disastrous results. My statement with @RepJoeWilson ➡️  https://bit.ly/2PuxGqM  pic.twitter.com/y75HBVI8fv",1189273281330855939,2019-10-29,20:10:20,reprickallen,5,19,14
Take a look at my e-newsletter to see what I did last week in Washington →  https://bit.ly/2NlFx7n  pic.twitter.com/tFkffZ2Gc9,1188939929704914944,2019-10-28,22:05:43,reprickallen,7,1,6
"I spoke on the House floor in strong opposition to Speaker Pelosi & House Dems' impeachment inquiry. If they truly believe that this is the right thing to do, why won’t they hold a vote? The Democrats’ complete disregard for following a fair process is alarming and un-American. pic.twitter.com/bahdDyietI",1187071791497396224,2019-10-23,18:22:24,reprickallen,27,16,39
"Rep. Allen is still down there, and will not leave the SCIF until there are answers. While House Democrat leadership continues to withhold information and pursue a closed-door process, Rep. Allen will not stop fighting until this impeachment sham is over. 3/3",1187039040266215426,2019-10-23,16:12:15,reprickallen,22,17,26
"To no one’s surprise, Mr. Schiff then left the room, continuing this secretive process so he can cherry-pick what information to leak. All members deserve to get the facts – and so do the American people.  2/3",1187038777581158400,2019-10-23,16:11:13,reprickallen,13,13,24
"Update from my staff on the #StoptheSchiffShow: This morning, Congressman Allen and several GOP members stormed the impeachment hearing room and successfully got in. 1/3",1187038223131955201,2019-10-23,16:09:01,reprickallen,24,33,65
"Not only will Speaker Pelosi & Dems not hold a vote on the impeachment inquiry, they won’t let us vote on a resolution that has 170+ cosponsors, H.Res. 630. Mr. Schiff has used his position to mislead the American people. Unfortunately Dems won’t allow for any accountability.",1186699072717164545,2019-10-22,17:41:21,reprickallen,15,9,25
Take a look at my e-newsletter to see what I did this week in Washington →  https://bit.ly/2MqRnOk  pic.twitter.com/lFoILTlDtd,1185278077422723072,2019-10-18,19:34:49,reprickallen,4,4,7
"I held a telephone town hall Tuesday night to answer questions from residents of #GA12. I gave an update on Democrats' impeachment inquiry, #USMCA, Social Security Administration’s COLA increase for 2020, and more. Here are some highlights:
 https://bit.ly/32qfmTt  pic.twitter.com/0ik5PW3MbD",1184820128933957633,2019-10-17,13:15:06,reprickallen,10,2,6
"On this day in 1775, the @USNavy was established. Today and every day, we give thanks to the men and women who protect our seas and keep our nation safe from those who wish us harm. Happy 244th birthday! pic.twitter.com/QAwQ7hOQ58",1183367783976968192,2019-10-13,13:04:00,reprickallen,13,21,40
"The #DoNothingDemocrats' agenda to undermine President Trump is costing the American people. It’s time for Congress to focus on passing #USMCA, securing the border, and lowering prescription drug prices. pic.twitter.com/hNr8jVVrTj",1181288126410612736,2019-10-07,19:20:11,reprickallen,93,68,181
"Don’t let Democrats’ impeachment inquiry distract you from today’s economic news – U.S. unemployment hit a 50-year low and 136,000 jobs were added during September. Dems should focus on pro-growth policies so we can keep the good news coming! #JobsReport https://www.cnbc.com/2019/10/04/jobs-report---september-2019.html …",1180177102429151234,2019-10-04,17:45:22,reprickallen,19,24,47
"Today we celebrate National Manufacturing Day and those who play a critical role in our local, national and global economies. As a conservative, small businessman, I will continue to support policies that promote economic growth and empower the next generation of skilled workers. pic.twitter.com/rqsATpvyp7",1180108086335492097,2019-10-04,13:11:07,reprickallen,7,8,18
"Medicare-for-All would create a single-payer system run by the federal government for everyone. President Trump’s Executive Order will ensure our seniors have choices and access to quality, affordable care.",1179858193691938823,2019-10-03,20:38:08,reprickallen,5,6,9
Thank you @POTUS for taking steps to protect and improve Medicare for our nation’s seniors. Democrats’ Medicare-for-All proposal is a radical socialist policy that would end Medicare as we know it. https://youtu.be/sMNj1ugm8QA ,1179857769421328386,2019-10-03,20:36:27,reprickallen,21,13,31
