tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Yesterday, @RepWexton and I introduced the bipartisan FinCEN Improvement Act of 2019.

Read more about it here:
 https://riggleman.house.gov/media/press-releases/congressman-denver-riggleman-sponsors-fincen-improvement-act-2019 … pic.twitter.com/Qy3JAQbij1",1101242909150584832,2019-02-28,22:09:04,repriggleman,4,2,10
I will be going live on Facebook at 2:35 PM today. Tune in to  http://Facebook.com/RepRiggleman  to watch my update on everything going on in Congress #VA05,1101199395247349762,2019-02-28,19:16:09,repriggleman,1,4,5
"I had a great meeting this morning with the Virginia Wing of the @CivilAirPatrol during their legislative day in DC.  These young leaders are doing great things for our nation.
#VA05 pic.twitter.com/JDC4peKvAR",1101157381453635584,2019-02-28,16:29:12,repriggleman,2,3,8
"ICYMI, this week I participated in 2 Financial Services Committee hearings. 

Read more about what was discussed here: https://riggleman.house.gov/media/press-releases/press-release-congressman-denver-riggleman-participates-financial-services …",1101133390626123777,2019-02-28,14:53:53,repriggleman,2,3,2
I am happy to lend my vote and support to this bi-partisan bill! https://twitter.com/VirginiaLCV/status/1100783331610771457 …,1100817845900926976,2019-02-27,18:00:01,repriggleman,1,1,2
Excited to see that the #EnsuringLastingSmilesAct has now been introduced in both the Senate and House.  This bill will correct a gap in insurance coverage for congenital anomalies and improve the lives of children who need our help https://twitter.com/NFED_ORG/status/1100591445910712320 …,1100771253554724864,2019-02-27,14:54:52,repriggleman,1,2,12
Today I met with Kannon Koser to celebrate the introduction of the Ensuring Lasting Smiles Act. This bill would close a coverage gap for individuals born with congenital anomalies or birth defects. The bi-partisan bill will help children like Kannon get the care they need. #va05 pic.twitter.com/kkbWQB0XtG,1100512566768517123,2019-02-26,21:46:57,repriggleman,2,5,22
"Congressman Riggleman's Speech on the Ensuring Lasting Smiles Act. This bipartisan bill would ensure children born with congenital anomalies get the care they need.
#VA05 pic.twitter.com/Z1Z9lx0zAd",1100496562453729280,2019-02-26,20:43:21,repriggleman,0,8,26
Thank you for meeting with me!  Had a fantastic discussion about how #va05 is rich in history and culture and how museums can help local economies. https://twitter.com/VAMuseums/status/1100493345938464768 …,1100494465305841664,2019-02-26,20:35:01,repriggleman,0,0,3
"Coming up: Watch LIVE as I give an address about the Ensuring Lasting Smiles Act on the House Floor:
 https://www.c-span.org/video/?458184-2/us-house-debates-resolution-blocking-national-emergency-declaration&live …",1100441902611087360,2019-02-26,17:06:09,repriggleman,1,0,3
"#VA05, Watch today's Financial Services Committee Hearing LIVE.  Today's hearing is about holding credit bureaus accountable and finding ways we can improve the credit reporting system https://twitter.com/FinancialCmte/status/1100410410476265472 …",1100413582901035014,2019-02-26,15:13:37,repriggleman,3,4,8
"""I just wonder if you have people that want to serve that haven't been in the political pipeline, if they couldn't do a better job of representing the people that are working for a living and paying taxes, and it's just something that I believe in.""
#VA05 pic.twitter.com/YzGTJ7wDwN",1100411872266772480,2019-02-26,15:06:49,repriggleman,1,7,18
"“Being in Congress should not be a career, but should be an act of public service.  During my campaign, I promised to run an office with integrity and transparency...Term limits on members of Congress will keep members accountable""

Read more here:  https://riggleman.house.gov/media/press-releases/press-release-congressman-riggleman-joins-measure-impose-term-limits-members …
#VA05",1100125260404400133,2019-02-25,20:07:56,repriggleman,3,18,59
"INTERNSHIPS available!
We are seeking interns in both our DC and district offices.  If you are interested, please apply at  https://riggleman.house.gov/services/internships …
#VA05",1100084785786114051,2019-02-25,17:27:06,repriggleman,0,8,9
"Our Veterans have sacrificed for our nation, they deserve health care options that work for them.  As an Air Force Veteran, I know the sacrifices our vets have made and will work with @DeptVetAffairs to make sure the #VAMISSIONAct will help our vets.",1100063591435255808,2019-02-25,16:02:53,repriggleman,6,11,41
"Rep. Denver Riggleman, R-5th, said he hopes proposed bills to increase rural broadband access and funding also will allow increased access to telemedicine.

Read more here: https://www.dailyprogress.com/news/politics/at-uva-warner-voices-concerns-over-medicare-for-all-evolving/article_6410d1a8-3703-11e9-9fde-0b7815dfc8e1.html …",1099337893934481409,2019-02-23,15:59:13,repriggleman,4,7,14
"Check out this week's newsletter, #VA05!
 https://riggleman.house.gov/media/newsletters/hill-denver-riggleman-weekly-update-february-22-2019 … pic.twitter.com/k4hpedcBwU",1099052459815768064,2019-02-22,21:05:00,repriggleman,0,2,3
I had a couple great meetings with constituents in Campbell County this morning. First with Todd Hall of First National Bank and then with Campbell County Administrator Frank Rogers. #VA05 pic.twitter.com/oYn8I4QwpJ,1098993378971262977,2019-02-22,17:10:14,repriggleman,2,1,6
Thank you to everyone who came out to my coffee with the Congressman event in Altavista this morning. It’s always great to talk to constituents in #VA05 pic.twitter.com/ZH3HZfYB9q,1098951736268673024,2019-02-22,14:24:46,repriggleman,4,3,9
"Join me for coffee tomorrow morning in Altavista, #VA05! pic.twitter.com/grq81eQl66",1098705424298082305,2019-02-21,22:06:00,repriggleman,4,3,14
I met with Pittsylvania Economic Development Director Matt Rowe and talked about how to expand rural broadband and economic opportunities in Pittsylvania. #va05 pic.twitter.com/PIRSbro3UW,1098676242440732673,2019-02-21,20:10:03,repriggleman,3,1,7
"My staff will be holding mobile office hours on Tuesday, February 26 in Prince Edward, Charlotte and Halifax Counties.  All our encouraged to attend and meet the Congressman's staff and receive assistance with federal agencies.
#VA05 pic.twitter.com/PR6uBvfuzk",1098663128353640448,2019-02-21,19:17:56,repriggleman,1,0,3
Thank you to Sheriff Mike Mondul for meeting with me to discuss law enforcement issues and how I can help make Danville a safer place. #VA05 pic.twitter.com/mrqazqiWO0,1098656576909529089,2019-02-21,18:51:54,repriggleman,2,0,8
Just got out of a great meeting with the Danville Economic Development office. We talked about what I can do to help bring more jobs to Danville. #VA05 pic.twitter.com/h6vWsg4sSP,1098625836813570051,2019-02-21,16:49:45,repriggleman,1,0,16
Started off the morning with a great meeting in Mecklenburg with local bankers to discuss community banking issues and the reforms I can help with. #VA05 pic.twitter.com/Zn7V6usgAQ,1098588670842540032,2019-02-21,14:22:04,repriggleman,0,2,9
"Check out my Facebook Live from yesterday, when I talked about my healthcare roundtable and meetings with constituents.
#VA05
 https://www.facebook.com/RepRiggleman/videos/2330995080559883/ …",1098294114058190848,2019-02-20,18:51:36,repriggleman,2,0,2
"Yesterday I had a great meeting in Charlottesville with leaders in the healthcare industry. I hope we can take away our political affiliations and figure out a bipartisan way to improve our healthcare system.
#VA05 pic.twitter.com/IHQXF1l17I",1098219386173878272,2019-02-20,13:54:40,repriggleman,6,2,13
"I will be going live momentarily on  http://Facebook.com/RepRiggleman  with an update from today’s in-district activities and this mornings healthcare roundtable. Tune in,#VA05",1098002370460610566,2019-02-19,23:32:19,repriggleman,1,2,5
Thank you for leading such an interesting and informative discussion. Happy to work with you to help with the challenges in the healthcare industry. #VA05 https://twitter.com/sentarahealth/status/1097966867862429696 …,1097976129036738560,2019-02-19,21:48:03,repriggleman,1,0,4
Just had a fantastic discussion at the Davita Dialysis Clinic In Charlottesville about further reforms we can make to the healthcare system to help both providers and patients. #va05 pic.twitter.com/zyYiVT410D,1097935316365836288,2019-02-19,19:05:52,repriggleman,1,2,7
I campaigned on finding solutions to our healthcare crisis and I am spending today in the district talking to the people that know how to get it done. #va05 https://twitter.com/LowellRoseNews/status/1097896058024329216 …,1097911321323020289,2019-02-19,17:30:31,repriggleman,5,1,5
"I have also already begun working with Rep. Collin Peterson (D-MN) on the Ensuring Lasting Smiles Act, a bipartisan bill that addresses some of our healthcare issues.",1097900643363229702,2019-02-19,16:48:06,repriggleman,1,1,3
Thank you to AHIP for organizing a Charlottesville Healthcare roundtable this morning. I campaigned on finding a bipartisan solution to our healthcare issues and roundtables like this one are the first step towards achieving that goal. #VA05 pic.twitter.com/HnizWZrH96,1097900639210950656,2019-02-19,16:48:05,repriggleman,2,1,7
"Reminder- my staff is holding mobile office hours TODAY in Campbell, Cumberland, Appomattox, Bedford, and Nelson Counties.
#VA05 pic.twitter.com/N3LPSuJqTu",1097846988236677127,2019-02-19,13:14:53,repriggleman,1,1,3
"Today, we honor our Presidents, who have made our country the greatest in the world!
Happy #PresidentsDay! pic.twitter.com/mMnUsxg6oV",1097514657898774529,2019-02-18,15:14:19,repriggleman,2,4,16
Happy to help the Virginia delegation with their push to relocate an F-22 squadron to Virginia.  This is a great development for Virginia. #VirginiaWay https://www.13newsnow.com/article/news/national/military-news/virginia-congress-members-push-to-relocate-f-22-squadron-to-hampton-roads/291-c895460a-acea-4a1f-a68d-90a22dc82154 …,1096778613628813312,2019-02-16,14:29:33,repriggleman,1,0,9
"It's been an exciting week in Congress- Check out my weekly newsletter here:  https://riggleman.house.gov/media/newsletters/hill-denver-riggleman-weekly-update-february-15-2019 …
#VA05",1096540620762595333,2019-02-15,22:43:51,repriggleman,4,0,4
"Check out my interview from this morning on Joe @joethomaswchv, where we talk about the DHS funding bill from last night
#VA05 https://twitter.com/joethomaswchv/status/1096431712177917953 …",1096441906370887693,2019-02-15,16:11:36,repriggleman,2,2,3
"Transparency means telling you how I voted, and why I voted that way.
#VA05
Watch my Facebook live here:  https://www.facebook.com/RepRiggleman/videos/2159333794283627/ …",1096233425458089984,2019-02-15,02:23:10,repriggleman,3,4,14
"#VA05, I will be going on Facebook live following tonight's vote on the budget vote.  Tune in momentarily at  http://facebook.com/repriggleman ! pic.twitter.com/A2R4wpY5jv",1096228286823313415,2019-02-15,02:02:45,repriggleman,1,0,5
"Fighting to end the scourge of opioids isn’t a political issue, it’s a human issue. I am proud to be in this working group of freshman members who are committed to taking real steps to address this crisis in a bipartisan and actionable way. https://riggleman.house.gov/media/press-releases/congressman-denver-riggleman-rep-trone-announce-freshmen-working-group …",1096176958986244096,2019-02-14,22:38:47,repriggleman,2,5,10
"Check out my interview with John Reid on WRVA this morning in which we talked about the budget vote.

 https://newsradiowrva.radio.com/media/audio-channel/riggleman-todays-budget-vote …
#VA05",1096135435968040961,2019-02-14,19:53:47,repriggleman,0,0,1
"Proud to be on this bipartisan Freshman Working Group.  It is past time to #EndtheAddictionCrisis, it is time for Congress to take real action that can make a difference. https://twitter.com/RepDavidTrone/status/1096120616942559233 …",1096122390797533185,2019-02-14,19:01:57,repriggleman,5,6,19
This morning I had a great meeting with Rep. Collin Peterson to discuss the upcoming introduction of the bipartisan Ensuring Lasting Smiles Act. #Bipartisanship pic.twitter.com/gRn7KLiqJa,1096115021594148864,2019-02-14,18:32:40,repriggleman,0,5,8
"Happy to sign on as a co-sponsor to my friend @RepBlaine's Providing Accountability Through Transparency Act.
 https://luetkemeyer.house.gov/news/documentsingle.aspx?DocumentID=399187 …
I promised to make Congress more transparent and this bill does that by requiring agencies to provide understandable summaries of all regulations",1096057540046143490,2019-02-14,14:44:15,repriggleman,1,2,11
This is not a partisan issue.  Proud to stand with both sides of the aisle to condemn anti-Semitism. https://twitter.com/GOPLeader/status/1095794910077292544 …,1095804049792946176,2019-02-13,21:56:59,repriggleman,4,3,15
"My staff will be hosting mobile office hours on Tuesday, February 19 in Campbell, Cumberland, Appomattox, Bedford, and Nelson Counties.
All are encouraged to attend and meet the Congressman's staff and receive assistant with federal agencies.
#VA05 pic.twitter.com/plvpmfgTSk",1095791661202984960,2019-02-13,21:07:45,repriggleman,1,2,6
"We had a great meeting with Habitat for Humanity of Greater Charlottesville and the University of Virginia this afternoon.  @Habitat_org is a great organization that helps solve critical housing needs in our communities, including in #VA05 pic.twitter.com/sgVvy9iaBU",1095762133453811712,2019-02-13,19:10:25,repriggleman,2,5,21
This morning I will be at my first Committee Hearing as a member of the @FinancialCmte.  Watch at the link below! https://twitter.com/FinancialCmte/status/1095697619278589952 …,1095700844522205185,2019-02-13,15:06:53,repriggleman,1,1,8
"In case you missed my interview on @BloombergTV this afternoon, check out my thoughts on the ongoing border wall negotiations.
#VA05 pic.twitter.com/W3LHtt3YSb",1095486542141890562,2019-02-13,00:55:19,repriggleman,2,3,9
"Don’t worry if you missed my @BloombergTV segment, I’m going on @BloombergRadio next: 99.1 FM or online at  https://www.bloombergradio.com  pic.twitter.com/HnGmhhUwi6",1095441622014267392,2019-02-12,21:56:49,repriggleman,0,1,1
Excited for the show- Be sure to tune in! https://twitter.com/romainebostick/status/1095430090832465922 …,1095433576437477376,2019-02-12,21:24:51,repriggleman,0,0,1
I will be live on @BloombergTV at 4:40 this afternoon.  Be sure to tune in!,1095431096987078656,2019-02-12,21:15:00,repriggleman,0,1,4
"Happy Birthday to President Abraham Lincoln, a true American hero! pic.twitter.com/yte29GPJH8",1095427322184908800,2019-02-12,21:00:00,repriggleman,2,0,10
"As part of my effort to be transparent and provide updates from Congress, I gave a Facebook live on the bills I introduced last week.  #VA05 pic.twitter.com/tEeayt61Qb",1095398307453693953,2019-02-12,19:04:42,repriggleman,0,1,5
Thank you so much for meeting with ME!  The Special Olympics is such a great organization and I thank you for all the good work you do https://twitter.com/SOlympicsVA/status/1095360931310256128 …,1095364633819561985,2019-02-12,16:50:54,repriggleman,0,2,14
"Thank you, Carrie!
Happy to meet you and talk about how we can help address migraine disorder issues https://twitter.com/DrCDougherty/status/1095342895068925952 …",1095351715254145025,2019-02-12,15:59:34,repriggleman,1,0,1
"Thank you for watching, I hope it was educational.
I will send out the video later, but would love to speak to the @blueridgeschool students in the near future and maybe give a Facebook live update from there!

If interested, DM your contact info and my staff will reach out",1095336373320470528,2019-02-12,14:58:36,repriggleman,0,0,2
"Tune into my Facebook live at  http://facebook.com/RepRiggleman  right now!
#va05",1095329071649771520,2019-02-12,14:29:35,repriggleman,1,3,1
"I will be giving an update on Facebook Live at 9:30 AM this morning!  Tune in at  http://facebook.com/repriggleman 
#VA05",1095298976931332097,2019-02-12,12:30:00,repriggleman,1,3,4
"As an @usairforce veteran, I was incredibly honored to recieve an Air Force Seal for my office. pic.twitter.com/eyJ6Z6ZAp5",1095081295758143488,2019-02-11,22:05:01,repriggleman,2,4,24
"#VA05, I will be making a Facebook live announcement tomorrow morning at 9:30am regarding the 4 bills I introduced last week.  Tune in at  http://facebook.com/repriggleman .",1095066556369911808,2019-02-11,21:06:27,repriggleman,1,3,7
"""I don't think you have a big profile in courage in the @vademocrats right now."" Check out my interview on @OutnumberedOT from this afternoon. pic.twitter.com/SkCEH840QK",1095053469621383168,2019-02-11,20:14:26,repriggleman,8,9,15
Anti-Semitic rhetoric & racial stereotyping is starting to become a pattern from elected officials. It is tragic to hear that some members of Congress continue to traffic in anti-Semitic tropes. This cannot be tolerated regardless of party. https://twitter.com/GOPLeader/status/1094789512843145216 …,1095023215389433857,2019-02-11,18:14:13,repriggleman,11,7,23
"Going live on @OutnumberedFNC on @FoxNews right now!
#va05 pic.twitter.com/j2ABbF1IoG",1095019634632347648,2019-02-11,18:00:00,repriggleman,3,5,11
The House of Representatives family lost Rep. Walter Jones today.  Congressman Jones was a tireless fighter for North Carolinians and we will all miss him in Congress. Our prayers are with his family in this trying time.,1094756600651436032,2019-02-11,00:34:47,repriggleman,0,9,51
"Friday afternoon means its time for the latest edition of my Congressional newsletter!

 https://riggleman.house.gov/media/newsletters/hill-denver-riggleman-weekly-update-february-8-2019 …
#VA05 pic.twitter.com/OapxvTgJPl",1093993844272758784,2019-02-08,22:03:52,repriggleman,0,1,7
"“It’s about protecting Wintergreen and respecting the national parks,” Riggleman said. “I believe we can do both.”

Read more about my efforts to get an access road for Wintergreen here: 
 https://www.newsadvance.com/nelson_county_times/news/newly-elected-congressman-riggleman-pushes-for-wintergreen-safety-measure/article_0dca2dd2-d2e0-55a3-972e-d66de854cb2a.html …
#VA05",1093974534921818113,2019-02-08,20:47:08,repriggleman,1,1,8
