tweet,id,date,time,username,replies_count,retweets_count,likes_count
"""The House had a chance to do their #impeachment investigation, it's in the Senate's hands now, and I think what you saw was the political theater of Nancy Pelosi...That really turned a lot of people off, including Democrats, I think they're seeing this as political theater now."" pic.twitter.com/7RJhG44D2V",1218909125452738561,2020-01-19,14:52:36,repriggleman,8,10,28
"#VA05, you can watch my full interview from @ABC13News here: 

 https://wset.com/news/videos/denver-riggleman-talks-impeachment-richmond-pro-gun-rally …

We disussed #Impeachment, my first year in Congress, and my goals for this year.",1218510851910656002,2020-01-18,12:30:00,repriggleman,6,3,9
"I support the #2A and the peaceful assembly of those who use their 1st Amend. right to support their 2nd Amend. right. To this point, the 2A sanctuary movement has been peaceful and we have to be vigilant against white nationalist groups who threaten citizens in our Commonwealth https://twitter.com/realDonaldTrump/status/1218297464941314049 …",1218321618117767168,2020-01-17,23:58:03,repriggleman,31,35,128
"Thanks so much for having me! #VA05, tune in to @ABC13News tonight to watch the interview! https://twitter.com/DannerEvans/status/1218297057024389121 …",1218297363531489281,2020-01-17,22:21:40,repriggleman,1,4,9
"Check out my latest newsletter for updates on my work in Congress. #VA05
 https://riggleman.house.gov/media/newsletters/hill-denver-riggleman-weekly-update-january-17-2020 … pic.twitter.com/aEpvd4DvW5",1218290003991834624,2020-01-17,21:52:26,repriggleman,0,1,3
"“Yeah, there’s an emotional aspect of this - it’s awful. But I think you always have to err on the side of constitutional rights.... it’s very difficult for me not to support those who say this is an overreach by the new administration at the state house."" pic.twitter.com/Lw48GVAPjE",1218214527734513665,2020-01-17,16:52:31,repriggleman,17,8,26
"Yesterday I joined Les Sinclair on “Charlottesville …Right Now” on @NewsRadioWINA to discuss domestic terrorism, gun control, the Iranian situation, and more.

Listen here, #VA05 https://wina.com/podcasts/update-from-congressman-denver-riggleman/ …",1218182390457294857,2020-01-17,14:44:49,repriggleman,3,3,10
"Trade is vital to the economic success of #VA05. I am proud of the work that @POTUS has done for our farmers, growers, and producers and am excited to see the tremendous growth the #USMCA and China trade agreements will bring.  Watch my video update here: 
 https://www.youtube.com/watch?v=JOukR3WFTCk … pic.twitter.com/khE6unU3xL",1217930052714881026,2020-01-16,22:02:07,repriggleman,11,5,21
"The Senate just passed the #USMCA-- this really is a big win for America and #VA05.  The USMCA will create upwards of 176,000 American jobs, expand America's trading partnership with Mexico and Canada, and help producers specifically in the 5th District.  Thank you, @POTUS!",1217859000403943424,2020-01-16,17:19:47,repriggleman,22,109,392
"Yesterday, in a @FinancialCmte hearing, I spoke out against white supremacy, an abhorrent ideology that has no place in America.  
This issue is close to my heart, as my hometown of Charlottesville has suffered due to this evil.  Read more here: https://riggleman.house.gov/media/press-releases/congressman-denver-riggleman-condemns-white-supremacy-stands-against-domestic …",1217842933136797697,2020-01-16,16:15:56,repriggleman,10,3,17
