tweet,id,date,time,username,replies_count,retweets_count,likes_count
#LoveWins - Happy #Pride Chicago! pic.twitter.com/Tul3lspKy9,1144998081513082880,2019-06-29,15:56:30,reprobinkelly,13,42,227
I can’t believe this is the last #RobinsRemix of June! It’s been a busy month in Washington and we’re in town for most of July so stay tuned for more details. pic.twitter.com/xQvT6MUVU0,1144402672365330432,2019-06-28,00:30:33,reprobinkelly,1,5,20
"According to the World Health Organization there are nearly 37 million people living with HIV worldwide. Tragically, nearly 25% of people don’t know their status. That is why #NationalHIVTestingDay is so important in ending this epidemic and saving lives. 
#KnowYourStatus pic.twitter.com/KdbtPg74RR",1144297852052676608,2019-06-27,17:34:02,reprobinkelly,0,1,3
#SCOTUS is allowing partisan gerrymandering to continue. The Court has a duty to uphold the fundamental principle of having FREE and FAIR elections. Now is not the time to partake in practices that are contrary to the foundation of our democracy. We must act now!,1144276895380455429,2019-06-27,16:10:46,reprobinkelly,1,1,14
"4 years ago, same-sex couples around the country were insured the fundamental right to marry under the law.
 
The landmark case, Obergefell v. Hodges, reminds us that love always wins! #MarriageEquality pic.twitter.com/gdckscIchY",1143982241485340672,2019-06-26,20:39:55,reprobinkelly,3,2,11
"Special Counsel Robert Mueller will publicly testify before the @HouseJudiciary. After reading Mueller’s report, it is apparent that there was Russian interference in our 2016 election. I am glad that the American people will finally hear the facts, for the sake of our democracy. https://twitter.com/AP/status/1143691856968060928 …",1143943870125944833,2019-06-26,18:07:26,reprobinkelly,1,3,10
"Last night @HouseDemocrats   passed a bill that provides simple aid like water, medicine and proper bedding to children and families at our border. It is crucial that we treat these individuals with the respect and dignity that ALL humans deserve, and America prides itself on.",1143930261509423105,2019-06-26,17:13:22,reprobinkelly,5,6,30
Thanks for stopping by! @AdvocateKids https://twitter.com/AdvocateKids/status/1143899629102219265 …,1143903202460356608,2019-06-26,15:25:50,reprobinkelly,2,6,18
"Since my election to Congress, I’ve been proud to work on bipartisan reforms that enhance our cyber security and modernization efforts. Thanks to USCIO @SuzetteKent45 for coming so speak with me about working on next steps. pic.twitter.com/kV0M31FxKX",1143881947850170368,2019-06-26,14:01:23,reprobinkelly,0,5,12
Hear about another busy week in Washington in this week’s #RobinsRemix. Have a great first day of summer! pic.twitter.com/iDQ99BWuyn,1142152121116233732,2019-06-21,19:27:40,reprobinkelly,1,5,15
