tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Creating discord is easy; building partnerships can be hard. 

America has plenty of the former. Let's commit to the latter instead.",1123338162036707330,2019-04-30,21:27:43,reprobwoodall,12,5,30
"...with Ady Barkan, instead of the first few seconds. pic.twitter.com/arabTYoa5K",1123337197044862976,2019-04-30,21:23:53,reprobwoodall,5,3,16
"Hey @JusticeDems, Republicans and Democrats need to work together to tackle the complex issues that affect our communities. When it comes to health care, I believe that there is more that unites us than divides us. I would encourage you to highlight my full dialogue... https://twitter.com/justicedems/status/1123278069983215617 …",1123337196008824837,2019-04-30,21:23:52,reprobwoodall,8,29,78
"Today, @RulesReps argued #MedicareForAll:

✅Takes over the health care industry
✅Requires higher taxes because it cannot pay for itself
✅Eliminates employer sponsored coverage

I raised concerns about how a one-size-fits-all #health #care system would cost taxpayers trillions. pic.twitter.com/bWwHXScELB",1123329990907564032,2019-04-30,20:55:14,reprobwoodall,12,15,8
"Happening Now: @RulesReps and @RulesDemocrats are holding an original jurisdiction hearing on #MedicareForAll.

Watch live: 
 https://www.youtube.com/watch?v=q5odHLcsuBs&fbclid=IwAR3wfuPgFKlQn0fz3QuTrSnF63lWQt2vbUh6OxeIRPSsDIrUQ4S6XWsc1zw … pic.twitter.com/s6jWlrRm6A",1123226301022838784,2019-04-30,14:03:13,reprobwoodall,18,6,4
"In ten minutes, @RulesReps and @RulesDemocrats will hold the first hearing on #MedicareforAll. 

Watch live:
 https://www.youtube.com/watch?v=q5odHLcsuBs … pic.twitter.com/qjVlGCLVRc",1123223097606324224,2019-04-30,13:50:29,reprobwoodall,7,3,1
"Thank you to everyone who attended this weekend's #Military #ServiceAcademyDay at @DobbinsARB.

I had a pleasure working w/ @SenatorIsakson, @SenDavidPerdue, & @RepLoudermilk to make this event one of the largest Service Academy Days in our nation.

Watch @WSBTV's coverage below: pic.twitter.com/8bqKxgvSnf",1122984017333293056,2019-04-29,22:00:28,reprobwoodall,3,4,6
"From @GwinnettDaily:

""While a new hurricane season is just a month and a half away, U.S. Rep. Rob Woodall, R-Ga., said Georgia’s congressional delegation is still trying to get aid for residents who were affected by a storm from last season.""

Full story:  https://www.gwinnettdailypost.com/local/woodall-says-congress-must-get-disaster-aid-to-georgia/article_ddda6b62-63ad-11e9-95cc-af18fee4d66f.html … pic.twitter.com/xKkeevHUq4",1122878654332248065,2019-04-29,15:01:47,reprobwoodall,3,3,2
".@SouthForsythMS was recently named a “Georgia Lighthouse School to Watch” for 2019, joining only a handful of schools in receiving this honor, including @LibertyMDL, which was re-designated with this recognition. Congratulations on this great achievement! https://www.forsythnews.com/local/education/south-forsyth-middle-awarded-leading-way-education/ …",1122646355137187840,2019-04-28,23:38:43,reprobwoodall,0,1,3
"Great working with @SenatorIsakson, @SenDavidPerdue, & the #Georgia Congressional Delegation to make today’s #ServiceAcademyDay possible. Thanks to everyone who attended the event at @DobbinsARB! With your support, it was one of the largest Service Academy Days in our nation. pic.twitter.com/Oj8gjhxPg4",1122292509747630082,2019-04-28,00:12:40,reprobwoodall,0,2,10
#NationalPrescriptionDrugTakeBackDay provides a responsible way to dispose of excess #prescription #drugs while raising awareness about the potential for #abuse. We can work together to combat the #opioid epidemic this #TakeBackDay. Find a collection site:  https://takebackday.dea.gov/  pic.twitter.com/1MDyxL3tL8,1122130513517600768,2019-04-27,13:28:57,reprobwoodall,1,3,4
"Great #economic news for #American families and businesses:

Our nation’s #economy surpassed expectations with 3.2% #GDP growth in the first quarter! 

Read the full story: https://www.cnbc.com/amp/2019/04/26/gdp-q1-2019-first-read.html …",1121885584421740545,2019-04-26,21:15:41,reprobwoodall,0,2,6
The #Duluth #Norcross @Kiwanis Club & #Kiwanis Club of #North #Gwinnett are community service organizations dedicated to helping children in need. We discussed why lawmakers need to listen to each other and how I'll continue to reach across the aisle to deliver results for #GA07. pic.twitter.com/lxyPbx72hB,1121819323570507777,2019-04-26,16:52:23,reprobwoodall,1,2,1
"#Healthcare simulators are increasingly being used to practice high-risk techniques & establish safe protocols in the name of improving patient safety. 

I had a great time visiting @GwinnettMedical's simulation lab to see how simulators are being used to do just that in #GA07! pic.twitter.com/9f8CsUtSMB",1121534306629844994,2019-04-25,21:59:50,reprobwoodall,2,1,6
