tweet,id,date,time,username,replies_count,retweets_count,likes_count
"This ruling gives the green light for elected officials to choose their voters, instead of their voters choosing them. This decision fails to protect our constitution and disenfranchises voters. This will increase the partisan divide in our country. https://lacrossetribune.com/news/state-and-regional/wi/justices-deal-blow-to-effort-to-limit-partisan-districts/article_debeba8e-4e06-52ef-a1bf-5f3c8e69d0ed.html …",1144279832739680258,2019-06-27,16:22:26,repronkind,4,7,27
Proud that the Ways and Means Committee passed my bill unanimously to help bring more doctors to rural Wisconsin! https://twitter.com/WaysMeansCmte/status/1143904388362252288 …,1143952644135931905,2019-06-26,18:42:18,repronkind,3,4,17
"Congratulations, Scamp on your big victory! Scamp proves that no matter who you are or where you come from, there's a place for you in God's beautiful universe. https://www.apnews.com/571620d86e1244a6bd49a49103e68105?fbclid=IwAR33Jls-Xm2YfUlV5ARXpim54nilKjCr0bLmvwLSxzeY3hauQj06Je-CZws …",1143292164685914118,2019-06-24,22:57:48,repronkind,0,0,6
"It's wonderful to see Wisconsin's Dairy Breakfasts recognized on a national stage. Every summer, Tawni and I and the boys look forward to attending these events - it is a proud Wisconsin tradition that deserves to be celebrated. #JuneDairyMonth  https://www.nytimes.com/2019/06/21/us/dairy-breakfast-summer-farms.html?login=email&auth=login-email&fbclid=IwAR1z9o5aiR2f1ndu6wWyY1mIDeGax4UD_dyTy5y7tpRO1mQhJPiao6B0eRw …",1142149066824081408,2019-06-21,19:15:32,repronkind,2,2,8
ICYMI: The Ways and Means Committee had a hearing this morning to talk about our trade agenda for 2019. You can catch my remarks from the hearing here ➡️ https://www.youtube.com/watch?v=U-vLjyp83_U&feature=youtu.be …,1141458907988209664,2019-06-19,21:33:05,repronkind,3,0,2
"Today, the Ways and Means Committee will be talking about our trade agenda for 2019. Watch LIVE here 👇 👇 👇
 https://www.youtube.com/watch?v=HgEOQJydZ_o …",1141343261275119618,2019-06-19,13:53:33,repronkind,1,1,2
"The tax bill was made for corporations, powerful special interests and the wealthy - not real Wisconsin workers and families. https://www.cbsnews.com/news/businesses-paying-their-lowest-share-of-taxes-since-at-least-1960/?fbclid=IwAR0dVyni2KR9UmYR0Jio7Y14CGknUSPRHVO_HgptMsHutbkr3jXiixg82R4 …",1141101045457850373,2019-06-18,21:51:04,repronkind,3,3,10
"The SECURE Act will help Wisconsinites better save for retirement - no matter where they work. It passed the House almost unanimously, and I'm calling on the Senate to take up this important bill and make retirement security a reality for working families. https://thehill.com/opinion/finance/446303-give-main-street-workers-security-with-the-secure-act?fbclid=IwAR24soqdXtO5bsMQBHfnxkJnwRO_zhZYzMNRB8B1oE-Xny0-zksP3J6qLuo …",1140734117040074752,2019-06-17,21:33:01,repronkind,0,2,7
"Happy #FlagDay! #OTD in 1777, the Continental Congress adopted the national flag that would lead to the 50 stars and 13 stripes that we wave so proudly today. pic.twitter.com/RG5PBU9V0F",1139586641755037696,2019-06-14,17:33:22,repronkind,1,1,3
"Today, the @WaysMeansCmte had a hearing on how we can achieve universal health care coverage for all Americans.
Check out my remarks from the hearing here. 👇 https://www.youtube.com/watch?v=sV0XqQnT8cA&feature=youtu.be&fbclid=IwAR0Q4wr8azRmt9-tvwoulJ7xQnGoS-2NIib4KCisznAkxaF_zS9ddaMkiP8 …",1138910366048673792,2019-06-12,20:46:05,repronkind,10,0,5
Great seeing you today and talking about ways we can continue to combat climate change and protect Wisconsin's natural heritage for future generations to come! https://twitter.com/WIConservation/status/1138842740819746821 …,1138867662551994370,2019-06-12,17:56:24,repronkind,6,3,9
"#OTD in 1919, Wisconsin ratified the #19thAmendment, which gave women the right to vote. On this 100th Anniversary, we celebrate the strides we have made and rededicate ourselves to achieving equality for all. https://twitter.com/SenShilling/status/1138186115075252224 …",1138212985288241165,2019-06-10,22:34:57,repronkind,1,0,16
So proud of the athletes that are competing in the #SOWI #SummerGames at @UWStevensPoint. Best of luck to you all! @sowisconsin #40yearsinPoint https://twitter.com/sowisconsin/status/1136744814391828485 …,1137386051041931264,2019-06-08,15:49:00,repronkind,0,2,7
"Tariffs are taxes on Wisconsinites. We need to work together with our allies to find solutions that benefit Wisconsin workers, farmers and families instead of harming them. https://twitter.com/greenhousenyt/status/1136233770259009536 …",1136292232225546241,2019-06-05,15:22:34,repronkind,1,4,15
Have you curd the news? It's #NationalCheeseDay! 🧀🐮 pic.twitter.com/ngKyIIAu9z,1135994557298950144,2019-06-04,19:39:42,repronkind,1,3,17
"June 1st is the kick-off to June Dairy Month, as well as #WorldMilkDay! Thank you to all of our Wisconsin Dairy Farmers who work tirelessly to supply not only Wisconsin, but the nation, with delicious milk! #EnjoyDairy pic.twitter.com/3vHc5g5blV",1134865846910816258,2019-06-01,16:54:37,repronkind,3,1,12
