tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Thank you to Shane Moore, Home Depot DM for the invitation to tour the Arlington location. This store is one of the top five Home Depot stores in sales volume for TX. Thank you to the staff and manager for their time! I’m grateful for thriving business in the 6th District. #jobs pic.twitter.com/FtySogJzsi",1123237806812348416,2019-04-30,14:48:56,repronwright,0,0,6
...and waiting... https://twitter.com/GOPoversight/status/1122911576867135488 …,1122989718617165824,2019-04-29,22:23:07,repronwright,1,0,3
"This weekend I was on @trish_regan on @FoxBusiness talking about the 2016 election, the Mueller report, and the Obama Administration’s failure to make public Russian interference in the election. #FoxBusiness
#MuellerReport https://video.foxbusiness.com/v/6030495324001/#sp=show-clips …",1122857321313521664,2019-04-29,13:37:01,repronwright,8,11,35
Congratulations to @KonniBurton for taking on “fake news!” Glad to see conservatives joining the media world to provide coverage on the issues that impact us. @TheTexanNews #IAmTexan https://www.youtube.com/watch?v=qiGXHIyIFEw&feature=youtu.be …,1122849869587197952,2019-04-29,13:07:25,repronwright,1,8,15
@POTUS once again has corrected an odious mistake by the previous occupant of Oval Office. America must be secure with their second amendment rights and never bow to foreign or international voices that seek to diminish our freedoms here at home. #2ndAmendment https://twitter.com/WhiteHouse/status/1121846225827958784 …,1122244552935473152,2019-04-27,21:02:06,repronwright,0,0,0
"Question: Should we include the citizenship question on the census?
Answer: Um, it’s kind of the whole point right? #Census2020 #citizenshipquestion",1122228725951676416,2019-04-27,19:59:12,repronwright,6,4,13
Don’t tell me it wasn’t political - thank you @trish_regan for having me on last night to talk about #Rosenstein and the #MuellerProbe https://twitter.com/trish_regan/status/1121930620496642054 …,1122225728446189568,2019-04-27,19:47:18,repronwright,1,1,5
Going on @trish_regan in a couple minutes I’m @FoxBusiness talking about #Rosenstein #news,1121927160825036800,2019-04-27,00:00:54,repronwright,1,4,34
Nice catch.,1121865416148697090,2019-04-26,19:55:33,repronwright,0,0,0
Thank you to the @WaxahachieNews for covering my recent visit to Ellis County. What a great time to discuss important issues to our district. Thank you as well to County Judge Todd Little for hosting our gathering. https://www.google.com/amp/s/www.waxahachietx.com/news/20190424/congressman-wright-visits-with-ellis-county-officials%3ftemplate=ampart …,1121864618190737409,2019-04-26,19:52:22,repronwright,0,1,9
Will the Dems blame this on @POTUS? I thought everything was his fault! #EconomicGrowth #silence https://twitter.com/realDonaldTrump/status/1121854831327621125 …,1121863414094225409,2019-04-26,19:47:35,repronwright,0,0,3
Amazing how silent the left is on the strong early economic showing of 2019! #EconomicGrowth https://twitter.com/RepTedBudd/status/1121809736935063553 …,1121863103577231360,2019-04-26,19:46:21,repronwright,0,0,3
This week I had lunch with some great 5th graders at Donna Shepard Intermediate School in Mansfield. Thank you to Principle Matthew Brown and all of his staff for their hospitality. A special thank you to the students who were very welcoming. @shepardmustangs #education pic.twitter.com/samruR5yep,1121821675706830848,2019-04-26,17:01:44,repronwright,1,2,6
I’ll take 3.2% economic growth any day.                                                              Jobs are increasing and our economy is strong! #economicgrowth https://www.google.com/amp/s/www.nytimes.com/2019/04/26/business/economy/gdp-economy.amp.html …,1121779228213743617,2019-04-26,14:13:04,repronwright,1,4,6
"I am saddened to learn of the passing of Dallas GOP Chairwoman, Missy Shorey. My prayers are with her husband and extended family during this time. Susan and I are saddened by the sudden loss of this great patriot. pic.twitter.com/bDQACMZhJS",1121183693630996485,2019-04-24,22:46:37,repronwright,0,1,7
This looks promising! https://twitter.com/KonniBurton/status/1120323883884785666 …,1121170249288704001,2019-04-24,21:53:12,repronwright,0,1,8
This is definitely grounds to investigate @POTUS ... something seems fishy. The economy is too good! #MAGA #Democrats are you watching this? https://twitter.com/AP/status/1120780182795816960 …,1121072089572814849,2019-04-24,15:23:09,repronwright,3,3,7
Thank you to Ellis County Judge Todd Little for hosting a meet and greet w County Commissioners and others at the historic Ellis County Court House. It was a great time meeting with constituents and friends. #EllisCounty is a great place to spend an afternoon. #6thDistrict #Texas pic.twitter.com/BgkZFadfPK,1121068232885010432,2019-04-24,15:07:49,repronwright,1,2,5
Still waiting ... https://twitter.com/GOPoversight/status/1120731208151916544 …,1120786719731744768,2019-04-23,20:29:11,repronwright,100,511,2331
Our country must have order. There is a way to do things and allowing illegal immigrants to live unchecked in our communities is not anti-immigrant it is pro security for the legal citizens of this country! #SanctuaryCities https://twitter.com/Rasmussen_Poll/status/1120749175132643329 …,1120776471235170310,2019-04-23,19:48:28,repronwright,1,1,13
He is Risen Indeed!,1120067991226470401,2019-04-21,20:53:13,repronwright,0,1,6
"Sorrow, outrage, and heartfelt prayers for the hundreds of victims of the terrorist bombings of Churches and hotels in Sri Lanka.  Only the lowest of the low would do this on Easter. They will know God’s justice.",1120067818647687168,2019-04-21,20:52:32,repronwright,0,1,4
"“For Christ also suffered once for sins, the just for the unjust, that He might bring us to God, being put to death in the flesh but made alive by the Spirit,” 1 Peter 3:18 #GoodFriday pic.twitter.com/hJbjjfRn4n",1119422533453930497,2019-04-20,02:08:24,repronwright,1,1,11
"While national Democrats self-immolate over the absence of impeachable offenses in the Mueller Report, the jobless numbers hit the lowest level since 1969.  Thank you, @realDonaldTrump #MuellersReport",1119280883025027074,2019-04-19,16:45:32,repronwright,3,8,18
"Another Tax Day is here, but Democrats are more interested in seeing one man’s tax returns than delivering meaningful tax reforms to middle class Americans. #ThisisanOutrage #TaxDay",1117877595985416192,2019-04-15,19:49:22,repronwright,11,4,14
Netanjahu wins a historic victory. I look forward to continuing to work with and support the State of Israel,1116048403434283009,2019-04-10,18:40:49,repronwright,0,2,9
When a sitting member of Congress makes light of the deaths of thousands of people on 9/11. Deaths that came through the act of terrorist that she calls “some people who did something” we should all be outraged! https://www.google.com/amp/s/amp.dailycaller.com/2019/04/09/ilhan-omar-911-cair …,1115985741136498689,2019-04-10,14:31:49,repronwright,2,6,13
Yesterday our staff celebrated Congressman Wright’s Birthday with some decorations and a donut cake. Happy Birthday to a great boss and a true public servant. pic.twitter.com/RJAxxeRNXT,1115979957799460864,2019-04-10,14:08:50,repronwright,6,1,26
The Greatest Generation is slipping away! Let's remember these men and women for the sacrifice and courage they exuded for freedom and their fellow man. #Veterans #WWII https://twitter.com/DerekWadeWeller/status/1115966305587216390 …,1115978839358877696,2019-04-10,14:04:23,repronwright,0,1,9
The left doesn't need a good reason or facts their hatred for President trump takes priority as  this senseless witch hunt continues!,1115978307382775808,2019-04-10,14:02:17,repronwright,18,0,9
I will continue this fight with you! We must stand for all life. #EndInfanticide https://twitter.com/SteveScalise/status/1115631648668889088 …,1115690289195376642,2019-04-09,18:57:48,repronwright,2,2,6
Democrats refuse to allow republicans a win even at the expense of the American people. #Healthcare https://twitter.com/EdLaborGOP/status/1115649579230400512 …,1115666955741147136,2019-04-09,17:25:04,repronwright,1,1,6
Thanks to everyone who came to our District Office Open House on Friday! It was a beautiful day made better by seeing so many familiar and new faces. This office is for every constituent of the Texas 6th! Our door is always open and the coffee is always hot. #TX6 pic.twitter.com/3xhLerJPPC,1115282447833473026,2019-04-08,15:57:11,repronwright,0,1,12
I signed the discharge petition that would force a vote on the Born Alive Act! Nancy Pelosi and Dem Leadership are keeping this from coming to a vote. They want babies born after failed abortions to be left to die. #prolife #Thisisanoutrage #LetUsVote http://tinyurl.com/yxmcgzqj ,1113813922690273280,2019-04-04,14:41:47,repronwright,3,1,8
Happy to do it. Thank you guys for coming by. https://twitter.com/mconnorspt/status/1113168685101985792 …,1113809872116703232,2019-04-04,14:25:41,repronwright,1,1,2
Thank you all for coming by and you bet I signed it. We must stand up for all human life! https://twitter.com/bekabrown93/status/1113519786372284417 …,1113563009291554816,2019-04-03,22:04:45,repronwright,1,2,14
It is sad and disgusting that we are having this discussion. I agree with my colleague that most Americans believe we must do whatever it takes to keep babies alive and healthy when they are born! #EndInfanticide #LetUsVote https://twitter.com/SeanDuffyWI/status/1113074285009100800 …,1113496968767115264,2019-04-03,17:42:19,repronwright,9,35,86
I met with members of the Alzheimers Association yesterday in to discuss legislative solutions to this awful disease. Megan and Lettia live and have connections in the 6th District. Their stories and comments were good to hear. We can work harder to end Alzheimer’s #ENDALZ,1113454465930137600,2019-04-03,14:53:26,repronwright,1,3,10
Thank you all for coming by! https://twitter.com/mconnorspt/status/1113168685101985792 …,1113174957989748739,2019-04-02,20:22:46,repronwright,1,1,4
"I was grateful to stand alongside my colleagues who joined to stand for life today. It’s time for Democrats to stop denying this basic, yet foundational human right to babies that have already born. #EndInfanticide #BornAliveAct #LetUsVote #ProLife pic.twitter.com/SqobsdGukZ",1113139161899380736,2019-04-02,18:00:31,repronwright,5,4,14
Today I am signing the discharge petition to force a vote on the Born Alive Act that would protect babies that are born in-spite of attempts to murder them in the womb.,1113139147038973954,2019-04-02,18:00:28,repronwright,1,1,6
"It is unconscionable that we would be fighting to ensure that babies receive care that have been born alive. Sadly, that is the time we are living in.",1113139140323835906,2019-04-02,18:00:26,repronwright,1,0,5
To simply ignore the national security implications of our porous southern border is reckless and irresponsible. #SecureOurBorder #SecureTheBorder,1112742491751661569,2019-04-01,15:44:18,repronwright,0,1,4
"When a foreign national arrives at the border without appropriate paperwork, they are an undocumented immigrant. 
But, the moment they cross the border into the United States without our knowledge or permission, they are an illegal immigrant. #SecureOurBorder #SecureTheBorder",1112742161555038209,2019-04-01,15:42:59,repronwright,2,5,13
