tweet,id,date,time,username,replies_count,retweets_count,likes_count
To say it's an honor serving #FL15 would be an understatement. Nothing makes me prouder than representing the community I grew up in & fighting for what you care about most. THANK YOU! #Florida #Goodbye2019 #Hello2020 pic.twitter.com/iV8KRh120k,1212107070125817861,2019-12-31,20:23:40,reprossspano,4,6,18
"Every good and perfect gift is from above, coming down from the Father of the heavenly lights, who does not change like shifting shadows. James 1:17

May we all thank God for giving us the ultimate gift & for the blessings we have received. #MerryChristmas! #FL15 #florida pic.twitter.com/4fz0wE7GQK",1209872423375581186,2019-12-25,16:23:58,reprossspano,0,5,20
Wishing all of those celebrating today a happy first day of #Hanukkah! #Florida #FL15 pic.twitter.com/wK94RucIG4,1208772058177572864,2019-12-22,15:31:31,reprossspano,3,6,12
"You just voted to impeach a president you say is a Constitutional threat for abuse of power. Look at what you are doing. You are trying to take the Senate’s constitutional power for your own political gain.

Follow the Constitution you spoke so much about. (2/2) #impeachment",1208089134843215872,2019-12-20,18:17:49,reprossspano,203,429,1452
"Speaker Pelosi is now waiting to send the articles to the Senate because she is worried about fairness and wants to dictate terms of the trial to Leader McConnell. The Constitution grants the Senate the sole power to try all impeachments, not the Speaker. (1/2) #impeachment",1208089133329080320,2019-12-20,18:17:49,reprossspano,36,116,280
"Like I said before: I am not surprised, but I am disappointed.

I voted against the #impeachment of President Trump because it is clear that this impeachment is fueled by hearsay & partisan motive, not fact. Read my FULL statement here:  https://spano.house.gov/news/documentsingle.aspx?DocumentID=2351 … #Florida #FL15",1207482739462754304,2019-12-19,02:08:13,reprossspano,22,39,80
"I am not surprised this day has come, but I am disappointed. Disappointed because #impeachment is one of the most consequential decisions we could ever have to consider, & it is based purely on partisan motives. Watch my full floor speech below 👇👇👇 #Florida #FL15 pic.twitter.com/9YQxmlIyvT",1207392281910755340,2019-12-18,20:08:46,reprossspano,65,99,253
Big (BAD) Day. First time in our nation’s history that @USHouse will impeach a President on partisan basis. History will not judge us favorably. @USHouseHistory @USHouseNews @realDonaldTrump @HouseGOP @FoxNews,1207306297491828738,2019-12-18,14:27:06,reprossspano,228,414,1094
"Today, I vote ""no"" on both H.R. 1158 & H.R. 1865. The #nationaldebt exceeded $23 trillion this fall, & it is irresponsible to vote in favor of a $1.4 trillion spending package w/ less than 24 hrs to review. Read my FULL statement here:  https://spano.house.gov/news/documentsingle.aspx?DocumentID=2350 … #Florida #FL15",1207023694121488385,2019-12-17,19:44:08,reprossspano,14,66,71
"This has been their plan since Day 1. 

It's time to move past this sham and get back to work.

#FL15 #Florida #impeachment https://twitter.com/HouseGOP/status/1206668820770967554 …",1206717515117875201,2019-12-16,23:27:29,reprossspano,27,114,146
"I am wishing a very happy birthday to our National Guard! With nearly 185,000 active-duty members, these brave men and women put their lives on the line to defend our freedoms! 

Please join me in wishing all members of the National Guard, past and present, a happy birthday!",1205598504544014337,2019-12-13,21:20:57,reprossspano,3,7,16
"A complete party-line vote on articles of impeachment. If this is not indicative of how divided our nation is, I do not know what is. https://twitter.com/GOPLeader/status/1205511939721453568 …",1205530894582325248,2019-12-13,16:52:17,reprossspano,21,11,15
"To rush or not to rush? 

Delaying a vote on the articles of impeachment for a morning time slot, so that Dems can get a wider audience, proves just how political this process has become! https://twitter.com/RepDougCollins/status/1205356602938863616 …",1205489766432739328,2019-12-13,14:08:51,reprossspano,81,70,116
"Just a few days ago, we lost Robin Mitchell to cancer. Robin leaves behind a devoted husband & 8 beautiful children. This week, I made the decision to support #HR19 for Robin & for the many others waiting for a cure. 

It's time we fight for lower costs & #morecures! pic.twitter.com/ENxKfs45mK",1205248851780743171,2019-12-12,22:11:33,reprossspano,2,6,13
"This is what #HR19 is all about! 

More solutions. More innovation. #MoreCures. https://twitter.com/RepGregPence/status/1205165771967680512 …",1205176393841160193,2019-12-12,17:23:38,reprossspano,3,4,14
"Thank you, @Jim_Jordan! Dems have made it clear from day one that they simply could not accept defeat. Since then, they have been doing anything they can to discredit and remove @realDonaldTrump. 

It must stop! This is tearing our country apart -- I am afraid, beyond repair. https://twitter.com/SteveScalise/status/1204947298914058240 …",1205154337577742336,2019-12-12,15:55:59,reprossspano,48,227,634
"Perhaps Chairman Nadler should ""consider"" the fact that the American people and @realDonaldTrump DESERVE a fair process, which includes Republican members being able to call and question witnesses. 

What a sham! https://twitter.com/RepDLesko/status/1205132235000762369 …",1205135730827255808,2019-12-12,14:42:03,reprossspano,168,257,622
I applaud this move by @realDonaldTrump to combat the rise of anti-Semitism & support the Jewish community. We have witnessed a disturbing rise in anti-Semitic incidents & rhetoric. It's time that we put a stop to this hatred. #florida #FL15 https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-committed-combating-rise-anti-semitism/ …,1204886960722055168,2019-12-11,22:13:31,reprossspano,5,10,16
"Solemn? ❌ Celebratory? ✅

Make no mistake about it, Dems are not saddened by this. They have had their eyes on impeachment since the day @realDonaldTrump was elected. 

Dems are rejoicing in the articles of #impeachment, but America is being polarized beyond repair.",1204868954403069952,2019-12-11,21:01:58,reprossspano,6,11,20
"If Dems' case is so strong to move forward with articles of #impeachment, what's the harm in allowing a minority hearing? What's the harm in actually following House rules? 🤔

I am glad to stand with @RepAndyBiggsAZ on this! https://twitter.com/RepAndyBiggsAZ/status/1204520462350467079 …",1204855663412813824,2019-12-11,20:09:09,reprossspano,30,126,325
"It has been more than 2 months since we entered FY 2020, & not a single full-year approps bill has been completed. Check out my latest op-ed in the @dcexaminer about how relying on continuing resolutions is affecting the #bordercrisis. https://www.washingtonexaminer.com/opinion/op-eds/rep-ross-spano-we-can-delay-a-budget-but-we-cant-delay-a-crisis …",1204434364974665728,2019-12-10,16:15:04,reprossspano,6,3,5
They admitted it then. They're admitting it now. This has been their plan from day one -- to remove the duly-elected @POTUS @realDonaldTrump from office. https://twitter.com/GOPLeader/status/1204127423975047171 …,1204135658761138176,2019-12-09,20:28:07,reprossspano,82,298,368
Weren't we promised a fair and transparent process in October? 🤔 https://twitter.com/RepDougCollins/status/1204115690313134080 …,1204119667100524544,2019-12-09,19:24:34,reprossspano,50,58,85
"On December 7, 1941, the unthinkable happened. Our nation was attacked and thousands of lives were lost. 

We must never forget, and we must always honor their sacrifice. 

Watch the FULL floor speech here:   https://www.youtube.com/watch?v=dsHbK232060 … #Florida #FL15 #PearlHarborRemembranceDay pic.twitter.com/zJnDnupWOK",1203364906357141504,2019-12-07,17:25:25,reprossspano,0,5,8
⬇️⬇️⬇️ https://twitter.com/Jim_Jordan/status/1203021965243617286 …,1203023451541450753,2019-12-06,18:48:36,reprossspano,16,37,46
Officer Foley served with the Lakeland Police Department for 29 years. That's 29 years dedicated to protecting & serving our community. This is truly heartbreaking. My heart goes out to his family & Lakeland PD. God bless you all. #FL15 #Florida #RIP https://twitter.com/TB_Times/status/1202585800224825345 …,1202649897171902465,2019-12-05,18:04:14,reprossspano,1,8,15
"House Dems continue to rush through this process no matter how many speed bumps — or in this case, REAL facts — get in the way. https://twitter.com/SteveScalise/status/1202602426123083777 …",1202608908264710144,2019-12-05,15:21:21,reprossspano,141,407,1269
"We can’t hear from Schiff. We can’t hear from the whistleblower. We can’t hear from true fact witnesses. 

When is enough enough? The American people see through this deception. (2/2)",1202304905496715266,2019-12-04,19:13:21,reprossspano,23,47,62
"Chairman Schiff put himself in the middle of this #impeachment process from the moment he/his staff had private correspondence with the whistleblower. Yet, every Democrat on the Judiciary voted against hearing testimony from him. (1/2)",1202304904318136322,2019-12-04,19:13:21,reprossspano,26,32,52
