tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Looking forward to speaking at @CPAC tomorrow with @joniernst and @KatiePavlich #CPAC #WhatMakesAmericaGreat

Tune in to watch my remarks live on my Facebook page at 10am CT
 https://www.facebook.com/RepRogerWilliams … pic.twitter.com/atWp7AQ1eC",1101220631641759745,2019-02-28,20:40:32,reprwilliams,14,31,113
RIGHT NOW ➡️ I’m LIVE from @CPAC with @WilkowMajority on @SiriusXMPatriot 🇺🇸 tune in! pic.twitter.com/YMykAGt9ks,1101192920332464129,2019-02-28,18:50:26,reprwilliams,2,4,19
"@USArmy Specialist Hugh Gary Bryan served his country June 1955-May 1961. He doesn't have any known family, but no soldier should be left behind. Members of my district staff attended his funeral yesterday in Killeen to pay their respects. 

Thank you for your service & God bless pic.twitter.com/g4d0tqapD9",1101156718317367296,2019-02-28,16:26:34,reprwilliams,1,2,5
"And for this reason, and I am proud to cosponsor @RepAndyBiggsAZ's resolution to recognize the national debt as a threat to national security.

 https://williams.house.gov/media-center/press-releases/members-of-congress-introduce-resolution-to-recognize-the-national-debt … pic.twitter.com/2TLEeAsEjE",1100775324663644160,2019-02-27,15:11:03,reprwilliams,4,5,9
"Our country does not have a revenue problem, we have a spending problem. The President’s National Security Strategy highlights the need to reduce the debt in order to maintain our nation’s military power...",1100775324038647809,2019-02-27,15:11:03,reprwilliams,9,7,15
"Since 1997, Congress has failed to do its job to maintain a fiscally responsible budget. Time and time again, we have relied on raising the debt ceiling, and just recently, our national debt hit a record $22 TRILLION.",1100775323497570305,2019-02-27,15:11:03,reprwilliams,16,5,12
"The Born Alive Abortion Survivors Protection Act is straightforward – if a child is born alive after a failed abortion, they receive the same medical care that every other child would receive.

@HouseGOP has asked House Dems 7x to consider the bill - they've said ‘no’ every time. https://twitter.com/SteveScalise/status/1100122717704065024 …",1100464133374390273,2019-02-26,18:34:29,reprwilliams,13,25,101
I am not planning on supporting the resolution.,1100416085969522688,2019-02-26,15:23:34,reprwilliams,1,0,0
"I am proud of the leadership and engagement that local and state officials exhibited throughout this process, and I look forward to rebuilding together. pic.twitter.com/UonVrZbCm6",1100157478577287168,2019-02-25,22:15:57,reprwilliams,1,0,5
"I am happy to report that earlier today, @POTUS approved this request and initiated the release of federal funds that will go towards families, businesses and infrastructure affected by the flooding. 

 https://williams.house.gov/media-center/press-releases/rep-williams-statement-on-president-trump-s-major-disaster-declaration … pic.twitter.com/etvWWxohTa",1100157473766416384,2019-02-25,22:15:56,reprwilliams,1,0,7
"Four months ago, massive flooding wreaked havoc on the Central Texas community. In addition to visiting disaster sites, such as the FM 2900 bridge that collapsed, I urged @POTUS to quickly fulfill the @GovAbbott's  request for a Major Disaster Declaration for the State of Texas. pic.twitter.com/TYuCEzHyaK",1100157472482955265,2019-02-25,22:15:56,reprwilliams,3,2,11
"People often forget about the sacrifices that military spouses and families make every single day. Maria Reed, who is stationed at @forthood with her husband, Sgt. 1st Class Patrick Reed, knows this all too well. @kdhnews

Read her story below ↓ http://kdhnews.com/military/fort-hood-spouse-nominated-for-military-spouse-of-the-year/article_0aee6508-3920-11e9-8db9-4f431f8ff28b.html …",1100154105182502913,2019-02-25,22:02:33,reprwilliams,0,0,1
It would've been a crime to illegally cross into the US between the ports of entry.,1100076006671568896,2019-02-25,16:52:13,reprwilliams,0,0,0
The undertaking of securing our borders is no longer an option. Read more in my column below ↓ @statesman https://www.statesman.com/opinion/20190222/williams-crisis-at-border-do-we-have-courage-to-act …,1100058592756019200,2019-02-25,15:43:01,reprwilliams,3,1,6
