tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Today we celebrate National Veterans of Foreign Wars (VFW) Day. The VFW ensures that our Veterans and their needs and accomplishments are never forgotten. Simply, thank you for your service, sacrifice and enduring commitment to our Brothers and Sisters in Arms. @VFWHQ",1178293350568534016,2019-09-29,13:00:01,repscottperry,8,5,44
"While the President was defending Constitutional liberties on the world stage at the United Nations, House Democrats were launching an impeachment investigation against him. The contrast is astounding. This bogus push is downright dangerous to our Country. https://bit.ly/2m3BrHA ",1177273060883423232,2019-09-26,17:25:45,repscottperry,774,2088,6157
"Please join me on @LouDobbs Tonight, this evening at 7:20 p.m. on @FoxBusiness.",1176626385382756352,2019-09-24,22:36:05,repscottperry,10,5,15
Hey everybody - here’s the Legislative Wrap-Up for last week. Be well... https://youtu.be/Boky7bFuGmI ,1176188735324590082,2019-09-23,17:37:01,repscottperry,19,3,10
"September is National Suicide Prevention Month and today we’re reminded:  there is hope. If you or someone you know is struggling with mental health and/or suicidal ideation, please - ask for help. The National Suicide Prevention hotline is 1-800-273-8255.",1175756633659494400,2019-09-22,13:00:00,repscottperry,7,14,23
"Today, on World Alzheimer’s Day, we again call to raise awareness about this terrible illness, and continue our efforts to search for a cure. We won’t lose hope. To see how you can further the cause, please visit:  https://www.cdc.gov/features/worldalzheimersday/index.html ….",1175394248633520128,2019-09-21,13:00:01,repscottperry,7,4,11
"Today, we honor, remember & pray for our Prisoners of War / Missing in Action on National POW/MIA Day - and always. These Warriors and their loved are not forgotten;  just as it was their duty to fight for our Nation, it’s our duty to bring them back home.  https://bit.ly/2lVzOey ",1175031858205208576,2019-09-20,13:00:00,repscottperry,4,6,17
"Today we celebrate the 72nd Birthday of the @usairforce (USAF) and all who serve / have served in this storied institution. Thank you, USAF - and Happy Birthday!  #flyfightwin pic.twitter.com/EasVUVerfU",1174307086965993472,2019-09-18,13:00:01,repscottperry,4,5,36
"Public health officials are warning area residents about measles in York County. Parents are urged to take precautions, especially with children unable to receive the MMR vaccine due to medical conditions and age. For more: https://bit.ly/2kEXCmV ",1174062758717005824,2019-09-17,20:49:09,repscottperry,0,5,10
Here's Congressman Perry's DC wrap-up for the last week. Have a great week everyone! https://youtu.be/G6n7Cqrd0kA ,1173984175520722945,2019-09-17,15:36:53,repscottperry,6,0,10
"I recently took to the House floor to call for the consideration and passage of the United States, Mexico, Canada (USMCA) trade agreement, which will modernize our laws to make trade free and fair, while benefiting America.  https://www.c-span.org/video/?c4816303/pass-usmca …",1172549998426431488,2019-09-13,16:37:59,repscottperry,35,124,689
 https://www.washingtontimes.com/news/2019/sep/12/muslim-kids-philly-dance-chopping-heads-jihad-song/ …,1172260164851896340,2019-09-12,21:26:17,repscottperry,14,14,12
@EdWhelanEPPC pic.twitter.com/PO4zbrh1po,1171802030815567873,2019-09-11,15:05:49,repscottperry,0,1,0
 https://youtu.be/DSPw8jJIcGM ,1171762816467922945,2019-09-11,12:30:00,repscottperry,5,2,17
